Entity,2_1_GDPPC2015
Afghanistan,0.002253481567831296
Albania,0.022612282934454955
Algeria,0.0222957804409166
Andorra,0.2068870806112499
Angola,0.020084197416839294
Anguilla,0.05765893661330945
AntiguaandBarbuda,0.08315567353251292
Argentina,0.07408269886550578
Armenia,0.020466575403881505
Aruba,0.1605046446328709
Australia,0.3169736669097579
Austria,0.24860235129566977
Azerbaijan,0.02800826722551532
Bahamas,0.1737034736251111
Bahrain,0.12282782636154205
Bangladesh,0.006937787385245094
Barbados,0.09262316698448121
Belarus,0.03205842073767494
Belgium,0.22956807581953984
Belize,0.02488958143930466
Benin,0.005334811440631252
Bermuda,0.589831442801302
Bhutan,0.0159542499928284
Bolivia,0.01684686286257341
BonaireSintEustatiusandSaba,0.05765893661330945
BosniaandHerzegovina,0.027571765940540352
Botswana,0.03696171372676662
Brazil,0.04601154436743855
BritishVirginIslands,0.05765893661330945
Brunei,0.1649949299709714
Bulgaria,0.041059222939569595
BurkinaFaso,0.0030266002241017133
Burundi,0.0007833561935121541
Cambodia,0.0063105973146154294
Cameroon,0.007022134264396567
Canada,0.24333573259173805
CapeVerde,0.016972147452727415
CentralAfricanRepublic,0.0014308976313034919
Chad,0.0028582765792805657
Chile,0.07406041541184397
China,0.04906785208127584
Colombia,0.03340280736805814
Comoros,0.006217797325915017
Congo,0.010132446947424024
CookIslands,0.05765893661330945
CostaRica,0.0673682311815315
Coted'Ivoire,0.011087170977549174
Croatia,0.07092479516899458
Cuba,0.042514731016405384
Curacao,0.10464899239424552
Cyprus,0.1424812623618654
Czechia,0.10461831297843886
DemocraticRepublicofCongo,0.001930876740019422
Denmark,0.30617971901048835
Djibouti,0.015143641630989458
Dominica,0.03904148122088571
DominicanRepublic,0.04082640575994004
Ecuador,0.0321478638206267
Egypt,0.01965356550642586
ElSalvador,0.020393631112652563
EquatorialGuinea,0.04870290472480436
Eritrea,0.05765893661330945
Estonia,0.10364439212679531
Eswatini,0.019720528817574686
Ethiopia,0.0032145086204666885
FaeroeIslands,0.05765893661330945
Fiji,0.030928058531165956
Finland,0.24800700712021265
France,0.20681216776003056
FrenchGuiana,0.05765893661330945
FrenchPolynesia,0.05765893661330945
Gabon,0.038558702640398734
Gambia,0.002869558821493301
Georgia,0.023041461283837227
Germany,0.23405017496008462
Ghana,0.009650340017015738
Greece,0.10001978911234168
Greenland,0.2558565056174491
Grenada,0.05286478477357755
Guadeloupe,0.05765893661330945
Guatemala,0.021739121696418357
Guinea,0.00411195279898595
Guinea-Bissau,0.002760208944567593
Guyana,0.0319492355797375
Haiti,0.006969571426756746
Honduras,0.01246134417959038
HongKong,0.24366223386402544
Hungary,0.07427905465667928
Iceland,0.3103968908535274
India,0.009211732345958144
Indonesia,0.01897673854524593
Iran,0.030126467357370467
Iraq,0.02653154065370105
Ireland,0.37055584750264065
Israel,0.20602261384650425
Italy,0.1712885238318617
Jamaica,0.026599394119708922
Japan,0.1970116004119818
Jordan,0.021818724668707722
Kazakhstan,0.05846011534585148
Kenya,0.007525563899755505
Kiribati,0.007963305619560492
Kosovo,0.020631685683786632
Kuwait,0.1517801588699565
Kyrgyzstan,0.005690725473321658
Laos,0.01227876696370487
Latvia,0.08096860338317945
Lebanon,0.040602468614584115
Lesotho,0.005440515313175834
Liberia,0.0030182099766972777
Libya,0.027899982979595346
Liechtenstein,0.05765893661330945
Lithuania,0.08546681674703363
Luxembourg,0.5893087309594797
Macao,0.43453378901881134
Madagascar,0.0018418145277078848
Malawi,0.0013230480418158226
Malaysia,0.05818047763420983
Maldives,0.05118661427465831
Mali,0.0035517351158575244
Malta,0.14610751122155693
MarshallIslands,0.01744813961089776
Martinique,0.05765893661330945
Mauritania,0.007740334601494935
Mauritius,0.054099416116627184
Mayotte,0.05765893661330945
Mexico,0.053414432540077196
Micronesia(country),0.015408640194669714
Moldova,0.016129723450223968
Mongolia,0.021241062572399348
Montenegro,0.03787117768517261
Montserrat,0.05765893661330945
Morocco,0.015454567882533153
Mozambique,0.0025086874195784383
Myanmar,0.0068072069115376835
Namibia,0.024931811353962087
Nauru,0.04319078615146886
Nepal,0.004520121073334076
Netherlands,0.2580514177352689
NewCaledonia,0.05765893661330945
NewZealand,0.21818099971944718
Nicaragua,0.011245065893445772
Niger,0.0019470617252615248
Nigeria,0.013136794224492874
Niue,0.05765893661330945
NorthKorea,0.05765893661330945
NorthMacedonia,0.026984755873567186
Norway,0.4156439176372777
Oman,0.0971015118767383
Pakistan,0.0071893327776794864
Palau,0.08302284951895307
Palestine,0.018278721326628364
Panama,0.07959974959597568
PapuaNewGuinea,0.014692225545868649
Paraguay,0.03094498760922547
Peru,0.03463618012357293
Philippines,0.017592805911230462
Poland,0.07413503781978603
Portugal,0.11179064835329483
Qatar,0.33111281139074544
Reunion,0.05765893661330945
Romania,0.05535684725694267
Russia,0.051380888555678024
Rwanda,0.0035309822041417983
SaintHelena,0.05765893661330945
SaintKittsandNevis,0.11100095459670907
SaintLucia,0.05824168048702609
SaintPierreandMiquelon,0.05765893661330945
SaintVincentandtheGrenadines,0.038193513247862854
Samoa,0.023476058551772302
SaoTomeandPrincipe,0.008299008296229251
SaudiArabia,0.10906693584198844
Senegal,0.006458527067883034
Serbia,0.03202884124131647
Seychelles,0.08589786684198053
SierraLeone,0.002634475915372061
Singapore,0.32565092874721957
SintMaarten(Dutchpart),0.16023804997581045
Slovakia,0.09341806720574103
Slovenia,0.12347941971836418
SolomonIslands,0.011830091264690914
Somalia,0.0014442524753981952
SouthAfrica,0.03331416569340849
SouthKorea,0.16612876673964921
SouthSudan,0.05765893661330945
Spain,0.14914865672060476
SriLanka,0.02161093132884683
Sudan,0.006479463859775459
Suriname,0.04700010571168829
Sweden,0.2887812415862712
Switzerland,0.47352121644309253
Syria,0.004183359825044796
Taiwan,0.05765893661330945
Tajikistan,0.005079198497670248
Tanzania,0.004818041248028634
Thailand,0.033617635889524065
Timor,0.006283907459936854
Togo,0.0025004252495914115
Tonga,0.02518823780702841
TrinidadandTobago,0.0901650164430272
Tunisia,0.022005627606921863
Turkey,0.06439043996698342
Turkmenistan,0.03793821091785115
TurksandCaicosIslands,0.14540324005996438
Tuvalu,0.017653343164869644
Uganda,0.0038881958360335164
Ukraine,0.011580070699462198
UnitedArabEmirates,0.21840272626874832
UnitedKingdom,0.25667062888080094
UnitedStates,0.32078611142449764
Uruguay,0.0874406800165326
Uzbekistan,0.015415391656221486
Vanuatu,0.014898576081856794
Venezuela,0.05765893661330945
Vietnam,0.011969080474668789
WallisandFutuna,0.05765893661330945
World,0.05770254246430032
Yemen,0.006430981346787868
Zambia,0.006665408066245642
Zimbabwe,0.007353695435074597
