Entity,Code,Year,"Annual freshwater withdrawals, total (billion cubic meters)"
Afghanistan,AFG,1977,13268516540.527344
Afghanistan,AFG,1982,19689807891.845703
Afghanistan,AFG,1987,26111099243.164062
Afghanistan,AFG,1992,23460317611.694336
Afghanistan,AFG,1997,20809534072.875977
Afghanistan,AFG,2002,20281999588.012695
Afghanistan,AFG,2007,20281999588.012695
Afghanistan,AFG,2012,20281999588.012695
Afghanistan,AFG,2017,20281999588.012695
Albania,ALB,1992,1183560013.7710571
Albania,ALB,1997,1430459976.196289
Albania,ALB,2002,1663120031.3568115
Albania,ALB,2007,1268039941.7877197
Albania,ALB,2012,1195389986.038208
Albania,ALB,2017,1187999963.760376
Algeria,DZA,1972,2200000047.683716
Algeria,DZA,1977,2700000047.683716
Algeria,DZA,1982,3200000047.683716
Algeria,DZA,1987,3900000095.3674316
Algeria,DZA,1992,4675418376.922607
Algeria,DZA,1997,5273963451.385498
Algeria,DZA,2002,6043606281.280518
Algeria,DZA,2007,6926803112.030029
Algeria,DZA,2012,7800000190.734863
Algeria,DZA,2017,9802000045.776367
Angola,AGO,1987,479999989.27116394
Angola,AGO,1992,541692316.532135
Angola,AGO,1997,603384613.9907837
Angola,AGO,2002,666519999.5040894
Angola,AGO,2007,705699980.2589417
Angola,AGO,2012,705699980.2589417
Angola,AGO,2017,705699980.2589417
Antigua and Barbuda,ATG,1992,2153333.2765102386
Antigua and Barbuda,ATG,1997,3286666.702479124
Antigua and Barbuda,ATG,2002,4420000.1284480095
Antigua and Barbuda,ATG,2007,4900000.058114529
Antigua and Barbuda,ATG,2012,4399999.976158142
Antigua and Barbuda,ATG,2017,4399999.976158142
Argentina,ARG,1977,27651578903.198242
Argentina,ARG,1982,27909473419.189453
Argentina,ARG,1987,28167367935.180664
Argentina,ARG,1992,28424562454.223633
Argentina,ARG,1997,29294269561.76758
Argentina,ARG,2002,31697919845.581055
Argentina,ARG,2007,35025909423.828125
Argentina,ARG,2012,37689998626.708984
Argentina,ARG,2017,37689998626.708984
Armenia,ARM,1997,1850000023.841858
Armenia,ARM,2002,1731999993.3242798
Armenia,ARM,2007,3012000083.92334
Armenia,ARM,2012,2940999984.741211
Armenia,ARM,2017,2865000009.536743
Australia,AUS,1997,21928199768.066406
Australia,AUS,2002,20761283874.51172
Australia,AUS,2007,16162099838.256836
Australia,AUS,2012,15418666839.59961
Australia,AUS,2017,15944999694.824219
Austria,AUT,1982,3434799909.591675
Austria,AUT,1987,3668200016.0217285
Austria,AUT,1992,3661799907.684326
Austria,AUT,1997,3641999959.9456787
Austria,AUT,2002,3576999902.7252197
Austria,AUT,2007,3522624969.482422
Austria,AUT,2012,3490000009.536743
Austria,AUT,2017,3490000009.536743
Azerbaijan,AZE,1992,16201999664.30664
Azerbaijan,AZE,1997,12517999649.047852
Azerbaijan,AZE,2002,10074999809.265137
Azerbaijan,AZE,2007,12270000457.763672
Azerbaijan,AZE,2012,11970000267.028809
Azerbaijan,AZE,2017,12781599998.474121
Bahrain,BHR,1992,207767307.7583313
Bahrain,BHR,1997,258373081.68411255
Bahrain,BHR,2002,255912184.715271
Bahrain,BHR,2007,217027276.75437927
Bahrain,BHR,2012,189936369.65751648
Bahrain,BHR,2017,155100002.8848648
Bangladesh,BGD,2012,35869998931.884766
Bangladesh,BGD,2017,35869998931.884766
Barbados,BRB,1962,29999999.329447746
Barbados,BRB,1967,37500001.49011612
Barbados,BRB,1972,45000001.78813934
Barbados,BRB,1977,52499998.36087227
Barbados,BRB,1982,59999998.65889549
Barbados,BRB,1987,67500002.68220901
Barbados,BRB,1992,75000002.98023224
Barbados,BRB,1997,81000000.23841858
Barbados,BRB,2002,81000000.23841858
Barbados,BRB,2007,70000000.29802322
Barbados,BRB,2012,70000000.29802322
Barbados,BRB,2017,70000000.29802322
Belarus,BLR,1997,1922799944.8776245
Belarus,BLR,2002,1784600019.454956
Belarus,BLR,2007,1642799973.487854
Belarus,BLR,2012,1525333285.331726
Belarus,BLR,2017,1396999955.1773071
Belgium,BEL,1982,8926580429.077148
Belgium,BEL,1987,8666780471.801758
Belgium,BEL,1992,8406979560.852051
Belgium,BEL,1997,7690000057.220459
Belgium,BEL,2002,6735700130.4626465
Belgium,BEL,2007,6214000225.067139
Belgium,BEL,2012,5300000190.734863
Belgium,BEL,2017,3993999958.03833
Belize,BLZ,1987,19999999.552965164
Belize,BLZ,1992,35445511.34109497
Belize,BLZ,1997,75124837.4581337
Belize,BLZ,2002,101000003.51667404
Belize,BLZ,2007,101000003.51667404
Belize,BLZ,2012,101000003.51667404
Belize,BLZ,2017,101000003.51667404
Benin,BEN,1987,119635000.82492828
Benin,BEN,1992,143762499.0940094
Benin,BEN,1997,143392860.8894348
Benin,BEN,2002,129999995.23162842
Benin,BEN,2007,129999995.23162842
Benin,BEN,2012,129999995.23162842
Benin,BEN,2017,129999995.23162842
Bhutan,BTN,2012,337900012.7315521
Bhutan,BTN,2017,337900012.7315521
Bolivia,BOL,1987,1240000009.5367432
Bolivia,BOL,1992,1537159085.2737427
Bolivia,BOL,1997,1834318161.0107422
Bolivia,BOL,2002,1998393893.2418823
Bolivia,BOL,2007,2073747396.4691162
Bolivia,BOL,2012,2088000059.1278076
Bolivia,BOL,2017,2088000059.1278076
Bosnia and Herzegovina,BIH,2002,375499993.56269836
Bosnia and Herzegovina,BIH,2007,389600008.72612
Bosnia and Herzegovina,BIH,2012,437700003.3855438
Bosnia and Herzegovina,BIH,2017,400900006.2942505
Botswana,BWA,1987,96560001.37329102
Botswana,BWA,1992,112999998.03304672
Botswana,BWA,1997,163640007.37667084
Botswana,BWA,2002,194581821.56085968
Botswana,BWA,2007,196036368.60847473
Botswana,BWA,2012,194399997.59197235
Botswana,BWA,2017,193000003.69548798
Brazil,BRA,1987,35040000915.52734
Brazil,BRA,1992,46056667327.88086
Brazil,BRA,1997,55150001525.87891
Brazil,BRA,2002,56750000000
Brazil,BRA,2007,62220001220.703125
Brazil,BRA,2012,69860496520.9961
Brazil,BRA,2017,65680000305.17578
Brunei,BRN,1992,81333331.76374435
Brunei,BRN,1997,92000000.17881393
Brunei,BRN,2002,92000000.17881393
Brunei,BRN,2007,92000000.17881393
Brunei,BRN,2012,92000000.17881393
Brunei,BRN,2017,92000000.17881393
Bulgaria,BGR,1982,14144000053.405762
Bulgaria,BGR,1987,13029026985.168457
Bulgaria,BGR,1992,7325533390.045166
Bulgaria,BGR,1997,6580200195.3125
Bulgaria,BGR,2002,6588699817.657471
Bulgaria,BGR,2007,6201799869.5373535
Bulgaria,BGR,2012,5714600086.212158
Bulgaria,BGR,2017,5657999992.370605
Burkina Faso,BFA,1987,314559996.1280823
Burkina Faso,BFA,1992,375999987.1253967
Burkina Faso,BFA,1997,472222208.9767456
Burkina Faso,BFA,2002,756619989.8719788
Burkina Faso,BFA,2007,818000018.5966492
Burkina Faso,BFA,2012,816699981.6894531
Burkina Faso,BFA,2017,816699981.6894531
Burundi,BDI,1987,100000001.49011612
Burundi,BDI,1992,172307685.01758575
Burundi,BDI,1997,244615390.89679718
Burundi,BDI,2002,284839987.7548218
Burundi,BDI,2007,280099987.9837036
Burundi,BDI,2012,280099987.9837036
Burundi,BDI,2017,280099987.9837036
Cambodia,KHM,2007,2184000015.258789
Cambodia,KHM,2012,2184000015.258789
Cambodia,KHM,2017,2184000015.258789
Cameroon,CMR,1987,395999997.8542328
Cameroon,CMR,1992,400000005.9604645
Cameroon,CMR,1997,754000008.1062317
Cameroon,CMR,2002,1015200018.8827515
Cameroon,CMR,2007,1088400006.2942505
Cameroon,CMR,2012,1088400006.2942505
Cameroon,CMR,2017,1088400006.2942505
Canada,CAN,1987,42778598785.40039
Canada,CAN,1992,44514999389.64844
Canada,CAN,1997,42129753112.79297
Canada,CAN,2002,41723526000.97656
Canada,CAN,2007,41317298889.16016
Canada,CAN,2012,36439998626.708984
Canada,CAN,2017,35729999542.23633
Cape Verde,CPV,2002,22800000.38444996
Cape Verde,CPV,2007,25299999.862909317
Cape Verde,CPV,2012,25299999.862909317
Cape Verde,CPV,2017,25299999.862909317
Central African Republic,CAF,1987,19400000.57220459
Central African Republic,CAF,1992,37399999.79734421
Central African Republic,CAF,1997,55399999.022483826
Central African Republic,CAF,2002,68719998.0020523
Central African Republic,CAF,2007,72499997.91383743
Central African Republic,CAF,2012,72499997.91383743
Central African Republic,CAF,2017,72499997.91383743
Chad,TCD,1987,180999994.2779541
Chad,TCD,1992,411117941.14112854
Chad,TCD,1997,641235888.004303
Chad,TCD,2002,861360013.4849548
Chad,TCD,2007,879599988.4605408
Chad,TCD,2012,879599988.4605408
Chad,TCD,2017,879599988.4605408
Chile,CHL,1992,20285200119.018555
Chile,CHL,1997,25692342758.17871
Chile,CHL,2002,31089536666.870117
Chile,CHL,2007,35368000030.51758
Chile,CHL,2012,35368000030.51758
Chile,CHL,2017,35368000030.51758
China,CHN,1982,460464996337.8906
China,CHN,1987,488635986328.125
China,CHN,1992,516933349609.375
China,CHN,1997,539971435546.875
China,CHN,2002,552179992675.7812
China,CHN,2007,568700012207.0312
China,CHN,2012,598799987792.9688
China,CHN,2017,591799987792.9688
Colombia,COL,2002,8751250267.028809
Colombia,COL,2007,11264374732.971191
Colombia,COL,2012,12682453155.517578
Colombia,COL,2017,13601905822.753906
Comoros,COM,2002,9999999.776482582
Comoros,COM,2007,9999999.776482582
Comoros,COM,2012,9999999.776482582
Comoros,COM,2017,9999999.776482582
Congo,COG,1987,39999999.10593033
Congo,COG,1992,41999999.433755875
Congo,COG,1997,43999999.76158142
Congo,COG,2002,46000000.08940697
Congo,COG,2007,46000000.08940697
Congo,COG,2012,46000000.08940697
Congo,COG,2017,46000000.08940697
Costa Rica,CRI,2012,2338999986.6485596
Costa Rica,CRI,2017,3194000005.722046
Cote d'Ivoire,CIV,1987,708999991.4169312
Cote d'Ivoire,CIV,1992,1166000008.5830688
Cote d'Ivoire,CIV,1997,1320399999.6185303
Cote d'Ivoire,CIV,2002,1464959979.057312
Cote d'Ivoire,CIV,2007,1462111115.4556274
Cote d'Ivoire,CIV,2012,1248044490.814209
Cote d'Ivoire,CIV,2017,1161999940.8721924
Croatia,HRV,2002,573499977.5886536
Croatia,HRV,2007,650971412.6586914
Croatia,HRV,2012,661000013.3514404
Croatia,HRV,2017,672900021.0762024
Cuba,CUB,1997,5221131801.605225
Cuba,CUB,2002,5246061325.073242
Cuba,CUB,2007,4936299800.872803
Cuba,CUB,2012,6645383358.001709
Cuba,CUB,2017,6958000183.105469
Cyprus,CYP,1977,163800001.14440918
Cyprus,CYP,1982,186199992.89512634
Cyprus,CYP,1987,210400000.21457672
Cyprus,CYP,1992,212999999.52316284
Cyprus,CYP,1997,181142851.71031952
Cyprus,CYP,2002,170699998.73638153
Cyprus,CYP,2007,164100006.2227249
Cyprus,CYP,2012,255299985.40878296
Cyprus,CYP,2017,216000005.6028366
Czechia,CZE,1997,2492500066.757202
Czechia,CZE,2002,1908100008.9645386
Czechia,CZE,2007,1969599962.234497
Czechia,CZE,2012,1840399980.545044
Czechia,CZE,2017,1629999995.2316284
Democratic Republic of Congo,COD,1997,519299983.9782715
Democratic Republic of Congo,COD,2002,623899996.2806702
Democratic Republic of Congo,COD,2007,683600008.4877014
Democratic Republic of Congo,COD,2012,683600008.4877014
Democratic Republic of Congo,COD,2017,683600008.4877014
Denmark,DNK,1972,913999974.7276306
Denmark,DNK,1977,1205000042.9153442
Denmark,DNK,1982,1404999971.3897705
Denmark,DNK,1987,1338333368.3013916
Denmark,DNK,1992,1189359426.498413
Denmark,DNK,1997,917500019.0734863
Denmark,DNK,2002,653400003.9100647
Denmark,DNK,2007,555400013.923645
Denmark,DNK,2012,728500008.5830688
Denmark,DNK,2017,741100013.256073
Djibouti,DJI,1987,9466666.728258133
Djibouti,DJI,1992,13133333.064615726
Djibouti,DJI,1997,16799999.40097332
Djibouti,DJI,2002,18999999.38905239
Djibouti,DJI,2007,18999999.38905239
Djibouti,DJI,2012,18999999.38905239
Djibouti,DJI,2017,18999999.38905239
Dominica,DMA,1997,16599999.740719795
Dominica,DMA,2002,16599999.740719795
Dominica,DMA,2007,18300000.578165054
Dominica,DMA,2012,19999999.552965164
Dominica,DMA,2017,19999999.552965164
Dominican Republic,DOM,2002,5106999874.11499
Dominican Republic,DOM,2007,6144400119.781494
Dominican Republic,DOM,2012,7924759864.807129
Dominican Republic,DOM,2017,9077899932.861328
East Asia and Pacific,,2017,1243388305664.0625
Ecuador,ECU,2002,9586099624.63379
Ecuador,ECU,2007,9915800094.604492
Ecuador,ECU,2012,9915800094.604492
Ecuador,ECU,2017,9915800094.604492
Egypt,EGY,1977,48966667175.29297
Egypt,EGY,1982,50883335113.52539
Egypt,EGY,1987,52799999237.06055
Egypt,EGY,1992,54691665649.41406
Egypt,EGY,1997,62092941284.17969
Egypt,EGY,2002,69309997558.59375
Egypt,EGY,2007,73627502441.40625
Egypt,EGY,2012,63700000762.93945
Egypt,EGY,2017,64199996948.24219
El Salvador,SLV,1992,728900015.3541565
El Salvador,SLV,1997,1133212447.1664429
El Salvador,SLV,2002,1672680020.3323364
El Salvador,SLV,2007,2118000030.5175781
El Salvador,SLV,2012,2118000030.5175781
El Salvador,SLV,2017,2118000030.5175781
Equatorial Guinea,GNQ,1987,9999999.776482582
Equatorial Guinea,GNQ,1992,12846154.160797596
Equatorial Guinea,GNQ,1997,15692308.54511261
Equatorial Guinea,GNQ,2002,18360000.103712082
Equatorial Guinea,GNQ,2007,19799999.89271164
Equatorial Guinea,GNQ,2012,19799999.89271164
Equatorial Guinea,GNQ,2017,19799999.89271164
Eritrea,ERI,2002,497700005.7697296
Eritrea,ERI,2007,582000017.1661377
Eritrea,ERI,2012,582000017.1661377
Eritrea,ERI,2017,582000017.1661377
Estonia,EST,1992,2630000114.440918
Estonia,EST,1997,1373828530.3115845
Estonia,EST,2002,1413400053.9779663
Estonia,EST,2007,1833899974.822998
Estonia,EST,2012,1631000041.96167
Estonia,EST,2017,1784000039.100647
Eswatini,SWZ,1982,695500016.2124634
Eswatini,SWZ,1987,791750013.8282776
Eswatini,SWZ,1992,888000011.4440918
Eswatini,SWZ,1997,984250009.059906
Eswatini,SWZ,2002,1052399992.94281
Eswatini,SWZ,2007,1067999958.9920044
Eswatini,SWZ,2012,1067999958.9920044
Eswatini,SWZ,2017,1067999958.9920044
Ethiopia,ETH,2002,5558000087.738037
Ethiopia,ETH,2007,8349990844.7265625
Ethiopia,ETH,2012,9571008682.250977
Ethiopia,ETH,2017,10548100471.496582
Europe and Central Asia,,2017,497141815185.5469
European Union,,2017,195771499633.78906
Fiji,FJI,1987,29999999.329447746
Fiji,FJI,1992,49884613.6033535
Fiji,FJI,1997,69769233.4651947
Fiji,FJI,2002,82979999.48263168
Fiji,FJI,2007,84899999.20129776
Fiji,FJI,2012,84899999.20129776
Fiji,FJI,2017,84899999.20129776
Finland,FIN,1972,3400000095.3674316
Finland,FIN,1977,3609999895.095825
Finland,FIN,1982,3819999933.242798
Finland,FIN,1987,3330800056.4575195
Finland,FIN,1992,2430599927.9022217
Finland,FIN,1997,2456850051.879883
Finland,FIN,2002,4151271343.231201
Finland,FIN,2007,6561999797.821045
