Afghanistan	AF	AFG	004
Armenia		AM	ARM	051
Azerbaijan	AZ	AZE	031
Bahrain	BH	BHR	048
Bangladesh	BD	BGD	050
Bhutan		BT	BTN	064
BritishIndianOceanTerritory	IO	IOT	086
Brunei		BN	BRN	096
Cambodia	KH	KHM	116
China		CN	CHN	156
CocosIslands	CC	CCK	166
Georgia		GE	GEO	268
HongKong	HK	HKG	344
India		IN	IND	356
Indonesia	ID	IDN	360
Iran		IR	IRN	364
Iraq		IQ	IRQ	368
Israel		IL	ISR	376
Japan		JP	JPN	392
Jordan		JO	JOR	400
Kazakhstan	KZ	KAZ	398
Kuwait		KW	KWT	414
Kyrgyzstan	KG	KGZ	417
Laos		LA	LAO	418
Lebanon		LB	LBN	422
Macau		MO	MAC	000
Malaysia	MY	MYS	458
Maldives	MV	MDV	462
Mongolia	MN	MNG	496
Myanmar 	MM	MMR	104
Nepal		NP	NPL	524
NorthKorea	KP	PRK	408
Oman		OM	OMN	512
Pakistan	PK	PAK	586
Palestine	PS	PSE	275
Philippines	PH	PHL	608
Qatar		QA	QAT	634
SaudiArabia	SA	SAU	682
Singapore	SG	SGP	702
SouthKorea	KR	KOR	410
SriLanka	LK	LKA	144
Syria		SY	SYR	760
Taiwan		TW	TWN	158
Tajikistan	TJ	TJK	762
Thailand	TH	THA	764
Turkey		TR	TUR	792
Turkmenistan	TM	TKM	795
UnitedArabEmirates	AE	ARE	784
Uzbekistan	UZ	UZB	860
Vietnam		VN	VNM	704
Yemen		YE	YEM	887
