AlandIslands	AX	ALA	248
Albania		AL	ALB	008
Andorra		AD	AND	020
Austria		AT	AUT	040
Belarus		BY	BLR	112
Belgium		BE	BEL	056
BosniaAndHerzegovina	BA	BIH	070
Bulgaria	BG	BGR	100
Croatia		HR	HRV	191
Cyprus		CY	CYP	196
CzechRepublic	CZ	CZE	203
Denmark		DK	DNK	208
Estonia		EE	EST	233
FaroeIslands	FO	FRO	234
Finland		FI	FIN	246
France		FR	FRA	250
Germany		DE	DEU	276
Gibraltar	GI	GIB	292
Greece		GR	GRC	300
Guernsey	GG	GGY	831
Hungary		HU	HUN	348
Iceland		IS	ISL	352
Ireland		IE	IRL	372
IsleOfMan	IM	IMN	833
Italy		IT	ITA	380
Jersey		JE	JEY	832
Kosovo		XK	XKX	000
Latvia		LV	LVA	428
Liechtenstein	LI	LIE	438
Lithuania	LT	LTU	440
Luxembourg	LU	LUX	442
Macedonia	MK	MKD	807
Malta		MT	MLT	470
Moldova		MD	MDA	498
Monaco		MC	MCO	492
Montenegro	ME	MNE	499
Netherlands	NL	NLD	528
Norway		NO	NOR	578
Poland		PL	POL	616
Portugal	PT	PRT	620
Romania		RO	ROU	642
Russia		RU	RUS	643
SanMarino	SM	SMR	674
Serbia		RS	SRB	688
SerbiaAndMontenegro	CS	SCG	891
Slovakia	SK	SVK	703
Slovenia	SI	SVN	705
Spain		ES	ESP	724
SvalbardAndJanMayen	SJ	SJM	744
Sweden		SE	SWE	752
Switzerland	CH	CHE	756
Ukraine		UA	UKR	804
UnitedKingdom	GB	GBR	826
Vatican City	VA	VAT	336
