AmericanSamoa	AS	ASM	016i
Australia	AU	AUS	036
ChristmasIsland	CX	CXR	162
CookIslands	CK	COK	184
Fiji		FJ	FJI	242
FrenchPolynesia	PF	PYF	258
Guam		GU	GUM	316
Kiribati	KI	KIR	296
MarshallIslands	MH	MHL	584
Micronesia	FM	FSM	583
Nauru		NR	NRU	520
NewCaledonia	NC	NCL	540
NewZealand	NZ	NZL	554
Niue		NU	NIU	570
NorfolkIsland	NF	NFK	574
NorthernMarianaIslands	MP	MNP	580
Palau		PW	PLW	585
PapuaNewGuinea	PG	PNG	598
PitcairnIslands	PN	PCN	612
Samoa		WS	WSM	882
SolomonIslands	SB	SLB	090
Timor-Leste	TL	TLS	626
Tokelau		TK	TKL	772
Tonga		TO	TON	776
Tuvalu		TV	TUV	798
Vanuatu		VU	VUT	548
WallisAndFutuna	WF	WLF	876
