Entity,Code,Year,4_0_RichestShare
Albania,ALB,1996,21.21557312580965
Albania,ALB,2002,25.435636949619262
Albania,ALB,2005,24.3411680965624
Albania,ALB,2008,24.458310898489017
Albania,ALB,2012,22.93433964125372
Albania,ALB,2014,25.54432240126554
Albania,ALB,2015,24.779307912549882
Albania,ALB,2016,25.04955458194103
Albania,ALB,2017,24.612430132885578
Albania,ALB,2018,22.74231233085836
Albania,ALB,2019,23.75788003269388
Algeria,DZA,1988,32.812365151613385
Algeria,DZA,1995,26.888585661938702
Algeria,DZA,2011,22.86235803489025
Angola,AGO,2000,40.24551558101154
Angola,AGO,2008,32.31173389803934
Angola,AGO,2018,39.624425967731405
Argentina - urban,,1980,30.17537072128842
Argentina - urban,,1986,32.20808275566343
Argentina - urban,,1987,34.2518896981301
Argentina - urban,,1991,36.60929128787875
Argentina - urban,,1992,34.28712165406062
Argentina - urban,,1993,33.20138920033517
Argentina - urban,,1994,34.44659696165871
Argentina - urban,,1995,36.97560342797953
Argentina - urban,,1996,36.88060653953715
Argentina - urban,,1997,36.37426934293176
Argentina - urban,,1998,38.05133958193847
Argentina - urban,,1999,37.04826959402942
Argentina - urban,,2000,37.70048651577811
Argentina - urban,,2001,39.47738588365032
Argentina - urban,,2002,40.50619021272617
Argentina - urban,,2003,37.68532394737455
Argentina - urban,,2004,35.23599359729962
Argentina - urban,,2005,34.89429285140151
Argentina - urban,,2006,33.73475466470071
Argentina - urban,,2007,33.6722634156849
Argentina - urban,,2008,32.40760020448765
Argentina - urban,,2009,31.249503157101
Argentina - urban,,2010,31.7001107905312
Argentina - urban,,2011,30.957099345960458
Argentina - urban,,2012,29.683242510486927
Argentina - urban,,2013,29.371888487665732
Argentina - urban,,2014,29.92117818211179
Argentina - urban,,2016,30.41932492186919
Argentina - urban,,2017,29.7044196449902
Argentina - urban,,2018,29.83020878175115
Argentina - urban,,2019,31.0145686349615
Argentina - urban,,2020,30.302825230271292
Armenia,ARM,1996,35.22151334373353
Armenia,ARM,1999,29.62717127470397
Armenia,ARM,2001,29.096739597363154
Armenia,ARM,2002,28.999344878283328
Armenia,ARM,2003,28.19694775433056
Armenia,ARM,2004,31.688368377106457
Armenia,ARM,2005,30.77605821578018
Armenia,ARM,2006,24.45401245869337
Armenia,ARM,2007,25.12137998395635
Armenia,ARM,2008,23.69014965442912
Armenia,ARM,2009,22.91877485456277
Armenia,ARM,2010,25.03390047505026
Armenia,ARM,2011,23.96658046567289
Armenia,ARM,2012,24.54022155878926
Armenia,ARM,2013,24.68546419520827
Armenia,ARM,2014,25.74396952392892
Armenia,ARM,2015,26.735056420171848
Armenia,ARM,2016,25.28166084953173
Armenia,ARM,2017,28.36886474039758
