Entity,Code,Year,libdem_vdem_owid,libdem_vdem_low_owid,libdem_vdem_high_owid
Afghanistan,AFG,1789,0.029,0.015,0.04
Afghanistan,AFG,1790,0.029,0.015,0.04
Afghanistan,AFG,1791,0.029,0.015,0.04
Afghanistan,AFG,1792,0.029,0.015,0.04
Afghanistan,AFG,1793,0.029,0.015,0.04
Afghanistan,AFG,1794,0.029,0.015,0.04
Afghanistan,AFG,1795,0.029,0.015,0.04
Afghanistan,AFG,1796,0.029,0.015,0.04
Afghanistan,AFG,1797,0.029,0.015,0.04
Afghanistan,AFG,1798,0.029,0.015,0.04
Afghanistan,AFG,1799,0.029,0.015,0.04
Afghanistan,AFG,1800,0.029,0.015,0.04
Afghanistan,AFG,1801,0.029,0.015,0.04
Afghanistan,AFG,1802,0.029,0.015,0.04
Afghanistan,AFG,1803,0.029,0.015,0.04
Afghanistan,AFG,1804,0.029,0.015,0.04
Afghanistan,AFG,1805,0.029,0.015,0.04
Afghanistan,AFG,1806,0.029,0.015,0.04
Afghanistan,AFG,1807,0.029,0.015,0.04
Afghanistan,AFG,1808,0.029,0.015,0.04
Afghanistan,AFG,1809,0.029,0.015,0.04
Afghanistan,AFG,1810,0.029,0.015,0.04
Afghanistan,AFG,1811,0.029,0.015,0.04
Afghanistan,AFG,1812,0.029,0.015,0.04
Afghanistan,AFG,1813,0.029,0.015,0.04
Afghanistan,AFG,1814,0.029,0.015,0.04
Afghanistan,AFG,1815,0.029,0.015,0.04
Afghanistan,AFG,1816,0.029,0.015,0.04
Afghanistan,AFG,1817,0.029,0.015,0.04
Afghanistan,AFG,1818,0.029,0.015,0.04
Afghanistan,AFG,1819,0.029,0.015,0.04
Afghanistan,AFG,1820,0.029,0.015,0.04
Afghanistan,AFG,1821,0.029,0.015,0.04
Afghanistan,AFG,1822,0.029,0.015,0.04
Afghanistan,AFG,1823,0.029,0.015,0.04
Afghanistan,AFG,1824,0.029,0.015,0.04
Afghanistan,AFG,1825,0.029,0.015,0.04
Afghanistan,AFG,1826,0.029,0.015,0.04
Afghanistan,AFG,1827,0.029,0.015,0.04
Afghanistan,AFG,1828,0.029,0.015,0.04
Afghanistan,AFG,1829,0.029,0.015,0.04
Afghanistan,AFG,1830,0.029,0.015,0.04
Afghanistan,AFG,1831,0.029,0.015,0.04
Afghanistan,AFG,1832,0.029,0.015,0.04
Afghanistan,AFG,1833,0.029,0.015,0.04
Afghanistan,AFG,1834,0.029,0.015,0.04
Afghanistan,AFG,1835,0.029,0.015,0.04
Afghanistan,AFG,1836,0.029,0.015,0.04
Afghanistan,AFG,1837,0.029,0.015,0.04
Afghanistan,AFG,1838,0.029,0.015,0.04
Afghanistan,AFG,1839,0.029,0.015,0.04
Afghanistan,AFG,1840,0.029,0.015,0.04
Afghanistan,AFG,1841,0.029,0.015,0.04
Afghanistan,AFG,1842,0.029,0.015,0.04
