Year,country,region,brd_best,brd_high,brd_low,Code
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,4,4,4,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,4,4,4,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,0,1,0,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,0,1,0,BHR
2011,Bahrain,MiddleEast,0,1,0,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2011,Bahrain,MiddleEast,0,1,0,BHR
2011,Bahrain,MiddleEast,1,1,1,BHR
2000,Bangladesh,Asia,11,11,11,BGD
1989,Bangladesh,Asia,3,3,3,BGD
1989,Bangladesh,Asia,2,2,2,BGD
1989,Bangladesh,Asia,4,4,4,BGD
1989,Bangladesh,Asia,3,3,3,BGD
1989,Bangladesh,Asia,3,3,3,BGD
1989,Bangladesh,Asia,9,9,9,BGD
1989,Bangladesh,Asia,2,2,2,BGD
1990,Bangladesh,Asia,5,5,5,BGD
1990,Bangladesh,Asia,12,12,12,BGD
1990,Bangladesh,Asia,1,1,1,BGD
1990,Bangladesh,Asia,4,4,4,BGD
1990,Bangladesh,Asia,2,2,2,BGD
1990,Bangladesh,Asia,3,3,3,BGD
1990,Bangladesh,Asia,3,3,3,BGD
1990,Bangladesh,Asia,2,2,2,BGD
1990,Bangladesh,Asia,1,1,1,BGD
