Entity,Code,Year,5_0_BattleDeath
155,BGD,1989,81
156,BGD,1990,94
157,BGD,1991,107
158,BGD,1992,225
159,BGD,1993,43
160,BGD,1994,32
161,BGD,1995,14
162,BGD,1996,46
163,BGD,1997,16
164,BGD,1998,21
165,BGD,1999,14
166,BGD,2000,105
167,BGD,2001,62
168,BGD,2002,6
169,BGD,2003,8
170,BGD,2004,51
171,BGD,2005,80
172,BGD,2006,96
173,BGD,2007,18
174,BGD,2008,13
175,BGD,2009,10
176,BGD,2010,5
177,BGD,2011,0
178,BGD,2012,2
179,BGD,2013,54
180,BGD,2014,2
181,BGD,2015,10
182,BGD,2016,73
183,BGD,2017,48
184,BGD,2018,28
185,BGD,2019,3
186,BGD,2020,4
187,BGD,2021,2
188,BHR,2011,26
222,BTN,1997,4
223,BTN,1998,2
224,BTN,2000,50
225,BTN,2004,0
226,BTN,2021,1
262,CHN,1989,2600
263,CHN,1990,22
264,CHN,1997,4
265,CHN,1999,0
266,CHN,2005,12
267,CHN,2007,0
268,CHN,2008,87
269,CHN,2009,189
270,CHN,2015,5
271,CHN,2017,6
681,IDN,1989,7
682,IDN,1990,231
683,IDN,1991,473
684,IDN,1992,57
685,IDN,1993,180
686,IDN,1994,28
687,IDN,1995,80
688,IDN,1996,68
689,IDN,1997,478
690,IDN,1998,110
691,IDN,1999,1824
692,IDN,2000,958
693,IDN,2001,946
694,IDN,2002,762
695,IDN,2003,1070
696,IDN,2004,1082
697,IDN,2005,295
698,IDN,2006,74
699,IDN,2007,88
700,IDN,2008,123
701,IDN,2009,167
702,IDN,2010,101
703,IDN,2011,229
704,IDN,2012,18
705,IDN,2013,31
706,IDN,2014,17
707,IDN,2015,29
708,IDN,2016,69
709,IDN,2017,60
710,IDN,2018,124
711,IDN,2019,328
712,IDN,2020,268
713,IDN,2021,135
714,IND,1989,1851
715,IND,1990,4734
716,IND,1991,3724
717,IND,1992,4161
718,IND,1993,2326
719,IND,1994,1435
720,IND,1995,1079
721,IND,1996,1333
722,IND,1997,1448
723,IND,1998,1623
724,IND,1999,2563
725,IND,2000,4093
726,IND,2001,1730
727,IND,2002,3035
728,IND,2003,2426
729,IND,2004,1642
730,IND,2005,2015
731,IND,2006,2155
732,IND,2007,1720
733,IND,2008,1856
734,IND,2009,1621
735,IND,2010,1633
736,IND,2011,798
737,IND,2012,801
738,IND,2013,702
739,IND,2014,734
740,IND,2015,622
741,IND,2016,761
742,IND,2017,847
743,IND,2018,950
744,IND,2019,734
745,IND,2020,754
746,IND,2021,523
862,KHM,1989,814
863,KHM,1990,377
864,KHM,1991,322
865,KHM,1992,193
866,KHM,1993,484
867,KHM,1994,572
868,KHM,1995,723
869,KHM,1996,846
870,KHM,1997,444
871,KHM,1998,274
872,KHM,1999,0
873,KHM,2000,4
874,KHM,2003,1
875,KHM,2007,2
876,KHM,2008,2
877,KHM,2009,2
878,KHM,2011,10
879,KHM,2012,1
884,LAO,1989,30
885,LAO,1990,255
886,LAO,1993,3
887,LAO,1997,2
888,LAO,1999,2
889,LAO,2000,7
890,LAO,2002,4
891,LAO,2003,5
892,LAO,2004,4
893,LAO,2006,73
950,LKA,1989,1288
951,LKA,1990,4840
952,LKA,1991,6646
953,LKA,1992,4444
954,LKA,1993,2084
955,LKA,1994,712
956,LKA,1995,4971
957,LKA,1996,4097
958,LKA,1997,2902
959,LKA,1998,3830
960,LKA,1999,1948
961,LKA,2000,2569
962,LKA,2001,1162
963,LKA,2002,17
964,LKA,2003,33
965,LKA,2004,84
966,LKA,2005,130
967,LKA,2006,2173
968,LKA,2007,2564
969,LKA,2008,8453
970,LKA,2009,10418
971,LKA,2011,2
972,LKA,2013,5
973,LKA,2017,1
974,LKA,2019,255
976,MAC,1999,6
977,MAC,2000,3
978,MAC,2001,72
1045,MMR,1989,1033
1046,MMR,1990,796
1047,MMR,1991,1375
1048,MMR,1992,1749
1049,MMR,1993,145
1050,MMR,1994,794
1051,MMR,1995,1496
1052,MMR,1996,591
1053,MMR,1997,788
1054,MMR,1998,581
1055,MMR,1999,369
1056,MMR,2000,748
1057,MMR,2001,385
1058,MMR,2002,543
1059,MMR,2003,272
1060,MMR,2004,177
1061,MMR,2005,447
1062,MMR,2006,452
1063,MMR,2007,700
1064,MMR,2008,102
1065,MMR,2009,225
1066,MMR,2010,185
1067,MMR,2011,810
1068,MMR,2012,971
1069,MMR,2013,358
1070,MMR,2014,256
1071,MMR,2015,705
1072,MMR,2016,183
1073,MMR,2017,2395
1074,MMR,2018,122
1075,MMR,2019,587
1076,MMR,2020,196
1077,MMR,2021,1766
1108,MYS,2013,70
1109,MYS,2017,1
1175,NPL,1990,14
1176,NPL,1991,2
1177,NPL,1992,0
1178,NPL,1993,3
1179,NPL,1994,0
1180,NPL,1995,0
1181,NPL,1996,77
