Entity,Code,Year,0_0_PM25
Bahrain,BHR,1990,68.15876007080078
Bahrain,BHR,1995,68.12335205078125
Bahrain,BHR,2000,67.9577865600586
Bahrain,BHR,2005,64.58727264404297
Bahrain,BHR,2010,65.6308822631836
Bahrain,BHR,2011,63.73249816894531
Bahrain,BHR,2012,70.28748321533203
Bahrain,BHR,2013,67.794677734375
Bahrain,BHR,2014,62.758544921875
Bahrain,BHR,2015,72.60467529296875
Bahrain,BHR,2016,69.86418151855469
Bahrain,BHR,2017,70.81620788574219
Bangladesh,BGD,1990,61.59563064575195
Bangladesh,BGD,1995,61.80314254760742
Bangladesh,BGD,2000,63.03634262084961
Bangladesh,BGD,2005,68.87354278564453
Bangladesh,BGD,2010,70.76499938964844
Bangladesh,BGD,2011,70.2105484008789
Bangladesh,BGD,2012,70.79390716552734
Bangladesh,BGD,2013,65.64508056640625
Bangladesh,BGD,2014,68.39537811279297
Bangladesh,BGD,2015,66.96575164794922
Bangladesh,BGD,2016,60.12627410888672
Bangladesh,BGD,2017,60.84578323364258
Bhutan,BTN,1990,40.205970764160156
Bhutan,BTN,1995,40.0750732421875
Bhutan,BTN,2000,39.74958038330078
Bhutan,BTN,2005,43.01963424682617
Bhutan,BTN,2010,43.961883544921875
Bhutan,BTN,2011,43.07170486450195
Bhutan,BTN,2012,42.932273864746094
Bhutan,BTN,2013,41.88190841674805
Bhutan,BTN,2014,40.83967208862305
Bhutan,BTN,2015,39.81863784790039
Bhutan,BTN,2016,37.224365234375
Bhutan,BTN,2017,37.9265022277832
Brunei,BRN,1990,6.732298374176025
Brunei,BRN,1995,6.839568138122559
Brunei,BRN,2000,6.8845133781433105
Brunei,BRN,2005,7.244391918182373
Brunei,BRN,2010,7.417004585266113
Brunei,BRN,2011,7.36618709564209
Brunei,BRN,2012,7.570822715759277
Brunei,BRN,2013,6.709489822387695
Brunei,BRN,2014,6.180830001831055
Brunei,BRN,2015,6.484179973602295
Brunei,BRN,2016,5.927599906921387
Brunei,BRN,2017,5.9030656814575195
Cambodia,KHM,1990,29.477596282958984
Cambodia,KHM,1995,30.06684112548828
Cambodia,KHM,2000,29.97403335571289
Cambodia,KHM,2005,31.408935546875
Cambodia,KHM,2010,31.343135833740234
Cambodia,KHM,2011,30.91962432861328
Cambodia,KHM,2012,31.283733367919922
Cambodia,KHM,2013,30.336528778076172
Cambodia,KHM,2014,28.58336639404297
Cambodia,KHM,2015,26.76923942565918
Cambodia,KHM,2016,25.2028751373291
Cambodia,KHM,2017,25.61429214477539
China,CHN,1990,57.76500701904297
China,CHN,1995,58.660160064697266
China,CHN,2000,60.704837799072266
China,CHN,2005,66.17450714111328
China,CHN,2010,69.47956848144531
China,CHN,2011,70.54203033447266
China,CHN,2012,63.82701873779297
China,CHN,2013,65.5145492553711
China,CHN,2014,59.76736831665039
China,CHN,2015,59.06342315673828
China,CHN,2016,52.21132278442383
China,CHN,2017,52.66459655761719
India,IND,1990,81.29063415527344
India,IND,1995,82.77130126953125
India,IND,2000,84.16480255126953
India,IND,2005,90.32646179199219
India,IND,2010,95.7581787109375
India,IND,2011,97.59938049316406
India,IND,2012,88.16944122314453
India,IND,2013,91.80479431152344
India,IND,2014,89.62238311767578
India,IND,2015,89.30333709716797
India,IND,2016,89.67218017578125
India,IND,2017,90.87320709228516
Indonesia,IDN,1990,18.052810668945312
Indonesia,IDN,1995,18.164766311645508
Indonesia,IDN,2000,17.877389907836914
Indonesia,IDN,2005,18.926637649536133
Indonesia,IDN,2010,18.169281005859375
Indonesia,IDN,2011,18.049652099609375
Indonesia,IDN,2012,18.170169830322266
Indonesia,IDN,2013,16.879180908203125
Indonesia,IDN,2014,16.454631805419922
Indonesia,IDN,2015,16.64027976989746
Indonesia,IDN,2016,16.384153366088867
Indonesia,IDN,2017,16.502653121948242
Japan,JPN,1990,14.416359901428223
Japan,JPN,1995,14.31252384185791
Japan,JPN,2000,14.209626197814941
Japan,JPN,2005,14.348666191101074
Japan,JPN,2010,14.142337799072266
Japan,JPN,2011,14.141031265258789
Japan,JPN,2012,13.12887191772461
Japan,JPN,2013,13.362558364868164
Japan,JPN,2014,12.586616516113281
Japan,JPN,2015,12.687459945678711
Japan,JPN,2016,11.623922348022461
Japan,JPN,2017,11.704777717590332
Laos,LAO,1990,26.536298751831055
Laos,LAO,1995,27.09515953063965
Laos,LAO,2000,27.545066833496094
Laos,LAO,2005,30.170209884643555
Laos,LAO,2010,31.731996536254883
Laos,LAO,2011,29.669660568237305
Laos,LAO,2012,30.29741859436035
Laos,LAO,2013,30.259489059448242
Laos,LAO,2014,28.39017105102539
Laos,LAO,2015,26.139488220214844
Laos,LAO,2016,25.80101776123047
Laos,LAO,2017,25.109539031982422
Malaysia,MYS,1990,17.294448852539062
Malaysia,MYS,1995,17.682531356811523
Malaysia,MYS,2000,18.076169967651367
Malaysia,MYS,2005,19.377811431884766
Malaysia,MYS,2010,18.593753814697266
Malaysia,MYS,2011,19.202608108520508
Malaysia,MYS,2012,19.182222366333008
Malaysia,MYS,2013,17.554447174072266
Malaysia,MYS,2014,16.923154830932617
Malaysia,MYS,2015,17.44091033935547
Malaysia,MYS,2016,15.751286506652832
Malaysia,MYS,2017,16.035808563232422
Maldives,MDV,1990,11.4329195022583
Maldives,MDV,1995,11.509395599365234
Maldives,MDV,2000,11.089532852172852
Maldives,MDV,2005,11.435359001159668
Maldives,MDV,2010,11.309829711914062
Maldives,MDV,2011,11.789634704589844
Maldives,MDV,2012,11.157482147216797
Maldives,MDV,2013,10.569679260253906
Maldives,MDV,2014,9.921231269836426
Maldives,MDV,2015,9.373944282531738
Maldives,MDV,2016,7.972428798675537
Maldives,MDV,2017,7.795820713043213
Mongolia,MNG,1990,37.9155387878418
Mongolia,MNG,1995,36.83717727661133
Mongolia,MNG,2000,39.032527923583984
Mongolia,MNG,2005,39.72640609741211
Mongolia,MNG,2010,43.30465316772461
Mongolia,MNG,2011,45.36016845703125
Mongolia,MNG,2012,42.65437316894531
Mongolia,MNG,2013,42.321311950683594
Mongolia,MNG,2014,39.29513931274414
Mongolia,MNG,2015,42.5146484375
Mongolia,MNG,2016,38.222816467285156
Mongolia,MNG,2017,40.112850189208984
Myanmar,MMR,1990,39.80947494506836
Myanmar,MMR,1995,40.765254974365234
Myanmar,MMR,2000,39.36165237426758
Myanmar,MMR,2005,43.32145309448242
Myanmar,MMR,2010,44.056114196777344
Myanmar,MMR,2011,43.619903564453125
Myanmar,MMR,2012,42.52281188964844
Myanmar,MMR,2013,42.882869720458984
Myanmar,MMR,2014,40.28896713256836
Myanmar,MMR,2015,38.5137825012207
Myanmar,MMR,2016,36.0337028503418
Myanmar,MMR,2017,35.55745315551758
Nepal,NPL,1990,87.59845733642578
Nepal,NPL,1995,90.68716430664062
Nepal,NPL,2000,88.94302368164062
Nepal,NPL,2005,93.21824645996094
Nepal,NPL,2010,100.78443145751953
Nepal,NPL,2011,100.76605987548828
Nepal,NPL,2012,96.96329498291016
Nepal,NPL,2013,95.3139877319336
Nepal,NPL,2014,98.11602020263672
Nepal,NPL,2015,96.25276947021484
Nepal,NPL,2016,98.0547103881836
Nepal,NPL,2017,99.734375
North Korea,PRK,1990,38.45306396484375
North Korea,PRK,1995,38.35749053955078
North Korea,PRK,2000,38.16205596923828
North Korea,PRK,2005,39.0947151184082
North Korea,PRK,2010,39.342655181884766
North Korea,PRK,2011,38.893367767333984
North Korea,PRK,2012,36.40751266479492
North Korea,PRK,2013,37.134857177734375
North Korea,PRK,2014,35.24021530151367
North Korea,PRK,2015,37.41178512573242
North Korea,PRK,2016,31.758424758911133
North Korea,PRK,2017,32.007450103759766
Oman,OMN,1990,40.187644958496094
Oman,OMN,1995,39.602691650390625
Oman,OMN,2000,39.855289459228516
Oman,OMN,2005,39.6552734375
Oman,OMN,2010,37.51533508300781
Oman,OMN,2011,39.10379409790039
Oman,OMN,2012,40.73328399658203
Oman,OMN,2013,41.05276870727539
Oman,OMN,2014,37.710880279541016
Oman,OMN,2015,42.62759017944336
Oman,OMN,2016,41.78219223022461
Oman,OMN,2017,41.115238189697266
Philippines,PHL,1990,22.11603546142578
Philippines,PHL,1995,21.970218658447266
Philippines,PHL,2000,22.20389747619629
Philippines,PHL,2005,22.818571090698242
Philippines,PHL,2010,23.592315673828125
Philippines,PHL,2011,22.75483512878418
Philippines,PHL,2012,22.549583435058594
Philippines,PHL,2013,21.21628761291504
Philippines,PHL,2014,20.259586334228516
Philippines,PHL,2015,19.58154296875
Philippines,PHL,2016,18.2269287109375
Philippines,PHL,2017,18.069799423217773
Singapore,SGP,1990,18.7242431640625
Singapore,SGP,1995,18.755014419555664
Singapore,SGP,2000,19.323184967041016
Singapore,SGP,2005,20.801313400268555
Singapore,SGP,2010,20.609460830688477
Singapore,SGP,2011,19.34942054748535
Singapore,SGP,2012,20.886493682861328
Singapore,SGP,2013,18.70707130432129
Singapore,SGP,2014,17.408876419067383
Singapore,SGP,2015,20.663389205932617
Singapore,SGP,2016,18.797801971435547
Singapore,SGP,2017,19.078256607055664
South Korea,KOR,1990,29.331022262573242
South Korea,KOR,1995,29.520631790161133
South Korea,KOR,2000,29.76546859741211
South Korea,KOR,2005,30.406904220581055
South Korea,KOR,2010,29.80200958251953
South Korea,KOR,2011,29.681194305419922
South Korea,KOR,2012,27.915952682495117
South Korea,KOR,2013,29.461917877197266
South Korea,KOR,2014,27.213109970092773
South Korea,KOR,2015,28.214242935180664
South Korea,KOR,2016,25.098541259765625
South Korea,KOR,2017,25.039424896240234
Sri Lanka,LKA,1990,29.768503189086914
Sri Lanka,LKA,1995,30.186073303222656
Sri Lanka,LKA,2000,30.855762481689453
Sri Lanka,LKA,2005,30.956735610961914
Sri Lanka,LKA,2010,31.033781051635742
Sri Lanka,LKA,2011,31.232074737548828
Sri Lanka,LKA,2012,30.083972930908203
Sri Lanka,LKA,2013,28.89822769165039
Sri Lanka,LKA,2014,26.92277717590332
Sri Lanka,LKA,2015,25.337343215942383
Sri Lanka,LKA,2016,14.025444984436035
Sri Lanka,LKA,2017,11.099617004394531
Thailand,THA,1990,30.831621170043945
Thailand,THA,1995,30.939716339111328
Thailand,THA,2000,30.960351943969727
Thailand,THA,2005,31.80703353881836
Thailand,THA,2010,31.565399169921875
Thailand,THA,2011,31.609628677368164
Thailand,THA,2012,31.525314331054688
Thailand,THA,2013,31.174724578857422
Thailand,THA,2014,29.364641189575195
Thailand,THA,2015,27.344566345214844
Thailand,THA,2016,26.258054733276367
Thailand,THA,2017,26.25672721862793
Vietnam,VNM,1990,35.9284782409668
Vietnam,VNM,1995,36.01681137084961
Vietnam,VNM,2000,36.23884582519531
Vietnam,VNM,2005,37.74959182739258
Vietnam,VNM,2010,39.36539840698242
Vietnam,VNM,2011,38.486976623535156
Vietnam,VNM,2012,37.22745132446289
Vietnam,VNM,2013,36.835906982421875
Vietnam,VNM,2014,34.89601516723633
Vietnam,VNM,2015,32.4664421081543
Vietnam,VNM,2016,30.24131202697754
Vietnam,VNM,2017,29.626728057861328
