Entity,Code,Year,Agricultural water withdrawal
Bahrain,BHR,1990,135000000
Bahrain,BHR,2000,170000000
Bahrain,BHR,2005,159200000
Bangladesh,BGD,2010,31500000000
Bhutan,BTN,2010,318000000
Brunei,BRN,1995,5300000
Cambodia,KHM,2005,2053000000
China,CHN,1980,391200000000
China,CHN,1985,415200000000
China,CHN,1990,415000000000
China,CHN,1995,407700000000
China,CHN,2000,378400000000
China,CHN,2005,360000000000
China,CHN,2010,388000000000
China,CHN,2015,385200000000
India,IND,1975,353400000000
India,IND,1980,411700000000
India,IND,1985,468000000000
India,IND,1990,460000000000
India,IND,2000,558400000000
India,IND,2010,688000000000
Indonesia,IDN,1990,69240000000
Indonesia,IDN,2000,92760000000
Japan,JPN,1980,58000000000
Japan,JPN,1990,58600000000
Japan,JPN,1995,58880000000
Japan,JPN,2000,56050000000
Japan,JPN,2005,54500000000
Japan,JPN,2010,54430000000
Laos,LAO,2005,3193000000
Malaysia,MYS,1990,8300000000.000001
Malaysia,MYS,1995,2505000000
Malaysia,MYS,2000,2505000000
Malaysia,MYS,2005,2505000000
Maldives,MDV,1985,0
Maldives,MDV,2010,0
Mongolia,MNG,1995,227000000
Mongolia,MNG,2005,224000000
Mongolia,MNG,2010,242000000
Myanmar,MMR,1985,27860000000
Myanmar,MMR,2000,29570000000
Nepal,NPL,2000,9320000000
Nepal,NPL,2005,9320000000
North Korea,PRK,1995,6610000000
North Korea,PRK,2005,6610000000
Oman,OMN,1990,1148000000
Oman,OMN,2000,1230000000
Oman,OMN,2005,1168000000
Philippines,PHL,2005,65590000000
Philippines,PHL,2010,67069999999.99999
Singapore,SGP,1975,7600000
South Korea,KOR,1990,14100000000
South Korea,KOR,1995,15290000000
South Korea,KOR,2000,16100000000.000002
South Korea,KOR,2005,15960000000
Sri Lanka,LKA,1990,9379000000
Sri Lanka,LKA,2000,12000000000
Sri Lanka,LKA,2005,11310000000
Thailand,THA,2005,51790000000
Vietnam,VNM,1980,35040000000
Vietnam,VNM,1985,40650000000
Vietnam,VNM,1990,47000000000
Vietnam,VNM,2005,77750000000
