Entity,Code,Year,0_0_ShareOfGlobalCO2
Bahrain,BHR,1933,0.000329265
Bahrain,BHR,1934,0.003330207
Bahrain,BHR,1935,0.013940289
Bahrain,BHR,1936,0.04662059
Bahrain,BHR,1937,0.07279846
Bahrain,BHR,1938,0.08276373
Bahrain,BHR,1939,0.071624264
Bahrain,BHR,1940,0.06113387
Bahrain,BHR,1941,0.05740623
Bahrain,BHR,1942,0.052811764
Bahrain,BHR,1943,0.054795425
Bahrain,BHR,1944,0.05513218
Bahrain,BHR,1945,0.07206856
Bahrain,BHR,1946,0.07243731
Bahrain,BHR,1947,0.07686678
Bahrain,BHR,1948,0.08450113
Bahrain,BHR,1949,0.08786589
Bahrain,BHR,1950,0.023009585
Bahrain,BHR,1951,0.018435447
Bahrain,BHR,1952,0.019890478
Bahrain,BHR,1953,0.01499163
Bahrain,BHR,1954,0.015379157
Bahrain,BHR,1955,0.0188535
Bahrain,BHR,1956,0.013316485
Bahrain,BHR,1957,0.009220935
Bahrain,BHR,1958,0.015321759
Bahrain,BHR,1959,0.014811194
Bahrain,BHR,1960,0.006127698
Bahrain,BHR,1961,0.018789822
Bahrain,BHR,1962,0.016307725
Bahrain,BHR,1963,0.01162874
Bahrain,BHR,1964,0.014751258
Bahrain,BHR,1965,0.010845413
Bahrain,BHR,1966,0.005465001
Bahrain,BHR,1967,0.008199393
Bahrain,BHR,1968,0.00854212
Bahrain,BHR,1969,0.009234918
Bahrain,BHR,1970,0.017387055
Bahrain,BHR,1971,0.019589543
Bahrain,BHR,1972,0.022667553
Bahrain,BHR,1973,0.03229499
Bahrain,BHR,1974,0.03173641
Bahrain,BHR,1975,0.03370825
Bahrain,BHR,1976,0.03651397
Bahrain,BHR,1977,0.040337406
Bahrain,BHR,1978,0.040678687
Bahrain,BHR,1979,0.041424
Bahrain,BHR,1980,0.04041412
Bahrain,BHR,1981,0.044750724
Bahrain,BHR,1982,0.05205602
Bahrain,BHR,1983,0.043258883
Bahrain,BHR,1984,0.046785757
Bahrain,BHR,1985,0.05011403
Bahrain,BHR,1986,0.05334174
Bahrain,BHR,1987,0.05368402
Bahrain,BHR,1988,0.05492433
Bahrain,BHR,1989,0.052282624
Bahrain,BHR,1990,0.054512963
Bahrain,BHR,1991,0.05100731
Bahrain,BHR,1992,0.04815573
Bahrain,BHR,1993,0.06403651
Bahrain,BHR,1994,0.064234994
Bahrain,BHR,1995,0.06303192
Bahrain,BHR,1996,0.0645297
Bahrain,BHR,1997,0.07114
Bahrain,BHR,1998,0.07585247
Bahrain,BHR,1999,0.072733514
Bahrain,BHR,2000,0.07383657
Bahrain,BHR,2001,0.05484576
Bahrain,BHR,2002,0.060378183
Bahrain,BHR,2003,0.060645655
Bahrain,BHR,2004,0.06244961
Bahrain,BHR,2005,0.0668726
Bahrain,BHR,2006,0.06348208
Bahrain,BHR,2007,0.08496938
Bahrain,BHR,2008,0.092505984
Bahrain,BHR,2009,0.08901927
Bahrain,BHR,2010,0.087145224
Bahrain,BHR,2011,0.08254599
Bahrain,BHR,2012,0.07746894
Bahrain,BHR,2013,0.08821732
Bahrain,BHR,2014,0.08685178
Bahrain,BHR,2015,0.09128503
Bahrain,BHR,2016,0.08883949
Bahrain,BHR,2017,0.09096444
Bahrain,BHR,2018,0.08903136
Bahrain,BHR,2019,0.10197161
Bahrain,BHR,2020,0.106631845
Bahrain,BHR,2021,0.10509709
Bangladesh,BGD,1946,0.002532674
Bangladesh,BGD,1947,0.002364216
Bangladesh,BGD,1948,0.002475705
Bangladesh,BGD,1949,0.003626353
Bangladesh,BGD,1950,0.016542112
Bangladesh,BGD,1951,0.019221505
Bangladesh,BGD,1952,0.020029565
Bangladesh,BGD,1953,0.019825872
Bangladesh,BGD,1954,0.019714436
Bangladesh,BGD,1955,0.018530779
Bangladesh,BGD,1956,0.020623913
Bangladesh,BGD,1957,0.020630497
Bangladesh,BGD,1958,0.022526084
Bangladesh,BGD,1959,0.020776436
Bangladesh,BGD,1960,0.023561813
Bangladesh,BGD,1961,0.024318306
Bangladesh,BGD,1962,0.025810078
Bangladesh,BGD,1963,0.028167242
Bangladesh,BGD,1964,0.02746739
Bangladesh,BGD,1965,0.027579231
Bangladesh,BGD,1966,0.02676609
Bangladesh,BGD,1967,0.027532946
Bangladesh,BGD,1968,0.029941121
Bangladesh,BGD,1969,0.027233373
Bangladesh,BGD,1970,0.025526999
Bangladesh,BGD,1971,0.023255186
Bangladesh,BGD,1972,0.021603175
Bangladesh,BGD,1973,0.026627896
Bangladesh,BGD,1974,0.027342975
Bangladesh,BGD,1975,0.02847745
Bangladesh,BGD,1976,0.030879462
Bangladesh,BGD,1977,0.03126413
Bangladesh,BGD,1978,0.031369515
Bangladesh,BGD,1979,0.033706248
Bangladesh,BGD,1980,0.038957577
Bangladesh,BGD,1981,0.041427232
Bangladesh,BGD,1982,0.04528737
Bangladesh,BGD,1983,0.043081395
Bangladesh,BGD,1984,0.046159536
Bangladesh,BGD,1985,0.050129972
Bangladesh,BGD,1986,0.05529456
Bangladesh,BGD,1987,0.05546573
Bangladesh,BGD,1988,0.060966916
Bangladesh,BGD,1989,0.05971496
Bangladesh,BGD,1990,0.06187678
Bangladesh,BGD,1991,0.06342054
Bangladesh,BGD,1992,0.06811288
Bangladesh,BGD,1993,0.07041146
Bangladesh,BGD,1994,0.076353505
Bangladesh,BGD,1995,0.089696795
Bangladesh,BGD,1996,0.0889626
Bangladesh,BGD,1997,0.09515806
Bangladesh,BGD,1998,0.09580618
Bangladesh,BGD,1999,0.10138522
Bangladesh,BGD,2000,0.104207605
Bangladesh,BGD,2001,0.120908715
Bangladesh,BGD,2002,0.121689424
Bangladesh,BGD,2003,0.12100312
Bangladesh,BGD,2004,0.12552221
Bangladesh,BGD,2005,0.127223
Bangladesh,BGD,2006,0.13626975
Bangladesh,BGD,2007,0.13534267
Bangladesh,BGD,2008,0.14118652
Bangladesh,BGD,2009,0.1557091
Bangladesh,BGD,2010,0.1618241
Bangladesh,BGD,2011,0.16399316
Bangladesh,BGD,2012,0.1734198
Bangladesh,BGD,2013,0.17497274
Bangladesh,BGD,2014,0.18553562
Bangladesh,BGD,2015,0.20573817
Bangladesh,BGD,2016,0.21448356
Bangladesh,BGD,2017,0.22365221
Bangladesh,BGD,2018,0.22400635
Bangladesh,BGD,2019,0.24717124
Bangladesh,BGD,2020,0.25755754
Bangladesh,BGD,2021,0.25098673
Bhutan,BTN,1970,2.45927E-05
Bhutan,BTN,1971,2.36303E-05
Bhutan,BTN,1972,2.25772E-05
Bhutan,BTN,1973,2.14442E-05
Bhutan,BTN,1974,2.15308E-05
Bhutan,BTN,1975,2.14839E-05
Bhutan,BTN,1976,2.03647E-05
Bhutan,BTN,1977,3.96047E-05
Bhutan,BTN,1978,5.76185E-05
Bhutan,BTN,1979,0.000112058
Bhutan,BTN,1980,0.000112731
Bhutan,BTN,1981,0.000134733
Bhutan,BTN,1982,0.00017462
Bhutan,BTN,1983,0.000154221
Bhutan,BTN,1984,0.000260852
Bhutan,BTN,1985,0.000306453
Bhutan,BTN,1986,0.000266442
Bhutan,BTN,1987,0.000482243
Bhutan,BTN,1988,0.0004972
Bhutan,BTN,1989,0.000277942
Bhutan,BTN,1990,0.000563507
Bhutan,BTN,1991,0.000754797
Bhutan,BTN,1992,0.000906602
Bhutan,BTN,1993,0.000754389
Bhutan,BTN,1994,0.000877616
Bhutan,BTN,1995,0.001007144
Bhutan,BTN,1996,0.001174169
Bhutan,BTN,1997,0.001544786
Bhutan,BTN,1998,0.00152129
Bhutan,BTN,1999,0.001503902
Bhutan,BTN,2000,0.001504206
Bhutan,BTN,2001,0.001437636
Bhutan,BTN,2002,0.001525845
Bhutan,BTN,2003,0.001303462
Bhutan,BTN,2004,0.001015592
Bhutan,BTN,2005,0.001278001
Bhutan,BTN,2006,0.001223762
Bhutan,BTN,2007,0.001185107
Bhutan,BTN,2008,0.001251275
Bhutan,BTN,2009,0.001169534
Bhutan,BTN,2010,0.001392873
Bhutan,BTN,2011,0.001935308
Bhutan,BTN,2012,0.002207382
Bhutan,BTN,2013,0.002414494
Bhutan,BTN,2014,0.002665955
Bhutan,BTN,2015,0.002713942
Bhutan,BTN,2016,0.003244628
Bhutan,BTN,2017,0.003433061
Bhutan,BTN,2018,0.003664151
Bhutan,BTN,2019,0.003902274
Bhutan,BTN,2020,0.004252749
Bhutan,BTN,2021,0.004100022
Brunei,BRN,1750,0
Brunei,BRN,1751,0
Brunei,BRN,1752,0
Brunei,BRN,1753,0
Brunei,BRN,1754,0
Brunei,BRN,1755,0
Brunei,BRN,1756,0
Brunei,BRN,1757,0
Brunei,BRN,1758,0
Brunei,BRN,1759,0
Brunei,BRN,1760,0
Brunei,BRN,1761,0
Brunei,BRN,1762,0
Brunei,BRN,1763,0
Brunei,BRN,1764,0
Brunei,BRN,1765,0
Brunei,BRN,1766,0
Brunei,BRN,1767,0
Brunei,BRN,1768,0
Brunei,BRN,1769,0
Brunei,BRN,1770,0
Brunei,BRN,1771,0
Brunei,BRN,1772,0
Brunei,BRN,1773,0
Brunei,BRN,1774,0
Brunei,BRN,1775,0
Brunei,BRN,1776,0
Brunei,BRN,1777,0
Brunei,BRN,1778,0
Brunei,BRN,1779,0
Brunei,BRN,1780,0
Brunei,BRN,1781,0
Brunei,BRN,1782,0
Brunei,BRN,1783,0
Brunei,BRN,1784,0
Brunei,BRN,1785,0
Brunei,BRN,1786,0
Brunei,BRN,1787,0
Brunei,BRN,1788,0
Brunei,BRN,1789,0
Brunei,BRN,1790,0
Brunei,BRN,1791,0
Brunei,BRN,1792,0
Brunei,BRN,1793,0
Brunei,BRN,1794,0
Brunei,BRN,1795,0
Brunei,BRN,1796,0
Brunei,BRN,1797,0
Brunei,BRN,1798,0
Brunei,BRN,1799,0
Brunei,BRN,1800,0
Brunei,BRN,1801,0
Brunei,BRN,1802,0
Brunei,BRN,1803,0
Brunei,BRN,1804,0
Brunei,BRN,1805,0
Brunei,BRN,1806,0
Brunei,BRN,1807,0
Brunei,BRN,1808,0
Brunei,BRN,1809,0
Brunei,BRN,1810,0
Brunei,BRN,1811,0
Brunei,BRN,1812,0
Brunei,BRN,1813,0
Brunei,BRN,1814,0
Brunei,BRN,1815,0
Brunei,BRN,1816,0
Brunei,BRN,1817,0
Brunei,BRN,1818,0
Brunei,BRN,1819,0
Brunei,BRN,1820,0
Brunei,BRN,1821,0
Brunei,BRN,1822,0
Brunei,BRN,1823,0
