Entity,Code,Year,4_1_civlibs_score_fh
Bahrain,BHR,2005,22
Bahrain,BHR,2006,20
Bahrain,BHR,2007,22
Bahrain,BHR,2008,21
Bahrain,BHR,2009,21
Bahrain,BHR,2010,19
Bahrain,BHR,2011,12
Bahrain,BHR,2012,12
Bahrain,BHR,2013,10
Bahrain,BHR,2014,10
Bahrain,BHR,2015,10
Bahrain,BHR,2016,10
Bahrain,BHR,2017,10
Bahrain,BHR,2018,10
Bahrain,BHR,2019,10
Bahrain,BHR,2020,10
Bahrain,BHR,2021,10
Bangladesh,BGD,2005,31
Bangladesh,BGD,2006,31
Bangladesh,BGD,2007,28
Bangladesh,BGD,2008,30
Bangladesh,BGD,2009,33
Bangladesh,BGD,2010,34
Bangladesh,BGD,2011,33
Bangladesh,BGD,2012,31
Bangladesh,BGD,2013,29
Bangladesh,BGD,2014,29
Bangladesh,BGD,2015,28
Bangladesh,BGD,2016,27
Bangladesh,BGD,2017,26
Bangladesh,BGD,2018,24
Bangladesh,BGD,2019,24
Bangladesh,BGD,2020,24
Bangladesh,BGD,2021,24
Bhutan,BTN,2005,20
Bhutan,BTN,2006,21
Bhutan,BTN,2007,23
Bhutan,BTN,2008,24
Bhutan,BTN,2009,24
Bhutan,BTN,2010,24
Bhutan,BTN,2011,24
Bhutan,BTN,2012,24
Bhutan,BTN,2013,27
Bhutan,BTN,2014,27
Bhutan,BTN,2015,27
Bhutan,BTN,2016,27
Bhutan,BTN,2017,27
Bhutan,BTN,2018,30
Bhutan,BTN,2019,30
Bhutan,BTN,2020,31
Bhutan,BTN,2021,32
Brunei,BRN,2005,23
Brunei,BRN,2006,23
Brunei,BRN,2007,23
Brunei,BRN,2008,23
Brunei,BRN,2009,23
Brunei,BRN,2010,23
Brunei,BRN,2011,23
Brunei,BRN,2012,23
Brunei,BRN,2013,23
Brunei,BRN,2014,23
Brunei,BRN,2015,22
Brunei,BRN,2016,22
Brunei,BRN,2017,22
Brunei,BRN,2018,22
Brunei,BRN,2019,21
Brunei,BRN,2020,21
Brunei,BRN,2021,21
Cambodia,KHM,2005,24
Cambodia,KHM,2006,24
Cambodia,KHM,2007,24
Cambodia,KHM,2008,23
Cambodia,KHM,2009,21
Cambodia,KHM,2010,20
Cambodia,KHM,2011,21
Cambodia,KHM,2012,20
Cambodia,KHM,2013,20
Cambodia,KHM,2014,20
Cambodia,KHM,2015,21
Cambodia,KHM,2016,20
Cambodia,KHM,2017,20
Cambodia,KHM,2018,20
Cambodia,KHM,2019,20
Cambodia,KHM,2020,19
Cambodia,KHM,2021,19
China,CHN,2005,15
China,CHN,2006,15
China,CHN,2007,16
China,CHN,2008,14
China,CHN,2009,16
China,CHN,2010,15
China,CHN,2011,14
China,CHN,2012,15
China,CHN,2013,15
China,CHN,2014,15
China,CHN,2015,15
China,CHN,2016,14
China,CHN,2017,14
China,CHN,2018,12
China,CHN,2019,11
China,CHN,2020,11
China,CHN,2021,11
Hong Kong,HKG,2005,51
Hong Kong,HKG,2006,51
Hong Kong,HKG,2007,51
Hong Kong,HKG,2008,52
Hong Kong,HKG,2009,52
Hong Kong,HKG,2010,51
Hong Kong,HKG,2011,51
Hong Kong,HKG,2012,51
Hong Kong,HKG,2013,51
Hong Kong,HKG,2014,49
Hong Kong,HKG,2015,47
Hong Kong,HKG,2016,45
Hong Kong,HKG,2017,44
Hong Kong,HKG,2018,44
Hong Kong,HKG,2019,39
Hong Kong,HKG,2020,37
Hong Kong,HKG,2021,33
India,IND,2005,42
India,IND,2006,42
India,IND,2007,42
India,IND,2008,42
India,IND,2009,42
India,IND,2010,42
India,IND,2011,43
India,IND,2012,42
India,IND,2013,43
India,IND,2014,43
India,IND,2015,42
India,IND,2016,42
India,IND,2017,42
India,IND,2018,40
India,IND,2019,37
India,IND,2020,33
India,IND,2021,33
Indonesia,IDN,2005,35
Indonesia,IDN,2006,35
Indonesia,IDN,2007,37
Indonesia,IDN,2008,36
Indonesia,IDN,2009,35
Indonesia,IDN,2010,35
Indonesia,IDN,2011,35
Indonesia,IDN,2012,35
Indonesia,IDN,2013,34
Indonesia,IDN,2014,34
