Entity,Code,Year,0_0_CO2pc
Bahrain,BHR,1933,0.09296897
Bahrain,BHR,1934,1.0226587
Bahrain,BHR,1935,4.4935
Bahrain,BHR,1936,16.486498
Bahrain,BHR,1937,27.518814
Bahrain,BHR,1938,29.409184
Bahrain,BHR,1939,26.953491
Bahrain,BHR,1940,25.16761
Bahrain,BHR,1941,24.23705
Bahrain,BHR,1942,22.321447
Bahrain,BHR,1943,23.644382
Bahrain,BHR,1944,24.253204
Bahrain,BHR,1945,26.482319
Bahrain,BHR,1946,29.176332
Bahrain,BHR,1947,34.449966
Bahrain,BHR,1948,40.090546
Bahrain,BHR,1949,40.269012
Bahrain,BHR,1950,11.790099
Bahrain,BHR,1951,9.770991
Bahrain,BHR,1952,10.397058
Bahrain,BHR,1953,7.8350916
Bahrain,BHR,1954,7.9768996
Bahrain,BHR,1955,10.40392
Bahrain,BHR,1956,7.581561
Bahrain,BHR,1957,5.244688
Bahrain,BHR,1958,8.650552
Bahrain,BHR,1959,8.479178
Bahrain,BHR,1960,3.5795946
Bahrain,BHR,1961,10.598284
Bahrain,BHR,1962,9.1721525
Bahrain,BHR,1963,6.639489
Bahrain,BHR,1964,8.560931
Bahrain,BHR,1965,6.359002
Bahrain,BHR,1966,3.2584598
Bahrain,BHR,1967,4.898826
Bahrain,BHR,1968,5.2314305
Bahrain,BHR,1969,5.866945
Bahrain,BHR,1970,11.638958
Bahrain,BHR,1971,13.149103
Bahrain,BHR,1972,15.128603
Bahrain,BHR,1973,21.500538
Bahrain,BHR,1974,19.955645
Bahrain,BHR,1975,20.162441
Bahrain,BHR,1976,21.89515
Bahrain,BHR,1977,23.66757
Bahrain,BHR,1978,23.450132
Bahrain,BHR,1979,23.439962
Bahrain,BHR,1980,21.735422
Bahrain,BHR,1981,22.570244
Bahrain,BHR,1982,25.13998
Bahrain,BHR,1983,20.312359
Bahrain,BHR,1984,21.945824
Bahrain,BHR,1985,23.448952
Bahrain,BHR,1986,24.440123
Bahrain,BHR,1987,24.477816
Bahrain,BHR,1988,25.122034
Bahrain,BHR,1989,23.416632
Bahrain,BHR,1990,23.975805
Bahrain,BHR,1991,22.144434
Bahrain,BHR,1992,19.6104
Bahrain,BHR,1993,25.461056
Bahrain,BHR,1994,24.870174
Bahrain,BHR,1995,24.123817
Bahrain,BHR,1996,24.63794
Bahrain,BHR,1997,26.490204
Bahrain,BHR,1998,27.311216
Bahrain,BHR,1999,25.9901
Bahrain,BHR,2000,26.41674
Bahrain,BHR,2001,19.277763
Bahrain,BHR,2002,21.20451
Bahrain,BHR,2003,21.547415
Bahrain,BHR,2004,21.457098
Bahrain,BHR,2005,21.957464
Bahrain,BHR,2006,20.001472
Bahrain,BHR,2007,25.727983
Bahrain,BHR,2008,26.73145
Bahrain,BHR,2009,23.822826
Bahrain,BHR,2010,23.95692
Bahrain,BHR,2011,23.48649
Bahrain,BHR,2012,22.138887
Bahrain,BHR,2013,24.695309
Bahrain,BHR,2014,23.567032
Bahrain,BHR,2015,23.829594
Bahrain,BHR,2016,22.387903
Bahrain,BHR,2017,22.53858
Bahrain,BHR,2018,22.044058
Bahrain,BHR,2019,25.30706
Bahrain,BHR,2020,25.450632
Bahrain,BHR,2021,26.663702
Bangladesh,BGD,1946,0.0032246807
Bangladesh,BGD,1947,0.00330687
Bangladesh,BGD,1948,0.0036190809
Bangladesh,BGD,1949,0.0050820354
Bangladesh,BGD,1950,0.024996338
Bangladesh,BGD,1951,0.030242551
Bangladesh,BGD,1952,0.031261265
Bangladesh,BGD,1953,0.031136293
Bangladesh,BGD,1954,0.030927474
Bangladesh,BGD,1955,0.03112431
Bangladesh,BGD,1956,0.035991516
Bangladesh,BGD,1957,0.036269337
Bangladesh,BGD,1958,0.039716173
Bangladesh,BGD,1959,0.03754736
Bangladesh,BGD,1960,0.043890115
Bangladesh,BGD,1961,0.044145864
Bangladesh,BGD,1962,0.0470759
Bangladesh,BGD,1963,0.052514534
Bangladesh,BGD,1964,0.052393474
Bangladesh,BGD,1965,0.053355515
Bangladesh,BGD,1966,0.052705552
Bangladesh,BGD,1967,0.05428178
Bangladesh,BGD,1968,0.06040513
Bangladesh,BGD,1969,0.056922764
Bangladesh,BGD,1970,0.056308705
Bangladesh,BGD,1971,0.052735187
Bangladesh,BGD,1972,0.050556414
Bangladesh,BGD,1973,0.063949764
Bangladesh,BGD,1974,0.063786484
Bangladesh,BGD,1975,0.065016076
Bangladesh,BGD,1976,0.072738834
Bangladesh,BGD,1977,0.07403273
Bangladesh,BGD,1978,0.07479823
Bangladesh,BGD,1979,0.08073247
Bangladesh,BGD,1980,0.090518765
Bangladesh,BGD,1981,0.09153446
Bangladesh,BGD,1982,0.096575625
Bangladesh,BGD,1983,0.089936174
Bangladesh,BGD,1984,0.097046375
Bangladesh,BGD,1985,0.10618233
Bangladesh,BGD,1986,0.116063945
Bangladesh,BGD,1987,0.117421605
Bangladesh,BGD,1988,0.13125518
Bangladesh,BGD,1989,0.12758027
Bangladesh,BGD,1990,0.13142234
Bangladesh,BGD,1991,0.13494691
Bangladesh,BGD,1992,0.13821886
Bangladesh,BGD,1993,0.14162469
Bangladesh,BGD,1994,0.15169339
Bangladesh,BGD,1995,0.17863247
Bangladesh,BGD,1996,0.17929077
Bangladesh,BGD,1997,0.18949535
Bangladesh,BGD,1998,0.18655176
Bangladesh,BGD,1999,0.19782275
Bangladesh,BGD,2000,0.20530944
Bangladesh,BGD,2001,0.23570132
Bangladesh,BGD,2002,0.23841722
Bangladesh,BGD,2003,0.24511726
Bangladesh,BGD,2004,0.25899187
Bangladesh,BGD,2005,0.26737556
Bangladesh,BGD,2006,0.2922913
Bangladesh,BGD,2007,0.2958466
Bangladesh,BGD,2008,0.31151465
Bangladesh,BGD,2009,0.33500877
Bangladesh,BGD,2010,0.36384624
Bangladesh,BGD,2011,0.37651265
Bangladesh,BGD,2012,0.3991554
Bangladesh,BGD,2013,0.40121356
Bangladesh,BGD,2014,0.42323962
Bangladesh,BGD,2015,0.4635212
Bangladesh,BGD,2016,0.47685167
Bangladesh,BGD,2017,0.49897504
Bangladesh,BGD,2018,0.5039817
Bangladesh,BGD,2019,0.553767
Bangladesh,BGD,2020,0.5424967
Bangladesh,BGD,2021,0.5501772
Bhutan,BTN,1970,0.012257993
Bhutan,BTN,1971,0.011863364
Bhutan,BTN,1972,0.011480783
Bhutan,BTN,1973,0.011109528
Bhutan,BTN,1974,0.010749723
Bhutan,BTN,1975,0.010400818
Bhutan,BTN,1976,0.010062313
Bhutan,BTN,1977,0.019468755
Bhutan,BTN,1978,0.028251113
Bhutan,BTN,1979,0.054677453
Bhutan,BTN,1980,0.05293956
Bhutan,BTN,1981,0.059834503
Bhutan,BTN,1982,0.074569725
Bhutan,BTN,1983,0.06427478
Bhutan,BTN,1984,0.109098874
Bhutan,BTN,1985,0.12855318
Bhutan,BTN,1986,0.11010542
Bhutan,BTN,1987,0.19958252
Bhutan,BTN,1988,0.20776589
Bhutan,BTN,1989,0.114454344
Bhutan,BTN,1990,0.22963603
Bhutan,BTN,1991,0.3090455
Bhutan,BTN,1992,0.37495878
Bhutan,BTN,1993,0.33042392
Bhutan,BTN,1994,0.38671854
Bhutan,BTN,1995,0.44786224
