Entity,Code,Year,0_0_CO2
Bahrain,BHR,1933,10992
Bahrain,BHR,1934,120912
Bahrain,BHR,1935,531280
Bahrain,BHR,1936,1949248
Bahrain,BHR,1937,3253632
Bahrain,BHR,1938,3477136
Bahrain,BHR,1939,3184016
Bahrain,BHR,1940,2967840
Bahrain,BHR,1941,2850592
Bahrain,BHR,1942,2616096
Bahrain,BHR,1943,2758992
Bahrain,BHR,1944,2817616
Bahrain,BHR,1945,3063104
Bahrain,BHR,1946,3359888
Bahrain,BHR,1947,3949792
Bahrain,BHR,1948,4576336
Bahrain,BHR,1949,4609312
Bahrain,BHR,1950,1381328
Bahrain,BHR,1951,1176144
Bahrain,BHR,1952,1286064
Bahrain,BHR,1953,996608
Bahrain,BHR,1954,1044240
Bahrain,BHR,1955,1403312
Bahrain,BHR,1956,1055232
Bahrain,BHR,1957,754784
Bahrain,BHR,1958,1289728
Bahrain,BHR,1959,1311712
Bahrain,BHR,1960,575248
Bahrain,BHR,1961,1769712
Bahrain,BHR,1962,1590176
Bahrain,BHR,1963,1194464
Bahrain,BHR,1964,1597504
Bahrain,BHR,1965,1227440
Bahrain,BHR,1966,648528
Bahrain,BHR,1967,1003936.06
Bahrain,BHR,1968,1102864
Bahrain,BHR,1969,1271408
Bahrain,BHR,1970,2590448
Bahrain,BHR,1971,3037456
Bahrain,BHR,1972,3678656
Bahrain,BHR,1973,5517984
Bahrain,BHR,1974,5400736
Bahrain,BHR,1975,5748816
Bahrain,BHR,1976,6569552
Bahrain,BHR,1977,7463568
Bahrain,BHR,1978,7760352
Bahrain,BHR,1979,8126752
Bahrain,BHR,1980,7881264
Bahrain,BHR,1981,8518800
Bahrain,BHR,1982,9830512
Bahrain,BHR,1983,8222016.5
Bahrain,BHR,1984,9200304
Bahrain,BHR,1985,10185920
Bahrain,BHR,1986,11002992
Bahrain,BHR,1987,11420688
Bahrain,BHR,1988,12142559
Bahrain,BHR,1989,11716746
Bahrain,BHR,1990,12405777
Bahrain,BHR,1991,11856551
Bahrain,BHR,1992,10873574
Bahrain,BHR,1993,14608586
Bahrain,BHR,1994,14754455
Bahrain,BHR,1995,14786477
Bahrain,BHR,1996,15589977
Bahrain,BHR,1997,17288858
Bahrain,BHR,1998,18366356
Bahrain,BHR,1999,17988736
Bahrain,BHR,2000,18794084
Bahrain,BHR,2001,14077837
Bahrain,BHR,2002,15868013
Bahrain,BHR,2003,16769491
Bahrain,BHR,2004,17883504
Bahrain,BHR,2005,19804052
Bahrain,BHR,2006,19421150
Bahrain,BHR,2007,26771124
Bahrain,BHR,2008,29681318
Bahrain,BHR,2009,28098070
Bahrain,BHR,2010,29075436
Bahrain,BHR,2011,28467646
Bahrain,BHR,2012,27118986
Bahrain,BHR,2013,31157652
Bahrain,BHR,2014,30899726
Bahrain,BHR,2015,32459648
Bahrain,BHR,2016,31559510
Bahrain,BHR,2017,32835194
Bahrain,BHR,2018,32787140
Bahrain,BHR,2019,37813684
Bahrain,BHR,2020,37602748
Bahrain,BHR,2021,39016090
Bangladesh,BGD,1946,117474
Bangladesh,BGD,1947,121485
Bangladesh,BGD,1948,134077
