Entity,Code,Year,Gini_index
Bangladesh,BGD,1983,0.258764899
Bangladesh,BGD,1988,0.288465469
Bangladesh,BGD,1991,0.275708056
Bangladesh,BGD,1995,0.329429829
Bangladesh,BGD,2000,0.334065309
Bangladesh,BGD,2005,0.332012921
Bangladesh,BGD,2010,0.321303194
Bangladesh,BGD,2016,0.323852725
Bhutan,BTN,2003,0.408980009
Bhutan,BTN,2007,0.380907722
Bhutan,BTN,2012,0.388093271
Bhutan,BTN,2017,0.374414096
China,CHN,1981,0.281640967
China,CHN,1984,0.271023016
China,CHN,1987,0.293859583
China,CHN,1990,0.322266182
China,CHN,1993,0.338777995
China,CHN,1996,0.352276601
China,CHN,1999,0.387032152
China,CHN,2002,0.419857242
China,CHN,2005,0.409007668
China,CHN,2008,0.429650385
China,CHN,2010,0.437449533
China,CHN,2011,0.424092243
China,CHN,2012,0.422371658
China,CHN,2013,0.397363984
China,CHN,2014,0.391776523
China,CHN,2015,0.385953024
China,CHN,2016,0.384805186
China,CHN,2017,0.390757759
China,CHN,2018,0.384976421
China,CHN,2019,0.381683425
India,IND,1977,0.333366472
India,IND,1983,0.321009937
India,IND,1987,0.325741643
India,IND,1993,0.316961836
India,IND,2004,0.344063046
India,IND,2009,0.353803358
India,IND,2011,0.357125753
India,IND,2015,0.347064363
India,IND,2016,0.347732336
India,IND,2017,0.359430473
India,IND,2018,0.345896863
India,IND,2019,0.357338571
Indonesia,IDN,1984,0.334559806
Indonesia,IDN,1987,0.314037701
Indonesia,IDN,1990,0.322712574
Indonesia,IDN,1993,0.331627988
Indonesia,IDN,1996,0.356251368
Indonesia,IDN,1998,0.321814319
Indonesia,IDN,1999,0.32078047
Indonesia,IDN,2000,0.29458434
Indonesia,IDN,2001,0.300239283
Indonesia,IDN,2002,0.328337979
Indonesia,IDN,2003,0.330267025
Indonesia,IDN,2004,0.338532798
Indonesia,IDN,2005,0.340578444
Indonesia,IDN,2006,0.353005561
Indonesia,IDN,2007,0.366646878
Indonesia,IDN,2008,0.360602546
Indonesia,IDN,2009,0.359931722
Indonesia,IDN,2010,0.372053374
Indonesia,IDN,2011,0.404581494
Indonesia,IDN,2012,0.40459641
Indonesia,IDN,2013,0.407911805
Indonesia,IDN,2014,0.40175667
Indonesia,IDN,2015,0.40397369
Indonesia,IDN,2016,0.393002781
Indonesia,IDN,2017,0.38785263
Indonesia,IDN,2018,0.384103773
Indonesia,IDN,2019,0.376101221
Indonesia,IDN,2020,0.376054854
Indonesia,IDN,2021,0.379156501
Japan,JPN,2008,0.348423151
Japan,JPN,2010,0.321003204
Japan,JPN,2013,0.328547286
Laos,LAO,1992,0.343097752
Laos,LAO,1997,0.3489544
Laos,LAO,2002,0.326201086
Laos,LAO,2007,0.353610349
Laos,LAO,2012,0.359635482
Laos,LAO,2018,0.388024338
Malaysia,MYS,1984,0.486248149
Malaysia,MYS,1987,0.470418365
Malaysia,MYS,1989,0.461685036
Malaysia,MYS,1992,0.476537258
Malaysia,MYS,1995,0.485226716
Malaysia,MYS,1997,0.491496623
Malaysia,MYS,2003,0.464162024
Malaysia,MYS,2006,0.447523495
Malaysia,MYS,2008,0.454797122
Malaysia,MYS,2011,0.439435968
Malaysia,MYS,2013,0.413488267
Malaysia,MYS,2015,0.410663984
Maldives,MDV,2002,0.413120268
Maldives,MDV,2009,0.383727638
Maldives,MDV,2016,0.312856471
Maldives,MDV,2019,0.292850913
Mongolia,MNG,1995,0.331953402
Mongolia,MNG,1998,0.302719629
Mongolia,MNG,2002,0.328929481
Mongolia,MNG,2007,0.358218714
Mongolia,MNG,2010,0.330812121
Mongolia,MNG,2011,0.338835075
Mongolia,MNG,2012,0.337516151
Mongolia,MNG,2014,0.320377899
Mongolia,MNG,2016,0.323457328
Mongolia,MNG,2018,0.327409904
Myanmar,MMR,2015,0.380685092
Myanmar,MMR,2017,0.306968695
Nepal,NPL,1984,0.300575408
Nepal,NPL,1995,0.352070175
Nepal,NPL,2003,0.437681043
Nepal,NPL,2010,0.328405862
Philippines,PHL,1985,0.410374355
Philippines,PHL,1988,0.407462674
Philippines,PHL,1991,0.438235514
Philippines,PHL,1994,0.428883875
Philippines,PHL,1997,0.459622075
Philippines,PHL,2000,0.427994724
Philippines,PHL,2003,0.414946578
Philippines,PHL,2006,0.428588396
Philippines,PHL,2009,0.417603385
Philippines,PHL,2012,0.422243295
Philippines,PHL,2015,0.403514992
Philippines,PHL,2018,0.378117062
South Korea,KOR,2006,0.317029842
South Korea,KOR,2008,0.323248326
South Korea,KOR,2010,0.320212246
South Korea,KOR,2012,0.315580517
South Korea,KOR,2014,0.311929046
South Korea,KOR,2016,0.314048565
Sri Lanka,LKA,1985,0.324678544
Sri Lanka,LKA,1990,0.324474329
Sri Lanka,LKA,1995,0.353995391
Sri Lanka,LKA,2002,0.401719063
Sri Lanka,LKA,2006,0.396690194
Sri Lanka,LKA,2009,0.360541525
Sri Lanka,LKA,2012,0.387136085
Sri Lanka,LKA,2016,0.393457734
Taiwan,TWN,1981,0.299694825
Taiwan,TWN,1986,0.297079558
Taiwan,TWN,1991,0.299678021
Taiwan,TWN,1995,0.313241425
Taiwan,TWN,1997,0.308221064
Taiwan,TWN,2000,0.311114764
Taiwan,TWN,2005,0.32179585
Taiwan,TWN,2007,0.321245681
Taiwan,TWN,2010,0.332133257
Taiwan,TWN,2013,0.324873852
Taiwan,TWN,2016,0.314827156
Thailand,THA,1981,0.452168213
Thailand,THA,1988,0.43838599
Thailand,THA,1990,0.452656486
Thailand,THA,1992,0.478579578
Thailand,THA,1994,0.434702118
Thailand,THA,1996,0.429049214
Thailand,THA,1998,0.414557947
Thailand,THA,1999,0.430915875
Thailand,THA,2000,0.428336678
Thailand,THA,2002,0.419444959
Thailand,THA,2004,0.425403126
Thailand,THA,2006,0.418190339
Thailand,THA,2007,0.397615164
Thailand,THA,2008,0.402882739
Thailand,THA,2009,0.396012638
Thailand,THA,2010,0.394027714
Thailand,THA,2011,0.374590334
Thailand,THA,2012,0.392566692
Thailand,THA,2013,0.378471082
Thailand,THA,2014,0.37032664
Thailand,THA,2015,0.359873327
Thailand,THA,2016,0.368906279
Thailand,THA,2017,0.36528755
Thailand,THA,2018,0.364121734
Thailand,THA,2019,0.34855722
Thailand,THA,2020,0.349858159
Vietnam,VNM,1992,0.356545588
Vietnam,VNM,1997,0.354422075
Vietnam,VNM,2002,0.370296242
Vietnam,VNM,2004,0.367858307
Vietnam,VNM,2006,0.357886156
Vietnam,VNM,2008,0.355703125
Vietnam,VNM,2010,0.392527248
Vietnam,VNM,2012,0.356458864
Vietnam,VNM,2014,0.347553755
Vietnam,VNM,2016,0.352667389
Vietnam,VNM,2018,0.357155461
