Entity,Code,Year,3_1_Renewables_electricity
Bahrain,BHR,2000,0
Bahrain,BHR,2001,0
Bahrain,BHR,2002,0
Bahrain,BHR,2003,0
Bahrain,BHR,2004,0
Bahrain,BHR,2005,0
Bahrain,BHR,2006,0
Bahrain,BHR,2007,0
Bahrain,BHR,2008,0
Bahrain,BHR,2009,0
Bahrain,BHR,2010,0
Bahrain,BHR,2011,0
Bahrain,BHR,2012,0
Bahrain,BHR,2013,0
Bahrain,BHR,2014,0.01
Bahrain,BHR,2015,0.01
Bahrain,BHR,2016,0.01
Bahrain,BHR,2017,0.01
Bahrain,BHR,2018,0.01
Bahrain,BHR,2019,0.01
Bahrain,BHR,2020,0.01
Bahrain,BHR,2021,0.01
Bahrain,BHR,2022,0.01
Bangladesh,BGD,1972,0.175
Bangladesh,BGD,1973,0.331
Bangladesh,BGD,1974,0.243
Bangladesh,BGD,1975,0.436
Bangladesh,BGD,1976,0.494
Bangladesh,BGD,1977,0.437
Bangladesh,BGD,1978,0.506
Bangladesh,BGD,1979,0.587
Bangladesh,BGD,1980,0.583
Bangladesh,BGD,1981,0.625
Bangladesh,BGD,1982,0.523
Bangladesh,BGD,1983,0.662
Bangladesh,BGD,1984,0.897
Bangladesh,BGD,1985,0.739
Bangladesh,BGD,1986,0.45
Bangladesh,BGD,1987,0.517
Bangladesh,BGD,1988,0.675
Bangladesh,BGD,1989,0.92
Bangladesh,BGD,1990,0.884
Bangladesh,BGD,1991,0.838
Bangladesh,BGD,1992,0.796
Bangladesh,BGD,1993,0.608
Bangladesh,BGD,1994,0.847
Bangladesh,BGD,1995,0.372
Bangladesh,BGD,1996,0.739
Bangladesh,BGD,1997,0.719
Bangladesh,BGD,1998,0.865
Bangladesh,BGD,1999,0.833
Bangladesh,BGD,2000,0.94
Bangladesh,BGD,2001,0.98
Bangladesh,BGD,2002,1.05
Bangladesh,BGD,2003,1.12
Bangladesh,BGD,2004,1.21
Bangladesh,BGD,2005,1.28
Bangladesh,BGD,2006,1.39
Bangladesh,BGD,2007,0.76
Bangladesh,BGD,2008,0.96
Bangladesh,BGD,2009,0.47
Bangladesh,BGD,2010,0.83
Bangladesh,BGD,2011,0.98
Bangladesh,BGD,2012,0.91
Bangladesh,BGD,2013,1.07
Bangladesh,BGD,2014,0.78
Bangladesh,BGD,2015,0.8
Bangladesh,BGD,2016,1.24
Bangladesh,BGD,2017,1.29
Bangladesh,BGD,2018,1.37
Bangladesh,BGD,2019,1.11
Bangladesh,BGD,2020,1.28
Bangladesh,BGD,2021,1.36
Bangladesh,BGD,2022,1.33
Bangladesh,BGD,2023,1.54
Bhutan,BTN,2000,1.79
Bhutan,BTN,2001,1.92
Bhutan,BTN,2002,2.18
Bhutan,BTN,2003,2.5
Bhutan,BTN,2004,2.33
Bhutan,BTN,2005,2.62
Bhutan,BTN,2006,4.47
Bhutan,BTN,2007,6.49
Bhutan,BTN,2008,6.89
Bhutan,BTN,2009,6.93
Bhutan,BTN,2010,7.26
Bhutan,BTN,2011,6.97
Bhutan,BTN,2012,6.74
Bhutan,BTN,2013,7.53
Bhutan,BTN,2014,7.15
Bhutan,BTN,2015,7.73
Bhutan,BTN,2016,7.88
Bhutan,BTN,2017,7.65
Bhutan,BTN,2018,6.89
Bhutan,BTN,2019,8.95
Bhutan,BTN,2020,8.95
Bhutan,BTN,2021,9
Bhutan,BTN,2022,9
Brunei,BRN,2000,0
Brunei,BRN,2001,0
Brunei,BRN,2002,0
Brunei,BRN,2003,0
Brunei,BRN,2004,0
Brunei,BRN,2005,0
Brunei,BRN,2006,0
Brunei,BRN,2007,0
Brunei,BRN,2008,0
Brunei,BRN,2009,0
Brunei,BRN,2010,0
Brunei,BRN,2011,0
Brunei,BRN,2012,0
Brunei,BRN,2013,0
Brunei,BRN,2014,0
Brunei,BRN,2015,0
Brunei,BRN,2016,0
Brunei,BRN,2017,0
Brunei,BRN,2018,0
Brunei,BRN,2019,0
Brunei,BRN,2020,0
Brunei,BRN,2021,0
Brunei,BRN,2022,0
Cambodia,KHM,2000,0.05
Cambodia,KHM,2001,0.03
Cambodia,KHM,2002,0.03
Cambodia,KHM,2003,0.05
Cambodia,KHM,2004,0.04
Cambodia,KHM,2005,0.05
Cambodia,KHM,2006,0.06
Cambodia,KHM,2007,0.07
Cambodia,KHM,2008,0.06
Cambodia,KHM,2009,0.06
Cambodia,KHM,2010,0.05
Cambodia,KHM,2011,0.07
Cambodia,KHM,2012,0.54
Cambodia,KHM,2013,1.03
Cambodia,KHM,2014,1.86
Cambodia,KHM,2015,2.04
Cambodia,KHM,2016,2.66
Cambodia,KHM,2017,2.79
Cambodia,KHM,2018,4.8
Cambodia,KHM,2019,4.25
Cambodia,KHM,2020,4.45
Cambodia,KHM,2021,4.45
Cambodia,KHM,2022,4.47
China,CHN,1971,29.075233
China,CHN,1972,32.951046
China,CHN,1973,36.82686
China,CHN,1974,41.674942
China,CHN,1975,43.610638
China,CHN,1976,44.194
China,CHN,1977,46.134117
China,CHN,1978,43.22615
China,CHN,1979,48.555946
China,CHN,1980,58.221176
China,CHN,1981,65.51318
China,CHN,1982,74.41386
China,CHN,1983,86.41695
China,CHN,1984,86.8147
China,CHN,1985,92.38756
China,CHN,1986,94.548645
China,CHN,1987,100.02428
China,CHN,1988,109.16802
China,CHN,1989,118.40898
China,CHN,1990,126.812
China,CHN,1991,124.764046
China,CHN,1992,130.93341
China,CHN,1993,152.17929
China,CHN,1994,168.27782
China,CHN,1995,194.21716
China,CHN,1996,189.60594
China,CHN,1997,198.91098
China,CHN,1998,201.73956
China,CHN,1999,199.59074
China,CHN,2000,225.56
China,CHN,2001,280.73
China,CHN,2002,291.41
China,CHN,2003,287.28
China,CHN,2004,357.43
China,CHN,2005,404.37
China,CHN,2006,446.72
China,CHN,2007,500.71
China,CHN,2008,665.08
China,CHN,2009,664.39
China,CHN,2010,786.38
China,CHN,2011,792.38
China,CHN,2012,999.56
China,CHN,2013,1093.37
China,CHN,2014,1289.23
China,CHN,2015,1393.66
China,CHN,2016,1522.79
China,CHN,2017,1667.06
China,CHN,2018,1835.32
China,CHN,2019,2014.57
China,CHN,2020,2184.94
China,CHN,2021,2448.73
China,CHN,2022,2670.18
China,CHN,2023,2902.24
Hong Kong,HKG,1990,0
Hong Kong,HKG,1991,0
Hong Kong,HKG,1992,0
Hong Kong,HKG,1993,0
Hong Kong,HKG,1994,0
Hong Kong,HKG,1995,0
Hong Kong,HKG,1996,0
Hong Kong,HKG,1997,0
Hong Kong,HKG,1998,0
Hong Kong,HKG,1999,0
Hong Kong,HKG,2000,0
Hong Kong,HKG,2001,0
Hong Kong,HKG,2002,0
Hong Kong,HKG,2003,0
Hong Kong,HKG,2004,0
Hong Kong,HKG,2005,0
Hong Kong,HKG,2006,0
Hong Kong,HKG,2007,0
