Entity,Code,Year,4_1_ExpSchoolYears
Bahrain,BHR,1990,13.885123
Bahrain,BHR,1991,13.60251
Bahrain,BHR,1992,13.32565
Bahrain,BHR,1993,13.58314
Bahrain,BHR,1994,13.59846
Bahrain,BHR,1995,13.69696
Bahrain,BHR,1996,13.6156
Bahrain,BHR,1997,13.49436
Bahrain,BHR,1998,13.373119
Bahrain,BHR,1999,13.25188
Bahrain,BHR,2000,13.32764
Bahrain,BHR,2001,13.403399
Bahrain,BHR,2002,13.47916
Bahrain,BHR,2003,13.55492
Bahrain,BHR,2004,13.318495
Bahrain,BHR,2005,13.08207
Bahrain,BHR,2006,13.21132
Bahrain,BHR,2007,13.286082
Bahrain,BHR,2008,13.360844
Bahrain,BHR,2009,13.435606
Bahrain,BHR,2010,13.510367
Bahrain,BHR,2011,13.58513
Bahrain,BHR,2012,13.35527
Bahrain,BHR,2013,13.52022
Bahrain,BHR,2014,13.68833
Bahrain,BHR,2015,15.99202
Bahrain,BHR,2016,16.34917
Bahrain,BHR,2017,16.41513
Bahrain,BHR,2018,16.25482
Bahrain,BHR,2019,16.29756
Bahrain,BHR,2020,16.29756
Bahrain,BHR,2021,16.29756
Bangladesh,BGD,1990,5.8323
Bangladesh,BGD,1991,6.0229554
Bangladesh,BGD,1992,6.2136106
Bangladesh,BGD,1993,6.4042664
Bangladesh,BGD,1994,6.5949216
Bangladesh,BGD,1995,6.785577
Bangladesh,BGD,1996,6.976232
Bangladesh,BGD,1997,7.1668873
Bangladesh,BGD,1998,7.357543
Bangladesh,BGD,1999,7.548198
Bangladesh,BGD,2000,7.7388535
Bangladesh,BGD,2001,7.9295087
Bangladesh,BGD,2002,8.120164
Bangladesh,BGD,2003,8.31082
Bangladesh,BGD,2004,8.501474
Bangladesh,BGD,2005,8.69213
Bangladesh,BGD,2006,8.81744
Bangladesh,BGD,2007,8.86253
Bangladesh,BGD,2008,8.65141
Bangladesh,BGD,2009,9.22451
Bangladesh,BGD,2010,9.521208
Bangladesh,BGD,2011,9.817905
Bangladesh,BGD,2012,10.114603
Bangladesh,BGD,2013,10.4113
Bangladesh,BGD,2014,10.707997
Bangladesh,BGD,2015,11.004695
Bangladesh,BGD,2016,11.301393
Bangladesh,BGD,2017,11.59809
Bangladesh,BGD,2018,12.03569
Bangladesh,BGD,2019,12.238835
Bangladesh,BGD,2020,12.44198
Bangladesh,BGD,2021,12.44198
Bhutan,BTN,1990,4.638174
Bhutan,BTN,1991,4.862609
Bhutan,BTN,1992,5.097904
Bhutan,BTN,1993,5.344585
Bhutan,BTN,1994,5.6032023
Bhutan,BTN,1995,5.874334
Bhutan,BTN,1996,6.1585846
Bhutan,BTN,1997,6.4565907
Bhutan,BTN,1998,6.7690163
Bhutan,BTN,1999,7.09656
Bhutan,BTN,2000,7.474788
Bhutan,BTN,2001,7.8530164
Bhutan,BTN,2002,8.231245
Bhutan,BTN,2003,8.609473
Bhutan,BTN,2004,8.987701
Bhutan,BTN,2005,9.36593
Bhutan,BTN,2006,9.8287
Bhutan,BTN,2007,10.22361
Bhutan,BTN,2008,10.62661
Bhutan,BTN,2009,11.1986
Bhutan,BTN,2010,11.67941
Bhutan,BTN,2011,12.15114
Bhutan,BTN,2012,12.54778
Bhutan,BTN,2013,12.50473
Bhutan,BTN,2014,12.624212
Bhutan,BTN,2015,12.743694
Bhutan,BTN,2016,12.863176
Bhutan,BTN,2017,12.982658
Bhutan,BTN,2018,13.10214
Bhutan,BTN,2019,13.225005
Bhutan,BTN,2020,13.225005
Bhutan,BTN,2021,13.225005
Brunei,BRN,1990,11.824854
Brunei,BRN,1991,12.039891
Brunei,BRN,1992,12.25884
Brunei,BRN,1993,12.48177
Brunei,BRN,1994,12.60186
Brunei,BRN,1995,12.676567
Brunei,BRN,1996,12.751275
Brunei,BRN,1997,12.825982
Brunei,BRN,1998,12.90069
Brunei,BRN,1999,13.21045
Brunei,BRN,2000,13.18353
Brunei,BRN,2001,13.11894
Brunei,BRN,2002,13.22543
Brunei,BRN,2003,13.52631
Brunei,BRN,2004,13.89378
Brunei,BRN,2005,14.09929
Brunei,BRN,2006,14.14716
Brunei,BRN,2007,14.03194
Brunei,BRN,2008,13.96432
Brunei,BRN,2009,14.11899
Brunei,BRN,2010,14.07944
Brunei,BRN,2011,14.34918
Brunei,BRN,2012,14.91537
Brunei,BRN,2013,14.93539
Brunei,BRN,2014,14.87515
Brunei,BRN,2015,14.62773
Brunei,BRN,2016,14.59231
Brunei,BRN,2017,14.46683
Brunei,BRN,2018,14.30505
Brunei,BRN,2019,14.06389
Brunei,BRN,2020,13.95178
Brunei,BRN,2021,13.95178
Cambodia,KHM,1990,7.032154
Cambodia,KHM,1991,7.09151
Cambodia,KHM,1992,7.1513667
Cambodia,KHM,1993,7.211223
Cambodia,KHM,1994,7.27108
Cambodia,KHM,1995,7.3309364
Cambodia,KHM,1996,7.3907933
Cambodia,KHM,1997,7.4506497
Cambodia,KHM,1998,7.5105066
Cambodia,KHM,1999,7.570363
Cambodia,KHM,2000,7.63022
Cambodia,KHM,2001,8.23616
Cambodia,KHM,2002,9.32035
Cambodia,KHM,2003,9.72065
Cambodia,KHM,2004,10.00886
Cambodia,KHM,2005,10.185155
Cambodia,KHM,2006,10.36145
Cambodia,KHM,2007,10.53529
Cambodia,KHM,2008,10.55445
Cambodia,KHM,2009,10.652266
Cambodia,KHM,2010,10.747461
Cambodia,KHM,2011,10.843508
Cambodia,KHM,2012,10.9404125
Cambodia,KHM,2013,11.038183
Cambodia,KHM,2014,11.136827
Cambodia,KHM,2015,11.236354
Cambodia,KHM,2016,11.336769
Cambodia,KHM,2017,11.336769
Cambodia,KHM,2018,11.336769
Cambodia,KHM,2019,11.46772
Cambodia,KHM,2020,11.46772
Cambodia,KHM,2021,11.46772
China,CHN,1990,8.63022
China,CHN,1991,8.67032
China,CHN,1992,8.77146
China,CHN,1993,8.81295
China,CHN,1994,8.80675
China,CHN,1995,8.94741
China,CHN,1996,9.0822
China,CHN,1997,9.11989
China,CHN,1998,9.30984
China,CHN,1999,9.49979
China,CHN,2000,9.68974
China,CHN,2001,9.87969
China,CHN,2002,10.182942
China,CHN,2003,10.486195
China,CHN,2004,10.789446
China,CHN,2005,11.092698
China,CHN,2006,11.39595
China,CHN,2007,11.7249
China,CHN,2008,11.9934
China,CHN,2009,12.23435
China,CHN,2010,12.42572
China,CHN,2011,12.63595
China,CHN,2012,12.84618
China,CHN,2013,13.05641
China,CHN,2014,13.26664
China,CHN,2015,13.476871
China,CHN,2016,13.6871
China,CHN,2017,13.89733
China,CHN,2018,14.03231
China,CHN,2019,14.2361145
China,CHN,2020,14.2361145
China,CHN,2021,14.2361145
Hong Kong,HKG,1990,13.0546665
Hong Kong,HKG,1991,13.172327
Hong Kong,HKG,1992,13.291049
Hong Kong,HKG,1993,13.41084
Hong Kong,HKG,1994,13.531712
Hong Kong,HKG,1995,13.653672
Hong Kong,HKG,1996,13.776732
Hong Kong,HKG,1997,13.900901
Hong Kong,HKG,1998,14.02619
Hong Kong,HKG,1999,14.152607
Hong Kong,HKG,2000,14.280164
Hong Kong,HKG,2001,14.40887
Hong Kong,HKG,2002,14.538736
Hong Kong,HKG,2003,14.669773
Hong Kong,HKG,2004,14.801991
Hong Kong,HKG,2005,14.935401
Hong Kong,HKG,2006,15.070013
Hong Kong,HKG,2007,15.205838
Hong Kong,HKG,2008,15.342888
Hong Kong,HKG,2009,15.481173
Hong Kong,HKG,2010,15.620704
Hong Kong,HKG,2011,15.761493
Hong Kong,HKG,2012,15.90355
Hong Kong,HKG,2013,16.09333
Hong Kong,HKG,2014,16.31943
Hong Kong,HKG,2015,16.45096
Hong Kong,HKG,2016,16.46667
Hong Kong,HKG,2017,16.63245
Hong Kong,HKG,2018,16.92947
Hong Kong,HKG,2019,17.22212
Hong Kong,HKG,2020,17.27817
Hong Kong,HKG,2021,17.27817
India,IND,1990,7.996358
India,IND,1991,8.026843
India,IND,1992,8.057445
India,IND,1993,8.088162
India,IND,1994,8.118998
India,IND,1995,8.14995
India,IND,1996,8.17555
India,IND,1997,8.20985
India,IND,1998,8.2420635
India,IND,1999,8.274277
India,IND,2000,8.30649
India,IND,2001,8.33717
India,IND,2002,8.52784
India,IND,2003,9.12217
