Entity,Code,Year,2_1_FDI_outflows_share_GDP
Bahrain,BHR,1980,0
Bahrain,BHR,1981,0
Bahrain,BHR,1982,0.16457542777061462
Bahrain,BHR,1983,0
Bahrain,BHR,1984,0
Bahrain,BHR,1985,-0.20228837430477142
Bahrain,BHR,1986,0.8874852061271667
Bahrain,BHR,1987,0.5330260396003723
Bahrain,BHR,1988,0.6908974647521973
Bahrain,BHR,1989,0.6960589289665222
Bahrain,BHR,1990,7.07997989654541
Bahrain,BHR,1991,1.0831364393234253
Bahrain,BHR,1992,1.1139721870422363
Bahrain,BHR,1993,0.7466884851455688
Bahrain,BHR,1994,3.5683579444885254
Bahrain,BHR,1995,-0.2748258113861084
Bahrain,BHR,1996,4.995559215545654
Bahrain,BHR,1997,0.7504178285598755
Bahrain,BHR,1998,2.9241724014282227
Bahrain,BHR,1999,2.467167854309082
Bahrain,BHR,2000,0.1054045557975769
Bahrain,BHR,2001,2.405870199203491
Bahrain,BHR,2002,1.9808199405670166
Bahrain,BHR,2003,6.694059371948242
Bahrain,BHR,2004,7.875480651855469
Bahrain,BHR,2005,7.109975814819336
Bahrain,BHR,2006,5.296221733093262
Bahrain,BHR,2007,7.681311130523682
Bahrain,BHR,2008,6.302690505981445
Bahrain,BHR,2009,-7.810063362121582
Bahrain,BHR,2010,1.2991056442260742
Bahrain,BHR,2011,3.105360507965088
Bahrain,BHR,2012,1.6779481172561646
Bahrain,BHR,2013,1.6338586807250977
Bahrain,BHR,2014,-1.1813174486160278
Bahrain,BHR,2015,10.27662467956543
Bahrain,BHR,2016,-2.730119228363037
Bahrain,BHR,2017,0.6455172896385193
Bahrain,BHR,2018,4.008203506469727
Bahrain,BHR,2019,-0.5098611116409302
Bahrain,BHR,2020,-0.5904340744018555
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0.0015823615249246359
Bangladesh,BGD,1991,0.001292094704695046
Bangladesh,BGD,1992,0.00031536913593299687
Bangladesh,BGD,1993,0.0006030177464708686
Bangladesh,BGD,1994,0.0005922651034779847
Bangladesh,BGD,1995,0.004480788949877024
Bangladesh,BGD,1996,0.02691732905805111
Bangladesh,BGD,1997,0.006354364100843668
Bangladesh,BGD,1998,0.006006175652146339
Bangladesh,BGD,1999,0.00011695598368532956
Bangladesh,BGD,2000,0.003747438546270132
Bangladesh,BGD,2001,0.03815430402755737
Bangladesh,BGD,2002,0.004828746430575848
Bangladesh,BGD,2003,0.004617465194314718
Bangladesh,BGD,2004,0.006249291356652975
Bangladesh,BGD,2005,0.0027935390826314688
Bangladesh,BGD,2006,0.005005382001399994
Bangladesh,BGD,2007,0.16864755749702454
Bangladesh,BGD,2008,0.20807383954524994
Bangladesh,BGD,2009,0.1764569878578186
Bangladesh,BGD,2010,0.05763585865497589
Bangladesh,BGD,2011,0.23121824860572815
Bangladesh,BGD,2012,0.21675775945186615
Bangladesh,BGD,2013,0.3646077513694763
Bangladesh,BGD,2014,0.024160461500287056
Bangladesh,BGD,2015,0.03070659749209881
Bangladesh,BGD,2016,0.018298862501978874
Bangladesh,BGD,2017,0.05075559765100479
Bangladesh,BGD,2018,0.007009968161582947
Bangladesh,BGD,2019,0.007621925789862871
Bangladesh,BGD,2020,0.003134428756311536
Bhutan,BTN,2006,0
Bhutan,BTN,2014,0
Bhutan,BTN,2015,0
Bhutan,BTN,2016,0
Bhutan,BTN,2017,0
Bhutan,BTN,2018,0
Bhutan,BTN,2019,0
Bhutan,BTN,2020,0
Brunei,BRN,2004,0.5281147956848145
Brunei,BRN,2006,0.15218491852283478
Cambodia,KHM,1998,-3.4340908527374268
Cambodia,KHM,1999,-3.437946319580078
Cambodia,KHM,2000,-0.6459161639213562
Cambodia,KHM,2001,0.10975194722414017
Cambodia,KHM,2002,-0.18963459134101868
Cambodia,KHM,2003,0.1558740884065628
Cambodia,KHM,2004,0.19189433753490448
Cambodia,KHM,2005,0.06797979772090912
Cambodia,KHM,2006,0.11522043496370316
Cambodia,KHM,2007,0.012675318866968155
Cambodia,KHM,2008,0.19792306423187256
Cambodia,KHM,2009,0.1814410388469696
Cambodia,KHM,2010,0.1830597072839737
Cambodia,KHM,2011,0.22732709348201752
Cambodia,KHM,2012,0.25742870569229126
Cambodia,KHM,2013,0.40890756249427795
Cambodia,KHM,2014,0.4913210868835449
Cambodia,KHM,2015,0.48621195554733276
Cambodia,KHM,2016,0.3950415849685669
Cambodia,KHM,2017,0.5179105997085571
Cambodia,KHM,2018,0.5044963955879211
Cambodia,KHM,2019,0.3759315013885498
Cambodia,KHM,2020,0.4921347200870514
China,CHN,1982,0.02145402692258358
China,CHN,1983,0.040314409881830215
China,CHN,1984,0.05154906585812569
China,CHN,1985,0.20323887467384338
China,CHN,1986,0.1496219038963318
China,CHN,1987,0.23628713190555573
China,CHN,1988,0.2721274495124817
China,CHN,1989,0.22428742051124573
China,CHN,1990,0.23000742495059967
China,CHN,1991,0.23814907670021057
China,CHN,1992,0.9369531273841858
China,CHN,1993,0.9893614649772644
China,CHN,1994,0.3544059097766876
China,CHN,1995,0.2722763121128082
China,CHN,1996,0.24474766850471497
China,CHN,1997,0.39153334498405457
China,CHN,1998,0.4399232566356659
China,CHN,1999,0.36892232298851013
China,CHN,2000,0.3807332217693329
China,CHN,2001,0.723908543586731
China,CHN,2002,0.427326500415802
China,CHN,2003,0.5093142986297607
China,CHN,2004,0.40773335099220276
China,CHN,2005,0.600602388381958
China,CHN,2006,0.8695876598358154
China,CHN,2007,0.48318713903427124
China,CHN,2008,1.2350562810897827
China,CHN,2009,0.8603006601333618
China,CHN,2010,0.9520624279975891
China,CHN,2011,0.6412056088447571
China,CHN,2012,0.7613881230354309
China,CHN,2013,0.7624637484550476
China,CHN,2014,1.175384521484375
China,CHN,2015,1.5765478610992432
China,CHN,2016,1.9266369342803955
China,CHN,2017,1.1233807802200317
China,CHN,2018,1.0293519496917725
China,CHN,2019,0.9587576985359192
China,CHN,2020,0.7466129660606384
Hong Kong,HKG,1980,0.28411296010017395
Hong Kong,HKG,1981,0.09982158243656158
Hong Kong,HKG,1982,0.16103406250476837
Hong Kong,HKG,1983,1.89252769947052
Hong Kong,HKG,1984,3.2108492851257324
Hong Kong,HKG,1985,2.691911220550537
Hong Kong,HKG,1986,3.3401849269866943
Hong Kong,HKG,1987,4.578985214233398
Hong Kong,HKG,1988,4.242354869842529
Hong Kong,HKG,1989,3.9831156730651855
Hong Kong,HKG,1990,3.1821842193603516
Hong Kong,HKG,1991,3.17559814453125
Hong Kong,HKG,1992,7.915814399719238
Hong Kong,HKG,1993,14.717423439025879
Hong Kong,HKG,1994,15.784311294555664
Hong Kong,HKG,1995,17.28274917602539
Hong Kong,HKG,1996,16.611154556274414
Hong Kong,HKG,1997,13.761723518371582
Hong Kong,HKG,1998,9.844278335571289
Hong Kong,HKG,1999,13.395277976989746
Hong Kong,HKG,2000,40.76716995239258
Hong Kong,HKG,2001,11.974936485290527
Hong Kong,HKG,2002,9.767743110656738
Hong Kong,HKG,2003,7.930957317352295
Hong Kong,HKG,2004,21.68600082397461
Hong Kong,HKG,2005,18.679487228393555
Hong Kong,HKG,2006,24.583229064941406
Hong Kong,HKG,2007,32.08824157714844
Hong Kong,HKG,2008,26.029983520507812
Hong Kong,HKG,2009,27.07047462463379
Hong Kong,HKG,2010,43.050987243652344
Hong Kong,HKG,2011,38.5917854309082
Hong Kong,HKG,2012,33.55401611328125
Hong Kong,HKG,2013,30.22466468811035
Hong Kong,HKG,2014,48.3402099609375
Hong Kong,HKG,2015,25.377859115600586
Hong Kong,HKG,2016,23.548398971557617
Hong Kong,HKG,2017,29.820810317993164
Hong Kong,HKG,2018,20.739255905151367
Hong Kong,HKG,2019,10.403926849365234
Hong Kong,HKG,2020,24.0699405670166
India,IND,1975,0
India,IND,1976,0
India,IND,1977,0
India,IND,1978,0
India,IND,1979,0
India,IND,1980,0.002146782586351037
India,IND,1981,0.0010336418636143208
India,IND,1982,0.0004982185200788081
India,IND,1983,0.0022908218670636415
India,IND,1984,0.0018853852525353432
India,IND,1985,0.0012902566231787205
India,IND,1986,-0.0004016290185973048
India,IND,1987,0.0017918989760801196
India,IND,1988,0.003708836156874895
India,IND,1989,0.0033778951037675142
India,IND,1990,0.001869281055405736
India,IND,1991,-0.004072485025972128
India,IND,1992,0.008327307179570198
India,IND,1993,0.00012554442218970507
India,IND,1994,0.025233566761016846
India,IND,1995,0.032527048140764236
India,IND,1996,0.060912828892469406
India,IND,1997,0.027152620255947113
India,IND,1998,0.011295326985418797
India,IND,1999,0.017295973375439644
India,IND,2000,0.10878276824951172
India,IND,2001,0.21714939177036285
India,IND,2002,0.24489767849445343
India,IND,2003,0.20369388163089752
India,IND,2004,0.2590519189834595
India,IND,2005,0.32189348340034485
India,IND,2006,1.492867350578308
India,IND,2007,1.3993273973464966
India,IND,2008,1.6061888933181763
India,IND,2009,1.1994742155075073
India,IND,2010,0.9529692530632019
India,IND,2011,0.6915879845619202
India,IND,2012,0.4679941236972809
India,IND,2013,0.09505724161863327
India,IND,2014,0.5731118321418762
India,IND,2015,0.3572123646736145
India,IND,2016,0.21994496881961823
India,IND,2017,0.4182637631893158
India,IND,2018,0.4227070212364197
India,IND,2019,0.4577837884426117
India,IND,2020,0.4181068539619446
Indonesia,IDN,1980,0.00827787909656763
Indonesia,IDN,1981,-0.0011693412670865655
Indonesia,IDN,1982,-0.0033274751622229815
Indonesia,IDN,1983,0.0024675431195646524
Indonesia,IDN,1984,0.021212982013821602
Indonesia,IDN,1985,0.03869175538420677
Indonesia,IDN,1986,-0.013757898472249508
Indonesia,IDN,1987,-0.006585045717656612
Indonesia,IDN,1988,0.030842166393995285
Indonesia,IDN,1989,0.0338798463344574
Indonesia,IDN,1990,-0.01036359928548336
Indonesia,IDN,1991,0.011147125624120235
Indonesia,IDN,1992,0.5576950311660767
Indonesia,IDN,1993,0.225306898355484
Indonesia,IDN,1994,0.34427759051322937
Indonesia,IDN,1995,0.29831987619400024
Indonesia,IDN,1996,0.2638874351978302
Indonesia,IDN,1997,0.08250328153371811
Indonesia,IDN,1998,0.04609958454966545
Indonesia,IDN,1999,0.05142807587981224
Indonesia,IDN,2000,0
Indonesia,IDN,2001,0
Indonesia,IDN,2002,0
Indonesia,IDN,2003,0
Indonesia,IDN,2004,1.3269122838974
Indonesia,IDN,2005,1.0721708536148071
Indonesia,IDN,2006,0.7476614117622375
Indonesia,IDN,2007,1.0816680192947388
Indonesia,IDN,2008,1.1562914848327637
Indonesia,IDN,2009,0.4168281555175781
Indonesia,IDN,2010,0.5543251037597656
Indonesia,IDN,2011,1.0119659900665283
Indonesia,IDN,2012,0.8154262900352478
Indonesia,IDN,2013,1.2176868915557861
Indonesia,IDN,2014,1.1660711765289307
Indonesia,IDN,2015,1.0541447401046753
Indonesia,IDN,2016,-1.2441768646240234
Indonesia,IDN,2017,0.19773876667022705
Indonesia,IDN,2018,0.6139681935310364
Indonesia,IDN,2019,0.3987593650817871
Indonesia,IDN,2020,0.47516918182373047
Japan,JPN,1970,0.1669730246067047
Japan,JPN,1971,0.14990517497062683
Japan,JPN,1972,0.227336123585701
Japan,JPN,1973,0.4406564235687256
Japan,JPN,1974,0.41949352622032166
Japan,JPN,1975,0.33803611993789673
Japan,JPN,1976,0.33966726064682007
Japan,JPN,1977,0.22802510857582092
Japan,JPN,1978,0.23391589522361755
Japan,JPN,1979,0.2746887803077698
Japan,JPN,1980,0.21576173603534698
Japan,JPN,1981,0.4014802575111389
Japan,JPN,1982,0.4001699388027191
Japan,JPN,1983,0.2905116677284241
Japan,JPN,1984,0.45244866609573364
Japan,JPN,1985,0.46037253737449646
Japan,JPN,1986,0.6927738189697266
Japan,JPN,1987,0.7936062216758728
Japan,JPN,1988,1.15363609790802
Japan,JPN,1989,1.513993263244629
Japan,JPN,1990,1.6207424402236938
Japan,JPN,1991,0.8826615214347839
Japan,JPN,1992,0.4426986277103424
Japan,JPN,1993,0.3123612701892853
Japan,JPN,1994,0.3625049889087677
Japan,JPN,1995,0.40807992219924927
Japan,JPN,1996,0.5362663269042969
Japan,JPN,1997,0.5339447259902954
Japan,JPN,1998,0.48324400186538696
Japan,JPN,1999,0.523338258266449
Japan,JPN,2000,0.9062849879264832
Japan,JPN,2001,0.8151482939720154
Japan,JPN,2002,0.7387733459472656
Japan,JPN,2003,0.7625645399093628
Japan,JPN,2004,0.8300178050994873
Japan,JPN,2005,1.0693442821502686
