Entity,Code,Year,1_1_Forest_share
Bahrain,BHR,1990,0.28205128205128205
Bahrain,BHR,1991,0.30128205128205127
Bahrain,BHR,1992,0.3205128205128205
Bahrain,BHR,1993,0.33974358974358976
Bahrain,BHR,1994,0.35897435897435903
Bahrain,BHR,1995,0.3782051282051282
Bahrain,BHR,1996,0.39743589743589747
Bahrain,BHR,1997,0.4166666666666667
Bahrain,BHR,1998,0.43589743589743596
Bahrain,BHR,1999,0.45512820512820507
Bahrain,BHR,2000,0.4743589743589744
Bahrain,BHR,2001,0.4935897435897436
Bahrain,BHR,2002,0.5128205128205128
Bahrain,BHR,2003,0.532051282051282
Bahrain,BHR,2004,0.5512820512820512
Bahrain,BHR,2005,0.5705128205128206
Bahrain,BHR,2006,0.5897435897435898
Bahrain,BHR,2007,0.608974358974359
Bahrain,BHR,2008,0.6282051282051282
Bahrain,BHR,2009,0.6474358974358974
Bahrain,BHR,2010,0.6666666666666667
Bahrain,BHR,2011,0.6871794871794872
Bahrain,BHR,2012,0.7076923076923078
Bahrain,BHR,2013,0.7282051282051281
Bahrain,BHR,2014,0.7487179487179487
Bahrain,BHR,2015,0.7692307692307692
Bahrain,BHR,2016,0.7948717948717949
Bahrain,BHR,2017,0.8205128205128205
Bahrain,BHR,2018,0.8461538461538461
Bahrain,BHR,2019,0.8717948717948719
Bahrain,BHR,2020,0.8974358974358974
Bangladesh,BGD,1990,14.75247752938465
Bangladesh,BGD,1991,14.752475992932318
Bangladesh,BGD,1992,14.75247445647999
Bangladesh,BGD,1993,14.752472920027657
Bangladesh,BGD,1994,14.752471383575324
Bangladesh,BGD,1995,14.752469847122992
Bangladesh,BGD,1996,14.752469078896826
Bangladesh,BGD,1997,14.752467542444494
Bangladesh,BGD,1998,14.752466005992165
Bangladesh,BGD,1999,14.75246446953983
Bangladesh,BGD,2000,14.752462933087502
Bangladesh,BGD,2001,14.727890450948761
Bangladesh,BGD,2002,14.703317968810017
Bangladesh,BGD,2003,14.678745486671275
Bangladesh,BGD,2004,14.654173004532534
Bangladesh,BGD,2005,14.629600522393794
Bangladesh,BGD,2006,14.605028040255053
