Entity,Code,Year,1_1_ForestArea
Bahrain,BHR,1990,220
Bahrain,BHR,1991,235
Bahrain,BHR,1992,250
Bahrain,BHR,1993,265
Bahrain,BHR,1994,280
Bahrain,BHR,1995,295
Bahrain,BHR,1996,310
Bahrain,BHR,1997,325
Bahrain,BHR,1998,340
Bahrain,BHR,1999,355
Bahrain,BHR,2000,370
Bahrain,BHR,2001,385
Bahrain,BHR,2002,400
Bahrain,BHR,2003,415
Bahrain,BHR,2004,430
Bahrain,BHR,2005,445
Bahrain,BHR,2006,460
Bahrain,BHR,2007,475
Bahrain,BHR,2008,490
Bahrain,BHR,2009,505
Bahrain,BHR,2010,520
Bahrain,BHR,2011,536
Bahrain,BHR,2012,552
Bahrain,BHR,2013,568
Bahrain,BHR,2014,584
Bahrain,BHR,2015,600
Bahrain,BHR,2016,620
Bahrain,BHR,2017,640
Bahrain,BHR,2018,660
Bahrain,BHR,2019,680
Bahrain,BHR,2020,700
Bangladesh,BGD,1990,1920330
Bangladesh,BGD,1991,1920329.8
Bangladesh,BGD,1992,1920329.6
Bangladesh,BGD,1993,1920329.4
Bangladesh,BGD,1994,1920329.2
Bangladesh,BGD,1995,1920329
Bangladesh,BGD,1996,1920328.9
Bangladesh,BGD,1997,1920328.7
Bangladesh,BGD,1998,1920328.5
Bangladesh,BGD,1999,1920328.3
Bangladesh,BGD,2000,1920328.1
Bangladesh,BGD,2001,1917129.5
Bangladesh,BGD,2002,1913930.9
Bangladesh,BGD,2003,1910732.3
Bangladesh,BGD,2004,1907533.7
Bangladesh,BGD,2005,1904335.1
Bangladesh,BGD,2006,1901136.5
Bangladesh,BGD,2007,1897937.9
Bangladesh,BGD,2008,1894739.3
Bangladesh,BGD,2009,1891540.6
Bangladesh,BGD,2010,1888342
Bangladesh,BGD,2011,1887353.6
Bangladesh,BGD,2012,1886365.2
Bangladesh,BGD,2013,1885376.8
Bangladesh,BGD,2014,1884388.4
Bangladesh,BGD,2015,1883400
Bangladesh,BGD,2016,1883400
Bangladesh,BGD,2017,1883400
Bangladesh,BGD,2018,1883400
Bangladesh,BGD,2019,1883400
Bangladesh,BGD,2020,1883400
Bhutan,BTN,1990,2506720
Bhutan,BTN,1991,2516648
Bhutan,BTN,1992,2526576
Bhutan,BTN,1993,2536504
Bhutan,BTN,1994,2546432
Bhutan,BTN,1995,2556360
Bhutan,BTN,1996,2566288
Bhutan,BTN,1997,2576216
Bhutan,BTN,1998,2586144
Bhutan,BTN,1999,2596072
Bhutan,BTN,2000,2606000
Bhutan,BTN,2001,2615929
Bhutan,BTN,2002,2625858
Bhutan,BTN,2003,2635787
Bhutan,BTN,2004,2645716
Bhutan,BTN,2005,2655645
Bhutan,BTN,2006,2665574
Bhutan,BTN,2007,2675503
Bhutan,BTN,2008,2685432
Bhutan,BTN,2009,2695361
Bhutan,BTN,2010,2705290
Bhutan,BTN,2011,2707268
Bhutan,BTN,2012,2709246
Bhutan,BTN,2013,2711224
Bhutan,BTN,2014,2713202
Bhutan,BTN,2015,2715180
Bhutan,BTN,2016,2717160
Bhutan,BTN,2017,2719140
Bhutan,BTN,2018,2721120
Bhutan,BTN,2019,2723100
Bhutan,BTN,2020,2725080
Brunei,BRN,1990,413000
Brunei,BRN,1991,411400
Brunei,BRN,1992,409800
Brunei,BRN,1993,408200
Brunei,BRN,1994,406600
Brunei,BRN,1995,405000
Brunei,BRN,1996,403400
Brunei,BRN,1997,401800
Brunei,BRN,1998,400200
Brunei,BRN,1999,398600
Brunei,BRN,2000,397000
Brunei,BRN,2001,395300
Brunei,BRN,2002,393600
Brunei,BRN,2003,391900
Brunei,BRN,2004,390200
Brunei,BRN,2005,388500
Brunei,BRN,2006,386800
Brunei,BRN,2007,385100
Brunei,BRN,2008,383400
Brunei,BRN,2009,381700
Brunei,BRN,2010,380000
Brunei,BRN,2011,380000
Brunei,BRN,2012,380000
Brunei,BRN,2013,380000
Brunei,BRN,2014,380000
Brunei,BRN,2015,380000
Brunei,BRN,2016,380000
Brunei,BRN,2017,380000
Brunei,BRN,2018,380000
Brunei,BRN,2019,380000
Brunei,BRN,2020,380000
Cambodia,KHM,1990,11004790
Cambodia,KHM,1991,10982411
Cambodia,KHM,1992,10960032
Cambodia,KHM,1993,10937653
Cambodia,KHM,1994,10915274
Cambodia,KHM,1995,10892895
Cambodia,KHM,1996,10870516
Cambodia,KHM,1997,10848137
Cambodia,KHM,1998,10825758
Cambodia,KHM,1999,10803379
Cambodia,KHM,2000,10781000
Cambodia,KHM,2001,10761823
Cambodia,KHM,2002,10742646
Cambodia,KHM,2003,10723469
Cambodia,KHM,2004,10704292
Cambodia,KHM,2005,10685115
Cambodia,KHM,2006,10665938
Cambodia,KHM,2007,10646761
Cambodia,KHM,2008,10627584
Cambodia,KHM,2009,10608407
Cambodia,KHM,2010,10589230
Cambodia,KHM,2011,10240748
Cambodia,KHM,2012,9892266
Cambodia,KHM,2013,9543784
Cambodia,KHM,2014,9195302
Cambodia,KHM,2015,8846820
Cambodia,KHM,2016,8691130
Cambodia,KHM,2017,8535440
Cambodia,KHM,2018,8379750
Cambodia,KHM,2019,8224060
Cambodia,KHM,2020,8068370
China,CHN,1990,157140590
China,CHN,1991,159126586
China,CHN,1992,161112582
China,CHN,1993,163098578
China,CHN,1994,165084574
China,CHN,1995,167070570
China,CHN,1996,169056566
China,CHN,1997,171042562
China,CHN,1998,173028558
China,CHN,1999,175014554
China,CHN,2000,177000550
China,CHN,2001,179361533
China,CHN,2002,181722516
China,CHN,2003,184083499
China,CHN,2004,186444482
China,CHN,2005,188805465
China,CHN,2006,191166448
China,CHN,2007,193527431
