Entity,Code,Year,freeassoc_vdem_owid,freeassoc_vdem_high_owid,freeassoc_vdem_low_owid
Bahrain,BHR,1900,0.022,0.043,0.009
Bahrain,BHR,1901,0.022,0.043,0.009
Bahrain,BHR,1902,0.022,0.043,0.009
Bahrain,BHR,1903,0.022,0.043,0.009
Bahrain,BHR,1904,0.022,0.043,0.009
Bahrain,BHR,1905,0.022,0.043,0.009
Bahrain,BHR,1906,0.022,0.043,0.009
Bahrain,BHR,1907,0.022,0.043,0.009
Bahrain,BHR,1908,0.022,0.043,0.009
Bahrain,BHR,1909,0.022,0.043,0.009
Bahrain,BHR,1910,0.022,0.043,0.009
Bahrain,BHR,1911,0.022,0.043,0.009
Bahrain,BHR,1912,0.022,0.043,0.009
Bahrain,BHR,1913,0.026,0.051,0.012
Bahrain,BHR,1914,0.026,0.051,0.012
Bahrain,BHR,1915,0.026,0.051,0.012
Bahrain,BHR,1916,0.026,0.051,0.012
Bahrain,BHR,1917,0.026,0.051,0.012
Bahrain,BHR,1918,0.026,0.051,0.012
Bahrain,BHR,1919,0.026,0.051,0.012
Bahrain,BHR,1920,0.026,0.051,0.012
Bahrain,BHR,1921,0.026,0.051,0.012
Bahrain,BHR,1922,0.026,0.051,0.012
Bahrain,BHR,1923,0.026,0.051,0.012
Bahrain,BHR,1924,0.029,0.052,0.012
Bahrain,BHR,1925,0.029,0.052,0.012
Bahrain,BHR,1926,0.029,0.052,0.012
Bahrain,BHR,1927,0.029,0.052,0.012
Bahrain,BHR,1928,0.029,0.052,0.012
Bahrain,BHR,1929,0.029,0.052,0.012
Bahrain,BHR,1930,0.037,0.064,0.017
Bahrain,BHR,1931,0.037,0.064,0.017
Bahrain,BHR,1932,0.037,0.064,0.017
Bahrain,BHR,1933,0.037,0.064,0.017
Bahrain,BHR,1934,0.037,0.064,0.017
Bahrain,BHR,1935,0.037,0.064,0.017
Bahrain,BHR,1936,0.037,0.064,0.017
Bahrain,BHR,1937,0.037,0.064,0.017
Bahrain,BHR,1938,0.037,0.064,0.017
Bahrain,BHR,1939,0.037,0.064,0.017
Bahrain,BHR,1940,0.037,0.064,0.017
Bahrain,BHR,1941,0.037,0.064,0.017
Bahrain,BHR,1942,0.037,0.064,0.017
Bahrain,BHR,1943,0.037,0.064,0.017
Bahrain,BHR,1944,0.037,0.064,0.017
Bahrain,BHR,1945,0.037,0.064,0.017
Bahrain,BHR,1946,0.037,0.064,0.017
Bahrain,BHR,1947,0.037,0.064,0.017
Bahrain,BHR,1948,0.037,0.064,0.017
Bahrain,BHR,1949,0.037,0.064,0.017
Bahrain,BHR,1950,0.035,0.065,0.017
Bahrain,BHR,1951,0.035,0.065,0.017
Bahrain,BHR,1952,0.035,0.065,0.017
Bahrain,BHR,1953,0.037,0.065,0.017
Bahrain,BHR,1954,0.037,0.065,0.017
Bahrain,BHR,1955,0.037,0.065,0.017
Bahrain,BHR,1956,0.037,0.065,0.017
Bahrain,BHR,1957,0.034,0.062,0.016
Bahrain,BHR,1958,0.033,0.063,0.016
Bahrain,BHR,1959,0.036,0.066,0.017
Bahrain,BHR,1960,0.036,0.066,0.017
Bahrain,BHR,1961,0.036,0.066,0.017
Bahrain,BHR,1962,0.036,0.066,0.017
Bahrain,BHR,1963,0.036,0.066,0.017
Bahrain,BHR,1964,0.036,0.066,0.017
Bahrain,BHR,1965,0.036,0.066,0.017
Bahrain,BHR,1966,0.036,0.066,0.017
Bahrain,BHR,1967,0.036,0.066,0.017
Bahrain,BHR,1968,0.036,0.066,0.017
Bahrain,BHR,1969,0.036,0.066,0.017
Bahrain,BHR,1970,0.036,0.066,0.017
Bahrain,BHR,1971,0.044,0.076,0.021
Bahrain,BHR,1972,0.046,0.081,0.023
Bahrain,BHR,1973,0.07,0.117,0.038
Bahrain,BHR,1974,0.051,0.096,0.027
Bahrain,BHR,1975,0.05,0.086,0.026
Bahrain,BHR,1976,0.026,0.05,0.012
Bahrain,BHR,1977,0.026,0.05,0.012
Bahrain,BHR,1978,0.026,0.05,0.012
Bahrain,BHR,1979,0.026,0.05,0.012
Bahrain,BHR,1980,0.026,0.05,0.012
Bahrain,BHR,1981,0.026,0.05,0.012
Bahrain,BHR,1982,0.026,0.05,0.012
Bahrain,BHR,1983,0.026,0.05,0.012
Bahrain,BHR,1984,0.026,0.05,0.012
Bahrain,BHR,1985,0.026,0.05,0.012
Bahrain,BHR,1986,0.026,0.05,0.012
Bahrain,BHR,1987,0.026,0.05,0.012
Bahrain,BHR,1988,0.026,0.05,0.012
