Entity,Code,Year,GDP per capita growth (annual %)
Bahrain,BHR,1981,-8.916293144226074
Bahrain,BHR,1982,-10.390467643737793
Bahrain,BHR,1983,3.5595364570617676
Bahrain,BHR,1984,2.223543882369995
Bahrain,BHR,1985,-7.527451515197754
Bahrain,BHR,1986,-2.0965752601623535
Bahrain,BHR,1987,6.587008953094482
Bahrain,BHR,1988,3.2699265480041504
Bahrain,BHR,1989,-2.949533700942993
Bahrain,BHR,1990,1.3115562200546265
Bahrain,BHR,1991,8.211203575134277
Bahrain,BHR,1992,3.9731953144073486
Bahrain,BHR,1993,10.106205940246582
Bahrain,BHR,1994,-2.6780941486358643
Bahrain,BHR,1995,1.3288748264312744
Bahrain,BHR,1996,1.4179325103759766
Bahrain,BHR,1997,0.27431660890579224
Bahrain,BHR,1998,1.5849874019622803
Bahrain,BHR,1999,0.5570686459541321
Bahrain,BHR,2000,0.8526904582977295
Bahrain,BHR,2001,-2.3489227294921875
Bahrain,BHR,2002,-1.9359829425811768
Bahrain,BHR,2003,0.3492533266544342
Bahrain,BHR,2004,0.38842129707336426
Bahrain,BHR,2005,-0.35300198197364807
Bahrain,BHR,2006,-1.227455496788025
Bahrain,BHR,2007,0.1921207159757614
Bahrain,BHR,2008,-1.2584666013717651
Bahrain,BHR,2009,-3.554145336151123
Bahrain,BHR,2010,-0.35655027627944946
Bahrain,BHR,2011,-0.9917651414871216
Bahrain,BHR,2012,1.989467978477478
Bahrain,BHR,2013,4.207418441772461
Bahrain,BHR,2014,2.70680570602417
Bahrain,BHR,2015,-0.18759503960609436
Bahrain,BHR,2016,-0.35963934659957886
Bahrain,BHR,2017,-0.4754733741283417
Bahrain,BHR,2018,-2.7678048610687256
Bahrain,BHR,2019,-2.3225209712982178
Bahrain,BHR,2020,-8.455370903015137
Bangladesh,BGD,1961,3.159069776535034
Bangladesh,BGD,1962,2.5663044452667236
Bangladesh,BGD,1963,-3.2206311225891113
Bangladesh,BGD,1964,7.773964881896973
Bangladesh,BGD,1965,-1.4086134433746338
Bangladesh,BGD,1966,-0.6139252185821533
Bangladesh,BGD,1967,-4.9950642585754395
Bangladesh,BGD,1968,6.102955341339111
Bangladesh,BGD,1969,-1.623466968536377
Bangladesh,BGD,1970,3.0666556358337402
Bangladesh,BGD,1971,-7.353329658508301
Bangladesh,BGD,1972,-15.38637924194336
Bangladesh,BGD,1973,1.7799625396728516
Bangladesh,BGD,1974,7.83082389831543
Bangladesh,BGD,1975,-5.900720596313477
Bangladesh,BGD,1976,3.32247257232666
Bangladesh,BGD,1977,0.14170479774475098
Bangladesh,BGD,1978,4.254809856414795
Bangladesh,BGD,1979,1.9912898540496826
Bangladesh,BGD,1980,-1.8525797128677368
Bangladesh,BGD,1981,4.4431562423706055
Bangladesh,BGD,1982,-0.4997241497039795
Bangladesh,BGD,1983,1.2155290842056274
Bangladesh,BGD,1984,2.10780930519104
Bangladesh,BGD,1985,0.6690330505371094
Bangladesh,BGD,1986,1.46427583694458
Bangladesh,BGD,1987,1.0785324573516846
Bangladesh,BGD,1988,-0.20728956162929535
Bangladesh,BGD,1989,0.274084210395813
Bangladesh,BGD,1990,3.086982011795044
Bangladesh,BGD,1991,1.1066471338272095
Bangladesh,BGD,1992,3.11421537399292
Bangladesh,BGD,1993,2.4655823707580566
Bangladesh,BGD,1994,1.6904165744781494
Bangladesh,BGD,1995,2.9012441635131836
Bangladesh,BGD,1996,2.3196351528167725
Bangladesh,BGD,1997,2.3066768646240234
Bangladesh,BGD,1998,3.0146830081939697
Bangladesh,BGD,1999,2.5742082595825195
Bangladesh,BGD,2000,3.2574965953826904
Bangladesh,BGD,2001,3.1138060092926025
Bangladesh,BGD,2002,1.9603948593139648
Bangladesh,BGD,2003,2.941850185394287
Bangladesh,BGD,2004,3.553358554840088
Bangladesh,BGD,2005,4.965840816497803
Bangladesh,BGD,2006,5.244541168212891
Bangladesh,BGD,2007,5.753407001495361
Bangladesh,BGD,2008,4.80617618560791
Bangladesh,BGD,2009,3.8785006999969482
Bangladesh,BGD,2010,4.390963077545166
Bangladesh,BGD,2011,5.253547191619873
Bangladesh,BGD,2012,5.299260139465332
Bangladesh,BGD,2013,4.795196056365967
Bangladesh,BGD,2014,4.8557562828063965
Bangladesh,BGD,2015,5.366866111755371
Bangladesh,BGD,2016,5.946678161621094
Bangladesh,BGD,2017,6.136478424072266
Bangladesh,BGD,2018,6.7332987785339355
Bangladesh,BGD,2019,7.045288562774658
Bangladesh,BGD,2020,2.4763598442077637
Bhutan,BTN,1981,12.031859397888184
Bhutan,BTN,1982,0.8278434872627258
Bhutan,BTN,1983,7.698003768920898
Bhutan,BTN,1984,1.859086036682129
Bhutan,BTN,1985,1.1619807481765747
Bhutan,BTN,1986,8.036815643310547
Bhutan,BTN,1987,24.97367286682129
Bhutan,BTN,1988,1.6381198167800903
Bhutan,BTN,1989,4.756655216217041
Bhutan,BTN,1990,8.588875770568848
