Entity,Code,Year,2_1_GDPPC2015
Bahrain,BHR,1980,21450.552734375
Bahrain,BHR,1981,19537.958984375
Bahrain,BHR,1982,17507.873046875
Bahrain,BHR,1983,18131.072265625
Bahrain,BHR,1984,18534.224609375
Bahrain,BHR,1985,17139.0703125
Bahrain,BHR,1986,16779.736328125
Bahrain,BHR,1987,17885.01953125
Bahrain,BHR,1988,18469.845703125
Bahrain,BHR,1989,17925.072265625
Bahrain,BHR,1990,18160.169921875
Bahrain,BHR,1991,19651.337890625
Bahrain,BHR,1992,20432.123046875
Bahrain,BHR,1993,22497.037109375
Bahrain,BHR,1994,21894.544921875
Bahrain,BHR,1995,22185.49609375
Bahrain,BHR,1996,22500.0703125
Bahrain,BHR,1997,22561.79296875
Bahrain,BHR,1998,22919.39453125
Bahrain,BHR,1999,23047.0703125
Bahrain,BHR,2000,23243.591796875
Bahrain,BHR,2001,22697.6171875
Bahrain,BHR,2002,22258.1953125
Bahrain,BHR,2003,22335.931640625
Bahrain,BHR,2004,22422.689453125
Bahrain,BHR,2005,22343.537109375
Bahrain,BHR,2006,22069.28125
Bahrain,BHR,2007,22111.6796875
Bahrain,BHR,2008,21833.412109375
Bahrain,BHR,2009,21057.419921875
Bahrain,BHR,2010,20982.33984375
Bahrain,BHR,2011,20774.244140625
Bahrain,BHR,2012,21187.541015625
Bahrain,BHR,2013,22078.990234375
Bahrain,BHR,2014,22676.625
Bahrain,BHR,2015,22634.0859375
Bahrain,BHR,2016,22552.68359375
Bahrain,BHR,2017,22445.453125
Bahrain,BHR,2018,21824.20703125
Bahrain,BHR,2019,21317.333984375
Bahrain,BHR,2020,19514.875
Bangladesh,BGD,1960,463.3573913574219
Bangladesh,BGD,1961,477.99517822265625
Bangladesh,BGD,1962,490.2619934082031
Bangladesh,BGD,1963,474.4724426269531
Bangladesh,BGD,1964,511.3577880859375
Bangladesh,BGD,1965,504.15472412109375
Bangladesh,BGD,1966,501.0596008300781
Bangladesh,BGD,1967,476.0313415527344
Bangladesh,BGD,1968,505.08331298828125
Bangladesh,BGD,1969,496.8834533691406
Bangladesh,BGD,1970,512.1211547851562
Bangladesh,BGD,1971,474.46319580078125
Bangladesh,BGD,1972,401.46051025390625
Bangladesh,BGD,1973,408.6063537597656
Bangladesh,BGD,1974,440.60357666015625
Bangladesh,BGD,1975,414.60479736328125
Bangladesh,BGD,1976,428.37994384765625
Bangladesh,BGD,1977,428.9869689941406
Bangladesh,BGD,1978,447.2395324707031
Bangladesh,BGD,1979,456.1453857421875
Bangladesh,BGD,1980,447.6949157714844
Bangladesh,BGD,1981,467.5867004394531
Bangladesh,BGD,1982,465.25006103515625
Bangladesh,BGD,1983,470.9053039550781
Bangladesh,BGD,1984,480.8310852050781
Bangladesh,BGD,1985,484.0480041503906
Bangladesh,BGD,1986,491.13580322265625
Bangladesh,BGD,1987,496.4328918457031
Bangladesh,BGD,1988,495.40380859375
Bangladesh,BGD,1989,496.76165771484375
Bangladesh,BGD,1990,512.0966186523438
