Entity,Code,Year,2_1_GDPPC_Growth
abc,BHR,1981,-1912.59
abc,BHR,1982,-2030.09
abc,BHR,1983,623.199
abc,BHR,1984,403.152
abc,BHR,1985,-1395.15
abc,BHR,1986,-359.334
abc,BHR,1987,1105.28
abc,BHR,1988,584.826
abc,BHR,1989,-544.773
abc,BHR,1990,235.098
abc,BHR,1991,1491.17
abc,BHR,1992,780.785
abc,BHR,1993,2064.91
abc,BHR,1994,-602.492
abc,BHR,1995,290.951
abc,BHR,1996,314.574
abc,BHR,1997,61.7227
abc,BHR,1998,357.602
abc,BHR,1999,127.676
abc,BHR,2000,196.521
abc,BHR,2001,-545.975
abc,BHR,2002,-439.422
abc,BHR,2003,77.7363
abc,BHR,2004,86.7578
abc,BHR,2005,-79.1523
abc,BHR,2006,-274.256
abc,BHR,2007,42.3984
abc,BHR,2008,-278.268
abc,BHR,2009,-775.992
abc,BHR,2010,-75.0801
abc,BHR,2011,-208.096
abc,BHR,2012,413.297
abc,BHR,2013,891.449
abc,BHR,2014,597.635
abc,BHR,2015,-42.5391
abc,BHR,2016,-81.4023
abc,BHR,2017,-107.23
abc,BHR,2018,-621.246
abc,BHR,2019,-506.873
abc,BHR,2020,-1802.46
abc,BGD,1961,14.6378
abc,BGD,1962,12.2668
abc,BGD,1963,-15.7896
abc,BGD,1964,36.8853
abc,BGD,1965,-7.20306
abc,BGD,1966,-3.09512
abc,BGD,1967,-25.0283
abc,BGD,1968,29.052
abc,BGD,1969,-8.19986
abc,BGD,1970,15.2377
abc,BGD,1971,-37.658
abc,BGD,1972,-73.0027
abc,BGD,1973,7.14584
abc,BGD,1974,31.9972
abc,BGD,1975,-25.9988
abc,BGD,1976,13.7751
abc,BGD,1977,0.607025
abc,BGD,1978,18.2526
abc,BGD,1979,8.90585
abc,BGD,1980,-8.45047
abc,BGD,1981,19.8918
abc,BGD,1982,-2.33664
abc,BGD,1983,5.65524
abc,BGD,1984,9.92578
abc,BGD,1985,3.21692
abc,BGD,1986,7.0878
abc,BGD,1987,5.29709
abc,BGD,1988,-1.02908
abc,BGD,1989,1.35785
abc,BGD,1990,15.335
abc,BGD,1991,5.66705
abc,BGD,1992,16.1243
abc,BGD,1993,13.1635
abc,BGD,1994,9.2475
abc,BGD,1995,16.1396
abc,BGD,1996,13.2784
abc,BGD,1997,13.5106
abc,BGD,1998,18.0648
abc,BGD,1999,15.8904
abc,BGD,2000,20.6259
abc,BGD,2001,20.3583
abc,BGD,2002,13.2163
abc,BGD,2003,20.2218
abc,BGD,2004,25.1437
abc,BGD,2005,36.3871
abc,BGD,2006,40.3376
abc,BGD,2007,46.5723
abc,BGD,2008,41.1431
abc,BGD,2009,34.7975
abc,BGD,2010,40.9232
abc,BGD,2011,51.1123
abc,BGD,2012,54.2656
abc,BGD,2013,51.7059
abc,BGD,2014,54.8698
abc,BGD,2015,63.5901
abc,BGD,2016,74.2415
abc,BGD,2017,81.1669
abc,BGD,2018,94.5262
abc,BGD,2019,105.566
abc,BGD,2020,39.7197
abc,BTN,1981,48.3366
abc,BTN,1982,3.72592
abc,BTN,1983,34.9337
abc,BTN,1984,9.086
abc,BTN,1985,5.78461
abc,BTN,1986,40.4738
abc,BTN,1987,135.877
abc,BTN,1988,11.1385
abc,BTN,1989,32.873
abc,BTN,1990,62.1807
abc,BTN,1991,-8.8241
abc,BTN,1992,35.9342
abc,BTN,1993,19.1677
abc,BTN,1994,42.3427
abc,BTN,1995,57.1098
abc,BTN,1996,39.4302
abc,BTN,1997,33.1962
abc,BTN,1998,35.5319
abc,BTN,1999,56.7845
abc,BTN,2000,11.6184
abc,BTN,2001,67.417
abc,BTN,2002,103.021
abc,BTN,2003,74.1012
abc,BTN,2004,56.6689
abc,BTN,2005,79.5638
abc,BTN,2006,83.2504
abc,BTN,2007,267.809
abc,BTN,2008,68.9742
abc,BTN,2009,108.658
abc,BTN,2010,217.419
