Entity,Code,Year,2_1_GDP_2015_USD
Bahrain,BHR,1980,7719989760
Bahrain,BHR,1981,7309540864
Bahrain,BHR,1982,6757216256
Bahrain,BHR,1983,7188081664
Bahrain,BHR,1984,7547747840
Bahrain,BHR,1985,7188605952
Bahrain,BHR,1986,7273646592
Bahrain,BHR,1987,8030033920
Bahrain,BHR,1988,8592135168
Bahrain,BHR,1989,8623411200
Bahrain,BHR,1990,9006117888
Bahrain,BHR,1991,10017505280
Bahrain,BHR,1992,10687676416
Bahrain,BHR,1993,12063180800
Bahrain,BHR,1994,12033022976
Bahrain,BHR,1995,12505919488
Bahrain,BHR,1996,13019913216
Bahrain,BHR,1997,13422619648
Bahrain,BHR,1998,14065563648
Bahrain,BHR,1999,14670382080
Bahrain,BHR,2000,15447922688
Bahrain,BHR,2001,15832722432
Bahrain,BHR,2002,16362889216
Bahrain,BHR,2003,17393168384
Bahrain,BHR,2004,18607380480
Bahrain,BHR,2005,19866912768
Bahrain,BHR,2006,21151705088
Bahrain,BHR,2007,22906019840
Bahrain,BHR,2008,24336502784
Bahrain,BHR,2009,24954621952
Bahrain,BHR,2010,26036230144
Bahrain,BHR,2011,26552664064
Bahrain,BHR,2012,27542575104
Bahrain,BHR,2013,29034512384
Bahrain,BHR,2014,30297626624
Bahrain,BHR,2015,31050637312
Bahrain,BHR,2016,32155459584
Bahrain,BHR,2017,33535234048
Bahrain,BHR,2018,34251782144
Bahrain,BHR,2019,34985242624
Bahrain,BHR,2020,33206179840
Bangladesh,BGD,1960,22247411712
Bangladesh,BGD,1961,23595196416
Bangladesh,BGD,1962,24881850368
Bangladesh,BGD,1963,24768415744
Bangladesh,BGD,1964,27481247744
Bangladesh,BGD,1965,27922667520
Bangladesh,BGD,1966,28639389696
Bangladesh,BGD,1967,28102152192
Bangladesh,BGD,1968,30768893952
Bangladesh,BGD,1969,31144538112
Bangladesh,BGD,1970,32894816256
Bangladesh,BGD,1971,31092348928
Bangladesh,BGD,1972,26747588608
Bangladesh,BGD,1973,27637129216
Bangladesh,BGD,1974,30288068608
Bangladesh,BGD,1975,29049829376
Bangladesh,BGD,1976,30694445056
Bangladesh,BGD,1977,31514923008
Bangladesh,BGD,1978,33744238592
Bangladesh,BGD,1979,35364511744
Bangladesh,BGD,1980,35654197248
Bangladesh,BGD,1981,38233403392
Bangladesh,BGD,1982,39049428992
Bangladesh,BGD,1983,40564957184
Bangladesh,BGD,1984,42513416192
Bangladesh,BGD,1985,43934220288
Bangladesh,BGD,1986,45767766016
Bangladesh,BGD,1987,47494307840
Bangladesh,BGD,1988,48641892352
Bangladesh,BGD,1989,50021658624
Bangladesh,BGD,1990,52834009088
Bangladesh,BGD,1991,54675394560
Bangladesh,BGD,1992,57651204096
Bangladesh,BGD,1993,60367474688
Bangladesh,BGD,1994,62715846656
Bangladesh,BGD,1995,65927696384
Bangladesh,BGD,1996,68909555712
Bangladesh,BGD,1997,72003526656
Bangladesh,BGD,1998,75731165184
Bangladesh,BGD,1999,79267930112
Bangladesh,BGD,2000,83463815168
Bangladesh,BGD,2001,87701512192
Bangladesh,BGD,2002,91063222272
Bangladesh,BGD,2003,95379218432
Bangladesh,BGD,2004,100376649728
Bangladesh,BGD,2005,106937212928
Bangladesh,BGD,2006,114071961600
Bangladesh,BGD,2007,122123837440
Bangladesh,BGD,2008,129468112896
Bangladesh,BGD,2009,135999938560
Bangladesh,BGD,2010,143577563136
Bangladesh,BGD,2011,152858968064
Bangladesh,BGD,2012,162827599872
Bangladesh,BGD,2013,172619415552
Bangladesh,BGD,2014,183081975808
Bangladesh,BGD,2015,195078684672
Bangladesh,BGD,2016,208955555840
Bangladesh,BGD,2017,224176242688
Bangladesh,BGD,2018,241804918784
Bangladesh,BGD,2019,261518508032
Bangladesh,BGD,2020,270695546880
Bhutan,BTN,1980,163460688
Bhutan,BTN,1981,188179696
Bhutan,BTN,1982,194652656
Bhutan,BTN,1983,214956896
Bhutan,BTN,1984,224751760
Bhutan,BTN,1985,233805952
Bhutan,BTN,1986,260441584
Bhutan,BTN,1987,336111136
Bhutan,BTN,1988,352134816
Bhutan,BTN,1989,378036320
Bhutan,BTN,1990,417288288
Bhutan,BTN,1991,415586272
Bhutan,BTN,1992,434706944
Bhutan,BTN,1993,443341792
Bhutan,BTN,1994,465293888
Bhutan,BTN,1995,498209312
Bhutan,BTN,1996,525935552
Bhutan,BTN,1997,554198464
Bhutan,BTN,1998,586973952
Bhutan,BTN,1999,633837760
Bhutan,BTN,2000,655103424
Bhutan,BTN,2001,709797760
Bhutan,BTN,2002,787820736
Bhutan,BTN,2003,849454336
Bhutan,BTN,2004,900495808
Bhutan,BTN,2005,966117184
Bhutan,BTN,2006,1033742848
Bhutan,BTN,2007,1223546880
Bhutan,BTN,2008,1282270592
Bhutan,BTN,2009,1368802432
Bhutan,BTN,2010,1532318208
Bhutan,BTN,2011,1654637312
Bhutan,BTN,2012,1739328256
Bhutan,BTN,2013,1776201472
Bhutan,BTN,2014,1878803712
Bhutan,BTN,2015,2003598208
Bhutan,BTN,2016,2166431232
Bhutan,BTN,2017,2267210240
Bhutan,BTN,2018,2336476416
Bhutan,BTN,2019,2470944512
Bhutan,BTN,2020,2221963776
Brunei,BRN,1974,6708427776
Brunei,BRN,1975,6732274176
Brunei,BRN,1976,8089190400
Brunei,BRN,1977,8972262400
Brunei,BRN,1978,9580208128
Brunei,BRN,1979,11741735936
Brunei,BRN,1980,10920201216
Brunei,BRN,1981,8755084288
Brunei,BRN,1982,9101493248
Brunei,BRN,1983,9147133952
Brunei,BRN,1984,9202004992
Brunei,BRN,1985,9064825856
Brunei,BRN,1986,8818673664
Brunei,BRN,1987,8995852288
Brunei,BRN,1988,9094569984
Brunei,BRN,1989,8996878336
Brunei,BRN,1990,9094891520
Brunei,BRN,1991,9381011456
Brunei,BRN,1992,9827415040
Brunei,BRN,1993,9857346560
Brunei,BRN,1994,10167399424
Brunei,BRN,1995,10622767104
Brunei,BRN,1996,10928524288
Brunei,BRN,1997,10767747072
Brunei,BRN,1998,10707607552
Brunei,BRN,1999,11034421248
Brunei,BRN,2000,11348838400
Brunei,BRN,2001,11660255232
Brunei,BRN,2002,12111751168
Brunei,BRN,2003,12463471616
Brunei,BRN,2004,12526326784
Brunei,BRN,2005,12574867456
Brunei,BRN,2006,13127874560
Brunei,BRN,2007,13148168192
Brunei,BRN,2008,12893130752
Brunei,BRN,2009,12665626624
Brunei,BRN,2010,12994802688
Brunei,BRN,2011,13481498624
Brunei,BRN,2012,13604563968
Brunei,BRN,2013,13315326976
Brunei,BRN,2014,12981331968
Brunei,BRN,2015,12930395136
Brunei,BRN,2016,12609990656
Brunei,BRN,2017,12777527296
Brunei,BRN,2018,12784201728
Brunei,BRN,2019,13278836736
Brunei,BRN,2020,13429361664
Cambodia,KHM,1993,5775009280
Cambodia,KHM,1994,3764806912
Cambodia,KHM,1995,4137653504
Cambodia,KHM,1996,4381671936
Cambodia,KHM,1997,4557229056
Cambodia,KHM,1998,4770581504
Cambodia,KHM,1999,5376701952
Cambodia,KHM,2000,5914027008
Cambodia,KHM,2001,6395924992
Cambodia,KHM,2002,6816709120
Cambodia,KHM,2003,7396531200
Cambodia,KHM,2004,8161371648
Cambodia,KHM,2005,9242760192
Cambodia,KHM,2006,10238306304
Cambodia,KHM,2007,11283900416
Cambodia,KHM,2008,12038971392
Cambodia,KHM,2009,12049409024
Cambodia,KHM,2010,12767924224
Cambodia,KHM,2011,13670561792
Cambodia,KHM,2012,14670337024
Cambodia,KHM,2013,15749584896
Cambodia,KHM,2014,16874510336
Cambodia,KHM,2015,18049953792
Cambodia,KHM,2016,19301414912
Cambodia,KHM,2017,20651915264
Cambodia,KHM,2018,22194442240
Cambodia,KHM,2019,23760062464
Cambodia,KHM,2020,23012192256
China,CHN,1960,158907170816
China,CHN,1961,115573186560
China,CHN,1962,109124198400
China,CHN,1963,120363991040
China,CHN,1964,142246166528
China,CHN,1965,166356893696
China,CHN,1966,184073895936
China,CHN,1967,173452836864
China,CHN,1968,166341263360
China,CHN,1969,194519482368
China,CHN,1970,232061747200
China,CHN,1971,248445304832
China,CHN,1972,257911062528
China,CHN,1973,277924970496
China,CHN,1974,284345040896
China,CHN,1975,309139931136
China,CHN,1976,304286433280
China,CHN,1977,327320895488
China,CHN,1978,364393201664
China,CHN,1979,392055455744
China,CHN,1980,422769655808
China,CHN,1981,444384870400
China,CHN,1982,484455546880
China,CHN,1983,536632393728
China,CHN,1984,618155147264
China,CHN,1985,701177528320
China,CHN,1986,763932639232
China,CHN,1987,852987543552
China,CHN,1988,948714930176
China,CHN,1989,988621045760
China,CHN,1990,1027377463296
China,CHN,1991,1122541240320
China,CHN,1992,1282217476096
China,CHN,1993,1460236976128
China,CHN,1994,1650605293568
China,CHN,1995,1831411908608
China,CHN,1996,2013134716928
China,CHN,1997,2199083548672
China,CHN,1998,2371622535168
China,CHN,1999,2553328173056
China,CHN,2000,2770107891712
China,CHN,2001,3001016909824
China,CHN,2002,3275118608384
China,CHN,2003,3603876020224
China,CHN,2004,3968358416384
China,CHN,2005,4420536893440
China,CHN,2006,4982871425024
China,CHN,2007,5691976712192
China,CHN,2008,6241291075584
China,CHN,2009,6827892801536
China,CHN,2010,7554098790400
China,CHN,2011,8275577798656
China,CHN,2012,8926348181504
China,CHN,2013,9619581698048
China,CHN,2014,10333908369408
China,CHN,2015,11061553004544
China,CHN,2016,11819132387328
China,CHN,2017,12640231358464
China,CHN,2018,13493418852352
China,CHN,2019,14296237998080
China,CHN,2020,14631844184064
Hong Kong,HKG,1961,12532981760
Hong Kong,HKG,1962,14324123648
Hong Kong,HKG,1963,16582120448
Hong Kong,HKG,1964,18012887040
Hong Kong,HKG,1965,20650385408
Hong Kong,HKG,1966,21021022208
Hong Kong,HKG,1967,21358071808
Hong Kong,HKG,1968,22083719168
Hong Kong,HKG,1969,24588728320
Hong Kong,HKG,1970,26852556800
Hong Kong,HKG,1971,28810940416
Hong Kong,HKG,1972,31868291072
Hong Kong,HKG,1973,35781562368
Hong Kong,HKG,1974,36645761024
Hong Kong,HKG,1975,36826062848
Hong Kong,HKG,1976,42778656768
Hong Kong,HKG,1977,47794741248
Hong Kong,HKG,1978,51742998528
Hong Kong,HKG,1979,57722765312
Hong Kong,HKG,1980,63557447680
Hong Kong,HKG,1981,69443330048
Hong Kong,HKG,1982,71491747840
Hong Kong,HKG,1983,75764809728
Hong Kong,HKG,1984,83321470976
Hong Kong,HKG,1985,83952304128
Hong Kong,HKG,1986,93234216960
Hong Kong,HKG,1987,105726263296
Hong Kong,HKG,1988,114725240832
Hong Kong,HKG,1989,117337546752
Hong Kong,HKG,1990,121832202240
Hong Kong,HKG,1991,128779026432
Hong Kong,HKG,1992,136808382464
Hong Kong,HKG,1993,145291984896
Hong Kong,HKG,1994,154061914112
Hong Kong,HKG,1995,157718953984
Hong Kong,HKG,1996,164435329024
Hong Kong,HKG,1997,172820971520
Hong Kong,HKG,1998,162654568448
Hong Kong,HKG,1999,166731808768
Hong Kong,HKG,2000,179509248000
Hong Kong,HKG,2001,180516077568
Hong Kong,HKG,2002,183506599936
Hong Kong,HKG,2003,189115023360
Hong Kong,HKG,2004,205568163840
Hong Kong,HKG,2005,220755902464
Hong Kong,HKG,2006,236280807424
Hong Kong,HKG,2007,251555905536
Hong Kong,HKG,2008,256908804096
Hong Kong,HKG,2009,250591051776
Hong Kong,HKG,2010,267550228480
Hong Kong,HKG,2011,280431919104
Hong Kong,HKG,2012,285200187392
Hong Kong,HKG,2013,294045777920
Hong Kong,HKG,2014,302168440832
Hong Kong,HKG,2015,309383626752
Hong Kong,HKG,2016,316095692800
Hong Kong,HKG,2017,328078884864
Hong Kong,HKG,2018,337417502720
Hong Kong,HKG,2019,331749687296
Hong Kong,HKG,2020,311574462464
India,IND,1960,136368087040
India,IND,1961,141444710400
India,IND,1962,145590648832
India,IND,1963,154317864960
India,IND,1964,165819088896
India,IND,1965,161448476672
India,IND,1966,161359151104
India,IND,1967,173987069952
India,IND,1968,179881623552
India,IND,1969,191645335552
India,IND,1970,201528934400
India,IND,1971,204839911424
India,IND,1972,203706531840
India,IND,1973,210419728384
India,IND,1974,212913897472
India,IND,1975,232395341824
India,IND,1976,236260311040
India,IND,1977,253400449024
India,IND,1978,267876024320
India,IND,1979,253844193280
India,IND,1980,270942683136
India,IND,1981,287216041984
India,IND,1982,297198911488
India,IND,1983,318861410304
India,IND,1984,331044290560
India,IND,1985,348438331392
India,IND,1986,365081722880
India,IND,1987,379558494208
India,IND,1988,416101564416
India,IND,1989,440848580608
India,IND,1990,465242718208
India,IND,1991,470159556608
India,IND,1992,495935553536
India,IND,1993,519496335360
India,IND,1994,554089185280
India,IND,1995,596058636288
India,IND,1996,641058209792
India,IND,1997,667019968512
India,IND,1998,708271210496
India,IND,1999,770923167744
India,IND,2000,800534298624
India,IND,2001,839151779840
India,IND,2002,871072923648
India,IND,2003,939542577152
India,IND,2004,1013981904896
India,IND,2005,1094324060160
India,IND,2006,1182534598656
India,IND,2007,1273126453248
India,IND,2008,1312423936000
India,IND,2009,1415605256192
India,IND,2010,1535897501696
India,IND,2011,1616398778368
India,IND,2012,1704595816448
India,IND,2013,1813453078528
India,IND,2014,1947834122240
India,IND,2015,2103587766272
India,IND,2016,2277266423808
India,IND,2017,2432015532032
India,IND,2018,2590898651136
India,IND,2019,2695611285504
India,IND,2020,2500132077568
Indonesia,IDN,1960,52777607168
Indonesia,IDN,1961,55807381504
Indonesia,IDN,1962,56835342336
Indonesia,IDN,1963,55563919360
Indonesia,IDN,1964,57525157888
Indonesia,IDN,1965,58147344384
Indonesia,IDN,1966,59770437632
Indonesia,IDN,1967,60595511296
Indonesia,IDN,1968,67209617408
Indonesia,IDN,1969,71794860032
Indonesia,IDN,1970,77218701312
Indonesia,IDN,1971,82642534400
Indonesia,IDN,1972,88458625024
Indonesia,IDN,1973,95627288576
Indonesia,IDN,1974,102928121856
Indonesia,IDN,1975,108051161088
Indonesia,IDN,1976,115492175872
Indonesia,IDN,1977,125610819584
Indonesia,IDN,1978,134110994432
Indonesia,IDN,1979,143933702144
Indonesia,IDN,1980,158154457088
Indonesia,IDN,1981,170691608576
Indonesia,IDN,1982,174526103552
Indonesia,IDN,1983,181843935232
Indonesia,IDN,1984,194528509952
Indonesia,IDN,1985,199318077440
Indonesia,IDN,1986,211028099072
Indonesia,IDN,1987,221423190016
Indonesia,IDN,1988,234222551040
Indonesia,IDN,1989,251687567360
Indonesia,IDN,1990,269915111424
Indonesia,IDN,1991,288571588608
Indonesia,IDN,1992,307321569280
Indonesia,IDN,1993,327286423552
Indonesia,IDN,1994,351963709440
Indonesia,IDN,1995,380895166464
