Entity,Code,Year,2_1_GDP_Growth
abc,BHR,1981,-410448896
abc,BHR,1982,-552324608
abc,BHR,1983,430865408
abc,BHR,1984,359666176
abc,BHR,1985,-359141888
abc,BHR,1986,85040640
abc,BHR,1987,756387328
abc,BHR,1988,562101248
abc,BHR,1989,31276032
abc,BHR,1990,382706688
abc,BHR,1991,1011387392
abc,BHR,1992,670171136
abc,BHR,1993,1375504384
abc,BHR,1994,-30157824
abc,BHR,1995,472896512
abc,BHR,1996,513993728
abc,BHR,1997,402706432
abc,BHR,1998,642944000
abc,BHR,1999,604818432
abc,BHR,2000,777540608
abc,BHR,2001,384799744
abc,BHR,2002,530166784
abc,BHR,2003,1030279168
abc,BHR,2004,1214212096
abc,BHR,2005,1259532288
abc,BHR,2006,1284792320
abc,BHR,2007,1754314752
abc,BHR,2008,1430482944
abc,BHR,2009,618119168
abc,BHR,2010,1081608192
abc,BHR,2011,516433920
abc,BHR,2012,989911040
abc,BHR,2013,1491937280
abc,BHR,2014,1263114240
abc,BHR,2015,753010688
abc,BHR,2016,1104822272
abc,BHR,2017,1379774464
abc,BHR,2018,716548096
abc,BHR,2019,733460480
abc,BHR,2020,-1779062784
abc,BGD,1961,1347784704
abc,BGD,1962,1286653952
abc,BGD,1963,-113434624
abc,BGD,1964,2712832000
abc,BGD,1965,441419776
abc,BGD,1966,716722176
abc,BGD,1967,-537237504
abc,BGD,1968,2666741760
abc,BGD,1969,375644160
abc,BGD,1970,1750278144
abc,BGD,1971,-1802467328
abc,BGD,1972,-4344760320
abc,BGD,1973,889540608
abc,BGD,1974,2650939392
abc,BGD,1975,-1238239232
abc,BGD,1976,1644615680
abc,BGD,1977,820477952
abc,BGD,1978,2229315584
abc,BGD,1979,1620273152
abc,BGD,1980,289685504
abc,BGD,1981,2579206144
abc,BGD,1982,816025600
abc,BGD,1983,1515528192
abc,BGD,1984,1948459008
abc,BGD,1985,1420804096
abc,BGD,1986,1833545728
abc,BGD,1987,1726541824
abc,BGD,1988,1147584512
abc,BGD,1989,1379766272
abc,BGD,1990,2812350464
abc,BGD,1991,1841385472
abc,BGD,1992,2975809536
abc,BGD,1993,2716270592
abc,BGD,1994,2348371968
abc,BGD,1995,3211849728
abc,BGD,1996,2981859328
abc,BGD,1997,3093970944
abc,BGD,1998,3727638528
abc,BGD,1999,3536764928
abc,BGD,2000,4195885056
abc,BGD,2001,4237697024
abc,BGD,2002,3361710080
abc,BGD,2003,4315996160
abc,BGD,2004,4997431296
abc,BGD,2005,6560563200
abc,BGD,2006,7134748672
abc,BGD,2007,8051875840
abc,BGD,2008,7344275456
abc,BGD,2009,6531825664
abc,BGD,2010,7577624576
abc,BGD,2011,9281404928
abc,BGD,2012,9968631808
abc,BGD,2013,9791815680
abc,BGD,2014,10462560256
abc,BGD,2015,11996708864
abc,BGD,2016,13876871168
abc,BGD,2017,15220686848
abc,BGD,2018,17628676096
abc,BGD,2019,19713589248
abc,BGD,2020,9177038848
abc,BTN,1981,24719008
abc,BTN,1982,6472960
abc,BTN,1983,20304240
abc,BTN,1984,9794864
abc,BTN,1985,9054192
abc,BTN,1986,26635632
abc,BTN,1987,75669552
abc,BTN,1988,16023680
abc,BTN,1989,25901504
abc,BTN,1990,39251968
abc,BTN,1991,-1702016
abc,BTN,1992,19120672
abc,BTN,1993,8634848
abc,BTN,1994,21952096
abc,BTN,1995,32915424
abc,BTN,1996,27726240
abc,BTN,1997,28262912
abc,BTN,1998,32775488
abc,BTN,1999,46863808
abc,BTN,2000,21265664
abc,BTN,2001,54694336
abc,BTN,2002,78022976
abc,BTN,2003,61633600
abc,BTN,2004,51041472
abc,BTN,2005,65621376
abc,BTN,2006,67625664
abc,BTN,2007,189804032
abc,BTN,2008,58723712
abc,BTN,2009,86531840
abc,BTN,2010,163515776
abc,BTN,2011,122319104
abc,BTN,2012,84690944
abc,BTN,2013,36873216
abc,BTN,2014,102602240
abc,BTN,2015,124794496
abc,BTN,2016,162833024
abc,BTN,2017,100779008
abc,BTN,2018,69266176
abc,BTN,2019,134468096
abc,BTN,2020,-248980736
abc,BRN,1975,23846400
abc,BRN,1976,1356916224
abc,BRN,1977,883072000
abc,BRN,1978,607945728
abc,BRN,1979,2161527808
abc,BRN,1980,-821534720
abc,BRN,1981,-2165116928
abc,BRN,1982,346408960
abc,BRN,1983,45640704
abc,BRN,1984,54871040
abc,BRN,1985,-137179136
abc,BRN,1986,-246152192
abc,BRN,1987,177178624
abc,BRN,1988,98717696
abc,BRN,1989,-97691648
abc,BRN,1990,98013184
abc,BRN,1991,286119936
abc,BRN,1992,446403584
abc,BRN,1993,29931520
abc,BRN,1994,310052864
abc,BRN,1995,455367680
abc,BRN,1996,305757184
abc,BRN,1997,-160777216
abc,BRN,1998,-60139520
abc,BRN,1999,326813696
abc,BRN,2000,314417152
abc,BRN,2001,311416832
abc,BRN,2002,451495936
abc,BRN,2003,351720448
abc,BRN,2004,62855168
abc,BRN,2005,48540672
abc,BRN,2006,553007104
abc,BRN,2007,20293632
abc,BRN,2008,-255037440
abc,BRN,2009,-227504128
abc,BRN,2010,329176064
abc,BRN,2011,486695936
abc,BRN,2012,123065344
abc,BRN,2013,-289236992
abc,BRN,2014,-333995008
abc,BRN,2015,-50936832
abc,BRN,2016,-320404480
abc,BRN,2017,167536640
abc,BRN,2018,6674432
abc,BRN,2019,494635008
abc,BRN,2020,150524928
abc,KHM,1994,-2010202368
abc,KHM,1995,372846592
abc,KHM,1996,244018432
abc,KHM,1997,175557120
abc,KHM,1998,213352448
abc,KHM,1999,606120448
abc,KHM,2000,537325056
abc,KHM,2001,481897984
abc,KHM,2002,420784128
abc,KHM,2003,579822080
abc,KHM,2004,764840448
abc,KHM,2005,1081388544
abc,KHM,2006,995546112
abc,KHM,2007,1045594112
abc,KHM,2008,755070976
abc,KHM,2009,10437632
abc,KHM,2010,718515200
abc,KHM,2011,902637568
abc,KHM,2012,999775232
abc,KHM,2013,1079247872
abc,KHM,2014,1124925440
abc,KHM,2015,1175443456
abc,KHM,2016,1251461120
abc,KHM,2017,1350500352
abc,KHM,2018,1542526976
abc,KHM,2019,1565620224
abc,KHM,2020,-747870208
abc,CHN,1961,-43333984256
abc,CHN,1962,-6448988160
abc,CHN,1963,11239792640
abc,CHN,1964,21882175488
abc,CHN,1965,24110727168
abc,CHN,1966,17717002240
abc,CHN,1967,-10621059072
abc,CHN,1968,-7111573504
abc,CHN,1969,28178219008
abc,CHN,1970,37542264832
abc,CHN,1971,16383557632
abc,CHN,1972,9465757696
abc,CHN,1973,20013907968
abc,CHN,1974,6420070400
abc,CHN,1975,24794890240
abc,CHN,1976,-4853497856
abc,CHN,1977,23034462208
abc,CHN,1978,37072306176
abc,CHN,1979,27662254080
abc,CHN,1980,30714200064
abc,CHN,1981,21615214592
abc,CHN,1982,40070676480
abc,CHN,1983,52176846848
abc,CHN,1984,81522753536
abc,CHN,1985,83022381056
abc,CHN,1986,62755110912
abc,CHN,1987,89054904320
abc,CHN,1988,95727386624
abc,CHN,1989,39906115584
abc,CHN,1990,38756417536
abc,CHN,1991,95163777024
abc,CHN,1992,159676235776
abc,CHN,1993,178019500032
abc,CHN,1994,190368317440
abc,CHN,1995,180806615040
abc,CHN,1996,181722808320
abc,CHN,1997,185948831744
abc,CHN,1998,172538986496
abc,CHN,1999,181705637888
abc,CHN,2000,216779718656
abc,CHN,2001,230909018112
abc,CHN,2002,274101698560
abc,CHN,2003,328757411840
abc,CHN,2004,364482396160
abc,CHN,2005,452178477056
abc,CHN,2006,562334531584
abc,CHN,2007,709105287168
