Entity,Code,Year,0_0_temp_anomaly
Bahrain,BHR,1864,1.42
Bahrain,BHR,1865,0.01
Bahrain,BHR,1870,1.58
Bahrain,BHR,1876,-0.97
Bahrain,BHR,1878,-0.02
Bahrain,BHR,1879,-0.13
Bahrain,BHR,1880,-0.91
Bahrain,BHR,1881,0.14
Bahrain,BHR,1882,-0.67
Bahrain,BHR,1883,0.04
Bahrain,BHR,1884,-0.61
Bahrain,BHR,1885,-0.62
Bahrain,BHR,1886,-0.09
Bahrain,BHR,1887,-0.45
Bahrain,BHR,1888,-0.01
Bahrain,BHR,1889,0.26
Bahrain,BHR,1890,-0.31
Bahrain,BHR,1891,0.24
Bahrain,BHR,1892,0.35
Bahrain,BHR,1893,-0.15
Bahrain,BHR,1894,-0.63
Bahrain,BHR,1895,-0.26
Bahrain,BHR,1896,-0.61
Bahrain,BHR,1897,-0.51
Bahrain,BHR,1898,-0.83
Bahrain,BHR,1899,-0.11
Bahrain,BHR,1900,-0.04
Bahrain,BHR,1901,0.52
Bahrain,BHR,1902,0.25
Bahrain,BHR,1903,-1.09
Bahrain,BHR,1904,-0.68
Bahrain,BHR,1905,-0.81
Bahrain,BHR,1906,-0.77
Bahrain,BHR,1907,-0.82
Bahrain,BHR,1908,-0.19
Bahrain,BHR,1909,-0.02
Bahrain,BHR,1910,-0.96
Bahrain,BHR,1911,-1.83
Bahrain,BHR,1912,-0.58
Bahrain,BHR,1913,-0.88
Bahrain,BHR,1914,-0.42
Bahrain,BHR,1915,-0.18
Bahrain,BHR,1916,-0.49
Bahrain,BHR,1917,-0.32
Bahrain,BHR,1918,-0.63
Bahrain,BHR,1919,-0.06
Bahrain,BHR,1920,-0.34
Bahrain,BHR,1921,0.11
Bahrain,BHR,1922,0
Bahrain,BHR,1923,-0.43
Bahrain,BHR,1924,0.25
Bahrain,BHR,1925,-0.67
Bahrain,BHR,1926,-0.03
Bahrain,BHR,1927,-0.17
Bahrain,BHR,1928,0.1
Bahrain,BHR,1929,0
Bahrain,BHR,1930,-0.24
Bahrain,BHR,1931,-0.13
Bahrain,BHR,1932,-0.72
Bahrain,BHR,1933,-0.83
Bahrain,BHR,1934,-0.37
Bahrain,BHR,1935,0.29
Bahrain,BHR,1936,-0.22
Bahrain,BHR,1937,0.01
Bahrain,BHR,1938,-0.19
Bahrain,BHR,1939,-0.25
Bahrain,BHR,1940,0.21
Bahrain,BHR,1941,0.04
Bahrain,BHR,1942,0.09
Bahrain,BHR,1943,-0.59
Bahrain,BHR,1944,-0.36
Bahrain,BHR,1945,-0.72
Bahrain,BHR,1946,-0.01
Bahrain,BHR,1947,0.71
Bahrain,BHR,1948,-0.09
Bahrain,BHR,1949,-0.33
Bahrain,BHR,1950,-0.2
Bahrain,BHR,1951,0.44
Bahrain,BHR,1952,0.3
Bahrain,BHR,1953,0.4
Bahrain,BHR,1954,0.6
Bahrain,BHR,1955,0.58
Bahrain,BHR,1956,-0.01
Bahrain,BHR,1957,-0.17
Bahrain,BHR,1958,0.41
Bahrain,BHR,1959,-0.25
Bahrain,BHR,1960,0.44
Bahrain,BHR,1961,-0.33
Bahrain,BHR,1962,0.6
Bahrain,BHR,1963,0.49
Bahrain,BHR,1964,-0.4
Bahrain,BHR,1965,0.16
Bahrain,BHR,1966,0.43
Bahrain,BHR,1967,-0.48
Bahrain,BHR,1968,-0.51
Bahrain,BHR,1969,0.31
Bahrain,BHR,1970,0.33
Bahrain,BHR,1971,-0.13
Bahrain,BHR,1972,-0.68
Bahrain,BHR,1973,-0.02
Bahrain,BHR,1974,-0.21
Bahrain,BHR,1975,-0.44
Bahrain,BHR,1976,-0.46
Bahrain,BHR,1977,0.37
Bahrain,BHR,1978,0.1
Bahrain,BHR,1979,0.51
Bahrain,BHR,1980,0.42
Bahrain,BHR,1981,0.33
Bahrain,BHR,1982,-0.39
Bahrain,BHR,1983,-0.64
Bahrain,BHR,1984,-0.12
Bahrain,BHR,1985,0.16
Bahrain,BHR,1986,0.27
Bahrain,BHR,1987,0.56
Bahrain,BHR,1988,0.38
Bahrain,BHR,1989,-0.02
Bahrain,BHR,1990,0.32
Bahrain,BHR,1991,-0.41
Bahrain,BHR,1992,-0.98
Bahrain,BHR,1993,-0.06
Bahrain,BHR,1994,0.23
Bahrain,BHR,1995,0
Bahrain,BHR,1996,0.39
Bahrain,BHR,1997,-0.09
Bahrain,BHR,1998,0.92
Bahrain,BHR,1999,1.4
Bahrain,BHR,2000,0.76
Bahrain,BHR,2001,1.31
Bahrain,BHR,2002,1.02
Bahrain,BHR,2003,0.79
Bahrain,BHR,2004,0.65
Bahrain,BHR,2005,-0.04
Bahrain,BHR,2006,0.95
Bahrain,BHR,2007,0.99
Bahrain,BHR,2008,0.59
Bahrain,BHR,2009,0.95
Bahrain,BHR,2010,1.8
Bahrain,BHR,2011,0.72
Bahrain,BHR,2012,0.79
Bahrain,BHR,2013,0.63
Bahrain,BHR,2014,0.91
Bahrain,BHR,2015,1.41
Bahrain,BHR,2016,1.39
Bahrain,BHR,2017,1.65
Bangladesh,BGD,1850,0.08
Bangladesh,BGD,1852,-0.36
Bangladesh,BGD,1855,-0.47
Bangladesh,BGD,1856,0.27
Bangladesh,BGD,1866,3.26
Bangladesh,BGD,1870,-0.25
Bangladesh,BGD,1871,-0.13
Bangladesh,BGD,1872,-0.03
Bangladesh,BGD,1873,-0.11
Bangladesh,BGD,1874,-0.39
Bangladesh,BGD,1875,-0.39
Bangladesh,BGD,1876,-0.62
Bangladesh,BGD,1877,-0.77
Bangladesh,BGD,1878,0.4
Bangladesh,BGD,1879,0.2
Bangladesh,BGD,1880,-0.22
Bangladesh,BGD,1881,-0.32
Bangladesh,BGD,1882,-0.07
Bangladesh,BGD,1883,-0.65
Bangladesh,BGD,1884,-0.67
Bangladesh,BGD,1885,-0.27
Bangladesh,BGD,1886,0.03
Bangladesh,BGD,1887,-0.08
Bangladesh,BGD,1888,0.05
Bangladesh,BGD,1889,0.67
Bangladesh,BGD,1890,0.19
Bangladesh,BGD,1891,0.02
Bangladesh,BGD,1892,-0.29
Bangladesh,BGD,1893,-0.81
Bangladesh,BGD,1894,-0.17
Bangladesh,BGD,1895,-0.19
Bangladesh,BGD,1896,0.11
Bangladesh,BGD,1897,0.36
Bangladesh,BGD,1898,-0.01
Bangladesh,BGD,1899,-0.27
Bangladesh,BGD,1900,0.39
Bangladesh,BGD,1901,0.13
Bangladesh,BGD,1902,-0.21
Bangladesh,BGD,1903,-0.03
Bangladesh,BGD,1904,-0.26
Bangladesh,BGD,1905,-0.74
Bangladesh,BGD,1906,-0.04
Bangladesh,BGD,1907,-0.19
Bangladesh,BGD,1908,-0.11
Bangladesh,BGD,1909,-0.02
Bangladesh,BGD,1910,-0.48
Bangladesh,BGD,1911,-0.4
Bangladesh,BGD,1912,-0.16
Bangladesh,BGD,1913,-0.34
Bangladesh,BGD,1914,-0.26
Bangladesh,BGD,1915,0.24
Bangladesh,BGD,1916,-0.08
Bangladesh,BGD,1917,-0.32
Bangladesh,BGD,1918,-0.55
Bangladesh,BGD,1919,0.18
Bangladesh,BGD,1920,-0.14
Bangladesh,BGD,1921,-0.24
Bangladesh,BGD,1922,0.21
Bangladesh,BGD,1923,-0.07
Bangladesh,BGD,1924,0.19
Bangladesh,BGD,1925,-0.34
Bangladesh,BGD,1926,0.01
Bangladesh,BGD,1927,-0.23
Bangladesh,BGD,1928,0.05
Bangladesh,BGD,1929,-0.07
Bangladesh,BGD,1930,-0.31
Bangladesh,BGD,1931,0.32
Bangladesh,BGD,1932,0.29
Bangladesh,BGD,1933,0.06
Bangladesh,BGD,1934,-0.16
Bangladesh,BGD,1935,0.14
Bangladesh,BGD,1936,0.08
Bangladesh,BGD,1937,-0.07
Bangladesh,BGD,1938,0.13
Bangladesh,BGD,1939,0.39
Bangladesh,BGD,1940,0.04
Bangladesh,BGD,1941,0.21
Bangladesh,BGD,1942,0.29
Bangladesh,BGD,1943,0.15
Bangladesh,BGD,1944,0.08
Bangladesh,BGD,1945,-0.06
Bangladesh,BGD,1946,0.14
Bangladesh,BGD,1947,0.14
Bangladesh,BGD,1948,-0.16
Bangladesh,BGD,1949,-0.49
Bangladesh,BGD,1950,-0.05
Bangladesh,BGD,1951,0.05
Bangladesh,BGD,1952,-0.06
Bangladesh,BGD,1953,0.2
Bangladesh,BGD,1954,-0.03
Bangladesh,BGD,1955,-0.08
Bangladesh,BGD,1956,-0.15
Bangladesh,BGD,1957,0.15
