Entity,Code,Year,4_1_Happy
Bahrain,BHR,2007,5.700523376
Bahrain,BHR,2008,5.936869144
Bahrain,BHR,2009,4.82397604
Bahrain,BHR,2010,5.027186871
Bahrain,BHR,2011,6.689711094
Bahrain,BHR,2012,6.165133953
Bahrain,BHR,2013,6.00737524
Bahrain,BHR,2014,6.169673443
Bahrain,BHR,2015,6.227320671
Bahrain,BHR,2017,7.098012447
Bahrain,BHR,2018,6.173175812
Bahrain,BHR,2019,6.646900177
Bahrain,BHR,2020,6.646900177
Bangladesh,BGD,2004,4.318909168
Bangladesh,BGD,2005,4.607322216
Bangladesh,BGD,2006,5.052278519
Bangladesh,BGD,2007,5.08285141
Bangladesh,BGD,2008,4.858481407
Bangladesh,BGD,2009,4.985649109
Bangladesh,BGD,2010,4.724443913
Bangladesh,BGD,2011,4.660161018
Bangladesh,BGD,2012,4.635564804
Bangladesh,BGD,2013,4.633473873
Bangladesh,BGD,2014,4.5561409
Bangladesh,BGD,2015,4.309771061
Bangladesh,BGD,2016,4.499217033
Bangladesh,BGD,2017,5.114216805
Bangladesh,BGD,2018,5.279986858
Bangladesh,BGD,2019,5.024600029
Bangladesh,BGD,2020,5.155499935
Bhutan,BTN,2011,5.569091797
Bhutan,BTN,2012,4.938578129
Bhutan,BTN,2013,5.082128525
Cambodia,KHM,2004,3.568744659
Cambodia,KHM,2005,4.15597105
Cambodia,KHM,2006,4.462163925
Cambodia,KHM,2007,4.110625744
Cambodia,KHM,2008,4.141072273
Cambodia,KHM,2009,4.161225319
Cambodia,KHM,2010,3.898706913
Cambodia,KHM,2011,3.674466848
Cambodia,KHM,2012,3.88330555
Cambodia,KHM,2013,4.162164688
Cambodia,KHM,2014,4.461259365
Cambodia,KHM,2015,4.585842133
Cambodia,KHM,2016,5.121837616
Cambodia,KHM,2017,4.998284817
Cambodia,KHM,2018,4.376985073
Cambodia,KHM,2019,4.83039999
Cambodia,KHM,2020,4.640299797
China,CHN,2004,4.560495377
China,CHN,2005,4.86286211
China,CHN,2006,4.84629488
China,CHN,2007,4.454360962
China,CHN,2008,4.652736664
China,CHN,2009,5.037207603
China,CHN,2010,5.094917297
China,CHN,2011,5.241090298
China,CHN,2012,5.195619106
China,CHN,2013,5.303877831
China,CHN,2014,5.32495594
China,CHN,2015,5.099061489
China,CHN,2016,5.131433964
China,CHN,2017,5.144120216
China,CHN,2018,5.771064758
China,CHN,2019,5.339099884
China,CHN,2020,5.585299969
Hong Kong,HKG,2004,5.511187077
Hong Kong,HKG,2006,5.137261868
Hong Kong,HKG,2007,5.397055626
Hong Kong,HKG,2008,5.642834663
Hong Kong,HKG,2009,5.474010944
Hong Kong,HKG,2010,5.483764648
Hong Kong,HKG,2012,5.458050728
Hong Kong,HKG,2014,5.498420715
Hong Kong,HKG,2015,5.362474918
Hong Kong,HKG,2017,5.659317017
Hong Kong,HKG,2018,5.295341492
Hong Kong,HKG,2019,5.476699829
Hong Kong,HKG,2020,5.424799919
India,IND,2004,5.348258972
India,IND,2005,5.02679348
India,IND,2006,5.145833015
India,IND,2007,4.521517754
India,IND,2008,4.989277363
India,IND,2009,4.634871483
India,IND,2010,4.720146656
India,IND,2011,4.427788734
India,IND,2012,4.424379349
India,IND,2013,4.342079163
India,IND,2014,4.179177284
India,IND,2015,4.046111107
India,IND,2016,3.818068743
India,IND,2017,3.24876976
India,IND,2018,4.225281239
India,IND,2019,3.818900108
India,IND,2020,3.777100086
Indonesia,IDN,2004,4.946978092
Indonesia,IDN,2005,5.101213932
Indonesia,IDN,2006,4.815309525
Indonesia,IDN,2007,5.472361088
Indonesia,IDN,2008,5.457299232
Indonesia,IDN,2009,5.172608376
Indonesia,IDN,2010,5.36777401
Indonesia,IDN,2011,5.292237759
Indonesia,IDN,2012,5.597375393
Indonesia,IDN,2013,5.04279995
Indonesia,IDN,2014,5.136325359
Indonesia,IDN,2015,5.098401546
Indonesia,IDN,2016,5.340295792
Indonesia,IDN,2017,5.346512794
Indonesia,IDN,2019,5.344500065
Indonesia,IDN,2020,5.239600182
Japan,JPN,2003,6.515817165
Japan,JPN,2005,6.238197803
Japan,JPN,2006,5.91067934
Japan,JPN,2007,5.844999313
Japan,JPN,2008,6.056752682
Japan,JPN,2009,6.262793541
Japan,JPN,2010,5.968216419
Japan,JPN,2011,5.959361553
Japan,JPN,2012,5.922620773
Japan,JPN,2013,5.879684448
Japan,JPN,2014,5.954650879
Japan,JPN,2015,5.910676479
Japan,JPN,2016,5.793575287
Japan,JPN,2017,5.908039093
Japan,JPN,2018,6.117963314
Japan,JPN,2019,5.940499783
Japan,JPN,2020,6.038899899
Laos,LAO,2004,5.076225758
Laos,LAO,2005,5.363854885
Laos,LAO,2006,5.044098854
Laos,LAO,2009,4.703749657
Laos,LAO,2010,4.876084805
Laos,LAO,2015,4.623140812
Laos,LAO,2016,4.85940218
Laos,LAO,2017,5.196856022
Laos,LAO,2018,5.284390926
Laos,LAO,2019,5.03000021
Laos,LAO,2020,5.140299797
Malaysia,MYS,2004,6.011716843
Malaysia,MYS,2005,6.238904476
Malaysia,MYS,2006,5.806781769
Malaysia,MYS,2007,5.384701729
Malaysia,MYS,2008,5.580281734
Malaysia,MYS,2009,5.786367416
Malaysia,MYS,2010,5.914283752
Malaysia,MYS,2011,5.770199776
Malaysia,MYS,2012,5.962921619
Malaysia,MYS,2013,6.322121143
Malaysia,MYS,2016,5.338817596
Malaysia,MYS,2017,5.427954197
Malaysia,MYS,2019,5.384300232
Malaysia,MYS,2020,5.711299896
Maldives,MDV,2016,5.197574615
Maldives,MDV,2019,5.197599888
Mongolia,MNG,2005,4.609059334
Mongolia,MNG,2006,4.493010044
Mongolia,MNG,2008,4.585523605
Mongolia,MNG,2009,5.031173706
Mongolia,MNG,2010,4.885150433
Mongolia,MNG,2011,4.912928104
Mongolia,MNG,2012,4.824834824
Mongolia,MNG,2013,4.982719898
Mongolia,MNG,2014,5.056999683
Mongolia,MNG,2015,5.333850384
Mongolia,MNG,2016,5.464622974
Mongolia,MNG,2017,5.562905312
Mongolia,MNG,2018,6.011364937
Mongolia,MNG,2019,5.677199841
Mongolia,MNG,2020,5.760700226
Myanmar,MMR,2010,4.438939571
Myanmar,MMR,2011,4.175670624
Myanmar,MMR,2012,4.786247253
Myanmar,MMR,2013,4.223846436
Myanmar,MMR,2014,4.623119831
Myanmar,MMR,2015,4.154341698
Myanmar,MMR,2016,4.410633087
Myanmar,MMR,2017,4.43423748
Myanmar,MMR,2018,4.431364059
Myanmar,MMR,2019,4.425799847
Myanmar,MMR,2020,4.394199848
Nepal,NPL,2004,4.566594601
Nepal,NPL,2005,4.74828434
Nepal,NPL,2006,4.440526485
