Entity,Code,Year,5_0_HomicideDeath
Bahrain,BHR,1990,2.04
Bahrain,BHR,1991,2.11
Bahrain,BHR,1992,2.12
Bahrain,BHR,1993,2.18
Bahrain,BHR,1994,2.23
Bahrain,BHR,1995,2.25
Bahrain,BHR,1996,2.29
Bahrain,BHR,1997,2.26
Bahrain,BHR,1998,2.56
Bahrain,BHR,1999,2.72
Bahrain,BHR,2000,2.78
Bahrain,BHR,2001,2.79
Bahrain,BHR,2002,2.79
Bahrain,BHR,2003,2.82
Bahrain,BHR,2004,2.95
Bahrain,BHR,2005,3
Bahrain,BHR,2006,3
Bahrain,BHR,2007,2.97
Bahrain,BHR,2008,2.99
Bahrain,BHR,2009,2.97
Bahrain,BHR,2010,2.84
Bahrain,BHR,2011,2.65
Bahrain,BHR,2012,2.46
Bahrain,BHR,2013,2.36
Bahrain,BHR,2014,2.28
Bahrain,BHR,2015,2.19
Bahrain,BHR,2016,2.1
Bahrain,BHR,2017,2
Bahrain,BHR,2018,1.93
Bahrain,BHR,2019,1.87
Bangladesh,BGD,1990,3.31
Bangladesh,BGD,1991,3.36
Bangladesh,BGD,1992,3.45
Bangladesh,BGD,1993,3.53
Bangladesh,BGD,1994,3.54
Bangladesh,BGD,1995,3.54
Bangladesh,BGD,1996,3.48
Bangladesh,BGD,1997,3.33
Bangladesh,BGD,1998,3.13
Bangladesh,BGD,1999,2.94
Bangladesh,BGD,2000,2.86
Bangladesh,BGD,2001,2.71
Bangladesh,BGD,2002,2.53
Bangladesh,BGD,2003,2.42
Bangladesh,BGD,2004,2.38
Bangladesh,BGD,2005,2.39
Bangladesh,BGD,2006,2.46
Bangladesh,BGD,2007,2.43
Bangladesh,BGD,2008,2.4
Bangladesh,BGD,2009,2.46
Bangladesh,BGD,2010,2.47
Bangladesh,BGD,2011,2.51
Bangladesh,BGD,2012,2.45
Bangladesh,BGD,2013,2.57
Bangladesh,BGD,2014,2.66
Bangladesh,BGD,2015,2.67
Bangladesh,BGD,2016,2.62
Bangladesh,BGD,2017,2.57
Bangladesh,BGD,2018,2.52
Bangladesh,BGD,2019,2.48
Bhutan,BTN,1990,1.74
Bhutan,BTN,1991,1.71
Bhutan,BTN,1992,1.68
Bhutan,BTN,1993,1.71
Bhutan,BTN,1994,1.73
Bhutan,BTN,1995,1.78
Bhutan,BTN,1996,1.79
Bhutan,BTN,1997,1.81
Bhutan,BTN,1998,1.84
Bhutan,BTN,1999,1.78
Bhutan,BTN,2000,1.81
Bhutan,BTN,2001,1.7
Bhutan,BTN,2002,1.52
Bhutan,BTN,2003,1.34
Bhutan,BTN,2004,1.27
Bhutan,BTN,2005,1.26
Bhutan,BTN,2006,1.2
Bhutan,BTN,2007,1.21
Bhutan,BTN,2008,1.2
Bhutan,BTN,2009,1.21
Bhutan,BTN,2010,1.21
Bhutan,BTN,2011,1.19
Bhutan,BTN,2012,1.17
Bhutan,BTN,2013,1.15
Bhutan,BTN,2014,1.13
Bhutan,BTN,2015,1.11
Bhutan,BTN,2016,1.09
Bhutan,BTN,2017,1.05
Bhutan,BTN,2018,1.02
Bhutan,BTN,2019,0.99
Brunei,BRN,1990,2.07
Brunei,BRN,1991,2.05
Brunei,BRN,1992,2.02
Brunei,BRN,1993,1.99
Brunei,BRN,1994,1.95
Brunei,BRN,1995,1.93
Brunei,BRN,1996,1.91
Brunei,BRN,1997,1.82
Brunei,BRN,1998,1.68
Brunei,BRN,1999,1.58
Brunei,BRN,2000,1.53
Brunei,BRN,2001,1.49
Brunei,BRN,2002,1.45
Brunei,BRN,2003,1.42
Brunei,BRN,2004,1.45
Brunei,BRN,2005,1.44
Brunei,BRN,2006,1.41
Brunei,BRN,2007,1.45
Brunei,BRN,2008,1.45
Brunei,BRN,2009,1.46
Brunei,BRN,2010,1.45
Brunei,BRN,2011,1.45
Brunei,BRN,2012,1.45
Brunei,BRN,2013,1.45
Brunei,BRN,2014,1.44
Brunei,BRN,2015,1.42
Brunei,BRN,2016,1.42
Brunei,BRN,2017,1.41
Brunei,BRN,2018,1.4
Brunei,BRN,2019,1.39
Cambodia,KHM,1990,4.17
Cambodia,KHM,1991,4.14
Cambodia,KHM,1992,4.09
Cambodia,KHM,1993,4.05
Cambodia,KHM,1994,4.05
Cambodia,KHM,1995,4.03
Cambodia,KHM,1996,4.14
Cambodia,KHM,1997,4.27
Cambodia,KHM,1998,4.28
Cambodia,KHM,1999,4.06
Cambodia,KHM,2000,3.8
Cambodia,KHM,2001,3.64
Cambodia,KHM,2002,3.55
Cambodia,KHM,2003,3.48
Cambodia,KHM,2004,3.44
Cambodia,KHM,2005,3.41
Cambodia,KHM,2006,3.35
Cambodia,KHM,2007,3.38
Cambodia,KHM,2008,3.35
Cambodia,KHM,2009,3.35
Cambodia,KHM,2010,3.41
Cambodia,KHM,2011,3.38
Cambodia,KHM,2012,3.42
Cambodia,KHM,2013,3.37
Cambodia,KHM,2014,3.33
Cambodia,KHM,2015,3.28
Cambodia,KHM,2016,3.23
Cambodia,KHM,2017,3.13
Cambodia,KHM,2018,3.06
Cambodia,KHM,2019,2.98
China,CHN,1990,3.39
China,CHN,1991,3.27
China,CHN,1992,3.15
China,CHN,1993,3.06
China,CHN,1994,3.08
China,CHN,1995,3.02
China,CHN,1996,2.87
China,CHN,1997,2.75
China,CHN,1998,2.67
China,CHN,1999,2.56
China,CHN,2000,2.4
China,CHN,2001,2.24
China,CHN,2002,2.13
China,CHN,2003,2.11
China,CHN,2004,2.1
China,CHN,2005,1.99
China,CHN,2006,1.86
China,CHN,2007,1.73
China,CHN,2008,1.61
China,CHN,2009,1.52
China,CHN,2010,1.39
China,CHN,2011,1.28
China,CHN,2012,1.18
China,CHN,2013,1.1
China,CHN,2014,1.02
China,CHN,2015,0.97
China,CHN,2016,0.93
China,CHN,2017,0.89
China,CHN,2018,0.86
China,CHN,2019,0.84
India,IND,1990,4.53
India,IND,1991,4.34
India,IND,1992,4.38
India,IND,1993,4.35
India,IND,1994,4.24
India,IND,1995,4.2
India,IND,1996,4.15
India,IND,1997,4.17
India,IND,1998,4.22
India,IND,1999,4.23
India,IND,2000,4.21
India,IND,2001,4.15
India,IND,2002,4.17
India,IND,2003,3.96
India,IND,2004,3.9
India,IND,2005,3.91
India,IND,2006,3.84
India,IND,2007,3.76
India,IND,2008,3.73
India,IND,2009,3.56
India,IND,2010,3.46
India,IND,2011,3.37
India,IND,2012,3.11
India,IND,2013,3.04
India,IND,2014,2.92
India,IND,2015,2.93
India,IND,2016,2.92
India,IND,2017,2.9
India,IND,2018,2.94
India,IND,2019,2.94
Indonesia,IDN,1990,1.43
Indonesia,IDN,1991,1.41
Indonesia,IDN,1992,1.41
Indonesia,IDN,1993,1.4
Indonesia,IDN,1994,1.4
Indonesia,IDN,1995,1.39
Indonesia,IDN,1996,1.39
Indonesia,IDN,1997,1.56
Indonesia,IDN,1998,1.4
Indonesia,IDN,1999,1.72
Indonesia,IDN,2000,1.63
Indonesia,IDN,2001,1.61
Indonesia,IDN,2002,1.36
Indonesia,IDN,2003,1.31
Indonesia,IDN,2004,1.3
Indonesia,IDN,2005,1.24
Indonesia,IDN,2006,1.2
Indonesia,IDN,2007,1.15
Indonesia,IDN,2008,1.1
Indonesia,IDN,2009,1.07
Indonesia,IDN,2010,1.02
Indonesia,IDN,2011,0.99
Indonesia,IDN,2012,0.97
Indonesia,IDN,2013,0.95
Indonesia,IDN,2014,0.93
Indonesia,IDN,2015,0.92
Indonesia,IDN,2016,0.9
Indonesia,IDN,2017,0.89
Indonesia,IDN,2018,0.88
Indonesia,IDN,2019,0.87
Japan,JPN,1990,0.88
Japan,JPN,1991,0.84
Japan,JPN,1992,0.86
Japan,JPN,1993,0.88
Japan,JPN,1994,0.89
Japan,JPN,1995,0.82
Japan,JPN,1996,0.8
Japan,JPN,1997,0.84
Japan,JPN,1998,0.9
Japan,JPN,1999,0.89
Japan,JPN,2000,0.89
Japan,JPN,2001,0.86
Japan,JPN,2002,0.87
Japan,JPN,2003,0.84
Japan,JPN,2004,0.82
Japan,JPN,2005,0.76
Japan,JPN,2006,0.74
Japan,JPN,2007,0.7
Japan,JPN,2008,0.69
Japan,JPN,2009,0.65
Japan,JPN,2010,0.64
Japan,JPN,2011,0.6
Japan,JPN,2012,0.57
Japan,JPN,2013,0.56
Japan,JPN,2014,0.57
Japan,JPN,2015,0.56
Japan,JPN,2016,0.55
Japan,JPN,2017,0.53
Japan,JPN,2018,0.53
Japan,JPN,2019,0.56
Laos,LAO,1990,14.77
Laos,LAO,1991,14.76
Laos,LAO,1992,14.67
Laos,LAO,1993,14.66
Laos,LAO,1994,14.63
Laos,LAO,1995,14.6
Laos,LAO,1996,14.4
Laos,LAO,1997,14.45
Laos,LAO,1998,14.64
Laos,LAO,1999,14.48
Laos,LAO,2000,14.08
Laos,LAO,2001,13.99
Laos,LAO,2002,13.71
Laos,LAO,2003,13.47
Laos,LAO,2004,13.23
Laos,LAO,2005,13.12
Laos,LAO,2006,12.87
Laos,LAO,2007,12.63
Laos,LAO,2008,12.48
Laos,LAO,2009,12.35
Laos,LAO,2010,12.11
Laos,LAO,2011,11.71
Laos,LAO,2012,11.49
Laos,LAO,2013,11.32
Laos,LAO,2014,8.75
Laos,LAO,2015,8.69
Laos,LAO,2016,8.52
Laos,LAO,2017,8.26
Laos,LAO,2018,8.05
Laos,LAO,2019,7.82
Malaysia,MYS,1990,1.79
Malaysia,MYS,1991,1.81
Malaysia,MYS,1992,1.82
Malaysia,MYS,1993,1.83
Malaysia,MYS,1994,1.86
Malaysia,MYS,1995,1.97
Malaysia,MYS,1996,2.05
Malaysia,MYS,1997,2.13
Malaysia,MYS,1998,2.21
Malaysia,MYS,1999,2.32
Malaysia,MYS,2000,2.35
Malaysia,MYS,2001,2.42
Malaysia,MYS,2002,2.49
Malaysia,MYS,2003,2.56
Malaysia,MYS,2004,2.59
Malaysia,MYS,2005,2.6
Malaysia,MYS,2006,2.59
Malaysia,MYS,2007,2.57
Malaysia,MYS,2008,2.57
Malaysia,MYS,2009,2.57
Malaysia,MYS,2010,2.51
Malaysia,MYS,2011,2.42
Malaysia,MYS,2012,2.34
Malaysia,MYS,2013,2.21
Malaysia,MYS,2014,2.14
Malaysia,MYS,2015,2.07
Malaysia,MYS,2016,2.03
Malaysia,MYS,2017,1.95
Malaysia,MYS,2018,1.89
Malaysia,MYS,2019,1.84
Maldives,MDV,1990,1.18
Maldives,MDV,1991,1.15
Maldives,MDV,1992,1.14
Maldives,MDV,1993,1.13
Maldives,MDV,1994,1.14
Maldives,MDV,1995,1.13
Maldives,MDV,1996,1.23
Maldives,MDV,1997,1.36
Maldives,MDV,1998,1.41
Maldives,MDV,1999,1.77
Maldives,MDV,2000,1.88
Maldives,MDV,2001,1.95
Maldives,MDV,2002,1.95
Maldives,MDV,2003,1.83
Maldives,MDV,2004,1.76
Maldives,MDV,2005,1.74
Maldives,MDV,2006,1.73
Maldives,MDV,2007,1.68
Maldives,MDV,2008,1.81
Maldives,MDV,2009,1.95
Maldives,MDV,2010,2.1
Maldives,MDV,2011,2.21
Maldives,MDV,2012,2.22
Maldives,MDV,2013,2.23
Maldives,MDV,2014,2.24
Maldives,MDV,2015,2.25
Maldives,MDV,2016,2.2
Maldives,MDV,2017,2.13
Maldives,MDV,2018,2.05
Maldives,MDV,2019,1.97
Mongolia,MNG,1990,10
Mongolia,MNG,1991,10.16
Mongolia,MNG,1992,10.91
Mongolia,MNG,1993,11.27
Mongolia,MNG,1994,11.69
Mongolia,MNG,1995,12.1
Mongolia,MNG,1996,12.24
Mongolia,MNG,1997,12.53
Mongolia,MNG,1998,12.53
Mongolia,MNG,1999,12.57
Mongolia,MNG,2000,12.65
Mongolia,MNG,2001,12.72
Mongolia,MNG,2002,12.8
Mongolia,MNG,2003,12.74
Mongolia,MNG,2004,13.02
Mongolia,MNG,2005,12.85
Mongolia,MNG,2006,12.44
Mongolia,MNG,2007,12
Mongolia,MNG,2008,11.25
Mongolia,MNG,2009,10.58
Mongolia,MNG,2010,10.61
Mongolia,MNG,2011,10.44
Mongolia,MNG,2012,10.02
Mongolia,MNG,2013,9.88
Mongolia,MNG,2014,9.64
Mongolia,MNG,2015,9.38
Mongolia,MNG,2016,9.06
Mongolia,MNG,2017,8.91
Mongolia,MNG,2018,8.67
Mongolia,MNG,2019,8.51
Myanmar,MMR,1990,3.39
Myanmar,MMR,1991,3.72
Myanmar,MMR,1992,2.87
Myanmar,MMR,1993,2.87
Myanmar,MMR,1994,2.88
Myanmar,MMR,1995,5.26
Myanmar,MMR,1996,2.79
Myanmar,MMR,1997,2.46
Myanmar,MMR,1998,2.52
Myanmar,MMR,1999,2.18
Myanmar,MMR,2000,2.2
Myanmar,MMR,2001,2.06
Myanmar,MMR,2002,1.84
Myanmar,MMR,2003,1.77
Myanmar,MMR,2004,1.71
Myanmar,MMR,2005,1.9
Myanmar,MMR,2006,1.64
Myanmar,MMR,2007,1.68
Myanmar,MMR,2008,1.54
Myanmar,MMR,2009,1.53
Myanmar,MMR,2010,1.5
Myanmar,MMR,2011,1.48
Myanmar,MMR,2012,1.7
Myanmar,MMR,2013,1.55
Myanmar,MMR,2014,1.47
Myanmar,MMR,2015,1.46
Myanmar,MMR,2016,1.51
Myanmar,MMR,2017,1.41
Myanmar,MMR,2018,1.31
Myanmar,MMR,2019,1.29
Nepal,NPL,1990,1.3
Nepal,NPL,1991,1.37
Nepal,NPL,1992,1.44
