Entity,Code,Year,4_1_hdi_index
Bahrain,BHR,1990,0.742
Bahrain,BHR,1991,0.743
Bahrain,BHR,1992,0.749
Bahrain,BHR,1993,0.761
Bahrain,BHR,1994,0.764
Bahrain,BHR,1995,0.772
Bahrain,BHR,1996,0.778
Bahrain,BHR,1997,0.78
Bahrain,BHR,1998,0.785
Bahrain,BHR,1999,0.789
Bahrain,BHR,2000,0.798
Bahrain,BHR,2001,0.804
Bahrain,BHR,2002,0.804
Bahrain,BHR,2003,0.806
Bahrain,BHR,2004,0.804
Bahrain,BHR,2005,0.803
Bahrain,BHR,2006,0.804
Bahrain,BHR,2007,0.807
Bahrain,BHR,2008,0.808
Bahrain,BHR,2009,0.806
Bahrain,BHR,2010,0.808
Bahrain,BHR,2011,0.809
Bahrain,BHR,2012,0.817
Bahrain,BHR,2013,0.824
Bahrain,BHR,2014,0.83
Bahrain,BHR,2015,0.858
Bahrain,BHR,2016,0.865
Bahrain,BHR,2017,0.869
Bahrain,BHR,2018,0.879
Bahrain,BHR,2019,0.882
Bahrain,BHR,2020,0.877
Bahrain,BHR,2021,0.875
Bangladesh,BGD,1990,0.397
Bangladesh,BGD,1991,0.394
Bangladesh,BGD,1992,0.413
Bangladesh,BGD,1993,0.42
Bangladesh,BGD,1994,0.427
Bangladesh,BGD,1995,0.436
Bangladesh,BGD,1996,0.441
Bangladesh,BGD,1997,0.453
Bangladesh,BGD,1998,0.467
Bangladesh,BGD,1999,0.481
Bangladesh,BGD,2000,0.485
Bangladesh,BGD,2001,0.492
Bangladesh,BGD,2002,0.499
Bangladesh,BGD,2003,0.505
Bangladesh,BGD,2004,0.511
Bangladesh,BGD,2005,0.518
Bangladesh,BGD,2006,0.524
Bangladesh,BGD,2007,0.527
Bangladesh,BGD,2008,0.53
Bangladesh,BGD,2009,0.541
Bangladesh,BGD,2010,0.553
Bangladesh,BGD,2011,0.561
Bangladesh,BGD,2012,0.572
Bangladesh,BGD,2013,0.574
Bangladesh,BGD,2014,0.583
Bangladesh,BGD,2015,0.602
Bangladesh,BGD,2016,0.612
Bangladesh,BGD,2017,0.622
Bangladesh,BGD,2018,0.635
Bangladesh,BGD,2019,0.644
Bangladesh,BGD,2020,0.655
Bangladesh,BGD,2021,0.661
Bhutan,BTN,2010,0.581
Bhutan,BTN,2011,0.591
Bhutan,BTN,2012,0.598
Bhutan,BTN,2013,0.606
Bhutan,BTN,2014,0.617
Bhutan,BTN,2015,0.627
Bhutan,BTN,2016,0.638
Bhutan,BTN,2017,0.647
Bhutan,BTN,2018,0.658
Bhutan,BTN,2019,0.671
Bhutan,BTN,2020,0.668
Bhutan,BTN,2021,0.666
Brunei,BRN,1990,0.77
Brunei,BRN,1991,0.775
Brunei,BRN,1992,0.781
Brunei,BRN,1993,0.786
Brunei,BRN,1994,0.79
Brunei,BRN,1995,0.795
Brunei,BRN,1996,0.798
Brunei,BRN,1997,0.799
Brunei,BRN,1998,0.801
Brunei,BRN,1999,0.807
Brunei,BRN,2000,0.808
Brunei,BRN,2001,0.809
Brunei,BRN,2002,0.813
Brunei,BRN,2003,0.818
Brunei,BRN,2004,0.822
Brunei,BRN,2005,0.825
Brunei,BRN,2006,0.828
Brunei,BRN,2007,0.827
Brunei,BRN,2008,0.826
Brunei,BRN,2009,0.828
Brunei,BRN,2010,0.828
Brunei,BRN,2011,0.832
Brunei,BRN,2012,0.838
Brunei,BRN,2013,0.838
Brunei,BRN,2014,0.837
Brunei,BRN,2015,0.836
Brunei,BRN,2016,0.835
Brunei,BRN,2017,0.834
Brunei,BRN,2018,0.83
Brunei,BRN,2019,0.83
Brunei,BRN,2020,0.83
Brunei,BRN,2021,0.829
Cambodia,KHM,1990,0.378
Cambodia,KHM,1991,0.383
Cambodia,KHM,1992,0.387
Cambodia,KHM,1993,0.39
Cambodia,KHM,1994,0.392
Cambodia,KHM,1995,0.397
Cambodia,KHM,1996,0.4
Cambodia,KHM,1997,0.404
Cambodia,KHM,1998,0.407
Cambodia,KHM,1999,0.416
Cambodia,KHM,2000,0.425
Cambodia,KHM,2001,0.441
Cambodia,KHM,2002,0.461
Cambodia,KHM,2003,0.475
Cambodia,KHM,2004,0.488
Cambodia,KHM,2005,0.499
Cambodia,KHM,2006,0.51
Cambodia,KHM,2007,0.521
Cambodia,KHM,2008,0.528
Cambodia,KHM,2009,0.534
Cambodia,KHM,2010,0.54
Cambodia,KHM,2011,0.548
Cambodia,KHM,2012,0.555
Cambodia,KHM,2013,0.562
Cambodia,KHM,2014,0.569
Cambodia,KHM,2015,0.574
Cambodia,KHM,2016,0.581
Cambodia,KHM,2017,0.586
Cambodia,KHM,2018,0.591
Cambodia,KHM,2019,0.598
Cambodia,KHM,2020,0.596
Cambodia,KHM,2021,0.593
China,CHN,1990,0.484
China,CHN,1991,0.492
China,CHN,1992,0.504
China,CHN,1993,0.515
China,CHN,1994,0.525
China,CHN,1995,0.535
China,CHN,1996,0.545
China,CHN,1997,0.554
China,CHN,1998,0.564
China,CHN,1999,0.573
China,CHN,2000,0.584
China,CHN,2001,0.593
China,CHN,2002,0.604
China,CHN,2003,0.615
China,CHN,2004,0.626
China,CHN,2005,0.638
China,CHN,2006,0.65
China,CHN,2007,0.663
China,CHN,2008,0.672
China,CHN,2009,0.682
China,CHN,2010,0.691
China,CHN,2011,0.7
China,CHN,2012,0.709
China,CHN,2013,0.717
China,CHN,2014,0.725
China,CHN,2015,0.733
China,CHN,2016,0.74
China,CHN,2017,0.747
China,CHN,2018,0.755
China,CHN,2019,0.762
China,CHN,2020,0.764
China,CHN,2021,0.768
Hong Kong,HKG,1990,0.788
Hong Kong,HKG,1991,0.794
Hong Kong,HKG,1992,0.802
Hong Kong,HKG,1993,0.811
Hong Kong,HKG,1994,0.819
Hong Kong,HKG,1995,0.825
Hong Kong,HKG,1996,0.831
Hong Kong,HKG,1997,0.837
Hong Kong,HKG,1998,0.839
Hong Kong,HKG,1999,0.843
Hong Kong,HKG,2000,0.851
Hong Kong,HKG,2001,0.856
Hong Kong,HKG,2002,0.859
Hong Kong,HKG,2003,0.864
Hong Kong,HKG,2004,0.872
Hong Kong,HKG,2005,0.879
Hong Kong,HKG,2006,0.887
Hong Kong,HKG,2007,0.894
Hong Kong,HKG,2008,0.899
Hong Kong,HKG,2009,0.9
Hong Kong,HKG,2010,0.907
Hong Kong,HKG,2011,0.914
Hong Kong,HKG,2012,0.918
Hong Kong,HKG,2013,0.924
Hong Kong,HKG,2014,0.93
Hong Kong,HKG,2015,0.935
Hong Kong,HKG,2016,0.938
Hong Kong,HKG,2017,0.944
Hong Kong,HKG,2018,0.949
Hong Kong,HKG,2019,0.952
Hong Kong,HKG,2020,0.949
Hong Kong,HKG,2021,0.952
India,IND,1990,0.434
India,IND,1991,0.437
India,IND,1992,0.442
India,IND,1993,0.446
India,IND,1994,0.452
India,IND,1995,0.458
India,IND,1996,0.466
India,IND,1997,0.471
India,IND,1998,0.478
India,IND,1999,0.486
India,IND,2000,0.491
India,IND,2001,0.496
India,IND,2002,0.503
India,IND,2003,0.516
India,IND,2004,0.525
India,IND,2005,0.534
India,IND,2006,0.543
India,IND,2007,0.553
India,IND,2008,0.56
India,IND,2009,0.565
India,IND,2010,0.575
India,IND,2011,0.588
India,IND,2012,0.598
India,IND,2013,0.607
India,IND,2014,0.619
India,IND,2015,0.629
India,IND,2016,0.639
India,IND,2017,0.644
India,IND,2018,0.645
India,IND,2019,0.645
India,IND,2020,0.642
India,IND,2021,0.633
Indonesia,IDN,1990,0.526
Indonesia,IDN,1991,0.532
Indonesia,IDN,1992,0.54
Indonesia,IDN,1993,0.548
Indonesia,IDN,1994,0.558
Indonesia,IDN,1995,0.569
Indonesia,IDN,1996,0.578
Indonesia,IDN,1997,0.589
Indonesia,IDN,1998,0.585
Indonesia,IDN,1999,0.59
Indonesia,IDN,2000,0.595
Indonesia,IDN,2001,0.604
Indonesia,IDN,2002,0.612
Indonesia,IDN,2003,0.621
Indonesia,IDN,2004,0.619
Indonesia,IDN,2005,0.632
Indonesia,IDN,2006,0.639
Indonesia,IDN,2007,0.643
Indonesia,IDN,2008,0.646
Indonesia,IDN,2009,0.657
Indonesia,IDN,2010,0.664
Indonesia,IDN,2011,0.671
Indonesia,IDN,2012,0.678
Indonesia,IDN,2013,0.683
Indonesia,IDN,2014,0.687
Indonesia,IDN,2015,0.695
Indonesia,IDN,2016,0.699
Indonesia,IDN,2017,0.704
Indonesia,IDN,2018,0.71
Indonesia,IDN,2019,0.716
Indonesia,IDN,2020,0.709
Indonesia,IDN,2021,0.705
Japan,JPN,1990,0.845
Japan,JPN,1991,0.849
Japan,JPN,1992,0.85
Japan,JPN,1993,0.855
Japan,JPN,1994,0.861
Japan,JPN,1995,0.863
Japan,JPN,1996,0.868
Japan,JPN,1997,0.871
Japan,JPN,1998,0.871
Japan,JPN,1999,0.872
Japan,JPN,2000,0.877
Japan,JPN,2001,0.88
Japan,JPN,2002,0.882
Japan,JPN,2003,0.884
Japan,JPN,2004,0.888
Japan,JPN,2005,0.889
Japan,JPN,2006,0.892
Japan,JPN,2007,0.895
Japan,JPN,2008,0.895
Japan,JPN,2009,0.896
Japan,JPN,2010,0.898
Japan,JPN,2011,0.899
Japan,JPN,2012,0.905
Japan,JPN,2013,0.91
Japan,JPN,2014,0.914
Japan,JPN,2015,0.918
Japan,JPN,2016,0.921
Japan,JPN,2017,0.922
Japan,JPN,2018,0.923
Japan,JPN,2019,0.924
Japan,JPN,2020,0.923
Japan,JPN,2021,0.925
Laos,LAO,1990,0.405
Laos,LAO,1991,0.412
Laos,LAO,1992,0.417
Laos,LAO,1993,0.424
Laos,LAO,1994,0.432
Laos,LAO,1995,0.434
Laos,LAO,1996,0.447
Laos,LAO,1997,0.454
Laos,LAO,1998,0.46
Laos,LAO,1999,0.466
Laos,LAO,2000,0.47
Laos,LAO,2001,0.476
Laos,LAO,2002,0.484
Laos,LAO,2003,0.493
Laos,LAO,2004,0.5
Laos,LAO,2005,0.51
Laos,LAO,2006,0.511
Laos,LAO,2007,0.525
Laos,LAO,2008,0.532
Laos,LAO,2009,0.543
Laos,LAO,2010,0.551
Laos,LAO,2011,0.563
Laos,LAO,2012,0.572
Laos,LAO,2013,0.582
Laos,LAO,2014,0.592
Laos,LAO,2015,0.599
Laos,LAO,2016,0.604
Laos,LAO,2017,0.607
Laos,LAO,2018,0.607
Laos,LAO,2019,0.61
Laos,LAO,2020,0.608
Laos,LAO,2021,0.607
Malaysia,MYS,1990,0.64
Malaysia,MYS,1991,0.648
Malaysia,MYS,1992,0.656
Malaysia,MYS,1993,0.663
Malaysia,MYS,1994,0.671
Malaysia,MYS,1995,0.679
Malaysia,MYS,1996,0.689
Malaysia,MYS,1997,0.7
Malaysia,MYS,1998,0.703
Malaysia,MYS,1999,0.709
Malaysia,MYS,2000,0.721
Malaysia,MYS,2001,0.722
Malaysia,MYS,2002,0.724
Malaysia,MYS,2003,0.732
Malaysia,MYS,2004,0.735
Malaysia,MYS,2005,0.732
Malaysia,MYS,2006,0.736
Malaysia,MYS,2007,0.747
Malaysia,MYS,2008,0.756
Malaysia,MYS,2009,0.762
Malaysia,MYS,2010,0.769
Malaysia,MYS,2011,0.773
Malaysia,MYS,2012,0.78
Malaysia,MYS,2013,0.785
Malaysia,MYS,2014,0.792
Malaysia,MYS,2015,0.797
Malaysia,MYS,2016,0.803
Malaysia,MYS,2017,0.805
Malaysia,MYS,2018,0.807
Malaysia,MYS,2019,0.81
Malaysia,MYS,2020,0.806
Malaysia,MYS,2021,0.803
Maldives,MDV,1995,0.582
Maldives,MDV,1996,0.593
Maldives,MDV,1997,0.6
Maldives,MDV,1998,0.606
Maldives,MDV,1999,0.619
Maldives,MDV,2000,0.628
Maldives,MDV,2001,0.633
Maldives,MDV,2002,0.636
Maldives,MDV,2003,0.65
Maldives,MDV,2004,0.65
Maldives,MDV,2005,0.649
Maldives,MDV,2006,0.664
Maldives,MDV,2007,0.665
Maldives,MDV,2008,0.677
Maldives,MDV,2009,0.68
Maldives,MDV,2010,0.688
Maldives,MDV,2011,0.7
Maldives,MDV,2012,0.709
Maldives,MDV,2013,0.718
Maldives,MDV,2014,0.728
Maldives,MDV,2015,0.736
Maldives,MDV,2016,0.741
Maldives,MDV,2017,0.746
Maldives,MDV,2018,0.75
Maldives,MDV,2019,0.755
Maldives,MDV,2020,0.734
Maldives,MDV,2021,0.747
Mongolia,MNG,1990,0.579
Mongolia,MNG,1991,0.575
Mongolia,MNG,1992,0.564
Mongolia,MNG,1993,0.551
Mongolia,MNG,1994,0.555
Mongolia,MNG,1995,0.56
Mongolia,MNG,1996,0.564
Mongolia,MNG,1997,0.572
Mongolia,MNG,1998,0.583
Mongolia,MNG,1999,0.591
Mongolia,MNG,2000,0.598
Mongolia,MNG,2001,0.609
Mongolia,MNG,2002,0.617
Mongolia,MNG,2003,0.631
Mongolia,MNG,2004,0.647
Mongolia,MNG,2005,0.658
Mongolia,MNG,2006,0.669
Mongolia,MNG,2007,0.68
Mongolia,MNG,2008,0.691
Mongolia,MNG,2009,0.695
Mongolia,MNG,2010,0.701
Mongolia,MNG,2011,0.709
Mongolia,MNG,2012,0.718
Mongolia,MNG,2013,0.726
Mongolia,MNG,2014,0.729
Mongolia,MNG,2015,0.732
Mongolia,MNG,2016,0.733
Mongolia,MNG,2017,0.732
Mongolia,MNG,2018,0.743
Mongolia,MNG,2019,0.746
Mongolia,MNG,2020,0.745
Mongolia,MNG,2021,0.739
Myanmar,MMR,1990,0.333
Myanmar,MMR,1991,0.343
Myanmar,MMR,1992,0.356
Myanmar,MMR,1993,0.363
Myanmar,MMR,1994,0.369
Myanmar,MMR,1995,0.374
Myanmar,MMR,1996,0.381
Myanmar,MMR,1997,0.385
Myanmar,MMR,1998,0.392
Myanmar,MMR,1999,0.401
Myanmar,MMR,2000,0.41
Myanmar,MMR,2001,0.42
Myanmar,MMR,2002,0.43
Myanmar,MMR,2003,0.44
Myanmar,MMR,2004,0.45
Myanmar,MMR,2005,0.46
Myanmar,MMR,2006,0.47
Myanmar,MMR,2007,0.48
Myanmar,MMR,2008,0.465
Myanmar,MMR,2009,0.501
Myanmar,MMR,2010,0.51
Myanmar,MMR,2011,0.521
Myanmar,MMR,2012,0.531
Myanmar,MMR,2013,0.543
Myanmar,MMR,2014,0.553
Myanmar,MMR,2015,0.562
Myanmar,MMR,2016,0.572
Myanmar,MMR,2017,0.58
Myanmar,MMR,2018,0.59
Myanmar,MMR,2019,0.598
Myanmar,MMR,2020,0.6
Myanmar,MMR,2021,0.585
Nepal,NPL,1990,0.399
Nepal,NPL,1991,0.408
Nepal,NPL,1992,0.416
Nepal,NPL,1993,0.421
Nepal,NPL,1994,0.428
Nepal,NPL,1995,0.433
Nepal,NPL,1996,0.442
Nepal,NPL,1997,0.449
Nepal,NPL,1998,0.455
Nepal,NPL,1999,0.461
Nepal,NPL,2000,0.467
Nepal,NPL,2001,0.469
Nepal,NPL,2002,0.476
Nepal,NPL,2003,0.482
Nepal,NPL,2004,0.489
Nepal,NPL,2005,0.495
Nepal,NPL,2006,0.505
Nepal,NPL,2007,0.509
Nepal,NPL,2008,0.518
Nepal,NPL,2009,0.53
Nepal,NPL,2010,0.543
Nepal,NPL,2011,0.553
Nepal,NPL,2012,0.561
Nepal,NPL,2013,0.57
Nepal,NPL,2014,0.576
Nepal,NPL,2015,0.579
Nepal,NPL,2016,0.586
Nepal,NPL,2017,0.594
Nepal,NPL,2018,0.601
Nepal,NPL,2019,0.611
Nepal,NPL,2020,0.604
Nepal,NPL,2021,0.602
Oman,OMN,2000,0.705
Oman,OMN,2001,0.716
Oman,OMN,2002,0.723
Oman,OMN,2003,0.731
Oman,OMN,2004,0.739
Oman,OMN,2005,0.745
Oman,OMN,2006,0.753
Oman,OMN,2007,0.762
Oman,OMN,2008,0.772
Oman,OMN,2009,0.783
Oman,OMN,2010,0.788
Oman,OMN,2011,0.793
Oman,OMN,2012,0.802
Oman,OMN,2013,0.809
Oman,OMN,2014,0.814
Oman,OMN,2015,0.823
Oman,OMN,2016,0.833
Oman,OMN,2017,0.831
Oman,OMN,2018,0.834
Oman,OMN,2019,0.839
Oman,OMN,2020,0.827
Oman,OMN,2021,0.816
Philippines,PHL,1990,0.598
Philippines,PHL,1991,0.599
Philippines,PHL,1992,0.603
Philippines,PHL,1993,0.606
Philippines,PHL,1994,0.609
Philippines,PHL,1995,0.612
Philippines,PHL,1996,0.62
Philippines,PHL,1997,0.625
Philippines,PHL,1998,0.63
Philippines,PHL,1999,0.633
Philippines,PHL,2000,0.633
Philippines,PHL,2001,0.638
Philippines,PHL,2002,0.645
Philippines,PHL,2003,0.65
Philippines,PHL,2004,0.657
Philippines,PHL,2005,0.658
Philippines,PHL,2006,0.659
Philippines,PHL,2007,0.664
Philippines,PHL,2008,0.668
Philippines,PHL,2009,0.667
Philippines,PHL,2010,0.674
Philippines,PHL,2011,0.679
Philippines,PHL,2012,0.685
Philippines,PHL,2013,0.692
Philippines,PHL,2014,0.696
Philippines,PHL,2015,0.698
Philippines,PHL,2016,0.7
Philippines,PHL,2017,0.704
Philippines,PHL,2018,0.71
Philippines,PHL,2019,0.718
Philippines,PHL,2020,0.71
Philippines,PHL,2021,0.699
Singapore,SGP,1990,0.727
Singapore,SGP,1991,0.737
Singapore,SGP,1992,0.748
Singapore,SGP,1993,0.758
Singapore,SGP,1994,0.77
Singapore,SGP,1995,0.779
Singapore,SGP,1996,0.789
Singapore,SGP,1997,0.802
Singapore,SGP,1998,0.81
Singapore,SGP,1999,0.82
Singapore,SGP,2000,0.831
Singapore,SGP,2001,0.833
Singapore,SGP,2002,0.84
Singapore,SGP,2003,0.845
Singapore,SGP,2004,0.851
Singapore,SGP,2005,0.875
Singapore,SGP,2006,0.881
Singapore,SGP,2007,0.887
Singapore,SGP,2008,0.892
Singapore,SGP,2009,0.892
Singapore,SGP,2010,0.91
Singapore,SGP,2011,0.915
Singapore,SGP,2012,0.92
Singapore,SGP,2013,0.923
Singapore,SGP,2014,0.928
Singapore,SGP,2015,0.93
Singapore,SGP,2016,0.934
Singapore,SGP,2017,0.935
Singapore,SGP,2018,0.94
Singapore,SGP,2019,0.943
Singapore,SGP,2020,0.939
Singapore,SGP,2021,0.939
South Korea,KOR,1990,0.737
South Korea,KOR,1991,0.747
South Korea,KOR,1992,0.754
South Korea,KOR,1993,0.763
South Korea,KOR,1994,0.773
South Korea,KOR,1995,0.783
South Korea,KOR,1996,0.793
South Korea,KOR,1997,0.806
South Korea,KOR,1998,0.804
South Korea,KOR,1999,0.815
South Korea,KOR,2000,0.825
South Korea,KOR,2001,0.833
South Korea,KOR,2002,0.84
South Korea,KOR,2003,0.844
South Korea,KOR,2004,0.852
South Korea,KOR,2005,0.86
South Korea,KOR,2006,0.866
South Korea,KOR,2007,0.871
South Korea,KOR,2008,0.875
South Korea,KOR,2009,0.877
South Korea,KOR,2010,0.89
South Korea,KOR,2011,0.896
South Korea,KOR,2012,0.897
South Korea,KOR,2013,0.901
South Korea,KOR,2014,0.906
South Korea,KOR,2015,0.909
South Korea,KOR,2016,0.912
South Korea,KOR,2017,0.916
South Korea,KOR,2018,0.919
South Korea,KOR,2019,0.923
South Korea,KOR,2020,0.922
South Korea,KOR,2021,0.925
Sri Lanka,LKA,1990,0.636
Sri Lanka,LKA,1991,0.641
Sri Lanka,LKA,1992,0.65
Sri Lanka,LKA,1993,0.658
Sri Lanka,LKA,1994,0.663
Sri Lanka,LKA,1995,0.666
Sri Lanka,LKA,1996,0.672
Sri Lanka,LKA,1997,0.678
Sri Lanka,LKA,1998,0.683
Sri Lanka,LKA,1999,0.691
Sri Lanka,LKA,2000,0.688
Sri Lanka,LKA,2001,0.69
Sri Lanka,LKA,2002,0.694
Sri Lanka,LKA,2003,0.699
Sri Lanka,LKA,2004,0.683
Sri Lanka,LKA,2005,0.71
Sri Lanka,LKA,2006,0.714
Sri Lanka,LKA,2007,0.719
Sri Lanka,LKA,2008,0.721
Sri Lanka,LKA,2009,0.713
Sri Lanka,LKA,2010,0.737
Sri Lanka,LKA,2011,0.744
Sri Lanka,LKA,2012,0.751
Sri Lanka,LKA,2013,0.756
Sri Lanka,LKA,2014,0.76
Sri Lanka,LKA,2015,0.764
Sri Lanka,LKA,2016,0.767
Sri Lanka,LKA,2017,0.771
Sri Lanka,LKA,2018,0.776
Sri Lanka,LKA,2019,0.778
Sri Lanka,LKA,2020,0.78
Sri Lanka,LKA,2021,0.782
Thailand,THA,1990,0.576
Thailand,THA,1991,0.585
Thailand,THA,1992,0.595
Thailand,THA,1993,0.604
Thailand,THA,1994,0.613
Thailand,THA,1995,0.619
Thailand,THA,1996,0.628
Thailand,THA,1997,0.635
Thailand,THA,1998,0.64
Thailand,THA,1999,0.646
Thailand,THA,2000,0.653
Thailand,THA,2001,0.664
Thailand,THA,2002,0.676
Thailand,THA,2003,0.687
Thailand,THA,2004,0.697
Thailand,THA,2005,0.706
Thailand,THA,2006,0.712
Thailand,THA,2007,0.724
Thailand,THA,2008,0.727
Thailand,THA,2009,0.73
Thailand,THA,2010,0.737
Thailand,THA,2011,0.743
Thailand,THA,2012,0.746
Thailand,THA,2013,0.747
Thailand,THA,2014,0.778
Thailand,THA,2015,0.781
Thailand,THA,2016,0.785
Thailand,THA,2017,0.79
Thailand,THA,2018,0.795
Thailand,THA,2019,0.804
Thailand,THA,2020,0.802
Thailand,THA,2021,0.8
Vietnam,VNM,1990,0.482
Vietnam,VNM,1991,0.493
Vietnam,VNM,1992,0.504
Vietnam,VNM,1993,0.515
Vietnam,VNM,1994,0.526
Vietnam,VNM,1995,0.539
Vietnam,VNM,1996,0.55
Vietnam,VNM,1997,0.56
Vietnam,VNM,1998,0.569
Vietnam,VNM,1999,0.578
Vietnam,VNM,2000,0.588
Vietnam,VNM,2001,0.598
Vietnam,VNM,2002,0.608
Vietnam,VNM,2003,0.617
Vietnam,VNM,2004,0.625
Vietnam,VNM,2005,0.633
Vietnam,VNM,2006,0.641
Vietnam,VNM,2007,0.648
Vietnam,VNM,2008,0.653
Vietnam,VNM,2009,0.658
Vietnam,VNM,2010,0.663
Vietnam,VNM,2011,0.668
Vietnam,VNM,2012,0.672
Vietnam,VNM,2013,0.676
Vietnam,VNM,2014,0.68
Vietnam,VNM,2015,0.684
Vietnam,VNM,2016,0.688
Vietnam,VNM,2017,0.692
Vietnam,VNM,2018,0.697
Vietnam,VNM,2019,0.703
Vietnam,VNM,2020,0.71
Vietnam,VNM,2021,0.703
