Entity,Code,Year,2_1_Military_usd_pc
Bahrain,BHR,1988,445.93
Bahrain,BHR,1989,453.32
Bahrain,BHR,1990,482.66
Bahrain,BHR,1991,516.51
Bahrain,BHR,1992,533.87
Bahrain,BHR,1993,520.79
Bahrain,BHR,1994,517.79
Bahrain,BHR,1995,537.86
Bahrain,BHR,1996,556.13
Bahrain,BHR,1997,540.92
Bahrain,BHR,1998,537.38
Bahrain,BHR,1999,572.41
Bahrain,BHR,2000,540.23
Bahrain,BHR,2001,533.78
Bahrain,BHR,2002,604.17
Bahrain,BHR,2003,662.58
Bahrain,BHR,2004,640.98
Bahrain,BHR,2005,577.29
Bahrain,BHR,2006,599.11
Bahrain,BHR,2007,620.27
Bahrain,BHR,2008,645.9
Bahrain,BHR,2009,698.85
Bahrain,BHR,2010,679.22
Bahrain,BHR,2011,808.6
Bahrain,BHR,2012,909.41
Bahrain,BHR,2013,1024.77
Bahrain,BHR,2014,1104.18
Bahrain,BHR,2015,1051.15
Bahrain,BHR,2016,1055.93
Bahrain,BHR,2017,1025.86
Bahrain,BHR,2018,973.38
Bahrain,BHR,2019,949.15
Bahrain,BHR,2020,825.58
Bangladesh,BGD,1988,3.38
Bangladesh,BGD,1989,3.76
Bangladesh,BGD,1990,3.62
Bangladesh,BGD,1991,3.61
Bangladesh,BGD,1992,3.96
Bangladesh,BGD,1993,4.27
Bangladesh,BGD,1994,4.86
Bangladesh,BGD,1995,5.38
Bangladesh,BGD,1996,5.43
Bangladesh,BGD,1997,5.68
Bangladesh,BGD,1998,5.72
Bangladesh,BGD,1999,5.89
Bangladesh,BGD,2000,5.8
Bangladesh,BGD,2001,5.42
Bangladesh,BGD,2002,5.15
Bangladesh,BGD,2003,5.34
Bangladesh,BGD,2004,5.63
Bangladesh,BGD,2005,5.56
Bangladesh,BGD,2006,5.89
Bangladesh,BGD,2007,6.68
Bangladesh,BGD,2008,7.14
Bangladesh,BGD,2009,8.63
Bangladesh,BGD,2010,11.01
