Entity,Code,Year,0_0_NitroPerHa
Bahrain,BHR,1972,2
Bahrain,BHR,1973,5.33
Bahrain,BHR,1974,6.67
Bahrain,BHR,1975,5.75
Bahrain,BHR,1978,3.83
Bahrain,BHR,1979,2.17
Bahrain,BHR,1981,60
Bahrain,BHR,1982,15.5
Bahrain,BHR,1983,47.5
Bahrain,BHR,1984,70
Bahrain,BHR,1985,47.5
Bahrain,BHR,1986,235
Bahrain,BHR,1987,40
Bahrain,BHR,1988,48.75
Bahrain,BHR,1989,58
Bahrain,BHR,1990,67.5
Bahrain,BHR,1991,75
Bahrain,BHR,1992,60
Bahrain,BHR,1993,40
Bahrain,BHR,1994,40
Bahrain,BHR,1995,40
Bahrain,BHR,1996,40
Bahrain,BHR,1997,40
Bahrain,BHR,1998,135
Bahrain,BHR,1999,23.83
Bahrain,BHR,2000,21.92
Bahrain,BHR,2001,19.23
Bahrain,BHR,2002,342.07
Bahrain,BHR,2003,363.02
Bahrain,BHR,2004,378.47
Bahrain,BHR,2005,378.47
Bahrain,BHR,2006,390.94
Bahrain,BHR,2007,242.12
Bahrain,BHR,2008,543.29
Bahrain,BHR,2009,280.44
Bahrain,BHR,2010,553.32
Bahrain,BHR,2011,386.69
Bahrain,BHR,2012,386.69
Bahrain,BHR,2013,386.69
Bahrain,BHR,2014,386.69
Bahrain,BHR,2015,386.69
Bahrain,BHR,2016,386.69
Bahrain,BHR,2017,386.69
Bahrain,BHR,2018,386.69
Bahrain,BHR,2019,386.69
Bahrain,BHR,2020,386.69
Bangladesh,BGD,1961,2.25
Bangladesh,BGD,1962,2.7
Bangladesh,BGD,1963,4.05
Bangladesh,BGD,1964,3.81
Bangladesh,BGD,1965,4.75
Bangladesh,BGD,1966,6.22
Bangladesh,BGD,1967,7.8
Bangladesh,BGD,1968,8.39
Bangladesh,BGD,1969,9.96
Bangladesh,BGD,1970,10.74
Bangladesh,BGD,1971,8.59
Bangladesh,BGD,1972,13.77
Bangladesh,BGD,1973,13.52
Bangladesh,BGD,1974,8.82
Bangladesh,BGD,1975,15.59
Bangladesh,BGD,1976,17.85
Bangladesh,BGD,1977,23.98
Bangladesh,BGD,1978,24.27
Bangladesh,BGD,1979,27.73
Bangladesh,BGD,1980,28.54
Bangladesh,BGD,1981,26.82
Bangladesh,BGD,1982,32.51
Bangladesh,BGD,1983,36.84
Bangladesh,BGD,1984,40.66
Bangladesh,BGD,1985,39.01
Bangladesh,BGD,1986,44.8
Bangladesh,BGD,1987,49.88
Bangladesh,BGD,1988,53.79
Bangladesh,BGD,1989,63.98
Bangladesh,BGD,1990,62.25
Bangladesh,BGD,1991,72.59
Bangladesh,BGD,1992,79.71
Bangladesh,BGD,1993,82.93
