Entity,Code,Year,2_1_EnergyPC
Bahrain,BHR,1980,110794.17
Bahrain,BHR,1981,122630.24
Bahrain,BHR,1982,126213.51
Bahrain,BHR,1983,128046.125
Bahrain,BHR,1984,119982.12
Bahrain,BHR,1985,137633.36
Bahrain,BHR,1986,143857.92
Bahrain,BHR,1987,166970.44
Bahrain,BHR,1988,138824.1
Bahrain,BHR,1989,137123.16
Bahrain,BHR,1990,145128.42
Bahrain,BHR,1991,156980.11
Bahrain,BHR,1992,127168.414
Bahrain,BHR,1993,146765.97
Bahrain,BHR,1994,139849.06
Bahrain,BHR,1995,135597.83
Bahrain,BHR,1996,131670.08
Bahrain,BHR,1997,150403.06
Bahrain,BHR,1998,153224.42
Bahrain,BHR,1999,152743.7
Bahrain,BHR,2000,157253.03
Bahrain,BHR,2001,158559.69
Bahrain,BHR,2002,165096.56
Bahrain,BHR,2003,165859.02
Bahrain,BHR,2004,160432.52
Bahrain,BHR,2005,166315.33
Bahrain,BHR,2006,164833.39
Bahrain,BHR,2007,157924.5
Bahrain,BHR,2008,154981.84
Bahrain,BHR,2009,144453.19
Bahrain,BHR,2010,141918.81
Bahrain,BHR,2011,140602.33
Bahrain,BHR,2012,149453.66
Bahrain,BHR,2013,161367.75
Bahrain,BHR,2014,153931.72
Bahrain,BHR,2015,149474.81
Bahrain,BHR,2016,144115.88
Bahrain,BHR,2017,143468.11
Bahrain,BHR,2018,142293.3
Bahrain,BHR,2019,159474.5
Bangladesh,BGD,1971,196.07521
Bangladesh,BGD,1972,219.05296
Bangladesh,BGD,1973,273.81128
Bangladesh,BGD,1974,284.40268
Bangladesh,BGD,1975,285.55573
Bangladesh,BGD,1976,325.90973
Bangladesh,BGD,1977,325.5558
Bangladesh,BGD,1978,337.76715
Bangladesh,BGD,1979,363.75983
Bangladesh,BGD,1980,414.0412
Bangladesh,BGD,1981,427.59872
Bangladesh,BGD,1982,458.93726
Bangladesh,BGD,1983,441.42987
Bangladesh,BGD,1984,464.4558
Bangladesh,BGD,1985,503.06958
Bangladesh,BGD,1986,534.60504
Bangladesh,BGD,1987,577.0166
Bangladesh,BGD,1988,628.85486
Bangladesh,BGD,1989,663.6649
Bangladesh,BGD,1990,689.29553
Bangladesh,BGD,1991,652.2589
Bangladesh,BGD,1992,698.3831
Bangladesh,BGD,1993,753.2771
Bangladesh,BGD,1994,784.41504
Bangladesh,BGD,1995,909.2928
Bangladesh,BGD,1996,935.9809
Bangladesh,BGD,1997,966.0075
Bangladesh,BGD,1998,1009.72015
Bangladesh,BGD,1999,1001.8188
Bangladesh,BGD,2000,1053.6212
Bangladesh,BGD,2001,1181.6239
Bangladesh,BGD,2002,1196.5979
Bangladesh,BGD,2003,1246.2611
Bangladesh,BGD,2004,1267.8497
Bangladesh,BGD,2005,1346.6423
Bangladesh,BGD,2006,1441.4452
Bangladesh,BGD,2007,1459.8888
Bangladesh,BGD,2008,1531.0912
Bangladesh,BGD,2009,1667.7196
Bangladesh,BGD,2010,1688.3813
Bangladesh,BGD,2011,1812.5818
Bangladesh,BGD,2012,1916.3889
Bangladesh,BGD,2013,1949.77
Bangladesh,BGD,2014,2004.2672
Bangladesh,BGD,2015,2303.3232
Bangladesh,BGD,2016,2313.5173
Bangladesh,BGD,2017,2374.3135
Bangladesh,BGD,2018,2485.8262
Bangladesh,BGD,2019,2734.3862
Bangladesh,BGD,2020,2620.976
Bangladesh,BGD,2021,2712.355
Bhutan,BTN,1980,95.291664
Bhutan,BTN,1981,338.31787
Bhutan,BTN,1982,337.8028
Bhutan,BTN,1983,321.90067
Bhutan,BTN,1984,322.77762
Bhutan,BTN,1985,338.1183
Bhutan,BTN,1986,1600.5055
Bhutan,BTN,1987,5357.044
Bhutan,BTN,1988,6572.8003
Bhutan,BTN,1989,6500.1846
Bhutan,BTN,1990,6680.068
Bhutan,BTN,1991,6690.798
Bhutan,BTN,1992,7066.251
Bhutan,BTN,1993,7435.9053
Bhutan,BTN,1994,7941.4434
Bhutan,BTN,1995,8379.913
Bhutan,BTN,1996,9016.825
Bhutan,BTN,1997,8929.931
Bhutan,BTN,1998,8571.275
Bhutan,BTN,1999,8449.229
Bhutan,BTN,2000,8469.052
Bhutan,BTN,2001,9100.751
Bhutan,BTN,2002,9810.103
Bhutan,BTN,2003,10658.221
Bhutan,BTN,2004,10014.694
Bhutan,BTN,2005,11119.834
Bhutan,BTN,2006,17746.78
Bhutan,BTN,2007,21903.543
Bhutan,BTN,2008,22370.271
Bhutan,BTN,2009,22935.088
Bhutan,BTN,2010,24286.18
Bhutan,BTN,2011,23372.406
Bhutan,BTN,2012,22462.676
Bhutan,BTN,2013,24617.613
Bhutan,BTN,2014,23330.977
Bhutan,BTN,2015,24206.25
Bhutan,BTN,2016,24694.932
Bhutan,BTN,2017,24329.707
Bhutan,BTN,2018,23140.729
Bhutan,BTN,2019,29170.91
Brunei,BRN,1980,128381.54
Brunei,BRN,1981,128519.22
Brunei,BRN,1982,135640.42
Brunei,BRN,1983,103056.6
Brunei,BRN,1984,88017.86
Brunei,BRN,1985,101527.69
Brunei,BRN,1986,65020.742
Brunei,BRN,1987,100390.95
Brunei,BRN,1988,84126.48
Brunei,BRN,1989,95691.67
Brunei,BRN,1990,78462.11
Brunei,BRN,1991,60861.88
Brunei,BRN,1992,57892.043
Brunei,BRN,1993,53614.46
Brunei,BRN,1994,50252.98
Brunei,BRN,1995,60665.79
Brunei,BRN,1996,55188.805
Brunei,BRN,1997,57698.684
Brunei,BRN,1998,51055.582
Brunei,BRN,1999,58967.64
Brunei,BRN,2000,58884.86
Brunei,BRN,2001,65610.27
Brunei,BRN,2002,75133.31
Brunei,BRN,2003,76284.74
Brunei,BRN,2004,83202.56
Brunei,BRN,2005,92130.18
Brunei,BRN,2006,139666.8
Brunei,BRN,2007,144318.16
Brunei,BRN,2008,145980.9
Brunei,BRN,2009,95420.39
Brunei,BRN,2010,107111.19
Brunei,BRN,2011,108531.15
Brunei,BRN,2012,104173.734
Brunei,BRN,2013,95693.625
Brunei,BRN,2014,106339.25
Brunei,BRN,2015,116176.79
Brunei,BRN,2016,120051.6
Brunei,BRN,2017,119337.055
Brunei,BRN,2018,122979.12
Brunei,BRN,2019,120314.98
Cambodia,KHM,1980,213.39365
Cambodia,KHM,1981,219.09146
Cambodia,KHM,1982,230.18384
Cambodia,KHM,1983,241.70012
Cambodia,KHM,1984,255.31157
Cambodia,KHM,1985,248.37184
Cambodia,KHM,1986,241.1216
Cambodia,KHM,1987,233.49458
Cambodia,KHM,1988,242.94678
Cambodia,KHM,1989,235.42989
Cambodia,KHM,1990,229.13377
Cambodia,KHM,1991,234.03383
Cambodia,KHM,1992,224.29364
Cambodia,KHM,1993,212.7902
Cambodia,KHM,1994,205.51372
Cambodia,KHM,1995,568.51733
Cambodia,KHM,1996,610.1345
Cambodia,KHM,1997,702.9782
Cambodia,KHM,1998,804.9414
Cambodia,KHM,1999,812.65686
Cambodia,KHM,2000,739.4555
Cambodia,KHM,2001,769.4097
Cambodia,KHM,2002,754.1447
Cambodia,KHM,2003,803.81635
Cambodia,KHM,2004,813.56445
Cambodia,KHM,2005,909.82135
Cambodia,KHM,2006,967.99585
Cambodia,KHM,2007,1116.1547
Cambodia,KHM,2008,1152.201
Cambodia,KHM,2009,1402.5603
Cambodia,KHM,2010,1594.1066
Cambodia,KHM,2011,1625.4808
Cambodia,KHM,2012,1784.2876
Cambodia,KHM,2013,1865.3733
Cambodia,KHM,2014,2029.5487
Cambodia,KHM,2015,2294.9976
Cambodia,KHM,2016,2822.683
Cambodia,KHM,2017,2942.283
Cambodia,KHM,2018,3668.622
Cambodia,KHM,2019,4062.9436
China,CHN,1965,2122.2656
China,CHN,1966,2246.8687
China,CHN,1967,1972.4785
China,CHN,1968,1943.555
China,CHN,1969,2302.3645
China,CHN,1970,2871.2456
China,CHN,1971,3320.4941
China,CHN,1972,3498.7197
China,CHN,1973,3614.6833
China,CHN,1974,3654.5251
China,CHN,1975,4021.7927
China,CHN,1976,4169.278
China,CHN,1977,4482.5337
China,CHN,1978,4849.5903
China,CHN,1979,4928.0503
China,CHN,1980,4914.1587
China,CHN,1981,4776.941
China,CHN,1982,4910.6587
China,CHN,1983,5147.26
China,CHN,1984,5444.6426
China,CHN,1985,5800.9233
China,CHN,1986,5979.1084
China,CHN,1987,6336.5337
China,CHN,1988,6691.6216
China,CHN,1989,6907.9116
China,CHN,1990,6880.6626
China,CHN,1991,7122.351
China,CHN,1992,7411.3955
China,CHN,1993,7908.6753
China,CHN,1994,8323.469
China,CHN,1995,8498.712
China,CHN,1996,8880.126
China,CHN,1997,8871.482
China,CHN,1998,8822.785
China,CHN,1999,9069.434
China,CHN,2000,9334.937
China,CHN,2001,9797.8125
China,CHN,2002,10602.087
China,CHN,2003,12273.32
China,CHN,2004,14272.745
China,CHN,2005,16114.158
China,CHN,2006,17552.816
China,CHN,2007,18955.008
China,CHN,2008,19560.701
China,CHN,2009,20281.068
China,CHN,2010,21550.486
China,CHN,2011,23088.703
China,CHN,2012,23870.404
China,CHN,2013,24596.934
China,CHN,2014,25148.887
China,CHN,2015,25315.799
China,CHN,2016,25591.42
China,CHN,2017,26315.52
China,CHN,2018,27224.191
China,CHN,2019,28116.959
China,CHN,2020,28769.54
China,CHN,2021,30711.195
Hong Kong,HKG,1965,7301.9927
Hong Kong,HKG,1966,7741.76
Hong Kong,HKG,1967,8955.669
Hong Kong,HKG,1968,9501.208
Hong Kong,HKG,1969,10978.89
Hong Kong,HKG,1970,11625.99
Hong Kong,HKG,1971,12053.716
Hong Kong,HKG,1972,13359.897
Hong Kong,HKG,1973,13507.763
Hong Kong,HKG,1974,13483.886
Hong Kong,HKG,1975,12384.696
Hong Kong,HKG,1976,14277.871
Hong Kong,HKG,1977,15066.502
Hong Kong,HKG,1978,15311.371
Hong Kong,HKG,1979,15343.07
Hong Kong,HKG,1980,15344.992
Hong Kong,HKG,1981,16032.551
Hong Kong,HKG,1982,17292.791
Hong Kong,HKG,1983,18038.969
Hong Kong,HKG,1984,18198.44
Hong Kong,HKG,1985,18620.49
Hong Kong,HKG,1986,19223.525
Hong Kong,HKG,1987,20797.482
Hong Kong,HKG,1988,23589.496
Hong Kong,HKG,1989,24833.414
Hong Kong,HKG,1990,23868.459
Hong Kong,HKG,1991,24375.887
Hong Kong,HKG,1992,28285.234
Hong Kong,HKG,1993,30461.104
Hong Kong,HKG,1994,27249.283
Hong Kong,HKG,1995,28937.334
Hong Kong,HKG,1996,28513.863
Hong Kong,HKG,1997,28363.014
Hong Kong,HKG,1998,28449.79
Hong Kong,HKG,1999,28398.512
Hong Kong,HKG,2000,29337.336
Hong Kong,HKG,2001,36671.152
Hong Kong,HKG,2002,35543.58
Hong Kong,HKG,2003,36507.195
Hong Kong,HKG,2004,40706.633
Hong Kong,HKG,2005,38935.484
Hong Kong,HKG,2006,41052.85
Hong Kong,HKG,2007,43421.633
Hong Kong,HKG,2008,40117.207
Hong Kong,HKG,2009,43534.285
Hong Kong,HKG,2010,45030.29
Hong Kong,HKG,2011,45897.434
Hong Kong,HKG,2012,43749.895
Hong Kong,HKG,2013,44547.46
Hong Kong,HKG,2014,43148.523
Hong Kong,HKG,2015,44121.883
Hong Kong,HKG,2016,45066.92
Hong Kong,HKG,2017,48179.9
Hong Kong,HKG,2018,48609.64
Hong Kong,HKG,2019,45987.445
Hong Kong,HKG,2020,34407.945
Hong Kong,HKG,2021,32456.28
India,IND,1965,1238.6196
India,IND,1966,1249.3602
India,IND,1967,1261.3981
India,IND,1968,1319.7284
India,IND,1969,1431.1664
India,IND,1970,1369.9354
India,IND,1971,1393.6622
India,IND,1972,1434.1183
India,IND,1973,1431.4932
India,IND,1974,1482.6228
India,IND,1975,1558.8989
India,IND,1976,1599.2655
India,IND,1977,1654.6627
India,IND,1978,1682.4658
India,IND,1979,1736.4576
India,IND,1980,1748.7793
India,IND,1981,1892.7516
India,IND,1982,1832.2888
India,IND,1983,1883.8833
India,IND,1984,1967.3982
India,IND,1985,2030.4757
India,IND,1986,2125.1226
India,IND,1987,2210.1482
India,IND,1988,2353.6423
India,IND,1989,2515.7063
India,IND,1990,2643.1104
India,IND,1991,2730.9585
India,IND,1992,2812.7424
India,IND,1993,2824.2505
India,IND,1994,2916.7803
India,IND,1995,3072.884
India,IND,1996,3134.0286
India,IND,1997,3244.4336
India,IND,1998,3377.1096
India,IND,1999,3411.3298
India,IND,2000,3518.6824
India,IND,2001,3469.8364
India,IND,2002,3519.717
India,IND,2003,3583.3396
