Entity,Code,Year,3_1_Renewables_kWpc
Bangladesh,BGD,1971,7.568028
Bangladesh,BGD,1972,7.4621134
Bangladesh,BGD,1973,13.757338
Bangladesh,BGD,1974,9.850171
Bangladesh,BGD,1975,17.258919
Bangladesh,BGD,1976,19.124786
Bangladesh,BGD,1977,16.537506
Bangladesh,BGD,1978,18.701193
Bangladesh,BGD,1979,21.191452
Bangladesh,BGD,1980,20.540087
Bangladesh,BGD,1981,21.451128
Bangladesh,BGD,1982,17.463715
Bangladesh,BGD,1983,21.50054
Bangladesh,BGD,1984,28.357735
Bangladesh,BGD,1985,22.772358
Bangladesh,BGD,1986,13.5404625
Bangladesh,BGD,1987,15.21305
Bangladesh,BGD,1988,19.437046
Bangladesh,BGD,1989,25.935122
Bangladesh,BGD,1990,24.396038
Bangladesh,BGD,1991,22.683018
Bangladesh,BGD,1992,21.153221
Bangladesh,BGD,1993,15.851429
Bangladesh,BGD,1994,21.663036
Bangladesh,BGD,1995,9.338388
Bangladesh,BGD,1996,18.228828
Bangladesh,BGD,1997,17.421244
Bangladesh,BGD,1998,20.56925
Bangladesh,BGD,1999,19.43257
Bangladesh,BGD,2000,17.143183
Bangladesh,BGD,2001,22.155485
Bangladesh,BGD,2002,16.300148
Bangladesh,BGD,2003,15.932247
Bangladesh,BGD,2004,15.590723
Bangladesh,BGD,2005,15.289142
Bangladesh,BGD,2006,15.081984
Bangladesh,BGD,2007,14.901632
Bangladesh,BGD,2008,18.70714
Bangladesh,BGD,2009,8.519103
Bangladesh,BGD,2010,14.572278
Bangladesh,BGD,2011,17.199257
Bangladesh,BGD,2012,15.763239
Bangladesh,BGD,2013,15.300506
Bangladesh,BGD,2014,12.863498
Bangladesh,BGD,2015,18.868279
Bangladesh,BGD,2016,18.666649
Bangladesh,BGD,2017,21.258905
Bangladesh,BGD,2018,18.589115
Bangladesh,BGD,2019,18.478964
Bangladesh,BGD,2020,17.24893
Bangladesh,BGD,2021,19.76727
Bangladesh,BGD,2022,21.968452
China,CHN,1965,90.26859
China,CHN,1966,89.495544
China,CHN,1967,75.31707
China,CHN,1968,86.66061
China,CHN,1969,85.818375
China,CHN,1970,86.41278
China,CHN,1971,101.9526
China,CHN,1972,112.924576
China,CHN,1973,123.514275
China,CHN,1974,137.0211
China,CHN,1975,140.91653
China,CHN,1976,140.61176
China,CHN,1977,144.72818
China,CHN,1978,133.8227
China,CHN,1979,148.28004
China,CHN,1980,175.2486
China,CHN,1981,194.25414
China,CHN,1982,217.11359
China,CHN,1983,248.2776
China,CHN,1984,245.85036
China,CHN,1985,257.6671
China,CHN,1986,259.40524
China,CHN,1987,269.6542
China,CHN,1988,289.28363
China,CHN,1989,308.64734
China,CHN,1990,325.01965
China,CHN,1991,315.14822
China,CHN,1992,327.04276
China,CHN,1993,376.28372
China,CHN,1994,412.21762
China,CHN,1995,472.0031
China,CHN,1996,456.7167
China,CHN,1997,475.6653
China,CHN,1998,478.8812
China,CHN,1999,470.54813
China,CHN,2000,528.07043
China,CHN,2001,648.4804
China,CHN,2002,665.86285
China,CHN,2003,650.6222
China,CHN,2004,799.40796
China,CHN,2005,895.05774
China,CHN,2006,979.0929
China,CHN,2007,1083.9487
China,CHN,2008,1421.802
China,CHN,2009,1406.6
China,CHN,2010,1641.2845
China,CHN,2011,1635.6511
China,CHN,2012,2034.3783
China,CHN,2013,2203.7427
China,CHN,2014,2564.515
China,CHN,2015,2730.9412
China,CHN,2016,2950.9333
China,CHN,2017,3194.3936
China,CHN,2018,3486.7085
China,CHN,2019,3800.2761
China,CHN,2020,4096.8643
China,CHN,2021,4580.3896
China,CHN,2022,4974.1704
Hong Kong,HKG,1965,0
Hong Kong,HKG,1966,0
Hong Kong,HKG,1967,0
Hong Kong,HKG,1968,0
Hong Kong,HKG,1969,0
Hong Kong,HKG,1970,0
