Entity,Code,Year,0_0_PhosPerHa
Bahrain,BHR,1972,2
Bahrain,BHR,1973,2
Bahrain,BHR,1974,3.33
Bahrain,BHR,1978,1.67
Bahrain,BHR,1979,2.17
Bahrain,BHR,1982,13.25
Bahrain,BHR,1983,30
Bahrain,BHR,1984,27.5
Bahrain,BHR,1985,37.5
Bahrain,BHR,1986,70
Bahrain,BHR,1987,18.75
Bahrain,BHR,1988,19.5
Bahrain,BHR,1989,34.5
Bahrain,BHR,1990,41.5
Bahrain,BHR,1991,50
Bahrain,BHR,1992,40
Bahrain,BHR,1993,40
Bahrain,BHR,1994,40
Bahrain,BHR,1995,40
Bahrain,BHR,1996,40
Bahrain,BHR,1997,40
Bahrain,BHR,1998,62
Bahrain,BHR,1999,24.5
Bahrain,BHR,2000,22.69
Bahrain,BHR,2001,19.23
Bahrain,BHR,2002,13.53
Bahrain,BHR,2003,14.36
Bahrain,BHR,2004,14.97
Bahrain,BHR,2005,14.97
Bahrain,BHR,2006,15.46
Bahrain,BHR,2007,25.82
Bahrain,BHR,2008,13.06
Bahrain,BHR,2009,11.92
Bahrain,BHR,2010,13.25
Bahrain,BHR,2011,15.29
Bahrain,BHR,2012,15.29
Bahrain,BHR,2013,15.29
Bahrain,BHR,2014,15.29
Bahrain,BHR,2015,15.29
Bahrain,BHR,2016,15.29
Bahrain,BHR,2017,15.29
Bahrain,BHR,2018,15.29
Bahrain,BHR,2019,15.29
Bahrain,BHR,2020,15.29
Bangladesh,BGD,1961,0.23
Bangladesh,BGD,1962,0.23
Bangladesh,BGD,1963,1.24
Bangladesh,BGD,1964,1.01
Bangladesh,BGD,1965,1.03
Bangladesh,BGD,1966,1.7
Bangladesh,BGD,1967,2.22
Bangladesh,BGD,1968,2.69
Bangladesh,BGD,1969,3.33
Bangladesh,BGD,1970,3.83
Bangladesh,BGD,1971,3.05
Bangladesh,BGD,1972,4.42
Bangladesh,BGD,1973,4.67
Bangladesh,BGD,1974,3.79
Bangladesh,BGD,1975,5.77
Bangladesh,BGD,1976,6.5
Bangladesh,BGD,1977,9.65
Bangladesh,BGD,1978,10.76
Bangladesh,BGD,1979,12.55
Bangladesh,BGD,1980,12.79
Bangladesh,BGD,1981,12.81
Bangladesh,BGD,1982,13.48
Bangladesh,BGD,1983,17.16
Bangladesh,BGD,1984,16.46
Bangladesh,BGD,1985,14.52
Bangladesh,BGD,1986,16.31
Bangladesh,BGD,1987,18.86
Bangladesh,BGD,1988,19.47
Bangladesh,BGD,1989,22.46
Bangladesh,BGD,1990,24.15
Bangladesh,BGD,1991,22.28
Bangladesh,BGD,1992,23.69
Bangladesh,BGD,1993,16.93
Bangladesh,BGD,1994,17.52
Bangladesh,BGD,1995,18.01
Bangladesh,BGD,1996,13.46
Bangladesh,BGD,1997,13.33
Bangladesh,BGD,1998,18.27
Bangladesh,BGD,1999,23.34
Bangladesh,BGD,2000,28.45
Bangladesh,BGD,2001,28.28
Bangladesh,BGD,2002,36.76
Bangladesh,BGD,2003,22.95
Bangladesh,BGD,2004,31.28
Bangladesh,BGD,2005,37.51
Bangladesh,BGD,2006,34.4
Bangladesh,BGD,2007,29.55
Bangladesh,BGD,2008,12.68
Bangladesh,BGD,2009,19.69
Bangladesh,BGD,2010,34.27
Bangladesh,BGD,2011,46.87
Bangladesh,BGD,2012,58.67
Bangladesh,BGD,2013,57.67
Bangladesh,BGD,2014,64.82
Bangladesh,BGD,2015,68.76
Bangladesh,BGD,2016,71.72
Bangladesh,BGD,2017,71.82
Bangladesh,BGD,2018,78.9
Bangladesh,BGD,2019,82.25
Bangladesh,BGD,2020,80.32
Bhutan,BTN,1974,0.07
Bhutan,BTN,1983,0.39
Bhutan,BTN,1984,0.22
Bhutan,BTN,2002,1.01
Bhutan,BTN,2003,1.04
Bhutan,BTN,2004,1.2
Bhutan,BTN,2005,1.19
Bhutan,BTN,2006,1.48
Bhutan,BTN,2007,1.63
Bhutan,BTN,2008,2.1
Bhutan,BTN,2009,4.19
Bhutan,BTN,2010,1.7
Bhutan,BTN,2011,2.43
Bhutan,BTN,2012,1.53
Bhutan,BTN,2013,2.36
Bhutan,BTN,2014,2.74
Bhutan,BTN,2015,2.87
Bhutan,BTN,2016,3.13
Bhutan,BTN,2017,2.48
Bhutan,BTN,2018,2.81
Bhutan,BTN,2019,3.26
Bhutan,BTN,2020,3.26
Brunei,BRN,1980,21.38
Brunei,BRN,1981,14
Brunei,BRN,1982,23.57
Brunei,BRN,1983,5.86
Brunei,BRN,1984,22.71
Brunei,BRN,1985,21.43
Brunei,BRN,1986,9.14
Brunei,BRN,1987,14.29
Brunei,BRN,1988,28.57
Brunei,BRN,1989,14.29
Brunei,BRN,2002,1.57
Brunei,BRN,2003,7.86
Brunei,BRN,2004,14.14
Brunei,BRN,2005,19.71
Brunei,BRN,2006,7.14
Brunei,BRN,2007,42.38
Brunei,BRN,2008,11.63
Brunei,BRN,2009,11.9
Brunei,BRN,2010,55.2
Brunei,BRN,2011,7.5
Brunei,BRN,2012,8
Brunei,BRN,2013,7.6
Brunei,BRN,2014,23.2
Brunei,BRN,2015,23.2
Brunei,BRN,2016,23.2
Brunei,BRN,2017,23.2
Brunei,BRN,2018,23.2
Brunei,BRN,2019,23.2
Brunei,BRN,2020,23.2
Cambodia,KHM,1961,0.26
Cambodia,KHM,1962,0.27
Cambodia,KHM,1963,0.34
Cambodia,KHM,1964,0.33
Cambodia,KHM,1965,0.33
Cambodia,KHM,1966,0.33
Cambodia,KHM,1967,0.33
Cambodia,KHM,1968,0.17
Cambodia,KHM,1969,0.24
Cambodia,KHM,1970,0.4
Cambodia,KHM,1971,0.27
Cambodia,KHM,1972,0.59
Cambodia,KHM,1973,0.53
Cambodia,KHM,1974,0.26
Cambodia,KHM,1980,0.43
Cambodia,KHM,1981,3.62
Cambodia,KHM,1982,1.62
Cambodia,KHM,1983,1.52
Cambodia,KHM,1984,0.28
Cambodia,KHM,1990,0.66
Cambodia,KHM,1991,0.39
Cambodia,KHM,1992,0.39
Cambodia,KHM,1993,1.17
Cambodia,KHM,1994,1.2
Cambodia,KHM,1995,0.79
Cambodia,KHM,1996,0.7
Cambodia,KHM,1997,0.78
Cambodia,KHM,1998,1.15
Cambodia,KHM,2002,4.32
Cambodia,KHM,2003,3.69
Cambodia,KHM,2004,4.43
Cambodia,KHM,2005,6.76
Cambodia,KHM,2006,6.94
Cambodia,KHM,2007,6.63
Cambodia,KHM,2008,5.97
Cambodia,KHM,2009,7.95
Cambodia,KHM,2010,8.82
Cambodia,KHM,2011,9.62
Cambodia,KHM,2012,11.13
Cambodia,KHM,2013,10.33
Cambodia,KHM,2014,9.39
Cambodia,KHM,2015,7.85
Cambodia,KHM,2016,5.99
Cambodia,KHM,2017,9.96
Cambodia,KHM,2018,9.08
Cambodia,KHM,2019,12.49
Cambodia,KHM,2020,13.96
China,CHN,1961,1.42
China,CHN,1962,1.5
China,CHN,1963,2.34
China,CHN,1964,3.78
China,CHN,1965,7
China,CHN,1966,9.58
China,CHN,1967,6.45
China,CHN,1968,4.56
China,CHN,1969,7.53
China,CHN,1970,9.34
China,CHN,1971,11.1
China,CHN,1972,13.05
China,CHN,1973,17.49
China,CHN,1974,14.59
China,CHN,1975,16.1
China,CHN,1976,14.97
China,CHN,1977,18.82
China,CHN,1978,13.55
China,CHN,1979,20.62
China,CHN,1980,27.64
China,CHN,1981,29.31
China,CHN,1982,33.13
China,CHN,1983,36.59
China,CHN,1984,34.59
China,CHN,1985,24.03
China,CHN,1986,23.92
China,CHN,1987,35.29
China,CHN,1988,40.27
China,CHN,1989,40.65
China,CHN,1990,44.58
China,CHN,1991,55.03
China,CHN,1992,52.95
China,CHN,1993,42.65
China,CHN,1994,56.38
China,CHN,1995,68.55
China,CHN,1996,62.43
China,CHN,1997,71.34
China,CHN,1998,72.72
China,CHN,1999,68.49
China,CHN,2000,66.21
China,CHN,2001,68.03
China,CHN,2002,78
China,CHN,2003,73.22
China,CHN,2004,81.03
China,CHN,2005,86.41
China,CHN,2006,89.15
China,CHN,2007,76.72
China,CHN,2008,79.59
China,CHN,2009,94.55
China,CHN,2010,105.42
China,CHN,2011,101.12
China,CHN,2012,102.17
China,CHN,2013,101.82
China,CHN,2014,98.78
China,CHN,2015,93.65
China,CHN,2016,92.25
China,CHN,2017,88.67
China,CHN,2018,81.03
China,CHN,2019,75.78
China,CHN,2020,72.68
India,IND,1961,0.38
India,IND,1962,0.51
India,IND,1963,0.72
India,IND,1964,0.92
India,IND,1965,0.82
India,IND,1966,1.53
India,IND,1967,2.04
India,IND,1968,2.32
India,IND,1969,2.53
India,IND,1970,3.28
India,IND,1971,3.39
India,IND,1972,3.52
India,IND,1973,3.91
India,IND,1974,2.83
India,IND,1975,2.8
India,IND,1976,3.84
India,IND,1977,5.25
India,IND,1978,6.66
India,IND,1979,6.94
India,IND,1980,7.32
India,IND,1981,7.95
India,IND,1982,7.12
India,IND,1983,8.14
India,IND,1984,10.74
India,IND,1985,12.17
India,IND,1986,13.11
India,IND,1987,10.38
India,IND,1988,15.22
India,IND,1989,17.6
India,IND,1990,18.37
India,IND,1991,19.52
India,IND,1992,16.73
India,IND,1993,15.68
India,IND,1994,17.21
India,IND,1995,17.05
India,IND,1996,17.57
India,IND,1997,23.01
India,IND,1998,24.19
India,IND,1999,28.19
India,IND,2000,24.77
India,IND,2001,25.7
India,IND,2002,23.7
India,IND,2003,24.33
India,IND,2004,27.27
India,IND,2005,30.71
India,IND,2006,32.75
India,IND,2007,32.61
India,IND,2008,35.73
India,IND,2009,42.71
India,IND,2010,48.43
India,IND,2011,49.65
India,IND,2012,39.29
India,IND,2013,33.25
India,IND,2014,35.99
India,IND,2015,41.19
India,IND,2016,39.6
India,IND,2017,40.58
India,IND,2018,41.28
India,IND,2019,44.26
India,IND,2020,53.23
Indonesia,IDN,1961,1.82
Indonesia,IDN,1962,1.78
Indonesia,IDN,1963,1.15
Indonesia,IDN,1964,0.55
Indonesia,IDN,1965,0.32
Indonesia,IDN,1966,1.19
Indonesia,IDN,1967,0.62
Indonesia,IDN,1968,2.55
Indonesia,IDN,1969,2.47
Indonesia,IDN,1970,1.23
Indonesia,IDN,1971,1
Indonesia,IDN,1972,2.82
Indonesia,IDN,1973,3.59
Indonesia,IDN,1974,4.65
Indonesia,IDN,1975,4.7
Indonesia,IDN,1976,4.28
Indonesia,IDN,1977,4.3
Indonesia,IDN,1978,5.3
Indonesia,IDN,1979,5.81
Indonesia,IDN,1980,8.88
Indonesia,IDN,1981,12.32
Indonesia,IDN,1982,16.54
Indonesia,IDN,1983,14.92
Indonesia,IDN,1984,17
Indonesia,IDN,1985,17.32
Indonesia,IDN,1986,18.6
Indonesia,IDN,1987,17.87
Indonesia,IDN,1988,19.28
Indonesia,IDN,1989,18.88
Indonesia,IDN,1990,18.17
Indonesia,IDN,1991,19.39
Indonesia,IDN,1992,20.07
Indonesia,IDN,1993,17.86
Indonesia,IDN,1994,17.17
Indonesia,IDN,1995,12.35
Indonesia,IDN,1996,10.44
Indonesia,IDN,1997,8.66
Indonesia,IDN,1998,11.06
Indonesia,IDN,1999,9.34
Indonesia,IDN,2000,7.31
Indonesia,IDN,2001,7.78
Indonesia,IDN,2002,6.87
Indonesia,IDN,2003,13.16
Indonesia,IDN,2004,7.51
Indonesia,IDN,2005,8.03
Indonesia,IDN,2006,8.74
Indonesia,IDN,2007,8.52
Indonesia,IDN,2008,8.33
Indonesia,IDN,2009,11.37
Indonesia,IDN,2010,11.19
Indonesia,IDN,2011,12.73
Indonesia,IDN,2012,29.74
Indonesia,IDN,2013,21.94
Indonesia,IDN,2014,27.63
Indonesia,IDN,2015,31.03
Indonesia,IDN,2016,26.96
Indonesia,IDN,2017,31.87
Indonesia,IDN,2018,29.77
Indonesia,IDN,2019,24.08
Indonesia,IDN,2020,23.61
Japan,JPN,1961,75.54
Japan,JPN,1962,75.32
Japan,JPN,1963,84.31
Japan,JPN,1964,84.74
Japan,JPN,1965,91.27
Japan,JPN,1966,102.33
Japan,JPN,1967,112.83
Japan,JPN,1968,119.55
Japan,JPN,1969,122.06
Japan,JPN,1970,113.16
Japan,JPN,1971,115.21
Japan,JPN,1972,128.38
Japan,JPN,1973,140.43
Japan,JPN,1974,123.31
Japan,JPN,1975,111.84
Japan,JPN,1976,133.13
Japan,JPN,1977,135.45
Japan,JPN,1978,141.06
Japan,JPN,1979,151.81
Japan,JPN,1980,126.35
Japan,JPN,1981,128.81
Japan,JPN,1982,132.88
Japan,JPN,1983,141.38
Japan,JPN,1984,142.7
Japan,JPN,1985,135.9
Japan,JPN,1986,140.54
Japan,JPN,1987,143.45
Japan,JPN,1988,136.54
Japan,JPN,1989,137.9
Japan,JPN,1990,131.6
Japan,JPN,1991,133.74
Japan,JPN,1992,135.33
Japan,JPN,1993,142.08
Japan,JPN,1994,138.42
Japan,JPN,1995,125.33
Japan,JPN,1996,122.17
Japan,JPN,1997,119.72
Japan,JPN,1998,114.43
Japan,JPN,1999,117.22
Japan,JPN,2000,120.7
Japan,JPN,2001,106.61
Japan,JPN,2002,101.2
Japan,JPN,2003,102.55
Japan,JPN,2004,99.79
Japan,JPN,2005,98.76
Japan,JPN,2006,100.19
Japan,JPN,2007,108.32
Japan,JPN,2008,73.06
Japan,JPN,2009,67.24
Japan,JPN,2010,86.68
Japan,JPN,2011,82.81
Japan,JPN,2012,77.69
Japan,JPN,2013,77.13
Japan,JPN,2014,79.35
Japan,JPN,2015,76.78
Japan,JPN,2016,75.06
Japan,JPN,2017,79.79
Japan,JPN,2018,76.49
Japan,JPN,2019,76.89
Japan,JPN,2020,77.33
Malaysia,MYS,1961,13.13
Malaysia,MYS,1962,13.02
Malaysia,MYS,1963,13.08
Malaysia,MYS,1964,11.68
Malaysia,MYS,1965,12.85
Malaysia,MYS,1966,12.82
Malaysia,MYS,1967,12.73
Malaysia,MYS,1968,14.2
Malaysia,MYS,1969,12.4
Malaysia,MYS,1970,13.96
Malaysia,MYS,1971,12.22
Malaysia,MYS,1972,13.6
Malaysia,MYS,1973,16.84
Malaysia,MYS,1974,13.68
Malaysia,MYS,1975,13.83
Malaysia,MYS,1976,16.17
Malaysia,MYS,1977,16.44
Malaysia,MYS,1978,20.22
Malaysia,MYS,1979,22.06
Malaysia,MYS,1980,25.5
Malaysia,MYS,1981,20.61
Malaysia,MYS,1982,22.87
Malaysia,MYS,1983,24.9
Malaysia,MYS,1984,26.46
Malaysia,MYS,1985,23
Malaysia,MYS,1986,28.4
Malaysia,MYS,1987,25.68
Malaysia,MYS,1988,24.54
Malaysia,MYS,1989,24.55
Malaysia,MYS,1990,23.72
Malaysia,MYS,1991,25.5
Malaysia,MYS,1992,24.52
Malaysia,MYS,1993,25.72
Malaysia,MYS,1994,25.38
Malaysia,MYS,1995,30.82
Malaysia,MYS,1996,34.45
Malaysia,MYS,1997,35.66
Malaysia,MYS,1998,34.99
Malaysia,MYS,1999,34.64
Malaysia,MYS,2000,30.01
Malaysia,MYS,2001,23.84
