Entity,Code,Year,0_0_PotashPerHa
Bahrain,BHR,1972,2
Bahrain,BHR,1973,2
Bahrain,BHR,1974,3.33
Bahrain,BHR,1978,1.67
Bahrain,BHR,1982,13.25
Bahrain,BHR,1983,29.25
Bahrain,BHR,1984,30
Bahrain,BHR,1985,35
Bahrain,BHR,1986,50
Bahrain,BHR,1987,18.75
Bahrain,BHR,1988,19.25
Bahrain,BHR,1989,33.5
Bahrain,BHR,1990,41.5
Bahrain,BHR,1991,50
Bahrain,BHR,1992,40
Bahrain,BHR,1993,40
Bahrain,BHR,1994,40
Bahrain,BHR,1995,40
Bahrain,BHR,1996,40
Bahrain,BHR,1997,40
Bahrain,BHR,1998,28.6
Bahrain,BHR,1999,23.83
Bahrain,BHR,2000,21.92
Bahrain,BHR,2001,19.23
Bahrain,BHR,2002,27.98
Bahrain,BHR,2003,29.69
Bahrain,BHR,2004,30.96
Bahrain,BHR,2005,30.96
Bahrain,BHR,2006,31.98
Bahrain,BHR,2007,38.96
Bahrain,BHR,2008,38.71
Bahrain,BHR,2009,23.36
Bahrain,BHR,2010,31.76
Bahrain,BHR,2011,31.63
Bahrain,BHR,2012,31.63
Bahrain,BHR,2013,31.63
Bahrain,BHR,2014,31.63
Bahrain,BHR,2015,31.63
Bahrain,BHR,2016,31.63
Bahrain,BHR,2017,31.63
Bahrain,BHR,2018,31.63
Bahrain,BHR,2019,31.63
Bahrain,BHR,2020,31.63
Bangladesh,BGD,1961,0.06
Bangladesh,BGD,1962,0.11
Bangladesh,BGD,1963,0.23
Bangladesh,BGD,1964,0.22
Bangladesh,BGD,1965,0.22
Bangladesh,BGD,1966,0.45
Bangladesh,BGD,1967,0.54
Bangladesh,BGD,1968,0.83
Bangladesh,BGD,1969,1
Bangladesh,BGD,1970,1.18
Bangladesh,BGD,1971,0.92
Bangladesh,BGD,1972,1.2
Bangladesh,BGD,1973,1.19
Bangladesh,BGD,1974,1.14
Bangladesh,BGD,1975,1.54
Bangladesh,BGD,1976,1.54
Bangladesh,BGD,1977,2.67
Bangladesh,BGD,1978,2.92
Bangladesh,BGD,1979,3.13
Bangladesh,BGD,1980,3.06
Bangladesh,BGD,1981,3.01
Bangladesh,BGD,1982,3.2
Bangladesh,BGD,1983,4.04
Bangladesh,BGD,1984,4.38
Bangladesh,BGD,1985,3.82
Bangladesh,BGD,1986,4.19
Bangladesh,BGD,1987,5.43
Bangladesh,BGD,1988,5.75
Bangladesh,BGD,1989,5.69
Bangladesh,BGD,1990,9.01
Bangladesh,BGD,1991,8.46
Bangladesh,BGD,1992,8.21
Bangladesh,BGD,1993,7.04
Bangladesh,BGD,1994,10.55
Bangladesh,BGD,1995,10.71
Bangladesh,BGD,1996,13.41
Bangladesh,BGD,1997,13.21
Bangladesh,BGD,1998,14.33
Bangladesh,BGD,1999,16.16
Bangladesh,BGD,2000,8.41
Bangladesh,BGD,2001,16.63
Bangladesh,BGD,2002,17.82
Bangladesh,BGD,2003,19.14
Bangladesh,BGD,2004,18.67
Bangladesh,BGD,2005,28.05
Bangladesh,BGD,2006,14.38
Bangladesh,BGD,2007,15.79
Bangladesh,BGD,2008,19
Bangladesh,BGD,2009,16.88
Bangladesh,BGD,2010,22.72
Bangladesh,BGD,2011,33.91
Bangladesh,BGD,2012,43.15
Bangladesh,BGD,2013,39.48
Bangladesh,BGD,2014,39.72
Bangladesh,BGD,2015,43.52
Bangladesh,BGD,2016,49
Bangladesh,BGD,2017,52.95
Bangladesh,BGD,2018,48.25
Bangladesh,BGD,2019,46.47
Bangladesh,BGD,2020,49.29
Bhutan,BTN,1983,0.39
Bhutan,BTN,1984,0.22
Bhutan,BTN,2002,0.7
Bhutan,BTN,2003,0.73
Bhutan,BTN,2004,0.79
Bhutan,BTN,2005,0.83
Bhutan,BTN,2006,0.78
Bhutan,BTN,2007,1.12
Bhutan,BTN,2008,1.33
Bhutan,BTN,2009,2.78
Bhutan,BTN,2010,1.17
Bhutan,BTN,2011,1.68
Bhutan,BTN,2012,1.09
Bhutan,BTN,2013,1.72
Bhutan,BTN,2014,2
Bhutan,BTN,2015,2.09
Bhutan,BTN,2016,2.09
Bhutan,BTN,2017,2.16
Bhutan,BTN,2018,2.11
Bhutan,BTN,2019,2.18
Bhutan,BTN,2020,2.18
Brunei,BRN,1980,40.75
Brunei,BRN,1981,1
Brunei,BRN,1982,28.14
Brunei,BRN,1983,11.14
Brunei,BRN,1984,72.71
Brunei,BRN,1985,96
Brunei,BRN,1986,135.57
Brunei,BRN,1988,28.57
Brunei,BRN,1989,28.57
Brunei,BRN,2002,91.71
Brunei,BRN,2003,10.14
Brunei,BRN,2004,14.71
Brunei,BRN,2005,25.71
Brunei,BRN,2006,0
Brunei,BRN,2007,43.75
Brunei,BRN,2008,14.88
Brunei,BRN,2009,12.1
Brunei,BRN,2010,57.1
Brunei,BRN,2011,13.2
Brunei,BRN,2012,8.1
Brunei,BRN,2013,7.7
Brunei,BRN,2014,23.4
Brunei,BRN,2015,23.4
Brunei,BRN,2016,23.4
Brunei,BRN,2017,23.4
Brunei,BRN,2018,23.4
Brunei,BRN,2019,23.4
Brunei,BRN,2020,23.4
Cambodia,KHM,1961,0.01
Cambodia,KHM,1962,0.01
Cambodia,KHM,1963,0.05
Cambodia,KHM,1964,0.08
Cambodia,KHM,1965,0.1
Cambodia,KHM,1966,0.11
Cambodia,KHM,1967,0.13
Cambodia,KHM,1968,0.17
Cambodia,KHM,1969,0.31
Cambodia,KHM,1970,0.2
Cambodia,KHM,1971,0.28
Cambodia,KHM,1972,0.11
Cambodia,KHM,1981,0.48
Cambodia,KHM,1982,0.1
Cambodia,KHM,1984,0.28
Cambodia,KHM,1987,0.19
Cambodia,KHM,1988,0.03
Cambodia,KHM,1989,0.08
Cambodia,KHM,1992,0.03
Cambodia,KHM,1993,0.03
Cambodia,KHM,1995,0.21
Cambodia,KHM,1996,0.21
Cambodia,KHM,2002,0.24
Cambodia,KHM,2003,0.23
Cambodia,KHM,2004,0.19
Cambodia,KHM,2005,0.4
Cambodia,KHM,2006,0.2
Cambodia,KHM,2007,0.21
Cambodia,KHM,2008,0.25
Cambodia,KHM,2009,0.26
Cambodia,KHM,2010,0.26
Cambodia,KHM,2011,0.44
Cambodia,KHM,2012,1.19
Cambodia,KHM,2013,0.7
Cambodia,KHM,2014,1.04
Cambodia,KHM,2015,0.99
Cambodia,KHM,2016,1.05
Cambodia,KHM,2017,0.67
Cambodia,KHM,2018,1
Cambodia,KHM,2019,1.99
Cambodia,KHM,2020,2.55
China,CHN,1961,0.34
China,CHN,1962,0.23
China,CHN,1963,0.29
China,CHN,1964,0.34
China,CHN,1965,0.45
China,CHN,1966,0.57
China,CHN,1967,0.74
China,CHN,1968,0.81
China,CHN,1969,0.7
China,CHN,1970,0.88
China,CHN,1971,0.72
China,CHN,1972,0.71
China,CHN,1973,2.34
China,CHN,1974,2.49
China,CHN,1975,2.08
China,CHN,1976,1.75
China,CHN,1977,1.89
China,CHN,1978,2.35
China,CHN,1979,3.94
China,CHN,1980,4.82
China,CHN,1981,6.93
China,CHN,1982,6.12
China,CHN,1983,7.74
China,CHN,1984,6.86
China,CHN,1985,3.5
China,CHN,1986,5.7
China,CHN,1987,10.97
China,CHN,1988,12.84
China,CHN,1989,10.03
China,CHN,1990,14.19
China,CHN,1991,18.16
China,CHN,1992,14.93
China,CHN,1993,11.78
China,CHN,1994,18.1
China,CHN,1995,22.21
China,CHN,1996,19.92
China,CHN,1997,26.3
China,CHN,1998,26.81
China,CHN,1999,26.07
China,CHN,2000,26.68
China,CHN,2001,30.9
China,CHN,2002,36.22
China,CHN,2003,35.36
China,CHN,2004,41.2
China,CHN,2005,53.6
China,CHN,2006,46.35
China,CHN,2007,62.04
China,CHN,2008,44.84
China,CHN,2009,35.79
China,CHN,2010,53.92
China,CHN,2011,66.28
China,CHN,2012,68.19
China,CHN,2013,65.08
China,CHN,2014,80.61
China,CHN,2015,86.87
China,CHN,2016,86.19
China,CHN,2017,83.89
China,CHN,2018,79.91
China,CHN,2019,75.96
China,CHN,2020,73.25
India,IND,1961,0.17
India,IND,1962,0.22
India,IND,1963,0.31
India,IND,1964,0.43
India,IND,1965,0.48
India,IND,1966,0.7
India,IND,1967,1.04
India,IND,1968,1.03
India,IND,1969,1.28
India,IND,1970,1.43
India,IND,1971,1.83
India,IND,1972,2.11
India,IND,1973,2.17
India,IND,1974,2.02
India,IND,1975,1.67
India,IND,1976,1.91
India,IND,1977,3.03
India,IND,1978,3.52
India,IND,1979,3.6
India,IND,1980,3.71
India,IND,1981,4.02
India,IND,1982,3.68
India,IND,1983,3.72
India,IND,1984,5
India,IND,1985,5.04
India,IND,1986,5.12
India,IND,1987,5.18
India,IND,1988,6.08
India,IND,1989,6.89
India,IND,1990,7.81
India,IND,1991,7.99
India,IND,1992,5.2
India,IND,1993,5.5
India,IND,1994,6.6
India,IND,1995,6.8
India,IND,1996,6.15
India,IND,1997,8.07
India,IND,1998,7.83
India,IND,1999,9.84
India,IND,2000,9.21
India,IND,2001,9.83
India,IND,2002,9.4
India,IND,2003,9.41
India,IND,2004,12.13
India,IND,2005,14.22
India,IND,2006,13.76
India,IND,2007,15.58
India,IND,2008,19.56
India,IND,2009,21.44
India,IND,2010,20.47
India,IND,2011,15.33
India,IND,2012,12.18
India,IND,2013,12.39
India,IND,2014,14.95
India,IND,2015,14.18
India,IND,2016,14.81
India,IND,2017,16.45
India,IND,2018,16.47
India,IND,2019,15.66
India,IND,2020,18.7
Indonesia,IDN,1961,0.15
Indonesia,IDN,1962,0.18
Indonesia,IDN,1963,0.15
Indonesia,IDN,1964,0.12
Indonesia,IDN,1965,0.09
Indonesia,IDN,1966,0.16
Indonesia,IDN,1967,0.21
Indonesia,IDN,1968,0.27
Indonesia,IDN,1969,0.32
Indonesia,IDN,1970,0.25
Indonesia,IDN,1971,0.18
Indonesia,IDN,1972,1.15
Indonesia,IDN,1973,1.55
Indonesia,IDN,1974,1.27
Indonesia,IDN,1975,0.96
Indonesia,IDN,1976,1.15
Indonesia,IDN,1977,1.48
Indonesia,IDN,1978,2.94
Indonesia,IDN,1979,3.24
Indonesia,IDN,1980,3.5
Indonesia,IDN,1981,5.24
Indonesia,IDN,1982,3.09
Indonesia,IDN,1983,4.15
Indonesia,IDN,1984,5.83
Indonesia,IDN,1985,6.26
Indonesia,IDN,1986,4.9
Indonesia,IDN,1987,7.13
Indonesia,IDN,1988,9.23
Indonesia,IDN,1989,8.81
Indonesia,IDN,1990,9.7
Indonesia,IDN,1991,9.08
Indonesia,IDN,1992,9.92
Indonesia,IDN,1993,7.26
Indonesia,IDN,1994,9.94
Indonesia,IDN,1995,9.62
Indonesia,IDN,1996,9.44
Indonesia,IDN,1997,7.45
Indonesia,IDN,1998,7.49
Indonesia,IDN,1999,7.93
Indonesia,IDN,2000,7.39
Indonesia,IDN,2001,10.93
Indonesia,IDN,2002,7.01
Indonesia,IDN,2003,7.29
Indonesia,IDN,2004,14.38
Indonesia,IDN,2005,13.81
Indonesia,IDN,2006,15.01
Indonesia,IDN,2007,26.92
Indonesia,IDN,2008,26.3
Indonesia,IDN,2009,18.92
Indonesia,IDN,2010,22.42
Indonesia,IDN,2011,25.27
Indonesia,IDN,2012,32.75
Indonesia,IDN,2013,35.22
Indonesia,IDN,2014,38.77
Indonesia,IDN,2015,39.68
Indonesia,IDN,2016,33.38
Indonesia,IDN,2017,40.7
Indonesia,IDN,2018,42.2
Indonesia,IDN,2019,33.77
Indonesia,IDN,2020,34.61
Japan,JPN,1961,82.66
Japan,JPN,1962,90.01
Japan,JPN,1963,100.03
Japan,JPN,1964,96.93
Japan,JPN,1965,102.1
Japan,JPN,1966,103.2
Japan,JPN,1967,110.95
Japan,JPN,1968,113.65
Japan,JPN,1969,116.19
Japan,JPN,1970,105.33
Japan,JPN,1971,100.61
Japan,JPN,1972,105.49
Japan,JPN,1973,111.72
Japan,JPN,1974,118.86
Japan,JPN,1975,94.2
Japan,JPN,1976,116.87
Japan,JPN,1977,119.85
Japan,JPN,1978,131.6
Japan,JPN,1979,134.45
Japan,JPN,1980,93.76
Japan,JPN,1981,98.31
Japan,JPN,1982,106.98
Japan,JPN,1983,116.87
Japan,JPN,1984,116.88
Japan,JPN,1985,113.96
Japan,JPN,1986,113.21
Japan,JPN,1987,112.66
Japan,JPN,1988,108.52
Japan,JPN,1989,107.79
Japan,JPN,1990,102.23
Japan,JPN,1991,92.24
Japan,JPN,1992,99.32
Japan,JPN,1993,95.45
Japan,JPN,1994,94.33
Japan,JPN,1995,95.71
Japan,JPN,1996,88.35
Japan,JPN,1997,85.27
Japan,JPN,1998,77.74
Japan,JPN,1999,79.9
Japan,JPN,2000,79.07
Japan,JPN,2001,74.9
Japan,JPN,2002,71.17
Japan,JPN,2003,73.48
Japan,JPN,2004,73.65
Japan,JPN,2005,76.64
Japan,JPN,2006,76.43
Japan,JPN,2007,93.05
Japan,JPN,2008,68.73
Japan,JPN,2009,51.07
Japan,JPN,2010,62.01
Japan,JPN,2011,65.36
Japan,JPN,2012,71.11
Japan,JPN,2013,70.47
Japan,JPN,2014,69.65
Japan,JPN,2015,54.09
Japan,JPN,2016,60.77
Japan,JPN,2017,61.21
Japan,JPN,2018,61.09
Japan,JPN,2019,61.41
Japan,JPN,2020,61.76
Malaysia,MYS,1961,3.74
Malaysia,MYS,1962,4.24
Malaysia,MYS,1963,4.74
Malaysia,MYS,1964,4.84
Malaysia,MYS,1965,4.77
Malaysia,MYS,1966,8.88
Malaysia,MYS,1967,9.73
Malaysia,MYS,1968,8.54
Malaysia,MYS,1969,15.94
Malaysia,MYS,1970,20.84
Malaysia,MYS,1971,15.9
Malaysia,MYS,1972,21.06
Malaysia,MYS,1973,22.81
Malaysia,MYS,1974,25.89
Malaysia,MYS,1975,27.7
Malaysia,MYS,1976,33.69
Malaysia,MYS,1977,34.07
Malaysia,MYS,1978,37.68
Malaysia,MYS,1979,42.73
Malaysia,MYS,1980,41.84
Malaysia,MYS,1981,36.29
Malaysia,MYS,1982,40.02
Malaysia,MYS,1983,42.1
Malaysia,MYS,1984,60.59
Malaysia,MYS,1985,56.34
Malaysia,MYS,1986,55.89
Malaysia,MYS,1987,67.23
Malaysia,MYS,1988,81.81
Malaysia,MYS,1989,71.58
Malaysia,MYS,1990,76.18
Malaysia,MYS,1991,79.81
Malaysia,MYS,1992,78.14
Malaysia,MYS,1993,84.71
Malaysia,MYS,1994,104.32
Malaysia,MYS,1995,89.75
Malaysia,MYS,1996,96.76
Malaysia,MYS,1997,100.39
Malaysia,MYS,1998,113.52
Malaysia,MYS,1999,109.67
Malaysia,MYS,2000,96.19
Malaysia,MYS,2001,96.07
Malaysia,MYS,2002,81.53
Malaysia,MYS,2003,66.93
Malaysia,MYS,2004,133.3
Malaysia,MYS,2005,103.69
Malaysia,MYS,2006,134.18
Malaysia,MYS,2007,143.77
Malaysia,MYS,2008,135.92
Malaysia,MYS,2009,55.21
Malaysia,MYS,2010,135.18
