Entity,Code,Year,Biobiversity
Bahrain,BHR,1993,0.82
Bahrain,BHR,1994,0.82
Bahrain,BHR,1995,0.82
Bahrain,BHR,1996,0.82
Bahrain,BHR,1997,0.82
Bahrain,BHR,1998,0.82
Bahrain,BHR,1999,0.81
Bahrain,BHR,2000,0.81
Bahrain,BHR,2001,0.81
Bahrain,BHR,2002,0.8
Bahrain,BHR,2003,0.8
Bahrain,BHR,2004,0.8
Bahrain,BHR,2005,0.8
Bahrain,BHR,2006,0.79
Bahrain,BHR,2007,0.79
Bahrain,BHR,2008,0.79
Bahrain,BHR,2009,0.79
Bahrain,BHR,2010,0.78
Bahrain,BHR,2011,0.78
Bahrain,BHR,2012,0.78
Bahrain,BHR,2013,0.77
Bahrain,BHR,2014,0.77
Bahrain,BHR,2015,0.77
Bahrain,BHR,2016,0.76
Bahrain,BHR,2017,0.76
Bahrain,BHR,2018,0.76
Bahrain,BHR,2019,0.75
Bahrain,BHR,2020,0.75
Bahrain,BHR,2021,0.75
Bahrain,BHR,2022,0.74
Bangladesh,BGD,1993,0.85
Bangladesh,BGD,1994,0.85
Bangladesh,BGD,1995,0.85
Bangladesh,BGD,1996,0.84
Bangladesh,BGD,1997,0.84
Bangladesh,BGD,1998,0.84
Bangladesh,BGD,1999,0.83
Bangladesh,BGD,2000,0.83
Bangladesh,BGD,2001,0.82
Bangladesh,BGD,2002,0.82
Bangladesh,BGD,2003,0.82
Bangladesh,BGD,2004,0.81
Bangladesh,BGD,2005,0.81
Bangladesh,BGD,2006,0.8
Bangladesh,BGD,2007,0.8
Bangladesh,BGD,2008,0.8
Bangladesh,BGD,2009,0.79
Bangladesh,BGD,2010,0.79
Bangladesh,BGD,2011,0.79
Bangladesh,BGD,2012,0.78
Bangladesh,BGD,2013,0.78
Bangladesh,BGD,2014,0.77
Bangladesh,BGD,2015,0.77
Bangladesh,BGD,2016,0.77
Bangladesh,BGD,2017,0.76
Bangladesh,BGD,2018,0.76
Bangladesh,BGD,2019,0.76
Bangladesh,BGD,2020,0.75
Bangladesh,BGD,2021,0.75
Bangladesh,BGD,2022,0.75
Bhutan,BTN,1993,0.81
Bhutan,BTN,1994,0.81
Bhutan,BTN,1995,0.8
Bhutan,BTN,1996,0.8
Bhutan,BTN,1997,0.8
Bhutan,BTN,1998,0.8
Bhutan,BTN,1999,0.8
Bhutan,BTN,2000,0.8
Bhutan,BTN,2001,0.8
Bhutan,BTN,2002,0.8
Bhutan,BTN,2003,0.8
Bhutan,BTN,2004,0.8
Bhutan,BTN,2005,0.8
Bhutan,BTN,2006,0.8
Bhutan,BTN,2007,0.8
Bhutan,BTN,2008,0.8
Bhutan,BTN,2009,0.8
Bhutan,BTN,2010,0.8
Bhutan,BTN,2011,0.8
Bhutan,BTN,2012,0.8
Bhutan,BTN,2013,0.8
Bhutan,BTN,2014,0.8
Bhutan,BTN,2015,0.8
Bhutan,BTN,2016,0.8
Bhutan,BTN,2017,0.8
Bhutan,BTN,2018,0.8
Bhutan,BTN,2019,0.8
Bhutan,BTN,2020,0.8
Bhutan,BTN,2021,0.8
Bhutan,BTN,2022,0.8
British Indian Ocean Territory,IOT,1993,0.91
British Indian Ocean Territory,IOT,1994,0.91
British Indian Ocean Territory,IOT,1995,0.91
British Indian Ocean Territory,IOT,1996,0.9
British Indian Ocean Territory,IOT,1997,0.9
British Indian Ocean Territory,IOT,1998,0.9
British Indian Ocean Territory,IOT,1999,0.89
British Indian Ocean Territory,IOT,2000,0.88
British Indian Ocean Territory,IOT,2001,0.88
British Indian Ocean Territory,IOT,2002,0.88
British Indian Ocean Territory,IOT,2003,0.87
British Indian Ocean Territory,IOT,2004,0.87
British Indian Ocean Territory,IOT,2005,0.86
British Indian Ocean Territory,IOT,2006,0.86
British Indian Ocean Territory,IOT,2007,0.85
British Indian Ocean Territory,IOT,2008,0.85
British Indian Ocean Territory,IOT,2009,0.84
British Indian Ocean Territory,IOT,2010,0.84
British Indian Ocean Territory,IOT,2011,0.84
British Indian Ocean Territory,IOT,2012,0.83
British Indian Ocean Territory,IOT,2013,0.83
British Indian Ocean Territory,IOT,2014,0.82
British Indian Ocean Territory,IOT,2015,0.82
British Indian Ocean Territory,IOT,2016,0.81
British Indian Ocean Territory,IOT,2017,0.81
British Indian Ocean Territory,IOT,2018,0.8
British Indian Ocean Territory,IOT,2019,0.8
British Indian Ocean Territory,IOT,2020,0.79
British Indian Ocean Territory,IOT,2021,0.78
British Indian Ocean Territory,IOT,2022,0.78
