Entity,Code,Year,Refugee population by country or territory of asylum
Bahrain,BHR,1974,60
Bahrain,BHR,1985,800
Bahrain,BHR,1987,2360
Bahrain,BHR,1988,50
Bahrain,BHR,1989,150
Bahrain,BHR,1990,1780
Bahrain,BHR,2008,48
Bahrain,BHR,2009,139
Bahrain,BHR,2010,165
Bahrain,BHR,2011,199
Bahrain,BHR,2012,289
Bahrain,BHR,2013,294
Bahrain,BHR,2014,310
Bahrain,BHR,2015,246
Bahrain,BHR,2016,270
Bahrain,BHR,2017,255
Bahrain,BHR,2018,262
Bahrain,BHR,2019,251
Bahrain,BHR,2020,256
Bangladesh,BGD,1978,164000
Bangladesh,BGD,1990,145
Bangladesh,BGD,1991,40260
Bangladesh,BGD,1992,245154
Bangladesh,BGD,1993,198950
Bangladesh,BGD,1994,116227
Bangladesh,BGD,1995,51117
Bangladesh,BGD,1996,30690
Bangladesh,BGD,1997,21603
Bangladesh,BGD,1998,22275
Bangladesh,BGD,1999,22209
Bangladesh,BGD,2000,21623
Bangladesh,BGD,2001,22169
Bangladesh,BGD,2002,22024
Bangladesh,BGD,2003,19791
Bangladesh,BGD,2004,20450
Bangladesh,BGD,2005,21099
Bangladesh,BGD,2006,26308
Bangladesh,BGD,2007,27571
Bangladesh,BGD,2008,28384
Bangladesh,BGD,2009,228587
Bangladesh,BGD,2010,229256
Bangladesh,BGD,2011,229669
Bangladesh,BGD,2012,230696
Bangladesh,BGD,2013,231142
Bangladesh,BGD,2014,232468
Bangladesh,BGD,2015,231954
Bangladesh,BGD,2016,276203
Bangladesh,BGD,2017,932209
Bangladesh,BGD,2018,906640
Bangladesh,BGD,2019,854779
Bangladesh,BGD,2020,866534
Bhutan,BTN,1966,3000
Cambodia,KHM,1964,10000
Cambodia,KHM,1965,15000
Cambodia,KHM,1966,17000
Cambodia,KHM,1967,20000
Cambodia,KHM,1968,22000
Cambodia,KHM,1969,22000
Cambodia,KHM,1970,20000
Cambodia,KHM,1993,5
Cambodia,KHM,1994,12
Cambodia,KHM,1995,12
Cambodia,KHM,1996,18
Cambodia,KHM,1997,16
Cambodia,KHM,1998,20
Cambodia,KHM,1999,20
Cambodia,KHM,2000,29
Cambodia,KHM,2001,47
Cambodia,KHM,2002,192
Cambodia,KHM,2003,76
Cambodia,KHM,2004,380
Cambodia,KHM,2005,122
Cambodia,KHM,2006,92
Cambodia,KHM,2007,175
Cambodia,KHM,2008,160
Cambodia,KHM,2009,131
Cambodia,KHM,2010,124
Cambodia,KHM,2011,61
Cambodia,KHM,2012,75
Cambodia,KHM,2013,64
Cambodia,KHM,2014,59
Cambodia,KHM,2015,74
Cambodia,KHM,2016,61
Cambodia,KHM,2017,61
China,CHN,1966,970
China,CHN,1979,250000
China,CHN,1980,263000
China,CHN,1981,265000
China,CHN,1982,272100
China,CHN,1983,276630
China,CHN,1984,279750
China,CHN,1985,279670
China,CHN,1986,281790
China,CHN,1987,280600
China,CHN,1988,284300
China,CHN,1989,284300
China,CHN,1990,287276
China,CHN,1991,289061
China,CHN,1992,288123
China,CHN,1993,287424
China,CHN,1994,287065
China,CHN,1995,288310
China,CHN,1996,290099
China,CHN,1997,291506
China,CHN,1998,292345
China,CHN,1999,293297
China,CHN,2000,294109
China,CHN,2001,295321
China,CHN,2002,297273
China,CHN,2003,299347
China,CHN,2004,299367
China,CHN,2005,301039
China,CHN,2006,301024
China,CHN,2007,301075
China,CHN,2008,300966
China,CHN,2009,300985
China,CHN,2010,300984
China,CHN,2011,301016
China,CHN,2012,301037
China,CHN,2013,301045
China,CHN,2014,301052
China,CHN,2015,301044
China,CHN,2016,317254
China,CHN,2017,321714
China,CHN,2018,321758
China,CHN,2019,303379
China,CHN,2020,303410
Hong Kong,HKG,1964,1120000
Hong Kong,HKG,1965,1251200
Hong Kong,HKG,1966,1250040
Hong Kong,HKG,1970,1000
Hong Kong,HKG,1971,1000
Hong Kong,HKG,1972,50
Hong Kong,HKG,1978,63410
Hong Kong,HKG,1979,55700
Hong Kong,HKG,1980,24070
Hong Kong,HKG,1981,13540
Hong Kong,HKG,1982,12620
Hong Kong,HKG,1983,12770
Hong Kong,HKG,1984,11960
Hong Kong,HKG,1985,9400
Hong Kong,HKG,1986,8000
Hong Kong,HKG,1987,9530
Hong Kong,HKG,1988,15359
Hong Kong,HKG,1989,12022
Hong Kong,HKG,1990,8161
Hong Kong,HKG,1991,4414
Hong Kong,HKG,1992,2605
Hong Kong,HKG,1993,1846
Hong Kong,HKG,1994,1698
Hong Kong,HKG,1995,1479
Hong Kong,HKG,1996,1350
Hong Kong,HKG,1997,1224
Hong Kong,HKG,1998,1037
Hong Kong,HKG,1999,973
Hong Kong,HKG,2000,980
Hong Kong,HKG,2001,1392
Hong Kong,HKG,2002,1490
Hong Kong,HKG,2003,1899
Hong Kong,HKG,2004,1865
Hong Kong,HKG,2005,1925
Hong Kong,HKG,2006,1932
Hong Kong,HKG,2007,89
Hong Kong,HKG,2008,90
Hong Kong,HKG,2009,78
Hong Kong,HKG,2010,149
Hong Kong,HKG,2011,146
Hong Kong,HKG,2012,105
Hong Kong,HKG,2013,113
Hong Kong,HKG,2014,160
Hong Kong,HKG,2015,109
Hong Kong,HKG,2016,91
Hong Kong,HKG,2017,85
Hong Kong,HKG,2018,128
Hong Kong,HKG,2019,128
Hong Kong,HKG,2020,266
India,IND,1964,44000
India,IND,1965,45000
India,IND,1966,45000
India,IND,1967,50000
India,IND,1968,55000
India,IND,1969,56150
India,IND,1970,56500
India,IND,1971,56180
India,IND,1972,57680
India,IND,1973,58840
India,IND,1974,59900
India,IND,1981,3510
India,IND,1982,5010
India,IND,1983,6930
India,IND,1984,7200
India,IND,1985,6720
India,IND,1986,6440
India,IND,1987,6720
India,IND,1988,6645
India,IND,1989,9549
India,IND,1990,212743
India,IND,1991,210569
India,IND,1992,258372
India,IND,1993,262802
India,IND,1994,258342
India,IND,1995,227481
India,IND,1996,233371
India,IND,1997,223072
India,IND,1998,185516
India,IND,1999,180031
India,IND,2000,170940
India,IND,2001,169548
India,IND,2002,168853
India,IND,2003,164754
India,IND,2004,162683
India,IND,2005,139284
India,IND,2006,158358
India,IND,2007,161534
India,IND,2008,184539
India,IND,2009,185318
India,IND,2010,184814
India,IND,2011,185118
India,IND,2012,185644
India,IND,2013,188391
India,IND,2014,199931
India,IND,2015,201379
India,IND,2016,197848
India,IND,2017,197142
India,IND,2018,195887
India,IND,2019,195103
India,IND,2020,195403
Indonesia,IDN,1978,2240
Indonesia,IDN,1979,32330
Indonesia,IDN,1980,8460
Indonesia,IDN,1981,14900
Indonesia,IDN,1982,13220
Indonesia,IDN,1983,10070
Indonesia,IDN,1984,9500
Indonesia,IDN,1985,8230
Indonesia,IDN,1986,4020
Indonesia,IDN,1987,2450
Indonesia,IDN,1988,2434
Indonesia,IDN,1989,999
Indonesia,IDN,1990,3278
Indonesia,IDN,1991,3157
Indonesia,IDN,1992,3530
Indonesia,IDN,1993,2402
Indonesia,IDN,1994,97
Indonesia,IDN,1995,19
Indonesia,IDN,1996,61
Indonesia,IDN,1997,29
Indonesia,IDN,1998,51
Indonesia,IDN,1999,162492
Indonesia,IDN,2000,122611
Indonesia,IDN,2001,73542
Indonesia,IDN,2002,28593
Indonesia,IDN,2003,230
Indonesia,IDN,2004,164
Indonesia,IDN,2005,82
Indonesia,IDN,2006,291
Indonesia,IDN,2007,306
Indonesia,IDN,2008,360
Indonesia,IDN,2009,794
Indonesia,IDN,2010,808
Indonesia,IDN,2011,1004
Indonesia,IDN,2012,1811
Indonesia,IDN,2013,3195
Indonesia,IDN,2014,4267
Indonesia,IDN,2015,5954
Indonesia,IDN,2016,7824
Indonesia,IDN,2017,9782
Indonesia,IDN,2018,10786
Indonesia,IDN,2019,10287
Indonesia,IDN,2020,10134
Japan,JPN,1977,600
Japan,JPN,1978,610
Japan,JPN,1979,1260
Japan,JPN,1980,2390
Japan,JPN,1981,2520
Japan,JPN,1982,4390
Japan,JPN,1983,4900
Japan,JPN,1984,3967
Japan,JPN,1985,4707
Japan,JPN,1986,5016
Japan,JPN,1987,5601
Japan,JPN,1988,6110
Japan,JPN,1989,6479
Japan,JPN,1990,6819
Japan,JPN,1991,6397
Japan,JPN,1992,6669
Japan,JPN,1993,6495
Japan,JPN,1994,5942
Japan,JPN,1995,5432
Japan,JPN,1996,5278
Japan,JPN,1997,4846
Japan,JPN,1998,4483
Japan,JPN,1999,4233
Japan,JPN,2000,3752
Japan,JPN,2001,3198
Japan,JPN,2002,2658
Japan,JPN,2003,2266
Japan,JPN,2004,1967
Japan,JPN,2005,1940
Japan,JPN,2006,1842
Japan,JPN,2007,1792
Japan,JPN,2008,2016
Japan,JPN,2009,2331
Japan,JPN,2010,2583
Japan,JPN,2011,2645
Japan,JPN,2012,2579
Japan,JPN,2013,2586
Japan,JPN,2014,2562
Japan,JPN,2015,2479
Japan,JPN,2016,2512
Japan,JPN,2017,2189
Japan,JPN,2018,1893
Japan,JPN,2019,1463
Japan,JPN,2020,1137
Laos,LAO,1972,700
Laos,LAO,1975,70
Laos,LAO,1976,110
Laos,LAO,1977,100
Laos,LAO,1978,120
Laos,LAO,1979,110
Laos,LAO,1980,10370
Laos,LAO,1981,3500
Laos,LAO,1982,3500
Laos,LAO,1983,1260
Laos,LAO,1984,1200
Laos,LAO,1987,80
Macao,MAC,1964,80000
Macao,MAC,1965,80000
Macao,MAC,1966,73770
Macao,MAC,1967,74000
Macao,MAC,1968,70000
Macao,MAC,1969,65000
Macao,MAC,1970,66000
Macao,MAC,1971,70000
Macao,MAC,1972,80000
Macao,MAC,1978,850
Macao,MAC,1979,3490
Macao,MAC,1980,2920
Macao,MAC,1981,1200
Macao,MAC,1982,970
Macao,MAC,1983,800
Macao,MAC,1984,730
Macao,MAC,1985,700
Macao,MAC,1986,600
Macao,MAC,1987,500
Macao,MAC,1988,440
Macao,MAC,1989,422
Macao,MAC,1990,205
Macao,MAC,1991,116
Macao,MAC,1992,15
Macao,MAC,1993,10
Macao,MAC,1994,9
Macao,MAC,1995,8
Macao,MAC,2009,6
Malaysia,MYS,1977,96000
Malaysia,MYS,1978,141580
Malaysia,MYS,1979,124880
Malaysia,MYS,1980,104040
Malaysia,MYS,1981,103250
Malaysia,MYS,1982,99240
Malaysia,MYS,1983,110700
Malaysia,MYS,1984,109060
Malaysia,MYS,1985,105310
Malaysia,MYS,1986,99000
Malaysia,MYS,1987,99420
Malaysia,MYS,1988,104553
Malaysia,MYS,1989,110482
Malaysia,MYS,1990,14862
Malaysia,MYS,1991,13947
Malaysia,MYS,1992,11399
Malaysia,MYS,1993,145
Malaysia,MYS,1994,5298
Malaysia,MYS,1995,5279
Malaysia,MYS,1996,5305
Malaysia,MYS,1997,5277
Malaysia,MYS,1998,50603
Malaysia,MYS,1999,50509
Malaysia,MYS,2000,50477
Malaysia,MYS,2001,50456
Malaysia,MYS,2002,50614
Malaysia,MYS,2003,7422
Malaysia,MYS,2004,24900
Malaysia,MYS,2005,33684
Malaysia,MYS,2006,37158
Malaysia,MYS,2007,32657
Malaysia,MYS,2008,36667
Malaysia,MYS,2009,66127
Malaysia,MYS,2010,81518
Malaysia,MYS,2011,86675
Malaysia,MYS,2012,90173
Malaysia,MYS,2013,97504
Malaysia,MYS,2014,99373
Malaysia,MYS,2015,94161
Malaysia,MYS,2016,92259
Malaysia,MYS,2017,103837
Malaysia,MYS,2018,121305
Malaysia,MYS,2019,129107
Malaysia,MYS,2020,129924
Mongolia,MNG,2006,5
Mongolia,MNG,2007,5
Mongolia,MNG,2008,11
Mongolia,MNG,2009,11
Mongolia,MNG,2010,12
Mongolia,MNG,2012,5
Mongolia,MNG,2013,8
Mongolia,MNG,2014,5
Mongolia,MNG,2015,11
Mongolia,MNG,2016,10
Mongolia,MNG,2017,5
Mongolia,MNG,2018,5
Mongolia,MNG,2020,10
Nepal,NPL,1964,7000
Nepal,NPL,1965,7000
Nepal,NPL,1966,7000
Nepal,NPL,1967,7180
Nepal,NPL,1968,7730
Nepal,NPL,1969,7990
Nepal,NPL,1970,8060
Nepal,NPL,1971,7930
Nepal,NPL,1972,8000
Nepal,NPL,1973,8000
Nepal,NPL,1974,8100
Nepal,NPL,1975,8200
Nepal,NPL,1976,8300
Nepal,NPL,1977,8400
Nepal,NPL,1978,8500
Nepal,NPL,1979,8600
Nepal,NPL,1980,8700
