Entity,Code,Year,Refugee population by country or territory of origin
Bahrain,BHR,1990,39
Bahrain,BHR,1991,52
Bahrain,BHR,1992,53
Bahrain,BHR,1993,59
Bahrain,BHR,1994,74
Bahrain,BHR,1995,70
Bahrain,BHR,1996,64
Bahrain,BHR,1997,82
Bahrain,BHR,1998,94
Bahrain,BHR,1999,124
Bahrain,BHR,2000,92
Bahrain,BHR,2001,46
Bahrain,BHR,2002,49
Bahrain,BHR,2003,50
Bahrain,BHR,2004,52
Bahrain,BHR,2005,40
Bahrain,BHR,2006,56
Bahrain,BHR,2007,65
Bahrain,BHR,2008,72
Bahrain,BHR,2009,72
Bahrain,BHR,2010,81
Bahrain,BHR,2011,213
Bahrain,BHR,2012,294
Bahrain,BHR,2013,274
Bahrain,BHR,2014,344
Bahrain,BHR,2015,422
Bahrain,BHR,2016,461
Bahrain,BHR,2017,497
Bahrain,BHR,2018,540
Bahrain,BHR,2019,557
Bahrain,BHR,2020,554
Bangladesh,BGD,1988,5
Bangladesh,BGD,1989,5
Bangladesh,BGD,1990,477
Bangladesh,BGD,1991,613
Bangladesh,BGD,1992,53921
Bangladesh,BGD,1993,57154
Bangladesh,BGD,1994,56196
Bangladesh,BGD,1995,56958
Bangladesh,BGD,1996,57962
Bangladesh,BGD,1997,44375
Bangladesh,BGD,1998,4659
Bangladesh,BGD,1999,4470
Bangladesh,BGD,2000,5404
Bangladesh,BGD,2001,5544
Bangladesh,BGD,2002,5804
Bangladesh,BGD,2003,5563
Bangladesh,BGD,2004,5733
Bangladesh,BGD,2005,7303
Bangladesh,BGD,2006,7796
Bangladesh,BGD,2007,10236
Bangladesh,BGD,2008,10097
Bangladesh,BGD,2009,10428
Bangladesh,BGD,2010,10044
Bangladesh,BGD,2011,10045
Bangladesh,BGD,2012,10157
Bangladesh,BGD,2013,9718
Bangladesh,BGD,2014,10870
Bangladesh,BGD,2015,12155
Bangladesh,BGD,2016,13840
Bangladesh,BGD,2017,16780
Bangladesh,BGD,2018,21023
Bangladesh,BGD,2019,22766
Bangladesh,BGD,2020,18992
Bhutan,BTN,1991,9504
Bhutan,BTN,1992,75442
Bhutan,BTN,1993,85334
Bhutan,BTN,1994,103270
Bhutan,BTN,1995,104746
Bhutan,BTN,1996,106820
Bhutan,BTN,1997,108702
Bhutan,BTN,1998,105690
Bhutan,BTN,1999,107619
Bhutan,BTN,2000,108943
Bhutan,BTN,2001,110844
Bhutan,BTN,2002,112524
Bhutan,BTN,2003,103977
Bhutan,BTN,2004,105259
Bhutan,BTN,2005,106539
Bhutan,BTN,2006,108069
Bhutan,BTN,2007,110593
Bhutan,BTN,2008,104960
Bhutan,BTN,2009,89064
Bhutan,BTN,2010,75062
Bhutan,BTN,2011,57980
Bhutan,BTN,2012,41582
Bhutan,BTN,2013,31556
Bhutan,BTN,2014,23633
Bhutan,BTN,2015,17709
Bhutan,BTN,2016,11757
Bhutan,BTN,2017,7954
Bhutan,BTN,2018,7100
Bhutan,BTN,2019,6839
Bhutan,BTN,2020,6808
Brunei,BRN,1995,5
Brunei,BRN,2005,47
Brunei,BRN,2020,20
Cambodia,KHM,1971,57000
Cambodia,KHM,1972,55000
Cambodia,KHM,1973,35000
Cambodia,KHM,1975,18830
Cambodia,KHM,1976,17200
Cambodia,KHM,1977,76710
