Entity,Code,Year,3_1_Researchers_per_million
Bahrain,BHR,2014,368.99127197265625
Brunei,BRN,2002,285.4819641113281
Brunei,BRN,2003,277.39013671875
Brunei,BRN,2004,283.5020751953125
Cambodia,KHM,2002,17.641620635986328
Cambodia,KHM,2015,30.367040634155273
China,CHN,1996,437.826904296875
China,CHN,1997,466.4832458496094
China,CHN,1998,381.68768310546875
China,CHN,1999,414.431396484375
China,CHN,2000,538.5778198242188
China,CHN,2001,571.7103881835938
China,CHN,2002,619.9744262695312
China,CHN,2003,655.4441528320312
China,CHN,2004,700.0701293945312
China,CHN,2005,840.6356201171875
China,CHN,2006,914.3369140625
China,CHN,2007,1057.494384765625
China,CHN,2008,1176.459716796875
China,CHN,2009,846.5595703125
China,CHN,2010,884.5933837890625
China,CHN,2011,957.5650024414062
China,CHN,2012,1014.3118896484375
China,CHN,2013,1066.2098388671875
China,CHN,2014,1089.1964111328125
China,CHN,2015,1150.8193359375
China,CHN,2016,1196.68798828125
China,CHN,2017,1224.7822265625
China,CHN,2018,1307.121337890625
Hong Kong,HKG,1998,1062.6474609375
Hong Kong,HKG,1999,1214.5712890625
Hong Kong,HKG,2000,1169.7877197265625
Hong Kong,HKG,2001,1372.7401123046875
Hong Kong,HKG,2002,1587.4898681640625
Hong Kong,HKG,2003,2007.085205078125
Hong Kong,HKG,2004,2163.667724609375
Hong Kong,HKG,2005,2662.50146484375
Hong Kong,HKG,2006,2694.02880859375
Hong Kong,HKG,2007,2858.619384765625
Hong Kong,HKG,2008,2680.9599609375
Hong Kong,HKG,2009,2784.692626953125
Hong Kong,HKG,2010,3114.552001953125
Hong Kong,HKG,2011,3085.381103515625
Hong Kong,HKG,2012,3191.214111328125
Hong Kong,HKG,2013,3377.874267578125
Hong Kong,HKG,2014,3591.1962890625
Hong Kong,HKG,2015,3565.128662109375
Hong Kong,HKG,2016,3741.263671875
Hong Kong,HKG,2017,3782.3408203125
Hong Kong,HKG,2018,4026.598876953125
India,IND,1996,152.00660705566406
India,IND,1998,115.28189849853516
India,IND,2000,109.72807312011719
India,IND,2005,134.91256713867188
India,IND,2010,156.21966552734375
India,IND,2015,216.00082397460938
India,IND,2018,252.70391845703125
Indonesia,IDN,2000,212.67640686035156
Indonesia,IDN,2001,199.23757934570312
Indonesia,IDN,2009,89.46839904785156
Indonesia,IDN,2016,178.87539672851562
Indonesia,IDN,2017,215.19041442871094
Indonesia,IDN,2018,215.99354553222656
Japan,JPN,1996,4874.802734375
Japan,JPN,1997,4928.90283203125
Japan,JPN,1998,5135.7626953125
Japan,JPN,1999,5174.98095703125
Japan,JPN,2000,5078.033203125
Japan,JPN,2001,5113.158203125
Japan,JPN,2002,4871.5302734375
Japan,JPN,2003,5094.3095703125
Japan,JPN,2004,5099.263671875
Japan,JPN,2005,5303.91650390625
Japan,JPN,2006,5333.04345703125
Japan,JPN,2007,5325.62353515625
Japan,JPN,2008,5108.78271484375
Japan,JPN,2009,5099.2109375
Japan,JPN,2010,5103.62548828125
Japan,JPN,2011,5110.16552734375
Japan,JPN,2012,5032.93115234375
Japan,JPN,2013,5147.43505859375
Japan,JPN,2014,5328.40966796875
Japan,JPN,2015,5173.03076171875
Japan,JPN,2016,5209.369140625
Japan,JPN,2017,5304.1376953125
Japan,JPN,2018,5331.150390625
Laos,LAO,2002,15.837630271911621
Macao,MAC,2001,260.995849609375
Macao,MAC,2002,233.94627380371094
Macao,MAC,2003,319.2333068847656
Macao,MAC,2004,518.2390747070312
Macao,MAC,2005,616.1231689453125
Macao,MAC,2006,556.0966796875
Macao,MAC,2007,387.9003601074219
Macao,MAC,2008,388.5575256347656
Macao,MAC,2009,569.7188110351562
Macao,MAC,2010,649.8469848632812
Macao,MAC,2011,610.531005859375
Macao,MAC,2012,736.6511840820312
