Entity,Code,Year,0_0_DisasterDeath
Bahrain,BHR,1990,0
Bahrain,BHR,1991,0
Bahrain,BHR,1992,0
Bahrain,BHR,1993,0
Bahrain,BHR,1994,0
Bahrain,BHR,1995,0
Bahrain,BHR,1996,0
Bahrain,BHR,1997,0
Bahrain,BHR,1998,0
Bahrain,BHR,1999,0
Bahrain,BHR,2000,0
Bahrain,BHR,2001,0
Bahrain,BHR,2002,0
Bahrain,BHR,2003,0
Bahrain,BHR,2004,0
Bahrain,BHR,2005,0
Bahrain,BHR,2006,0
Bahrain,BHR,2007,0
Bahrain,BHR,2008,0
Bahrain,BHR,2009,0
Bahrain,BHR,2010,0
Bahrain,BHR,2011,0
Bahrain,BHR,2012,0
Bahrain,BHR,2013,0
Bahrain,BHR,2014,0
Bahrain,BHR,2015,0
Bahrain,BHR,2016,0
Bahrain,BHR,2017,0
Bahrain,BHR,2018,0
Bahrain,BHR,2019,0
Bangladesh,BGD,1990,0.08
Bangladesh,BGD,1991,11.52
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0.06
Bangladesh,BGD,1994,0.03
Bangladesh,BGD,1995,0.16
Bangladesh,BGD,1996,0.07
Bangladesh,BGD,1997,0.06
Bangladesh,BGD,1998,0.16
Bangladesh,BGD,1999,0.04
Bangladesh,BGD,2000,0.02
Bangladesh,BGD,2001,0.03
Bangladesh,BGD,2002,0.02
Bangladesh,BGD,2003,0.04
Bangladesh,BGD,2004,0.12
Bangladesh,BGD,2005,0.03
Bangladesh,BGD,2006,0.02
Bangladesh,BGD,2007,0.67
Bangladesh,BGD,2008,0.01
Bangladesh,BGD,2009,0.03
Bangladesh,BGD,2010,0.01
Bangladesh,BGD,2011,0.01
Bangladesh,BGD,2012,0.04
Bangladesh,BGD,2013,0.01
Bangladesh,BGD,2014,0.01
Bangladesh,BGD,2015,0.02
Bangladesh,BGD,2016,0.03
Bangladesh,BGD,2017,0.04
Bangladesh,BGD,2018,0.01
Bangladesh,BGD,2019,0.02
Bhutan,BTN,1990,0
Bhutan,BTN,1991,0
Bhutan,BTN,1992,0
Bhutan,BTN,1993,0
Bhutan,BTN,1994,0.81
Bhutan,BTN,1995,0
Bhutan,BTN,1996,0
Bhutan,BTN,1997,0
Bhutan,BTN,1998,0
Bhutan,BTN,1999,0
Bhutan,BTN,2000,4.41
Bhutan,BTN,2001,0
Bhutan,BTN,2002,0
Bhutan,BTN,2003,0
Bhutan,BTN,2004,0
Bhutan,BTN,2005,0
Bhutan,BTN,2006,0
Bhutan,BTN,2007,0
Bhutan,BTN,2008,0
Bhutan,BTN,2009,0.57
Bhutan,BTN,2010,0
Bhutan,BTN,2011,0.02
Bhutan,BTN,2012,0
Bhutan,BTN,2013,0
Bhutan,BTN,2014,0
Bhutan,BTN,2015,0
Bhutan,BTN,2016,0
Bhutan,BTN,2017,0
Bhutan,BTN,2018,0
Bhutan,BTN,2019,0
Brunei,BRN,1990,0
Brunei,BRN,1991,0
Brunei,BRN,1992,0
Brunei,BRN,1993,0
Brunei,BRN,1994,0
Brunei,BRN,1995,0
Brunei,BRN,1996,0
Brunei,BRN,1997,0
Brunei,BRN,1998,0
Brunei,BRN,1999,0
Brunei,BRN,2000,0
Brunei,BRN,2001,0
Brunei,BRN,2002,0
Brunei,BRN,2003,0
Brunei,BRN,2004,0
Brunei,BRN,2005,0
Brunei,BRN,2006,0
Brunei,BRN,2007,0
Brunei,BRN,2008,0
Brunei,BRN,2009,0
Brunei,BRN,2010,0
Brunei,BRN,2011,0
Brunei,BRN,2012,0
Brunei,BRN,2013,0
Brunei,BRN,2014,0
Brunei,BRN,2015,0.18
Brunei,BRN,2016,0
Brunei,BRN,2017,0
Brunei,BRN,2018,0
Brunei,BRN,2019,0
Cambodia,KHM,1990,0
Cambodia,KHM,1991,0.09
Cambodia,KHM,1992,0
Cambodia,KHM,1993,0
Cambodia,KHM,1994,0.44
Cambodia,KHM,1995,0
Cambodia,KHM,1996,0.05
Cambodia,KHM,1997,0.02
Cambodia,KHM,1998,0
Cambodia,KHM,1999,0.01
Cambodia,KHM,2000,0.31
Cambodia,KHM,2001,0.05
Cambodia,KHM,2002,0.03
Cambodia,KHM,2003,0
Cambodia,KHM,2004,0
Cambodia,KHM,2005,0.02
Cambodia,KHM,2006,0
Cambodia,KHM,2007,0
Cambodia,KHM,2008,0
Cambodia,KHM,2009,0.02
Cambodia,KHM,2010,0.01
Cambodia,KHM,2011,0.24
Cambodia,KHM,2012,0.01
