2005 32 32 37 3 BGD Bangladesh
1991 150 150 150 3 MMR Myanmar
1995 33 33 33 3 MMR Myanmar
2000 43 43 43 3 IND: MMR India:_Myanmar
2001 62 62 62 3 MMR Myanmar
2005 38 23 38 3 MMR Myanmar
2006 92 92 97 3 MMR Myanmar
2007 215 215 215 3 MMR Myanmar
2012 35 35 58 3 PHL Philippines
2013 62 62 127 3 PHL Philippines
2014 138 134 145 3 PHL Philippines
2015 178 178 304 3 PHL Philippines
2016 71 57 74 3 PHL Philippines
2004 26 26 26 3 IND India
2018 27 14 87 3 MMR  Myanmar_(Burma)
2019 480 365 1013 3 MMR  Myanmar_(Burma)
2020 161 161 199 3 BGD: MMR  Bangladesh:_Myanmar_(Burma)
2000 25 22 25 3 IND India
2012 27 23 27 3 IND India
2014 26 23 32 3 IND India
2011 141 140 143 3 MMR  Myanmar_(Burma)
2013 51 51 51 3 MMR  Myanmar_(Burma)
2015 77 77 308 3 MMR  Myanmar_(Burma)
2008 36 36 39 3 CHN China
2005 30 29 31 3 BGD Bangladesh
2006 57 57 58 3 BGD Bangladesh
2013 70 68 122 3 MYS: PHL Malaysia:_Philippines
2013 28 26 28 3 IND India
2014 39 33 58 3 IND India
2013 29 29 30 3 MMR  Myanmar_(Burma)
2014 37 37 203 3 MMR  Myanmar_(Burma)
2015 106 106 181 3 MMR  Myanmar_(Burma)
2017 46 46 46 3 MMR  Myanmar_(Burma)
2018 46 34 77 3 MMR  Myanmar_(Burma)
2019 49 36 91 3 MMR  Myanmar_(Burma)
2015 161 98 192 3 IND India
2016 47 47 69 3 IND India
2017 39 39 41 3 IND India
2018 27 26 28 3 IND India
2016 41 41 41 3 BGD Bangladesh
2017 47 47 48 3 BGD Bangladesh
2016 30 28 66 3 PHL Philippines
2016 86 84 129 3 MMR  Myanmar_(Burma)
2017 393 393 404 3 MMR  Myanmar_(Burma)
2016 155 90 177 3 PHL Philippines
2017 1363 1336 1435 3 PHL Philippines
2018 193 159 198 3 PHL Philippines
2019 136 125 140 3 PHL Philippines
2020 75 74 75 3 PHL Philippines
2021 71 71 71 3 PHL Philippines
2016 57 57 58 3 PHL Philippines
