Entity,Code,Year,1_1_Water_withdrawal_pc
Bahrain,BHR,1990,457.2
Bahrain,BHR,2005,348
Bangladesh,BGD,2010,231
Bhutan,BTN,2010,454.5
Brunei,BRN,1990,279.4
Brunei,BRN,1995,297
Cambodia,KHM,2005,159.1
China,CHN,1980,431.1
China,CHN,1985,430.2
China,CHN,1990,411.4
China,CHN,1995,411.9
China,CHN,2000,418.4
China,CHN,2005,423.2
China,CHN,2010,435.2
China,CHN,2015,425
India,IND,1975,583.8
India,IND,1980,600.2
India,IND,1985,608.6
India,IND,1990,551.6
India,IND,2000,559.9
India,IND,2010,602.3
Indonesia,IDN,1990,395.9
Indonesia,IDN,2000,521.2
Japan,JPN,1980,749.3
Japan,JPN,1990,742
Japan,JPN,1995,713.6
Japan,JPN,2000,670.5
Japan,JPN,2005,652.1
Japan,JPN,2010,640.6
Laos,LAO,2005,588
Malaysia,MYS,1990,526.9
Malaysia,MYS,1995,251.7
Malaysia,MYS,2000,381.3
Malaysia,MYS,2005,419
Maldives,MDV,1985,16.74
Maldives,MDV,2010,17.11
Mongolia,MNG,1995,183.2
Mongolia,MNG,2005,208.3
Mongolia,MNG,2010,196.2
Myanmar,MMR,1985,706.4
Myanmar,MMR,2000,682.5
Nepal,NPL,2000,390
Nepal,NPL,2005,364.4
North Korea,PRK,2005,359.1
Oman,OMN,1990,617.7
Oman,OMN,2000,585.4
Oman,OMN,2005,509.3
Philippines,PHL,2005,886.9
Philippines,PHL,2010,849.4
Singapore,SGP,1975,81.97
South Korea,KOR,1990,470.6
South Korea,KOR,1995,561.8
South Korea,KOR,2000,623.5
South Korea,KOR,2005,605.7
Sri Lanka,LKA,1990,550.6
Sri Lanka,LKA,2000,682.5
Sri Lanka,LKA,2005,653.6
Thailand,THA,2005,863.7
Vietnam,VNM,1980,665
Vietnam,VNM,1985,708.7
Vietnam,VNM,2005,956.4
