Entity,Code,Year,1_1_Fertilizer_kg_ha
Bahrain,BHR,1972,18
Bahrain,BHR,1973,28
Bahrain,BHR,1974,40
Bahrain,BHR,1975,23
Bahrain,BHR,1978,21.5
Bahrain,BHR,1979,13
Bahrain,BHR,1981,150
Bahrain,BHR,1982,84
Bahrain,BHR,1983,213.5
Bahrain,BHR,1984,255
Bahrain,BHR,1985,240
Bahrain,BHR,1986,710
Bahrain,BHR,1987,155
Bahrain,BHR,1988,175
Bahrain,BHR,1989,252
Bahrain,BHR,1990,301
Bahrain,BHR,1991,350
Bahrain,BHR,1992,350
Bahrain,BHR,1993,300
Bahrain,BHR,1994,300
Bahrain,BHR,1995,300
Bahrain,BHR,1996,300
Bahrain,BHR,1997,300
Bahrain,BHR,1998,564
Bahrain,BHR,1999,216.5
Bahrain,BHR,2000,173
Bahrain,BHR,2001,150
Bahrain,BHR,2002,515.335022
Bahrain,BHR,2003,1466.529419
Bahrain,BHR,2004,2306.320068
Bahrain,BHR,2005,2090.193359
Bahrain,BHR,2006,1981.275879
Bahrain,BHR,2007,1153.542847
Bahrain,BHR,2008,2193.358398
Bahrain,BHR,2009,1098.514648
Bahrain,BHR,2010,1787.143799
Bahrain,BHR,2011,3100.731201
Bahrain,BHR,2012,3001.443848
Bahrain,BHR,2013,2811.925049
Bahrain,BHR,2014,3045.600098
Bahrain,BHR,2015,1587.831299
Bahrain,BHR,2016,458.8812561
Bahrain,BHR,2017,211.7312469
Bahrain,BHR,2018,1990.53125
Bangladesh,BGD,1961,2.614758968
Bangladesh,BGD,1962,3.140630484
Bangladesh,BGD,1963,5.694363594
Bangladesh,BGD,1964,5.208333492
Bangladesh,BGD,1965,6.175230503
Bangladesh,BGD,1966,8.615594864
Bangladesh,BGD,1967,10.85604477
Bangladesh,BGD,1968,12.23241615
Bangladesh,BGD,1969,14.72190666
Bangladesh,BGD,1970,16.20459366
Bangladesh,BGD,1971,12.92293739
Bangladesh,BGD,1972,19.93934059
Bangladesh,BGD,1973,19.93352318
Bangladesh,BGD,1974,14.13985348
Bangladesh,BGD,1975,23.55741501
Bangladesh,BGD,1976,26.63088226
Bangladesh,BGD,1977,37.33753204
Bangladesh,BGD,1978,39.03671265
Bangladesh,BGD,1979,44.67591476
Bangladesh,BGD,1980,45.6844635
Bangladesh,BGD,1981,43.91568756
Bangladesh,BGD,1982,50.66772842
Bangladesh,BGD,1983,59.7896347
Bangladesh,BGD,1984,63.33707047
Bangladesh,BGD,1985,59.07801437
Bangladesh,BGD,1986,67.30226135
Bangladesh,BGD,1987,76.42523193
Bangladesh,BGD,1988,81.41638184
Bangladesh,BGD,1989,94.93939209
Bangladesh,BGD,1990,98.73329163
Bangladesh,BGD,1991,107.021843
Bangladesh,BGD,1992,116.01371
Bangladesh,BGD,1993,111.1665878
Bangladesh,BGD,1994,124.8057785
Bangladesh,BGD,1995,142.1941986
Bangladesh,BGD,1996,147.2448273
Bangladesh,BGD,1997,132.2050018
Bangladesh,BGD,1998,138.4551697
Bangladesh,BGD,1999,161.8895264
Bangladesh,BGD,2000,158.1075439
Bangladesh,BGD,2001,174.590271
Bangladesh,BGD,2002,188.6391602
Bangladesh,BGD,2003,160.2668915
Bangladesh,BGD,2004,170.6713715
Bangladesh,BGD,2005,197.748703
Bangladesh,BGD,2006,193.190094
Bangladesh,BGD,2007,184.411087
Bangladesh,BGD,2008,200.0640717
Bangladesh,BGD,2009,188.8528748
Bangladesh,BGD,2010,212.9639282
Bangladesh,BGD,2011,255.7645264
Bangladesh,BGD,2012,260.4432983
Bangladesh,BGD,2013,254.6001587
Bangladesh,BGD,2014,279.2202454
Bangladesh,BGD,2015,298.9664001
Bangladesh,BGD,2016,289.4022827
Bangladesh,BGD,2017,303.712738
Bangladesh,BGD,2018,318.4668579
Bhutan,BTN,1974,0.721739113
Bhutan,BTN,1975,0.869565189
Bhutan,BTN,1976,0.833333313
Bhutan,BTN,1977,0.833333313
Bhutan,BTN,1978,0.833333313
Bhutan,BTN,1979,0.800000012
Bhutan,BTN,1980,0.769230783
Bhutan,BTN,1981,0.769230783
Bhutan,BTN,1982,0.740740716
Bhutan,BTN,1983,1.717241406
Bhutan,BTN,1984,1.310344815
Bhutan,BTN,1985,0.689655185
Bhutan,BTN,1986,0.689655185
Bhutan,BTN,1987,0.684931517
Bhutan,BTN,1988,0.709219873
Bhutan,BTN,1989,0.751879692
Bhutan,BTN,1990,0.740740716
Bhutan,BTN,1991,0.740740716
Bhutan,BTN,1992,0.740740716
Bhutan,BTN,1993,0.735294104
Bhutan,BTN,1994,0.714285731
Bhutan,BTN,1995,0.684931517
Bhutan,BTN,1996,0.662251651
Bhutan,BTN,1997,0.653594792
Bhutan,BTN,2002,9.756756783
Bhutan,BTN,2003,9.891891479
Bhutan,BTN,2004,7.398734093
Bhutan,BTN,2005,7.556886196
Bhutan,BTN,2006,7.620621204
Bhutan,BTN,2007,9.009537697
Bhutan,BTN,2008,11.65999985
Bhutan,BTN,2009,23.95999908
Bhutan,BTN,2010,10.03976154
Bhutan,BTN,2011,13.05389214
Bhutan,BTN,2012,10.68802357
Bhutan,BTN,2013,12.15508938
Bhutan,BTN,2014,14.20069885
Bhutan,BTN,2015,14.76057911
Bhutan,BTN,2016,13.25329971
Bhutan,BTN,2017,30.48994637
Bhutan,BTN,2018,35.97563934
Brunei,BRN,1980,166.6666718
Brunei,BRN,1981,62.66666794
Brunei,BRN,1982,181.6666718
Brunei,BRN,1983,71
Brunei,BRN,1984,281.6666565
Brunei,BRN,1985,298.3333435
Brunei,BRN,1986,420
Brunei,BRN,1987,133.3333282
Brunei,BRN,1988,233.3333282
Brunei,BRN,1989,133.3333282
Brunei,BRN,1990,2100
Brunei,BRN,1991,2200
Brunei,BRN,1992,2250
Brunei,BRN,1993,1500
Brunei,BRN,2002,336
Brunei,BRN,2003,102
Brunei,BRN,2004,151.5
Brunei,BRN,2005,308.5
Brunei,BRN,2006,66
Brunei,BRN,2007,377
Brunei,BRN,2008,112.6666641
Brunei,BRN,2009,103
Brunei,BRN,2010,431.75
Brunei,BRN,2011,117.5
Brunei,BRN,2012,113.5
Brunei,BRN,2013,44.59999847
Brunei,BRN,2014,141.8000031
Brunei,BRN,2015,141.8000031
Brunei,BRN,2016,141.8000031
Brunei,BRN,2017,141.8000031
Brunei,BRN,2018,141.8000031
Cambodia,KHM,1961,1.760746956
Cambodia,KHM,1962,0.343859643
Cambodia,KHM,1963,0.473684222
Cambodia,KHM,1964,0.534482777
Cambodia,KHM,1965,0.551724136
Cambodia,KHM,1966,0.568965495
Cambodia,KHM,1967,1.516195774
Cambodia,KHM,1968,1.403508782
Cambodia,KHM,1969,2.036363602
Cambodia,KHM,1970,1.286297798
Cambodia,KHM,1971,1.74555552
Cambodia,KHM,1972,1.277777791
Cambodia,KHM,1973,1.111111164
Cambodia,KHM,1974,0.756756783
Cambodia,KHM,1975,0.054054055
Cambodia,KHM,1976,0.052631579
Cambodia,KHM,1980,4.050000191
Cambodia,KHM,1981,9.5
Cambodia,KHM,1982,5.369458199
Cambodia,KHM,1983,2.352941275
Cambodia,KHM,1984,0.833333313
Cambodia,KHM,1987,0.200000003
Cambodia,KHM,1988,0.028985508
Cambodia,KHM,1989,0.081411123
Cambodia,KHM,1990,1.109607577
Cambodia,KHM,1991,1.540540576
Cambodia,KHM,1992,2.97297287
Cambodia,KHM,1993,3.928955793
Cambodia,KHM,1994,2.864864826
Cambodia,KHM,1995,2.648648739
Cambodia,KHM,1996,2.108108044
Cambodia,KHM,1997,5.918919086
Cambodia,KHM,1998,2.059459448
Cambodia,KHM,2002,6.937275887
Cambodia,KHM,2003,5.483746052
Cambodia,KHM,2004,6.812283993
Cambodia,KHM,2005,10.45765972
Cambodia,KHM,2006,10.31951618
Cambodia,KHM,2007,10.1584053
Cambodia,KHM,2008,9.869448662
Cambodia,KHM,2009,13.2533083
Cambodia,KHM,2010,15.41333199
Cambodia,KHM,2011,20.06480598
Cambodia,KHM,2012,27.25512123
Cambodia,KHM,2013,24.75411034
Cambodia,KHM,2014,27.72927666
Cambodia,KHM,2015,29.89966965
Cambodia,KHM,2016,21.62355423
Cambodia,KHM,2017,30.52585983
Cambodia,KHM,2018,34.27582932
China,CHN,1961,7.04082346
China,CHN,1962,9.5984478
China,CHN,1963,12.11820889
China,CHN,1964,16.32831955
China,CHN,1965,25.41529274
China,CHN,1966,36.46042633
China,CHN,1967,26.56776428
China,CHN,1968,26.68593597
China,CHN,1969,34.54585266
China,CHN,1970,44.04049301
China,CHN,1971,45.83174515
China,CHN,1972,52.91116333
China,CHN,1973,65.28871155
China,CHN,1974,56.17380905
China,CHN,1975,70.06729126
China,CHN,1976,65.77711487
China,CHN,1977,93.75404358
China,CHN,1978,111.7145462
China,CHN,1979,134.7493134
China,CHN,1980,158.1728516
China,CHN,1981,155.3321991
China,CHN,1982,160.0341644
China,CHN,1983,172.4491272
China,CHN,1984,174.8448792
China,CHN,1985,142.9966431
China,CHN,1986,142.9071045
China,CHN,1987,187.6371155
China,CHN,1988,208.2530518
China,CHN,1989,206.9250793
China,CHN,1990,219.0993042
China,CHN,1991,236.2427826
China,CHN,1992,236.3347931
China,CHN,1993,205.6421967
China,CHN,1994,237.6702728
China,CHN,1995,295.9246216
China,CHN,1996,299.8866577
China,CHN,1997,297.8395386
China,CHN,1998,299.3979492
China,CHN,1999,304.4963379
China,CHN,2000,285.9447937
China,CHN,2001,293.9154968
China,CHN,2002,335.814209
China,CHN,2003,330.8037415
China,CHN,2004,354.430603
China,CHN,2005,376.8996887
China,CHN,2006,376.7396851
China,CHN,2007,387.1513062
China,CHN,2008,374.2178345
China,CHN,2009,385.4265137
China,CHN,2010,424.4187622
China,CHN,2011,440.8322449
China,CHN,2012,450.802948
China,CHN,2013,449.0524597
China,CHN,2014,464.8275757
China,CHN,2015,464.6199341
China,CHN,2016,463.1870117
China,CHN,2017,421.4677429
China,CHN,2018,393.2154541
Hong Kong,HKG,2002,728.4000244
Hong Kong,HKG,2003,359.7999878
Hong Kong,HKG,2004,390.7999878
Hong Kong,HKG,2005,365.7999878
Hong Kong,HKG,2006,390
Hong Kong,HKG,2007,421
Hong Kong,HKG,2008,99
Hong Kong,HKG,2009,38
Hong Kong,HKG,2010,616.2857056
Hong Kong,HKG,2011,790.5714111
Hong Kong,HKG,2012,1307.316162
Hong Kong,HKG,2013,598.0484009
Hong Kong,HKG,2014,1973.609619
Hong Kong,HKG,2015,2394.76123
Hong Kong,HKG,2016,2715.943359
Hong Kong,HKG,2017,2807.796875
Hong Kong,HKG,2018,3573.909912
India,IND,1961,2.171289921
India,IND,1962,2.88576889
India,IND,1963,3.453991175
India,IND,1964,4.901985645
India,IND,1965,4.959043503
India,IND,1966,6.939908028
India,IND,1967,9.631994247
India,IND,1968,10.99963188
India,IND,1969,12.38935852
India,IND,1970,14.05455875
India,IND,1971,16.63036156
India,IND,1972,17.27928734
India,IND,1973,17.62561798
India,IND,1974,15.93364716
India,IND,1975,21.58825493
India,IND,1976,21.08394051
India,IND,1977,26.50762939
India,IND,1978,31.4324398
India,IND,1979,32.26120377
India,IND,1980,33.97275925
India,IND,1981,37.34899902
India,IND,1982,35.93043518
India,IND,1983,40.77563095
India,IND,1984,48.89070892
India,IND,1985,52.98642349
India,IND,1986,58.85599899
India,IND,1987,51.11791992
India,IND,1988,66.09647369
India,IND,1989,69.21076965
India,IND,1990,73.52302551
India,IND,1991,77.99932098
India,IND,1992,74.70166779
India,IND,1993,76.17673492
India,IND,1994,83.45589447
India,IND,1995,85.70285797
India,IND,1996,89.04232788
India,IND,1997,100.1725616
India,IND,1998,104.067955
India,IND,1999,112.1710205
India,IND,2000,103.7861176
India,IND,2001,108.1821976
India,IND,2002,100.3290558
India,IND,2003,105.1772003
