Year,country,region,brd_best,brd_high,brd_low,Code
2020,Austria,Europe,4,4,4,AUT
2016,Belgium,Europe,1,1,1,BEL
2016,Belgium,Europe,1,1,1,BEL
2018,Belgium,Europe,3,3,3,BEL
2016,Belgium,Europe,32,32,32,BEL
2018,Belgium,Europe,1,1,1,BEL
1992,Croatia,Europe,2,2,2,HRV
1992,Croatia,Europe,5,5,5,HRV
1992,Croatia,Europe,8,8,8,HRV
1992,Croatia,Europe,4,4,4,HRV
1992,Croatia,Europe,1,1,0,HRV
1992,Croatia,Europe,24,24,25,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,10,16,10,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,2,2,2,HRV
1992,Croatia,Europe,6,6,6,HRV
1992,Croatia,Europe,0,8,0,HRV
1992,Croatia,Europe,5,5,5,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,2,2,2,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,5,5,5,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,3,3,3,HRV
1992,Croatia,Europe,1,1,1,HRV
1992,Croatia,Europe,2,2,2,HRV
1992,Croatia,Europe,2,2,2,HRV
1992,Croatia,Europe,24,24,24,HRV
1992,Croatia,Europe,2,2,2,HRV
1992,Croatia,Europe,14,14,14,HRV
1992,Croatia,Europe,5,5,5,HRV
1992,Croatia,Europe,2,2,2,HRV
1992,Croatia,Europe,3,3,3,HRV
1993,Croatia,Europe,60,114,60,HRV
1993,Croatia,Europe,7,7,7,HRV
1993,Croatia,Europe,124,124,124,HRV
1993,Croatia,Europe,6,6,6,HRV
1993,Croatia,Europe,21,21,21,HRV
1993,Croatia,Europe,2,2,2,HRV
1993,Croatia,Europe,3,3,3,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,2,2,2,HRV
1993,Croatia,Europe,2,2,2,HRV
1993,Croatia,Europe,2,2,2,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,5,5,5,HRV
1993,Croatia,Europe,0,1,0,HRV
1993,Croatia,Europe,3,3,3,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,2,2,2,HRV
1993,Croatia,Europe,4,4,4,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,0,8,0,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,26,26,26,HRV
1993,Croatia,Europe,26,26,26,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,7,7,7,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,7,7,7,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,3,3,3,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,3,3,3,HRV
1993,Croatia,Europe,0,2,0,HRV
1993,Croatia,Europe,2,2,2,HRV
1993,Croatia,Europe,2,2,2,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,2,2,2,HRV
1993,Croatia,Europe,1,1,1,HRV
1993,Croatia,Europe,0,3,0,HRV
1995,Croatia,Europe,1,1,1,HRV
1995,Croatia,Europe,0,50,0,HRV
1995,Croatia,Europe,15,15,15,HRV
1995,Croatia,Europe,7,7,7,HRV
1995,Croatia,Europe,8,10,8,HRV
1995,Croatia,Europe,0,112,0,HRV
1995,Croatia,Europe,0,42,0,HRV
1995,Croatia,Europe,15,100,5,HRV
1995,Croatia,Europe,15,100,5,HRV
1995,Croatia,Europe,15,100,5,HRV
1995,Croatia,Europe,15,100,5,HRV
1995,Croatia,Europe,5,5,3,HRV
1995,Croatia,Europe,0,42,0,HRV
1995,Croatia,Europe,1,112,1,HRV
1995,Croatia,Europe,8,10,8,HRV
1995,Croatia,Europe,3,3,3,HRV
1995,Croatia,Europe,4,6,4,HRV
1995,Croatia,Europe,0,50,0,HRV
1995,Croatia,Europe,0,50,0,HRV
1995,Croatia,Europe,8,10,8,HRV
1995,Croatia,Europe,1,113,1,HRV
1995,Croatia,Europe,0,42,0,HRV
1995,Croatia,Europe,1,1,1,HRV
1995,Croatia,Europe,0,4,0,HRV
1995,Croatia,Europe,0,42,0,HRV
1995,Croatia,Europe,1,113,1,HRV
1995,Croatia,Europe,9,12,9,HRV
1995,Croatia,Europe,0,50,0,HRV
1995,Croatia,Europe,2,9,2,HRV
1995,Croatia,Europe,1,1,0,HRV
1995,Croatia,Europe,2,2,2,HRV
1995,Croatia,Europe,6,6,6,HRV
1995,Croatia,Europe,5,5,5,HRV
1995,Croatia,Europe,1,1,1,HRV
1995,Croatia,Europe,1,1,1,HRV
1995,Croatia,Europe,1,1,0,HRV
1995,Croatia,Europe,1,1,1,HRV
1995,Croatia,Europe,3,3,3,HRV
1995,Croatia,Europe,392,392,0,HRV
1995,Croatia,Europe,0,82,0,HRV
1995,Croatia,Europe,110,110,110,HRV
