Entity,Code,Year,5_0_BattleDeath
86,AUT,2020,4
146,BEL,2016,34
147,BEL,2018,4
408,DEU,1989,3
409,DEU,1990,1
410,DEU,1992,4
411,DEU,2016,12
500,ESP,1989,17
501,ESP,1990,19
502,ESP,1991,44
503,ESP,1992,23
504,ESP,1993,12
505,ESP,1994,11
506,ESP,1995,13
507,ESP,1996,4
508,ESP,1997,12
509,ESP,1998,7
510,ESP,2000,20
511,ESP,2001,13
512,ESP,2002,5
513,ESP,2003,3
514,ESP,2004,191
515,ESP,2008,2
516,ESP,2009,3
517,ESP,2011,1
518,ESP,2017,16
552,FRA,1992,0
553,FRA,1995,8
554,FRA,1996,0
555,FRA,2007,2
556,FRA,2012,4
557,FRA,2015,133
558,FRA,2016,87
559,FRA,2017,2
560,FRA,2018,13
566,GBR,1989,41
567,GBR,1990,47
568,GBR,1991,38
569,GBR,1992,39
570,GBR,1993,47
571,GBR,1994,16
572,GBR,1996,2
573,GBR,1997,5
574,GBR,1998,31
575,GBR,2000,1
576,GBR,2001,1
577,GBR,2002,3
578,GBR,2003,1
579,GBR,2004,1
580,GBR,2005,53
581,GBR,2006,0
582,GBR,2009,2
583,GBR,2011,1
584,GBR,2019,4
585,GBR,2020,1
664,HRV,1992,142
665,HRV,1993,373
666,HRV,1995,963
813,ITA,1993,0
1044,MLT,1995,0
1173,NLD,1990,2
1174,NLD,2015,0
1311,ROU,1989,448
1506,SWE,2017,5
