Entity,Code,Year,1_1_agri_land_pc
Austria,AUT,1961,0.4999759532294532
Austria,AUT,1962,0.4933746532858878
Austria,AUT,1963,0.48429127196053734
Austria,AUT,1964,0.4791147189306198
Austria,AUT,1965,0.47421287807874923
Austria,AUT,1966,0.46326017649043016
Austria,AUT,1967,0.45607976346633056
Austria,AUT,1968,0.4515443683036366
Austria,AUT,1969,0.4480471955703079
Austria,AUT,1970,0.44381239074489254
Austria,AUT,1971,0.439834497519317
Austria,AUT,1972,0.4362285926994663
Austria,AUT,1973,0.42357992208558753
Austria,AUT,1974,0.42055835799582764
Austria,AUT,1975,0.4176001405660796
Austria,AUT,1976,0.41664763493736023
Austria,AUT,1977,0.41610271409595084
Austria,AUT,1978,0.4170032115592535
Austria,AUT,1979,0.4125686345447109
Austria,AUT,1980,0.41275983763991253
Austria,AUT,1981,0.41493781390077183
Austria,AUT,1982,0.4133945245449957
Austria,AUT,1983,0.3979822972255272
Austria,AUT,1984,0.39872264680747804
Austria,AUT,1985,0.3988906964638126
Austria,AUT,1986,0.39693691852996954
Austria,AUT,1987,0.3963686972402895
Austria,AUT,1988,0.39801066480041364
Austria,AUT,1989,0.3968739250734918
Austria,AUT,1990,0.39149662950907627
Austria,AUT,1991,0.3907136013594245
Austria,AUT,1992,0.38475619699466207
Austria,AUT,1993,0.3800009275114336
Austria,AUT,1994,0.3767486170302052
Austria,AUT,1995,0.3730982296763716
Austria,AUT,1996,0.3708344729761534
Austria,AUT,1997,0.3690583546913957
Austria,AUT,1998,0.36809869357857494
Austria,AUT,1999,0.36705484074065287
Austria,AUT,2000,0.36436974023443985
Austria,AUT,2001,0.3601124658361806
Austria,AUT,2002,0.35678055156291566
Austria,AUT,2003,0.3528965543896832
Austria,AUT,2004,0.3489677557152689
Austria,AUT,2005,0.3461256534987551
Austria,AUT,2006,0.3431722742196672
Austria,AUT,2007,0.34041250041948645
Austria,AUT,2008,0.3367966459878114
Austria,AUT,2009,0.3338244952651265
Austria,AUT,2010,0.33046573766380744
Austria,AUT,2011,0.32617255265007955
Austria,AUT,2012,0.3217039488595164
Austria,AUT,2013,0.3174777929753539
Austria,AUT,2014,0.31504731049048806
Austria,AUT,2015,0.3132338402472271
Austria,AUT,2016,0.30525644424491627
Austria,AUT,2017,0.30098070261786386
Austria,AUT,2018,0.29835949122904093
Belgium,BEL,2000,0.13514836997702692
Belgium,BEL,2001,0.13439262007367173
Belgium,BEL,2002,0.13401981787545159
Belgium,BEL,2003,0.1336208584444313
Belgium,BEL,2004,0.13275615148189662
Belgium,BEL,2005,0.13112875212645703
Belgium,BEL,2006,0.12994992690316612
Belgium,BEL,2007,0.1277766581052224
Belgium,BEL,2008,0.12666579952903664
Belgium,BEL,2009,0.12556238800582692
Belgium,BEL,2010,0.12393567485246701
Belgium,BEL,2011,0.12127454397657206
Belgium,BEL,2012,0.12015850097037913
Belgium,BEL,2013,0.11982238852416204
Belgium,BEL,2014,0.11864117225641287
Belgium,BEL,2015,0.11764768416557848
Belgium,BEL,2016,0.11896688690395457
Belgium,BEL,2017,0.11620221391925636
Belgium,BEL,2018,0.11792187858435917
Bulgaria,BGR,1961,0.7132738464873244
Bulgaria,BGR,1962,0.7086621829188604
Bulgaria,BGR,1963,0.7036471367197634
Bulgaria,BGR,1964,0.7075408383574413
Bulgaria,BGR,1965,0.7045226266325606
Bulgaria,BGR,1966,0.7003485809431312
Bulgaria,BGR,1967,0.7027037133630444
Bulgaria,BGR,1968,0.7001179641031507
Bulgaria,BGR,1969,0.7122761540304872
Bulgaria,BGR,1970,0.7064312632389744
Bulgaria,BGR,1971,0.7020654557741407
Bulgaria,BGR,1972,0.6995278245265467
Bulgaria,BGR,1973,0.6911045646289633
Bulgaria,BGR,1974,0.6940887274840744
Bulgaria,BGR,1975,0.6814754934317435
Bulgaria,BGR,1976,0.7065214851268563
Bulgaria,BGR,1977,0.7050747201969029
Bulgaria,BGR,1978,0.7035547924303802
Bulgaria,BGR,1979,0.7009893935538118
Bulgaria,BGR,1980,0.6961533388949014
Bulgaria,BGR,1981,0.6938725183585934
Bulgaria,BGR,1982,0.6922184324264585
Bulgaria,BGR,1983,0.6899270098103221
Bulgaria,BGR,1984,0.6881544338073371
Bulgaria,BGR,1985,0.6873261142365192
Bulgaria,BGR,1986,0.6872070161540459
Bulgaria,BGR,1987,0.6881269421227879
Bulgaria,BGR,1988,0.6895197364114425
Bulgaria,BGR,1989,0.6932250847228274
Bulgaria,BGR,1990,0.6966045645412781
Bulgaria,BGR,1991,0.7027490250654757
Bulgaria,BGR,1992,0.7092822269018508
Bulgaria,BGR,1993,0.7137328449337561
Bulgaria,BGR,1994,0.7267405844084587
Bulgaria,BGR,1995,0.7356216050299141
Bulgaria,BGR,1996,0.743369790291089
Bulgaria,BGR,1997,0.7553751217453293
Bulgaria,BGR,1998,0.6936875051458218
Bulgaria,BGR,1999,0.7039793489474028
Bulgaria,BGR,2000,0.6979282334226102
Bulgaria,BGR,2001,0.693255062003961
Bulgaria,BGR,2002,0.6769435812972375
Bulgaria,BGR,2003,0.6824432441962853
Bulgaria,BGR,2004,0.688218626785624
Bulgaria,BGR,2005,0.6849259824622522
Bulgaria,BGR,2006,0.6801194913597306
Bulgaria,BGR,2007,0.6752304969780928
Bulgaria,BGR,2008,0.6779560098122204
Bulgaria,BGR,2009,0.6730435873999283
Bulgaria,BGR,2010,0.6804033073095679
Bulgaria,BGR,2011,0.6895570327905511
Bulgaria,BGR,2012,0.6985271208642811
Bulgaria,BGR,2013,0.6851769141881415
Bulgaria,BGR,2014,0.6868952747622503
Bulgaria,BGR,2015,0.696122263286971
Bulgaria,BGR,2016,0.7020460005819389
Bulgaria,BGR,2017,0.7081393390782103
Bulgaria,BGR,2018,0.713312481351771
Croatia,HRV,1992,0.507937903112324
Croatia,HRV,1993,0.4836576095818704
Croatia,HRV,1994,0.4963713579127327
Croatia,HRV,1995,0.5051154856018261
Croatia,HRV,1996,0.422961174131476
Croatia,HRV,1997,0.4282498393235727
Croatia,HRV,1998,0.4559310778250752
Croatia,HRV,1999,0.45596964570575105
Croatia,HRV,2000,0.26399733518515384
Croatia,HRV,2001,0.26723683240416735
Croatia,HRV,2002,0.26866560550198043
Croatia,HRV,2003,0.27250594967525993
Croatia,HRV,2004,0.2682553955603732
Croatia,HRV,2005,0.2766066598478138
Croatia,HRV,2006,0.28141449449377076
Croatia,HRV,2007,0.27553475978732933
Croatia,HRV,2008,0.29616535818754425
Croatia,HRV,2009,0.2993598177857877
Croatia,HRV,2010,0.3081675490652505
Croatia,HRV,2011,0.30745874370145454
Croatia,HRV,2012,0.3098318900117741
Croatia,HRV,2013,0.3664828913075299
Croatia,HRV,2014,0.3544814349013703
Croatia,HRV,2015,0.3631575142562713
Croatia,HRV,2016,0.3673428848819632
Croatia,HRV,2017,0.35788935648529224
Croatia,HRV,2018,0.3570393164285001
Cyprus,CYP,1961,0.7009082313344148
Cyprus,CYP,1962,0.6958737456529528
Cyprus,CYP,1963,0.7007975248869639
Cyprus,CYP,1964,0.6964787211060705
Cyprus,CYP,1965,0.6919509919685489
Cyprus,CYP,1966,0.6833997085300243
Cyprus,CYP,1967,0.6781575760855595
Cyprus,CYP,1968,0.6700139516620858
Cyprus,CYP,1969,0.6582898323093269
Cyprus,CYP,1970,0.6486120029073462
Cyprus,CYP,1971,0.6378259798118413
Cyprus,CYP,1972,0.6273905330908697
Cyprus,CYP,1973,0.6206828140769981
Cyprus,CYP,1974,0.4468094381098871
Cyprus,CYP,1975,0.27749091575080304
Cyprus,CYP,1976,0.27055923178820035
Cyprus,CYP,1977,0.26460313286503134
Cyprus,CYP,1978,0.2588945810378658
Cyprus,CYP,1979,0.25367460533378433
Cyprus,CYP,1980,0.2502170249706378
Cyprus,CYP,1981,0.2552334464640954
Cyprus,CYP,1982,0.26311908885618374
Cyprus,CYP,1983,0.2636595075186183
Cyprus,CYP,1984,0.26085186767070745
Cyprus,CYP,1985,0.23135351755401923
Cyprus,CYP,1986,0.22910407951259226
Cyprus,CYP,1987,0.22450288646568314
Cyprus,CYP,1988,0.21915233939012102
Cyprus,CYP,1989,0.2148999996005576
Cyprus,CYP,1990,0.20949237883422578
Cyprus,CYP,1991,0.20328836812560971
Cyprus,CYP,1992,0.19934774815734482
Cyprus,CYP,1993,0.19383300803912323
Cyprus,CYP,1994,0.17130365184981663
Cyprus,CYP,1995,0.16729348139956018
Cyprus,CYP,1996,0.1639526323442364
Cyprus,CYP,1997,0.15956193404324553
Cyprus,CYP,1998,0.1586878866779208
Cyprus,CYP,1999,0.1557158067741775
Cyprus,CYP,2000,0.15000689077590137
Cyprus,CYP,2001,0.14579141830057193
Cyprus,CYP,2002,0.14330108376562492
Cyprus,CYP,2003,0.15499772032573678
Cyprus,CYP,2004,0.1543930768560819
Cyprus,CYP,2005,0.16250479243175284
Cyprus,CYP,2006,0.1501663786086559
Cyprus,CYP,2007,0.13838319170678556
Cyprus,CYP,2008,0.10688235451841453
Cyprus,CYP,2009,0.11620250928208523
Cyprus,CYP,2010,0.10291098783762892
Cyprus,CYP,2011,0.10339312591291329
Cyprus,CYP,2012,0.10299142061202805
Cyprus,CYP,2013,0.09514226316718917
Cyprus,CYP,2014,0.09457729641538334
Cyprus,CYP,2015,0.10911424350874474
Cyprus,CYP,2016,0.09348078554966002
Cyprus,CYP,2017,0.10292639177809537
Cyprus,CYP,2018,0.11010750337393263
Czechia,CZE,1993,0.4133727334247863
Czechia,CZE,1994,0.4134748400463316
Czechia,CZE,1995,0.413199483732346
Czechia,CZE,1996,0.41351422455117043
Czechia,CZE,1997,0.4139930021640807
Czechia,CZE,1998,0.4149857113755004
Czechia,CZE,1999,0.41546955579396166
Czechia,CZE,2000,0.4159631495524557
Czechia,CZE,2001,0.41651218653514827
Czechia,CZE,2002,0.41668857240368734
Czechia,CZE,2003,0.4169297096942554
Czechia,CZE,2004,0.4165267257317515
Czechia,CZE,2005,0.4152788699969498
Czechia,CZE,2006,0.4130652920868769
Czechia,CZE,2007,0.41023262478013595
Czechia,CZE,2008,0.4070879342551068
Czechia,CZE,2009,0.4041702282241252
Czechia,CZE,2010,0.40184053213784665
Czechia,CZE,2011,0.40022648901241537
Czechia,CZE,2012,0.39928957642511176
Czechia,CZE,2013,0.3325923605017809
Czechia,CZE,2014,0.33197659772707444
