Entity,Code,Year,0_0_ShareOfGlobalCO2
Austria,AUT,1807,0.45707473
Austria,AUT,1819,0.5061619
Austria,AUT,1820,0.6577996
Austria,AUT,1821,0.69810516
Austria,AUT,1822,0.685307
Austria,AUT,1823,0.6155242
Austria,AUT,1824,0.68240154
Austria,AUT,1825,0.6633699
Austria,AUT,1826,0.7456899
Austria,AUT,1827,0.7226237
Austria,AUT,1828,0.68730414
Austria,AUT,1829,0.71739966
Austria,AUT,1830,0.5550074
Austria,AUT,1831,0.567837
Austria,AUT,1832,0.6026949
Austria,AUT,1833,0.4938376
Austria,AUT,1834,0.6625259
Austria,AUT,1835,0.70083046
Austria,AUT,1836,0.6434466
Austria,AUT,1837,0.67546284
Austria,AUT,1838,0.7867607
Austria,AUT,1839,0.948723
Austria,AUT,1840,0.98277825
Austria,AUT,1841,1.0757186
Austria,AUT,1842,1.1260433
Austria,AUT,1843,0.9542458
Austria,AUT,1844,1.1270014
Austria,AUT,1845,1.159085
Austria,AUT,1846,1.339804
Austria,AUT,1847,1.2071494
Austria,AUT,1848,1.342777
Austria,AUT,1849,1.2319058
Austria,AUT,1850,1.1816591
Austria,AUT,1851,1.1739988
Austria,AUT,1852,1.3540232
Austria,AUT,1853,1.4844303
Austria,AUT,1854,1.2450814
Austria,AUT,1855,1.422415
Austria,AUT,1856,1.5261627
Austria,AUT,1857,1.7410885
Austria,AUT,1858,2.549071
Austria,AUT,1859,1.9468428
Austria,AUT,1860,1.859475
Austria,AUT,1861,1.8344523
Austria,AUT,1862,1.7944517
Austria,AUT,1863,1.5553566
Austria,AUT,1864,1.2465637
Austria,AUT,1865,1.2382646
Austria,AUT,1866,0.80597043
Austria,AUT,1867,1.0283111
Austria,AUT,1868,1.2371303
Austria,AUT,1869,1.2444631
Austria,AUT,1870,1.3829355
Austria,AUT,1871,1.7914118
Austria,AUT,1872,1.5975151
Austria,AUT,1873,1.6122459
Austria,AUT,1874,1.4691352
Austria,AUT,1875,1.162961
Austria,AUT,1876,1.180086
Austria,AUT,1877,1.0419178
Austria,AUT,1878,1.0278646
Austria,AUT,1879,1.1741424
Austria,AUT,1880,2.7699811
Austria,AUT,1881,1.1688691
Austria,AUT,1882,1.1374292
Austria,AUT,1883,1.1867867
Austria,AUT,1884,1.1436126
Austria,AUT,1885,1.1931835
Austria,AUT,1886,1.1086948
Austria,AUT,1887,1.1382393
Austria,AUT,1888,1.0024532
Austria,AUT,1889,1.0803239
Austria,AUT,1890,1.0039994
Austria,AUT,1891,1.0998414
Austria,AUT,1892,1.0558058
Austria,AUT,1893,1.3076156
Austria,AUT,1894,1.2941694
Austria,AUT,1895,1.3715893
Austria,AUT,1896,1.3887209
Austria,AUT,1897,1.4331635
Austria,AUT,1898,1.4433117
Austria,AUT,1899,1.3408417
Austria,AUT,1900,1.4187092
Austria,AUT,1901,1.4058316
Austria,AUT,1902,1.2427253
Austria,AUT,1903,1.1401161
Austria,AUT,1904,1.1935027
Austria,AUT,1905,1.1786082
Austria,AUT,1906,1.3483777
Austria,AUT,1907,1.4782562
Austria,AUT,1908,2.1621842
Austria,AUT,1909,1.5098559
Austria,AUT,1910,1.9376634
Austria,AUT,1911,1.5959122
Austria,AUT,1912,1.59751
Austria,AUT,1913,1.7394739
Austria,AUT,1914,1.5615062
Austria,AUT,1915,1.1275903
Austria,AUT,1916,0.26841876
Austria,AUT,1917,0.09750372
Austria,AUT,1918,0.09556419
Austria,AUT,1919,0.09956785
Austria,AUT,1920,0.4125959
Austria,AUT,1921,0.6259529
Austria,AUT,1922,0.57373416
Austria,AUT,1923,0.48369533
Austria,AUT,1924,0.5451122
Austria,AUT,1925,0.50972533
Austria,AUT,1926,0.50885314
Austria,AUT,1927,0.503854
Austria,AUT,1928,0.53294986
Austria,AUT,1929,0.56641674
Austria,AUT,1930,0.47941023
Austria,AUT,1931,0.514726
Austria,AUT,1932,0.47846583
Austria,AUT,1933,0.42625397
Austria,AUT,1934,0.3788019
Austria,AUT,1935,0.3652927
Austria,AUT,1936,0.32508174
Austria,AUT,1937,0.34140918
Austria,AUT,1938,0.13773191
Austria,AUT,1939,0.14252166
Austria,AUT,1940,0.15125726
Austria,AUT,1941,0.16056536
Austria,AUT,1942,0.172507
Austria,AUT,1943,0.19088519
Austria,AUT,1944,0.18375003
Austria,AUT,1945,0.10732698
Austria,AUT,1946,0.27510142
Austria,AUT,1947,0.3430977
Austria,AUT,1948,0.45215243
Austria,AUT,1949,0.50657684
Austria,AUT,1950,0.3480478
Austria,AUT,1951,0.36465254
Austria,AUT,1952,0.34133804
Austria,AUT,1953,0.32664442
Austria,AUT,1954,0.36090875
Austria,AUT,1955,0.39055532
Austria,AUT,1956,0.35593238
Austria,AUT,1957,0.3564674
Austria,AUT,1958,0.33366713
Austria,AUT,1959,0.3151446
Austria,AUT,1960,0.32792467
Austria,AUT,1961,0.33789012
Austria,AUT,1962,0.34729543
Austria,AUT,1963,0.35971868
Austria,AUT,1964,0.3591674
Austria,AUT,1965,0.33700222
Austria,AUT,1966,0.3304021
Austria,AUT,1967,0.32600027
Austria,AUT,1968,0.3276082
Austria,AUT,1969,0.3242327
Austria,AUT,1970,0.33983937
Austria,AUT,1971,0.3358106
Austria,AUT,1972,0.34550563
Austria,AUT,1973,0.35125157
Austria,AUT,1974,0.3366784
Austria,AUT,1975,0.31788257
Austria,AUT,1976,0.32350022
