Entity,Code,Year,1_1_ArableLand_ha_pop
Austria,AUT,1961,0.238347262
Austria,AUT,1962,0.23576887
Austria,AUT,1963,0.230775312
Austria,AUT,1964,0.229380623
Austria,AUT,1965,0.228307709
Austria,AUT,1966,0.220702738
Austria,AUT,1967,0.216890395
Austria,AUT,1968,0.215901956
Austria,AUT,1969,0.213007435
Austria,AUT,1970,0.212398782
Austria,AUT,1971,0.211586401
Austria,AUT,1972,0.210492805
Austria,AUT,1973,0.199575141
Austria,AUT,1974,0.199235752
Austria,AUT,1975,0.199369222
Austria,AUT,1976,0.200911373
Austria,AUT,1977,0.202023402
Austria,AUT,1978,0.204567254
Austria,AUT,1979,0.201737225
Austria,AUT,1980,0.203458995
Austria,AUT,1981,0.204658389
Austria,AUT,1982,0.202663273
Austria,AUT,1983,0.190295845
Austria,AUT,1984,0.191101313
Austria,AUT,1985,0.191408172
Austria,AUT,1986,0.190097645
Austria,AUT,1987,0.189977378
Austria,AUT,1988,0.192213461
Austria,AUT,1989,0.191480696
Austria,AUT,1990,0.185729071
Austria,AUT,1991,0.186334014
Austria,AUT,1992,0.1831467
Austria,AUT,1993,0.179492265
Austria,AUT,1994,0.179306805
Austria,AUT,1995,0.177900165
Austria,AUT,1996,0.177157551
Austria,AUT,1997,0.176454917
Austria,AUT,1998,0.176010668
Austria,AUT,1999,0.175418317
Austria,AUT,2000,0.174622536
Austria,AUT,2001,0.172463253
Austria,AUT,2002,0.171369389
Austria,AUT,2003,0.169924662
Austria,AUT,2004,0.16878435
Austria,AUT,2005,0.167808548
Austria,AUT,2006,0.166556999
Austria,AUT,2007,0.165873319
Austria,AUT,2008,0.164513692
Austria,AUT,2009,0.16379565
Austria,AUT,2010,0.163067579
Austria,AUT,2011,0.162018329
Austria,AUT,2012,0.160747498
Austria,AUT,2013,0.159661353
Austria,AUT,2014,0.15816097
Austria,AUT,2015,0.155749962
Austria,AUT,2016,0.153890476
Austria,AUT,2017,0.15105769
Austria,AUT,2018,0.150121242
Belgium,BEL,1961,0.109647833
Belgium,BEL,1962,0.108886883
Belgium,BEL,1963,0.107752934
Belgium,BEL,1964,0.106417999
Belgium,BEL,1965,0.105244614
Belgium,BEL,1966,0.104326211
Belgium,BEL,1967,0.103329606
Belgium,BEL,1968,0.102819949
Belgium,BEL,1969,0.102425538
Belgium,BEL,1970,0.102221012
Belgium,BEL,1971,0.102034889
Belgium,BEL,1972,0.101636112
Belgium,BEL,1973,0.101111509
Belgium,BEL,1974,0.100589223
Belgium,BEL,1975,0.100196928
Belgium,BEL,1976,0.099916205
Belgium,BEL,1977,0.099386007
Belgium,BEL,1978,0.098683536
Belgium,BEL,1979,0.097681023
Belgium,BEL,1980,0.07728789
Belgium,BEL,1981,0.077087067
Belgium,BEL,1982,0.076905102
Belgium,BEL,1983,0.07701268
Belgium,BEL,1984,0.077318236
Belgium,BEL,1985,0.077498086
Belgium,BEL,1986,0.077571861
Belgium,BEL,1987,0.067678235
Belgium,BEL,1988,0.077461727
Belgium,BEL,1989,0.077180862
Belgium,BEL,1990,0.076850697
Belgium,BEL,1991,0.075965919
Belgium,BEL,1992,0.082825974
Belgium,BEL,1993,0.083395518
Belgium,BEL,1994,0.09292575
Belgium,BEL,1995,0.086220413
Belgium,BEL,1996,0.084870614
Belgium,BEL,1997,0.085451238
Belgium,BEL,1998,0.085563004
Belgium,BEL,1999,0.085367128
Belgium,BEL,2000,0.084087305
Belgium,BEL,2001,0.082145944
Belgium,BEL,2002,0.080520399
Belgium,BEL,2003,0.08047314
Belgium,BEL,2004,0.08060541
Belgium,BEL,2005,0.080449551
Belgium,BEL,2006,0.079825878
Belgium,BEL,2007,0.078959502
Belgium,BEL,2008,0.078805052
Belgium,BEL,2009,0.077803046
Belgium,BEL,2010,0.076544762
Belgium,BEL,2011,0.074740015
Belgium,BEL,2012,0.072297193
Belgium,BEL,2013,0.073122166
Belgium,BEL,2014,0.072887488
Belgium,BEL,2015,0.073575094
Belgium,BEL,2016,0.074959703
Belgium,BEL,2017,0.073493488
Belgium,BEL,2018,0.074384876
Bulgaria,BGR,1961,0.535306156
Bulgaria,BGR,1962,0.5184111
Bulgaria,BGR,1963,0.512246311
Bulgaria,BGR,1964,0.513239861
Bulgaria,BGR,1965,0.507912576
Bulgaria,BGR,1966,0.504477024
Bulgaria,BGR,1967,0.498903394
Bulgaria,BGR,1968,0.49631983
Bulgaria,BGR,1969,0.492994457
Bulgaria,BGR,1970,0.487892568
Bulgaria,BGR,1971,0.484045088
Bulgaria,BGR,1972,0.481332064
Bulgaria,BGR,1973,0.477904618
Bulgaria,BGR,1974,0.472188085
Bulgaria,BGR,1975,0.453745782
Bulgaria,BGR,1976,0.449843645
Bulgaria,BGR,1977,0.447173804
Bulgaria,BGR,1978,0.445426106
Bulgaria,BGR,1979,0.441539377
Bulgaria,BGR,1980,0.431866497
Bulgaria,BGR,1981,0.430092186
Bulgaria,BGR,1982,0.428148955
Bulgaria,BGR,1983,0.426410705
Bulgaria,BGR,1984,0.424856186
Bulgaria,BGR,1985,0.425197244
Bulgaria,BGR,1986,0.426314712
Bulgaria,BGR,1987,0.426356822
Bulgaria,BGR,1988,0.427548081
Bulgaria,BGR,1989,0.433481157
Bulgaria,BGR,1990,0.442288607
Bulgaria,BGR,1991,0.44761768
Bulgaria,BGR,1992,0.473878473
Bulgaria,BGR,1993,0.479562074
Bulgaria,BGR,1994,0.473850518
Bulgaria,BGR,1995,0.475608855
Bulgaria,BGR,1996,0.502581298
Bulgaria,BGR,1997,0.517079532
Bulgaria,BGR,1998,0.4282538
Bulgaria,BGR,1999,0.43577686
Bulgaria,BGR,2000,0.431569874
Bulgaria,BGR,2001,0.432880312
Bulgaria,BGR,2002,0.428088695
Bulgaria,BGR,2003,0.427377522
Bulgaria,BGR,2004,0.42931971
Bulgaria,BGR,2005,0.414285362
Bulgaria,BGR,2006,0.41204986
Bulgaria,BGR,2007,0.408861727
Bulgaria,BGR,2008,0.412142128
Bulgaria,BGR,2009,0.42259711
Bulgaria,BGR,2010,0.430796742
Bulgaria,BGR,2011,0.442277491
Bulgaria,BGR,2012,0.454017371
Bulgaria,BGR,2013,0.478863716
Bulgaria,BGR,2014,0.482562274
Bulgaria,BGR,2015,0.488952965
Bulgaria,BGR,2016,0.490472406
Bulgaria,BGR,2017,0.493090183
Bulgaria,BGR,2018,0.495086372
Croatia,HRV,1992,0.264870673
Croatia,HRV,1993,0.230846331
Croatia,HRV,1994,0.237316057
Croatia,HRV,1995,0.241773322
Croatia,HRV,1996,0.216365814
Croatia,HRV,1997,0.216762364
Croatia,HRV,1998,0.2402841
Croatia,HRV,1999,0.236670807
Croatia,HRV,2000,0.188438475
Croatia,HRV,2001,0.198388606
Croatia,HRV,2002,0.199434057
Croatia,HRV,2003,0.200771526
Croatia,HRV,2004,0.196766257
Croatia,HRV,2005,0.20254539
Croatia,HRV,2006,0.204353407
Croatia,HRV,2007,0.197669864
Croatia,HRV,2008,0.199712038
Croatia,HRV,2009,0.201687217
Croatia,HRV,2010,0.210549504
Croatia,HRV,2011,0.2094789
Croatia,HRV,2012,0.212393135
Croatia,HRV,2013,0.205936104
Croatia,HRV,2014,0.191794574
Croatia,HRV,2015,0.200708732
Croatia,HRV,2016,0.209373966
Croatia,HRV,2017,0.198083133
Croatia,HRV,2018,0.19668074
Cyprus,CYP,1961,0.570782185
Cyprus,CYP,1962,0.566041648
Cyprus,CYP,1963,0.562363505
Cyprus,CYP,1964,0.558217049
Cyprus,CYP,1965,0.554243565
Cyprus,CYP,1966,0.546716034
Cyprus,CYP,1967,0.537797153
Cyprus,CYP,1968,0.527991056
Cyprus,CYP,1969,0.518048406
Cyprus,CYP,1970,0.510089338
Cyprus,CYP,1971,0.50091809
Cyprus,CYP,1972,0.492036641
Cyprus,CYP,1973,0.483384639
Cyprus,CYP,1974,0.330052525
Cyprus,CYP,1975,0.179144993
Cyprus,CYP,1976,0.173377708
Cyprus,CYP,1977,0.168289199
Cyprus,CYP,1978,0.163385823
Cyprus,CYP,1979,0.158821195
Cyprus,CYP,1980,0.156403199
Cyprus,CYP,1981,0.160192698
Cyprus,CYP,1982,0.166253209
Cyprus,CYP,1983,0.167128667
Cyprus,CYP,1984,0.164823741
Cyprus,CYP,1985,0.146086231
Cyprus,CYP,1986,0.144875661
Cyprus,CYP,1987,0.142939299
Cyprus,CYP,1988,0.140398324
Cyprus,CYP,1989,0.139006689
Cyprus,CYP,1990,0.137748227
Cyprus,CYP,1991,0.135611221
Cyprus,CYP,1992,0.134397522
Cyprus,CYP,1993,0.132763356
Cyprus,CYP,1994,0.118742712
Cyprus,CYP,1995,0.115853451
Cyprus,CYP,1996,0.113346748
Cyprus,CYP,1997,0.110077538
Cyprus,CYP,1998,0.110156156
Cyprus,CYP,1999,0.109173492
Cyprus,CYP,2000,0.104315966
Cyprus,CYP,2001,0.102054209
Cyprus,CYP,2002,0.102357499
Cyprus,CYP,2003,0.112725727
Cyprus,CYP,2004,0.111835793
Cyprus,CYP,2005,0.11968974
Cyprus,CYP,2006,0.109994374
Cyprus,CYP,2007,0.103223816
Cyprus,CYP,2008,0.076185688
Cyprus,CYP,2009,0.079137482
Cyprus,CYP,2010,0.074239381
Cyprus,CYP,2011,0.07467749
Cyprus,CYP,2012,0.075591654
Cyprus,CYP,2013,0.069702223
Cyprus,CYP,2014,0.069582753
Cyprus,CYP,2015,0.084738247
Cyprus,CYP,2016,0.069732323
Cyprus,CYP,2017,0.079962023
Cyprus,CYP,2018,0.087453395
Czechia,CZE,1993,0.322560191
Czechia,CZE,1994,0.320992112
Czechia,CZE,1995,0.319639683
Czechia,CZE,1996,0.315746367
Czechia,CZE,1997,0.315407485
Czechia,CZE,1998,0.316774994
Czechia,CZE,1999,0.316612631
Czechia,CZE,2000,0.316234052
Czechia,CZE,2001,0.316739261
Czechia,CZE,2002,0.316664368
Czechia,CZE,2003,0.316166431
Czechia,CZE,2004,0.315383762
Czechia,CZE,2005,0.314262271
Czechia,CZE,2006,0.312728763
Czechia,CZE,2007,0.31022948
Czechia,CZE,2008,0.306992948
Czechia,CZE,2009,0.304482907
Czechia,CZE,2010,0.302737802
Czechia,CZE,2011,0.301445633
Czechia,CZE,2012,0.300358146
Czechia,CZE,2013,0.237867162
Czechia,CZE,2014,0.236476764
Czechia,CZE,2015,0.236107156
Czechia,CZE,2016,0.235748798
Czechia,CZE,2017,0.235595316
Czechia,CZE,2018,0.233679846
Denmark,DNK,1961,0.60867095
Denmark,DNK,1962,0.596635759
Denmark,DNK,1963,0.585763693
Denmark,DNK,1964,0.577288926
Denmark,DNK,1965,0.565873742
Denmark,DNK,1966,0.55988884
Denmark,DNK,1967,0.555285096
Denmark,DNK,1968,0.553764582
Denmark,DNK,1969,0.547440052
Denmark,DNK,1970,0.539892733
Denmark,DNK,1971,0.533333242
Denmark,DNK,1972,0.531092644
