Entity,Code,Year,Land under perm. meadows and pastures | 00006655 || Share in Land area | 007209 || percent
Austria,AUT,1961,21.83
Austria,AUT,1962,21.63
Austria,AUT,1963,21.43
Austria,AUT,1964,21.24
Austria,AUT,1965,21.04
Austria,AUT,1966,20.84
Austria,AUT,1967,20.65
Austria,AUT,1968,20.45
Austria,AUT,1969,20.25
Austria,AUT,1970,20.05
Austria,AUT,1971,19.87
Austria,AUT,1972,19.69
Austria,AUT,1973,19.51
Austria,AUT,1974,19.33
Austria,AUT,1975,19.15
Austria,AUT,1976,18.97
Austria,AUT,1977,18.79
Austria,AUT,1978,18.61
Austria,AUT,1979,18.43
Austria,AUT,1980,18.25
Austria,AUT,1981,18.27
Austria,AUT,1982,18.28
Austria,AUT,1983,18.3
Austria,AUT,1984,18.31
Austria,AUT,1985,18.33
Austria,AUT,1986,18.34
Austria,AUT,1987,18.36
Austria,AUT,1988,18.37
Austria,AUT,1989,18.39
Austria,AUT,1990,18.41
Austria,AUT,1991,18.33
Austria,AUT,1992,18.26
Austria,AUT,1993,18.19
Austria,AUT,1994,18.12
Austria,AUT,1995,18.05
Austria,AUT,1996,18.02
Austria,AUT,1997,18
Austria,AUT,1998,17.98
Austria,AUT,1999,17.96
Austria,AUT,2000,17.82
Austria,AUT,2001,17.67
Austria,AUT,2002,17.53
Austria,AUT,2003,17.38
Austria,AUT,2004,17.23
Austria,AUT,2005,17.09
Austria,AUT,2006,16.94
Austria,AUT,2007,16.8
Austria,AUT,2008,16.65
Austria,AUT,2009,16.51
Austria,AUT,2010,16.36
Austria,AUT,2011,16.15
Austria,AUT,2012,15.93
Austria,AUT,2013,15.72
Austria,AUT,2014,15.72
Austria,AUT,2015,15.84
Austria,AUT,2016,15.25
Austria,AUT,2017,15.25
Austria,AUT,2018,15.25
Austria,AUT,2019,15.25
Austria,AUT,2020,15.25
Belgium,BEL,2000,16.74
Belgium,BEL,2001,17.21
Belgium,BEL,2002,17.7
Belgium,BEL,2003,17.7
Belgium,BEL,2004,17.5
Belgium,BEL,2005,17.14
Belgium,BEL,2006,17.07
Belgium,BEL,2007,16.74
Belgium,BEL,2008,16.51
Belgium,BEL,2009,16.58
Belgium,BEL,2010,16.51
Belgium,BEL,2011,16.15
Belgium,BEL,2012,16.74
Belgium,BEL,2013,16.45
Belgium,BEL,2014,16.25
Belgium,BEL,2015,15.72
Belgium,BEL,2016,15.8
Belgium,BEL,2017,15.46
Belgium,BEL,2018,15.85
Belgium,BEL,2019,15.7
Belgium,BEL,2020,15.72
Bulgaria,BGR,1961,9.53
Bulgaria,BGR,1962,10.37
Bulgaria,BGR,1963,10.5
Bulgaria,BGR,1964,10.83
Bulgaria,BGR,1965,11.12
Bulgaria,BGR,1966,11.19
Bulgaria,BGR,1967,11.83
Bulgaria,BGR,1968,11.96
Bulgaria,BGR,1969,13.26
Bulgaria,BGR,1970,13.41
Bulgaria,BGR,1971,13.5
Bulgaria,BGR,1972,13.67
Bulgaria,BGR,1973,13.38
Bulgaria,BGR,1974,14.01
Bulgaria,BGR,1975,14.57
Bulgaria,BGR,1976,16.91
Bulgaria,BGR,1977,17.11
Bulgaria,BGR,1978,17.38
Bulgaria,BGR,1979,17.64
Bulgaria,BGR,1980,18.11
Bulgaria,BGR,1981,18.2
Bulgaria,BGR,1982,18.37
Bulgaria,BGR,1983,18.4
Bulgaria,BGR,1984,18.41
Bulgaria,BGR,1985,18.39
Bulgaria,BGR,1986,18.38
Bulgaria,BGR,1987,18.39
Bulgaria,BGR,1988,18.28
Bulgaria,BGR,1989,18.28
Bulgaria,BGR,1990,18.11
Bulgaria,BGR,1991,18.07
Bulgaria,BGR,1992,16.49
Bulgaria,BGR,1993,16.37
Bulgaria,BGR,1994,17.55
Bulgaria,BGR,1995,17.73
Bulgaria,BGR,1996,15.93
Bulgaria,BGR,1997,15.42
Bulgaria,BGR,1998,16.53
Bulgaria,BGR,1999,16.45
Bulgaria,BGR,2000,16.31
Bulgaria,BGR,2001,16.14
Bulgaria,BGR,2002,16.01
Bulgaria,BGR,2003,16.45
Bulgaria,BGR,2004,16.61
Bulgaria,BGR,2005,17.53
Bulgaria,BGR,2006,17.27
Bulgaria,BGR,2007,16.96
Bulgaria,BGR,2008,16.84
Bulgaria,BGR,2009,15.83
Bulgaria,BGR,2010,15.68
Bulgaria,BGR,2011,15.46
Bulgaria,BGR,2012,15.17
Bulgaria,BGR,2013,12.72
Bulgaria,BGR,2014,12.56
Bulgaria,BGR,2015,12.61
Bulgaria,BGR,2016,12.75
Bulgaria,BGR,2017,12.83
Bulgaria,BGR,2018,12.89
Bulgaria,BGR,2019,12.97
Bulgaria,BGR,2020,12.93
Croatia,HRV,1992,19.3
Croatia,HRV,1993,19.55
Croatia,HRV,1994,19.51
Croatia,HRV,1995,19.66
Croatia,HRV,1996,14.72
Croatia,HRV,1997,14.88
Croatia,HRV,1998,14.85
Croatia,HRV,1999,14.93
Croatia,HRV,2000,4.61
Croatia,HRV,2001,4.56
Croatia,HRV,2002,4.52
Croatia,HRV,2003,4.66
Croatia,HRV,2004,4.63
Croatia,HRV,2005,4.74
Croatia,HRV,2006,4.88
Croatia,HRV,2007,4.82
Croatia,HRV,2008,6.12
Croatia,HRV,2009,6.13
Croatia,HRV,2010,6.17
Croatia,HRV,2011,6.19
Croatia,HRV,2012,6.18
Croatia,HRV,2013,11.04
Croatia,HRV,2014,11.04
Croatia,HRV,2015,11.04
Croatia,HRV,2016,10.72
Croatia,HRV,2017,10.86
Croatia,HRV,2018,10.86
Croatia,HRV,2019,10.85
Croatia,HRV,2020,9.6
Cyprus,CYP,1961,0.54
Cyprus,CYP,1962,0.54
Cyprus,CYP,1963,0.54
Cyprus,CYP,1964,0.54
Cyprus,CYP,1965,0.54
Cyprus,CYP,1966,0.54
Cyprus,CYP,1967,0.54
Cyprus,CYP,1968,0.54
Cyprus,CYP,1969,0.54
Cyprus,CYP,1970,0.54
Cyprus,CYP,1971,0.54
Cyprus,CYP,1972,0.54
Cyprus,CYP,1973,0.58
Cyprus,CYP,1974,0.43
Cyprus,CYP,1975,0.35
Cyprus,CYP,1976,0.37
Cyprus,CYP,1977,0.39
Cyprus,CYP,1978,0.41
Cyprus,CYP,1979,0.43
Cyprus,CYP,1980,0.43
Cyprus,CYP,1981,0.43
Cyprus,CYP,1982,0.43
Cyprus,CYP,1983,0.43
Cyprus,CYP,1984,0.43
Cyprus,CYP,1985,0.54
Cyprus,CYP,1986,0.54
Cyprus,CYP,1987,0.54
Cyprus,CYP,1988,0.54
Cyprus,CYP,1989,0.54
Cyprus,CYP,1990,0.43
Cyprus,CYP,1991,0.43
Cyprus,CYP,1992,0.43
Cyprus,CYP,1993,0.43
Cyprus,CYP,1994,0.22
Cyprus,CYP,1995,0.22
Cyprus,CYP,1996,0.13
Cyprus,CYP,1997,0.12
Cyprus,CYP,1998,0.12
Cyprus,CYP,1999,0.12
Cyprus,CYP,2000,0.12
Cyprus,CYP,2001,0.11
Cyprus,CYP,2002,0.11
Cyprus,CYP,2003,0.11
Cyprus,CYP,2004,0.11
Cyprus,CYP,2005,0.11
Cyprus,CYP,2006,0.11
Cyprus,CYP,2007,0.21
Cyprus,CYP,2008,0.15
Cyprus,CYP,2009,0.47
Cyprus,CYP,2010,0.22
Cyprus,CYP,2011,0.26
Cyprus,CYP,2012,0.28
Cyprus,CYP,2013,0.19
Cyprus,CYP,2014,0.19
Cyprus,CYP,2015,0.21
Cyprus,CYP,2016,0.15
Cyprus,CYP,2017,0.18
Cyprus,CYP,2018,0.17
Cyprus,CYP,2019,0.17
Cyprus,CYP,2020,0.24
Czechia,CZE,1993,11.3
Czechia,CZE,1994,11.52
Czechia,CZE,1995,11.67
Czechia,CZE,1996,12.24
Czechia,CZE,1997,12.33
Czechia,CZE,1998,12.26
Czechia,CZE,1999,12.29
Czechia,CZE,2000,12.44
Czechia,CZE,2001,12.5
Czechia,CZE,2002,10.86
Czechia,CZE,2003,11.32
Czechia,CZE,2004,11.11
Czechia,CZE,2005,11.04
Czechia,CZE,2006,11.51
Czechia,CZE,2007,12.07
Czechia,CZE,2008,12.08
Czechia,CZE,2009,11.98
Czechia,CZE,2010,12.12
Czechia,CZE,2011,12.19
Czechia,CZE,2012,12.53
Czechia,CZE,2013,12.61
Czechia,CZE,2014,12.7
