Entity,Code,Year,4_1_civlibs_score_fh
Austria,AUT,2005,58
Austria,AUT,2006,58
Austria,AUT,2007,58
Austria,AUT,2008,58
Austria,AUT,2009,58
Austria,AUT,2010,58
Austria,AUT,2011,58
Austria,AUT,2012,58
Austria,AUT,2013,58
Austria,AUT,2014,58
Austria,AUT,2015,58
Austria,AUT,2016,58
Austria,AUT,2017,57
Austria,AUT,2018,56
Austria,AUT,2019,56
Austria,AUT,2020,56
Austria,AUT,2021,56
Belgium,BEL,2005,58
Belgium,BEL,2006,58
Belgium,BEL,2007,58
Belgium,BEL,2008,58
Belgium,BEL,2009,58
Belgium,BEL,2010,58
Belgium,BEL,2011,58
Belgium,BEL,2012,57
Belgium,BEL,2013,57
Belgium,BEL,2014,57
Belgium,BEL,2015,56
Belgium,BEL,2016,55
Belgium,BEL,2017,56
Belgium,BEL,2018,57
Belgium,BEL,2019,57
Belgium,BEL,2020,57
Belgium,BEL,2021,57
Bulgaria,BGR,2005,51
Bulgaria,BGR,2006,49
Bulgaria,BGR,2007,49
Bulgaria,BGR,2008,47
Bulgaria,BGR,2009,47
Bulgaria,BGR,2010,47
Bulgaria,BGR,2011,47
Bulgaria,BGR,2012,47
Bulgaria,BGR,2013,47
Bulgaria,BGR,2014,46
Bulgaria,BGR,2015,47
Bulgaria,BGR,2016,47
Bulgaria,BGR,2017,47
Bulgaria,BGR,2018,47
Bulgaria,BGR,2019,46
Bulgaria,BGR,2020,45
Bulgaria,BGR,2021,46
Croatia,HRV,2005,49
Croatia,HRV,2006,50
Croatia,HRV,2007,50
Croatia,HRV,2008,49
Croatia,HRV,2009,50
Croatia,HRV,2010,50
Croatia,HRV,2011,50
Croatia,HRV,2012,50
Croatia,HRV,2013,50
Croatia,HRV,2014,50
Croatia,HRV,2015,50
Croatia,HRV,2016,50
Croatia,HRV,2017,49
Croatia,HRV,2018,49
Croatia,HRV,2019,49
Croatia,HRV,2020,49
Croatia,HRV,2021,49
Cyprus,CYP,2005,57
Cyprus,CYP,2006,57
Cyprus,CYP,2007,57
Cyprus,CYP,2008,57
Cyprus,CYP,2009,56
Cyprus,CYP,2010,56
Cyprus,CYP,2011,55
Cyprus,CYP,2012,55
Cyprus,CYP,2013,55
Cyprus,CYP,2014,56
Cyprus,CYP,2015,56
Cyprus,CYP,2016,56
Cyprus,CYP,2017,56
Cyprus,CYP,2018,56
Cyprus,CYP,2019,56
Cyprus,CYP,2020,56
Cyprus,CYP,2021,55
Czechia,CZE,2005,55
Czechia,CZE,2006,57
Czechia,CZE,2007,57
Czechia,CZE,2008,57
Czechia,CZE,2009,57
Czechia,CZE,2010,57
Czechia,CZE,2011,57
Czechia,CZE,2012,57
Czechia,CZE,2013,57
Czechia,CZE,2014,57
Czechia,CZE,2015,57
Czechia,CZE,2016,56
Czechia,CZE,2017,56
Czechia,CZE,2018,55
Czechia,CZE,2019,55
Czechia,CZE,2020,55
Czechia,CZE,2021,55
Denmark,DNK,2005,58
Denmark,DNK,2006,58
Denmark,DNK,2007,58
Denmark,DNK,2008,57
Denmark,DNK,2009,56
Denmark,DNK,2010,57
Denmark,DNK,2011,58
Denmark,DNK,2012,58
Denmark,DNK,2013,58
Denmark,DNK,2014,58
Denmark,DNK,2015,58
Denmark,DNK,2016,57
Denmark,DNK,2017,57
Denmark,DNK,2018,57
Denmark,DNK,2019,57
Denmark,DNK,2020,57
Denmark,DNK,2021,57
Estonia,EST,2005,56
Estonia,EST,2006,56
Estonia,EST,2007,56
Estonia,EST,2008,56
Estonia,EST,2009,56
Estonia,EST,2010,56
Estonia,EST,2011,56
Estonia,EST,2012,56
Estonia,EST,2013,56
Estonia,EST,2014,56
Estonia,EST,2015,56
Estonia,EST,2016,56
Estonia,EST,2017,56
Estonia,EST,2018,56
Estonia,EST,2019,56
Estonia,EST,2020,56
Estonia,EST,2021,56
Finland,FIN,2005,60
Finland,FIN,2006,60
Finland,FIN,2007,60
Finland,FIN,2008,60
Finland,FIN,2009,60
Finland,FIN,2010,60
Finland,FIN,2011,60
Finland,FIN,2012,60
Finland,FIN,2013,60
Finland,FIN,2014,60
Finland,FIN,2015,60
Finland,FIN,2016,60
Finland,FIN,2017,60
Finland,FIN,2018,60
Finland,FIN,2019,60
Finland,FIN,2020,60
Finland,FIN,2021,60
France,FRA,2005,55
France,FRA,2006,56
France,FRA,2007,55
France,FRA,2008,58
France,FRA,2009,58
France,FRA,2010,57
France,FRA,2011,57
France,FRA,2012,57
France,FRA,2013,57
France,FRA,2014,57
France,FRA,2015,53
France,FRA,2016,52
France,FRA,2017,52
France,FRA,2018,52
France,FRA,2019,52
France,FRA,2020,52
France,FRA,2021,51
Germany,DEU,2005,58
Germany,DEU,2006,57
Germany,DEU,2007,57
Germany,DEU,2008,57
Germany,DEU,2009,57
Germany,DEU,2010,57
Germany,DEU,2011,57
Germany,DEU,2012,57
Germany,DEU,2013,57
Germany,DEU,2014,57
Germany,DEU,2015,56
Germany,DEU,2016,56
Germany,DEU,2017,55
Germany,DEU,2018,55
Germany,DEU,2019,55
Germany,DEU,2020,55
Germany,DEU,2021,55
Greece,GRC,2005,51
Greece,GRC,2006,52
Greece,GRC,2007,52
Greece,GRC,2008,51
Greece,GRC,2009,50
Greece,GRC,2010,50
Greece,GRC,2011,50
Greece,GRC,2012,48
Greece,GRC,2013,48
Greece,GRC,2014,48
Greece,GRC,2015,48
Greece,GRC,2016,49
Greece,GRC,2017,50
Greece,GRC,2018,51
Greece,GRC,2019,51
Greece,GRC,2020,50
Greece,GRC,2021,50
