Entity,Code,Year,Gini_index
Austria,AUT,1987,0.230444933
Austria,AUT,1994,0.313223423
Austria,AUT,1995,0.310592689
Austria,AUT,1997,0.302298534
Austria,AUT,2000,0.288371061
Austria,AUT,2003,0.294660779
Austria,AUT,2004,0.297889898
Austria,AUT,2005,0.287154333
Austria,AUT,2006,0.295875829
Austria,AUT,2007,0.305799959
Austria,AUT,2008,0.304373858
Austria,AUT,2009,0.314962324
Austria,AUT,2010,0.302522631
Austria,AUT,2011,0.308016687
Austria,AUT,2012,0.304763178
Austria,AUT,2013,0.307531331
Austria,AUT,2014,0.305356828
Austria,AUT,2015,0.30532775
Austria,AUT,2016,0.30797074
Austria,AUT,2017,0.29737585
Austria,AUT,2018,0.308487901
Austria,AUT,2019,0.302115515
Belgium,BEL,1985,0.252038515
Belgium,BEL,1988,0.25714683
Belgium,BEL,1992,0.249518773
Belgium,BEL,1995,0.284122689
Belgium,BEL,1997,0.268325629
Belgium,BEL,2000,0.331375589
Belgium,BEL,2003,0.281439485
Belgium,BEL,2004,0.30541503
Belgium,BEL,2005,0.293373291
Belgium,BEL,2006,0.280544964
Belgium,BEL,2007,0.292379744
Belgium,BEL,2008,0.283740114
Belgium,BEL,2009,0.285513502
Belgium,BEL,2010,0.283751912
Belgium,BEL,2011,0.280606956
Belgium,BEL,2012,0.274910949
Belgium,BEL,2013,0.276692012
Belgium,BEL,2014,0.281341459
Belgium,BEL,2015,0.277294625
Belgium,BEL,2016,0.275809819
Belgium,BEL,2017,0.273879678
Belgium,BEL,2018,0.272144137
Belgium,BEL,2019,0.272198008
Bulgaria,BGR,1989,0.234271846
Bulgaria,BGR,1992,0.30714308
Bulgaria,BGR,1994,0.243219703
Bulgaria,BGR,1995,0.32772338
Bulgaria,BGR,1997,0.263782426
Bulgaria,BGR,2001,0.326821614
Bulgaria,BGR,2003,0.289179044
Bulgaria,BGR,2006,0.357025734
Bulgaria,BGR,2007,0.281363414
Bulgaria,BGR,2008,0.335731274
Bulgaria,BGR,2009,0.338231988
Bulgaria,BGR,2010,0.356535721
Bulgaria,BGR,2011,0.342786077
Bulgaria,BGR,2012,0.360139231
Bulgaria,BGR,2013,0.365736454
Bulgaria,BGR,2014,0.374185684
Bulgaria,BGR,2015,0.385673472
Bulgaria,BGR,2016,0.405910637
Bulgaria,BGR,2017,0.403790468
Bulgaria,BGR,2018,0.41284099
Bulgaria,BGR,2019,0.40271384
Croatia,HRV,1998,0.287483605
Croatia,HRV,1999,0.277069422
Croatia,HRV,2000,0.313256437
Croatia,HRV,2001,0.311021619
Croatia,HRV,2004,0.296774046
Croatia,HRV,2008,0.337087724
Croatia,HRV,2009,0.331833481
Croatia,HRV,2010,0.273541012
Croatia,HRV,2011,0.322574343
Croatia,HRV,2012,0.324751504
Croatia,HRV,2013,0.319954852
Croatia,HRV,2014,0.321071489
Croatia,HRV,2015,0.311153148
Croatia,HRV,2016,0.308997256
Croatia,HRV,2017,0.303545759
Croatia,HRV,2018,0.297294736
Croatia,HRV,2019,0.289090897
Cyprus,CYP,2004,0.300894008
Cyprus,CYP,2005,0.302594562
Cyprus,CYP,2006,0.311259618
Cyprus,CYP,2007,0.311132723
Cyprus,CYP,2008,0.317086618
Cyprus,CYP,2009,0.321088469
Cyprus,CYP,2010,0.314579286
Cyprus,CYP,2011,0.326255244
Cyprus,CYP,2012,0.343124334
Cyprus,CYP,2013,0.370419929
Cyprus,CYP,2014,0.35565653
Cyprus,CYP,2015,0.33966378
Cyprus,CYP,2016,0.328917954
Cyprus,CYP,2017,0.31416234
Cyprus,CYP,2018,0.32739861
Cyprus,CYP,2019,0.312242271
Czechia,CZE,1992,0.207032835
Czechia,CZE,1993,0.266047934
Czechia,CZE,1996,0.257990097
Czechia,CZE,2002,0.265550951
Czechia,CZE,2004,0.2753318
Czechia,CZE,2005,0.269460429
Czechia,CZE,2006,0.267441556
Czechia,CZE,2007,0.259986894
Czechia,CZE,2008,0.262802722
Czechia,CZE,2009,0.261566746
Czechia,CZE,2010,0.266235138
Czechia,CZE,2011,0.263813431
Czechia,CZE,2012,0.261100175
Czechia,CZE,2013,0.264739033
Czechia,CZE,2014,0.259232209
Czechia,CZE,2015,0.25867433
Czechia,CZE,2016,0.254063329
Czechia,CZE,2017,0.248522097
Czechia,CZE,2018,0.249903408
Czechia,CZE,2019,0.252621969
Denmark,DNK,1987,0.262350397
Denmark,DNK,1992,0.246938104
Denmark,DNK,1995,0.229558964
Denmark,DNK,2000,0.237663197
Denmark,DNK,2003,0.256316711
Denmark,DNK,2004,0.249127965
Denmark,DNK,2005,0.251868891
Denmark,DNK,2006,0.25913077
Denmark,DNK,2007,0.26184259
Denmark,DNK,2008,0.252465008
Denmark,DNK,2009,0.267015601
Denmark,DNK,2010,0.271985592
Denmark,DNK,2011,0.273117461
Denmark,DNK,2012,0.277907505
Denmark,DNK,2013,0.285437629
Denmark,DNK,2014,0.283528792
Denmark,DNK,2015,0.281774465
Denmark,DNK,2016,0.281874407
Denmark,DNK,2017,0.287466614
Denmark,DNK,2018,0.281663362
Denmark,DNK,2019,0.277236462
Estonia,EST,1993,0.395034482
Estonia,EST,1995,0.300647959
Estonia,EST,1998,0.376430764
Estonia,EST,2000,0.357843981
Estonia,EST,2001,0.360124548
Estonia,EST,2002,0.357915744
Estonia,EST,2003,0.349096243
Estonia,EST,2004,0.353781887
Estonia,EST,2005,0.334489426
Estonia,EST,2006,0.336710717
Estonia,EST,2007,0.311801582
Estonia,EST,2008,0.319170781
