Entity,Code,Year,3_1_Renewables_electricity
Austria,AUT,1990,32.64
Austria,AUT,1991,32.65
Austria,AUT,1992,36.16
Austria,AUT,1993,38.05
Austria,AUT,1994,36.9
Austria,AUT,1995,38.91
Austria,AUT,1996,35.79
Austria,AUT,1997,37.82
Austria,AUT,1998,39.03
Austria,AUT,1999,42.35
Austria,AUT,2000,43.44
Austria,AUT,2001,42.24
Austria,AUT,2002,41.9
Austria,AUT,2003,35.24
Austria,AUT,2004,39.62
Austria,AUT,2005,40.88
Austria,AUT,2006,40.66
Austria,AUT,2007,43.17
Austria,AUT,2008,44.53
Austria,AUT,2009,47.18
Austria,AUT,2010,44.99
Austria,AUT,2011,40.91
Austria,AUT,2012,51.33
Austria,AUT,2013,50.5
Austria,AUT,2014,50.2
Austria,AUT,2015,47.59
Austria,AUT,2016,51.08
Austria,AUT,2017,51.05
Austria,AUT,2018,50.06
Austria,AUT,2019,54.64
Austria,AUT,2020,55.42
Austria,AUT,2021,52.75
Austria,AUT,2022,50.15
Austria,AUT,2023,56.57
Belgium,BEL,1990,0.56
Belgium,BEL,1991,0.54
Belgium,BEL,1992,0.62
Belgium,BEL,1993,0.51
Belgium,BEL,1994,0.61
Belgium,BEL,1995,0.67
Belgium,BEL,1996,0.56
Belgium,BEL,1997,0.6
Belgium,BEL,1998,0.76
Belgium,BEL,1999,0.85
Belgium,BEL,2000,1.05
Belgium,BEL,2001,1.08
Belgium,BEL,2002,1.14
Belgium,BEL,2003,1.2
Belgium,BEL,2004,1.5
Belgium,BEL,2005,2.11
Belgium,BEL,2006,2.96
Belgium,BEL,2007,3.49
Belgium,BEL,2008,4.42
Belgium,BEL,2009,5.44
Belgium,BEL,2010,6.54
Belgium,BEL,2011,8.31
Belgium,BEL,2012,10.51
Belgium,BEL,2013,11.72
Belgium,BEL,2014,12.21
Belgium,BEL,2015,14.45
Belgium,BEL,2016,14.25
Belgium,BEL,2017,15.8
Belgium,BEL,2018,17.17
Belgium,BEL,2019,19.46
Belgium,BEL,2020,23.45
Belgium,BEL,2021,22.73
Belgium,BEL,2022,24.25
Belgium,BEL,2023,27.24
Bulgaria,BGR,1990,1.63
Bulgaria,BGR,1991,2.27
Bulgaria,BGR,1992,1.9
Bulgaria,BGR,1993,1.79
Bulgaria,BGR,1994,1.3
Bulgaria,BGR,1995,2.17
Bulgaria,BGR,1996,2.89
Bulgaria,BGR,1997,2.72
Bulgaria,BGR,1998,3.07
Bulgaria,BGR,1999,2.73
Bulgaria,BGR,2000,2.63
Bulgaria,BGR,2001,1.65
Bulgaria,BGR,2002,2.12
Bulgaria,BGR,2003,2.99
Bulgaria,BGR,2004,3.14
Bulgaria,BGR,2005,4.3
Bulgaria,BGR,2006,4.23
Bulgaria,BGR,2007,2.88
Bulgaria,BGR,2008,2.93
Bulgaria,BGR,2009,3.68
Bulgaria,BGR,2010,5.76
Bulgaria,BGR,2011,3.89
Bulgaria,BGR,2012,5.25
Bulgaria,BGR,2013,6.91
Bulgaria,BGR,2014,7.39
Bulgaria,BGR,2015,8.75
Bulgaria,BGR,2016,7.04
Bulgaria,BGR,2017,6.13
Bulgaria,BGR,2018,9.38
Bulgaria,BGR,2019,7.49
Bulgaria,BGR,2020,7.47
Bulgaria,BGR,2021,10.31
Bulgaria,BGR,2022,9.57
Bulgaria,BGR,2023,10.36
Croatia,HRV,1990,3.93
Croatia,HRV,1991,5.54
Croatia,HRV,1992,4.36
Croatia,HRV,1993,4.57
Croatia,HRV,1994,5.44
