Entity,Code,Year,4_1_ExpSchoolYears
Austria,AUT,1990,13.93256
Austria,AUT,1991,14.12351
Austria,AUT,1992,14.42139
Austria,AUT,1993,14.62442
Austria,AUT,1994,14.75572
Austria,AUT,1995,14.87023
Austria,AUT,1996,14.92243
Austria,AUT,1997,15.00123
Austria,AUT,1998,15.13569
Austria,AUT,1999,15.197706
Austria,AUT,2000,15.259723
Austria,AUT,2001,15.32174
Austria,AUT,2002,15.383757
Austria,AUT,2003,15.445773
Austria,AUT,2004,15.50779
Austria,AUT,2005,15.569807
Austria,AUT,2006,15.631824
Austria,AUT,2007,15.69384
Austria,AUT,2008,15.77006
Austria,AUT,2009,15.758
Austria,AUT,2010,15.99389
Austria,AUT,2011,16.0272
Austria,AUT,2012,16.08506
Austria,AUT,2013,15.84849
Austria,AUT,2014,15.85573
Austria,AUT,2015,15.95141
Austria,AUT,2016,16.08119
Austria,AUT,2017,16.09207
Austria,AUT,2018,16.06675
Austria,AUT,2019,16.00796
Austria,AUT,2020,16.00796
Austria,AUT,2021,16.00796
Belgium,BEL,1990,14.03106
Belgium,BEL,1991,14.07165
Belgium,BEL,1992,15.307614
Belgium,BEL,1993,16.54358
Belgium,BEL,1994,16.85159
Belgium,BEL,1995,17.26286
Belgium,BEL,1996,17.59056
Belgium,BEL,1997,17.639038
Belgium,BEL,1998,17.687513
Belgium,BEL,1999,17.73599
Belgium,BEL,2000,17.92454
Belgium,BEL,2001,18.38311
Belgium,BEL,2002,18.42924
Belgium,BEL,2003,18.61226
Belgium,BEL,2004,18.3641
Belgium,BEL,2005,18.71476
Belgium,BEL,2006,18.94267
Belgium,BEL,2007,18.96905
Belgium,BEL,2008,18.99139
Belgium,BEL,2009,19.01243
Belgium,BEL,2010,19.07273
Belgium,BEL,2011,19.1281
Belgium,BEL,2012,19.22763
Belgium,BEL,2013,19.41551
Belgium,BEL,2014,19.69639
Belgium,BEL,2015,19.76292
Belgium,BEL,2016,19.69991
Belgium,BEL,2017,19.77438
Belgium,BEL,2018,19.56102
Belgium,BEL,2019,19.60422
Belgium,BEL,2020,19.60422
Belgium,BEL,2021,19.60422
Bulgaria,BGR,1990,12.01098
Bulgaria,BGR,1991,12.13146
