Entity,Code,Year,0_0_Fertilizer_kg_ha
Austria,AUT,1961,148.9088287
Austria,AUT,1962,172.6264191
Austria,AUT,1963,196.8623199
Austria,AUT,1964,209.0959625
Austria,AUT,1965,218.8433685
Austria,AUT,1966,134.2221527
Austria,AUT,1967,260.3475037
Austria,AUT,1968,227.0412292
Austria,AUT,1969,265.8952637
Austria,AUT,1970,257.1362
Austria,AUT,1971,277.2173767
Austria,AUT,1972,260.706543
Austria,AUT,1973,273.5726624
Austria,AUT,1974,223.5244446
Austria,AUT,1975,207.1230927
Austria,AUT,1976,244.4269714
Austria,AUT,1977,246.2230225
Austria,AUT,1978,253.6018066
Austria,AUT,1979,264.5436707
Austria,AUT,1980,265.169281
Austria,AUT,1981,254.8773346
Austria,AUT,1982,231.7667694
Austria,AUT,1983,266.6782532
Austria,AUT,1984,270.1038208
Austria,AUT,1985,268.2886658
Austria,AUT,1986,217.0951996
Austria,AUT,1987,207.6441956
Austria,AUT,1988,216.186554
Austria,AUT,1989,187.9369507
Austria,AUT,1990,212.6928406
Austria,AUT,1991,199.7923889
Austria,AUT,1992,185.9331512
Austria,AUT,1993,184.6370697
Austria,AUT,1994,175.6851654
Austria,AUT,1995,167.6096191
Austria,AUT,1996,187.9432678
Austria,AUT,1997,176.3869171
Austria,AUT,1998,175.9259186
Austria,AUT,1999,160.4850159
Austria,AUT,2000,154.568985
Austria,AUT,2001,156.9574585
Austria,AUT,2002,143.682312
Austria,AUT,2003,133.6550598
Austria,AUT,2004,131.3427124
Austria,AUT,2005,135.7159424
Austria,AUT,2006,130.6992493
Austria,AUT,2007,110.266716
Austria,AUT,2008,110.0452881
Austria,AUT,2009,83.40626526
Austria,AUT,2010,108.4873123
Austria,AUT,2011,103.3892288
Austria,AUT,2012,125.4519958
Austria,AUT,2013,135.6104584
Austria,AUT,2014,144.5557404
Austria,AUT,2015,144.7091522
Austria,AUT,2016,139.7206421
Austria,AUT,2017,134.8759155
Austria,AUT,2018,135.0578308
Belgium,BEL,1961,384.6156921
Belgium,BEL,1962,462.5159302
Belgium,BEL,1963,479.2407532
Belgium,BEL,1964,431.8657227
Belgium,BEL,1965,467.2469788
Belgium,BEL,1966,503.240448
Belgium,BEL,1967,533.4707031
Belgium,BEL,1968,485.5257874
Belgium,BEL,1969,540.4129639
Belgium,BEL,1970,524.1398315
Belgium,BEL,1971,521.5906982
Belgium,BEL,1972,539.5927124
Belgium,BEL,1973,561.6517944
Belgium,BEL,1974,531.0193481
Belgium,BEL,1975,459.2515259
Belgium,BEL,1976,470.1926575
Belgium,BEL,1977,464.1136169
Belgium,BEL,1978,484.6920776
Belgium,BEL,1979,462.3066406
Belgium,BEL,1980,587.1430664
Belgium,BEL,1981,547.3947144
Belgium,BEL,1982,559.3667603
Belgium,BEL,1983,594.2028809
Belgium,BEL,1984,547.5065918
Belgium,BEL,1985,556.4136353
Belgium,BEL,1986,556.2091675
Belgium,BEL,1987,624.1018066
Belgium,BEL,1988,541.0690918
Belgium,BEL,1989,523.4680786
Belgium,BEL,1990,501.305481
Belgium,BEL,1991,465.7894592
Belgium,BEL,1992,396.634613
Belgium,BEL,1993,381.6884766
