Entity,Code,Year,1_1_Forest_share
Austria,AUT,1990,45.75460494425594
Austria,AUT,1991,45.83030780416868
Austria,AUT,1992,45.906010664081435
Austria,AUT,1993,45.98171352399418
Austria,AUT,1994,46.05741638390693
Austria,AUT,1995,46.13311924381968
Austria,AUT,1996,46.20882210373243
Austria,AUT,1997,46.28452496364518
Austria,AUT,1998,46.36022782355792
Austria,AUT,1999,46.43593068347067
Austria,AUT,2000,46.51163354338342
Austria,AUT,2001,46.542001938923896
Austria,AUT,2002,46.572370334464374
Austria,AUT,2003,46.602738730004845
Austria,AUT,2004,46.63310712554532
Austria,AUT,2005,46.6634755210858
Austria,AUT,2006,46.69384391662627
Austria,AUT,2007,46.72421231216675
Austria,AUT,2008,46.75458070770722
Austria,AUT,2009,46.784949103247705
Austria,AUT,2010,46.815317498788175
Austria,AUT,2011,46.85891904992729
Austria,AUT,2012,46.902520601066406
Austria,AUT,2013,46.946122152205525
Austria,AUT,2014,46.989723703344644
Austria,AUT,2015,47.033325254483756
Austria,AUT,2016,47.076854095976735
Austria,AUT,2017,47.12038293746971
Austria,AUT,2018,47.16391177896268
Austria,AUT,2019,47.20744062045565
Austria,AUT,2020,47.25096946194862
Belgium,BEL,2000,22.037648612945837
Belgium,BEL,2001,22.112186261558787
Belgium,BEL,2002,22.18672391017173
Belgium,BEL,2003,22.26126155878468
Belgium,BEL,2004,22.33579920739762
Belgium,BEL,2005,22.410336856010566
Belgium,BEL,2006,22.484874504623516
Belgium,BEL,2007,22.559412153236458
Belgium,BEL,2008,22.63394980184941
Belgium,BEL,2009,22.708487450462354
Belgium,BEL,2010,22.783025099075296
Belgium,BEL,2011,22.779260237780715
Belgium,BEL,2012,22.775495376486127
Belgium,BEL,2013,22.771730515191546
Belgium,BEL,2014,22.767965653896958
Belgium,BEL,2015,22.764200792602377
Belgium,BEL,2016,22.764200792602377
Belgium,BEL,2017,22.764200792602377
Belgium,BEL,2018,22.764200792602377
Belgium,BEL,2019,22.764200792602377
Belgium,BEL,2020,22.764200792602377
Bulgaria,BGR,1990,30.646647015475313
Bulgaria,BGR,1991,30.690862196020635
Bulgaria,BGR,1992,30.735077376565954
Bulgaria,BGR,1993,30.779292557111276
Bulgaria,BGR,1994,30.82350773765659
Bulgaria,BGR,1995,30.867722918201917
Bulgaria,BGR,1996,30.91193809874724
Bulgaria,BGR,1997,30.956153279292558
Bulgaria,BGR,1998,31.00036845983788
Bulgaria,BGR,1999,31.044583640383195
Bulgaria,BGR,2000,31.08879882092852
Bulgaria,BGR,2001,31.42225497420781
Bulgaria,BGR,2002,31.755711127487107
Bulgaria,BGR,2003,32.0891672807664
Bulgaria,BGR,2004,32.42262343404569
Bulgaria,BGR,2005,32.75607958732498
Bulgaria,BGR,2006,33.08953574060427
Bulgaria,BGR,2007,33.42299189388357
Bulgaria,BGR,2008,33.756448047162856
Bulgaria,BGR,2009,34.089904200442156
Bulgaria,BGR,2010,34.42336035372144
Bulgaria,BGR,2011,34.600221075902724
