Entity,Code,Year,1_1_ForestArea
Austria,AUT,1990,3775670
Austria,AUT,1991,3781917
Austria,AUT,1992,3788164
Austria,AUT,1993,3794411
Austria,AUT,1994,3800658
Austria,AUT,1995,3806905
Austria,AUT,1996,3813152
Austria,AUT,1997,3819399
Austria,AUT,1998,3825646
Austria,AUT,1999,3831893
Austria,AUT,2000,3838140
Austria,AUT,2001,3840646
Austria,AUT,2002,3843152
Austria,AUT,2003,3845658
Austria,AUT,2004,3848164
Austria,AUT,2005,3850670
Austria,AUT,2006,3853176
Austria,AUT,2007,3855682
Austria,AUT,2008,3858188
Austria,AUT,2009,3860694
Austria,AUT,2010,3863200
Austria,AUT,2011,3866798
Austria,AUT,2012,3870396
Austria,AUT,2013,3873994
Austria,AUT,2014,3877592
Austria,AUT,2015,3881190
Austria,AUT,2016,3884782
Austria,AUT,2017,3888374
Austria,AUT,2018,3891966
Austria,AUT,2019,3895558
Austria,AUT,2020,3899150
Belgium,BEL,2000,667300
Belgium,BEL,2001,669557
Belgium,BEL,2002,671814
Belgium,BEL,2003,674071
Belgium,BEL,2004,676328
Belgium,BEL,2005,678585
Belgium,BEL,2006,680842
Belgium,BEL,2007,683099
Belgium,BEL,2008,685356
Belgium,BEL,2009,687613
Belgium,BEL,2010,689870
Belgium,BEL,2011,689756
Belgium,BEL,2012,689642
Belgium,BEL,2013,689528
Belgium,BEL,2014,689414
Belgium,BEL,2015,689300
Belgium,BEL,2016,689300
Belgium,BEL,2017,689300
Belgium,BEL,2018,689300
Belgium,BEL,2019,689300
Belgium,BEL,2020,689300
Bulgaria,BGR,1990,3327000
Bulgaria,BGR,1991,3331800
Bulgaria,BGR,1992,3336600
Bulgaria,BGR,1993,3341400
Bulgaria,BGR,1994,3346200
Bulgaria,BGR,1995,3351000
Bulgaria,BGR,1996,3355800
Bulgaria,BGR,1997,3360600
Bulgaria,BGR,1998,3365400
Bulgaria,BGR,1999,3370200
Bulgaria,BGR,2000,3375000
Bulgaria,BGR,2001,3411200
Bulgaria,BGR,2002,3447400
Bulgaria,BGR,2003,3483600
Bulgaria,BGR,2004,3519800
Bulgaria,BGR,2005,3556000
Bulgaria,BGR,2006,3592200
Bulgaria,BGR,2007,3628400
Bulgaria,BGR,2008,3664600
Bulgaria,BGR,2009,3700800
Bulgaria,BGR,2010,3737000
Bulgaria,BGR,2011,3756200
Bulgaria,BGR,2012,3775400
Bulgaria,BGR,2013,3794600
Bulgaria,BGR,2014,3813800
Bulgaria,BGR,2015,3833000
Bulgaria,BGR,2016,3845000
Bulgaria,BGR,2017,3857000
Bulgaria,BGR,2018,3869000
Bulgaria,BGR,2019,3881000
Bulgaria,BGR,2020,3893000
Croatia,HRV,1992,1857000
Croatia,HRV,1993,1860500
Croatia,HRV,1994,1864000
Croatia,HRV,1995,1867500
Croatia,HRV,1996,1871000
Croatia,HRV,1997,1874500
Croatia,HRV,1998,1878000
Croatia,HRV,1999,1881500
Croatia,HRV,2000,1885000
Croatia,HRV,2001,1888500
Croatia,HRV,2002,1892000
Croatia,HRV,2003,1895500
Croatia,HRV,2004,1899000
Croatia,HRV,2005,1902500
Croatia,HRV,2006,1906000
Croatia,HRV,2007,1909500
Croatia,HRV,2008,1913000
Croatia,HRV,2009,1916500
Croatia,HRV,2010,1920000
Croatia,HRV,2011,1920400
Croatia,HRV,2012,1920800
Croatia,HRV,2013,1921200
Croatia,HRV,2014,1921600
