Entity,Code,Year,freeassoc_vdem_owid,freeassoc_vdem_high_owid,freeassoc_vdem_low_owid
Austria,AUT,1789,0.064,0.123,0.039
Austria,AUT,1790,0.064,0.123,0.039
Austria,AUT,1791,0.064,0.123,0.039
Austria,AUT,1792,0.064,0.123,0.039
Austria,AUT,1793,0.048,0.086,0.024
Austria,AUT,1794,0.048,0.086,0.024
Austria,AUT,1795,0.048,0.086,0.024
Austria,AUT,1796,0.048,0.086,0.024
Austria,AUT,1797,0.048,0.086,0.024
Austria,AUT,1798,0.048,0.086,0.024
Austria,AUT,1799,0.048,0.086,0.024
Austria,AUT,1800,0.048,0.086,0.024
Austria,AUT,1801,0.048,0.086,0.024
Austria,AUT,1802,0.048,0.086,0.024
Austria,AUT,1803,0.048,0.086,0.024
Austria,AUT,1804,0.048,0.086,0.024
Austria,AUT,1805,0.048,0.086,0.024
Austria,AUT,1806,0.048,0.086,0.024
Austria,AUT,1807,0.048,0.086,0.024
Austria,AUT,1808,0.048,0.086,0.024
Austria,AUT,1809,0.048,0.086,0.024
Austria,AUT,1810,0.048,0.086,0.024
Austria,AUT,1811,0.048,0.086,0.024
Austria,AUT,1812,0.048,0.086,0.024
Austria,AUT,1813,0.048,0.086,0.024
Austria,AUT,1814,0.048,0.086,0.024
Austria,AUT,1815,0.048,0.086,0.024
Austria,AUT,1816,0.048,0.086,0.024
Austria,AUT,1817,0.048,0.086,0.024
Austria,AUT,1818,0.048,0.086,0.024
Austria,AUT,1819,0.048,0.086,0.024
Austria,AUT,1820,0.048,0.086,0.024
Austria,AUT,1821,0.048,0.086,0.024
Austria,AUT,1822,0.048,0.086,0.024
Austria,AUT,1823,0.048,0.086,0.024
Austria,AUT,1824,0.048,0.086,0.024
Austria,AUT,1825,0.048,0.086,0.024
Austria,AUT,1826,0.048,0.086,0.024
Austria,AUT,1827,0.048,0.086,0.024
Austria,AUT,1828,0.048,0.086,0.024
Austria,AUT,1829,0.048,0.086,0.024
Austria,AUT,1830,0.048,0.086,0.024
Austria,AUT,1831,0.048,0.086,0.024
Austria,AUT,1832,0.048,0.086,0.024
Austria,AUT,1833,0.048,0.086,0.024
Austria,AUT,1834,0.048,0.086,0.024
Austria,AUT,1835,0.048,0.086,0.024
Austria,AUT,1836,0.048,0.086,0.024
Austria,AUT,1837,0.048,0.086,0.024
Austria,AUT,1838,0.048,0.086,0.024
Austria,AUT,1839,0.048,0.086,0.024
Austria,AUT,1840,0.048,0.086,0.024
Austria,AUT,1841,0.048,0.086,0.024
Austria,AUT,1842,0.048,0.086,0.024
Austria,AUT,1843,0.048,0.086,0.024
Austria,AUT,1844,0.048,0.086,0.024
Austria,AUT,1845,0.048,0.086,0.024
Austria,AUT,1846,0.048,0.086,0.024
Austria,AUT,1847,0.048,0.086,0.024
Austria,AUT,1848,0.118,0.193,0.07
Austria,AUT,1849,0.057,0.1,0.028
Austria,AUT,1850,0.057,0.1,0.028
Austria,AUT,1851,0.057,0.1,0.028
Austria,AUT,1852,0.057,0.1,0.028
Austria,AUT,1853,0.057,0.1,0.028
Austria,AUT,1854,0.057,0.1,0.028
Austria,AUT,1855,0.057,0.1,0.028
Austria,AUT,1856,0.057,0.1,0.028
Austria,AUT,1857,0.057,0.1,0.028
Austria,AUT,1858,0.057,0.1,0.028
Austria,AUT,1859,0.057,0.1,0.028
Austria,AUT,1860,0.057,0.1,0.028
Austria,AUT,1861,0.057,0.1,0.028
Austria,AUT,1862,0.057,0.1,0.028
Austria,AUT,1863,0.057,0.1,0.028
Austria,AUT,1864,0.057,0.1,0.028
Austria,AUT,1865,0.057,0.1,0.028
Austria,AUT,1866,0.057,0.1,0.028
Austria,AUT,1867,0.321,0.446,0.219
Austria,AUT,1868,0.321,0.446,0.219
Austria,AUT,1869,0.321,0.446,0.219
Austria,AUT,1870,0.434,0.56,0.307
Austria,AUT,1871,0.45,0.574,0.328
Austria,AUT,1872,0.45,0.574,0.328
Austria,AUT,1873,0.471,0.589,0.339
Austria,AUT,1874,0.471,0.589,0.339
Austria,AUT,1875,0.442,0.576,0.323
Austria,AUT,1876,0.442,0.576,0.323
Austria,AUT,1877,0.442,0.576,0.323
Austria,AUT,1878,0.442,0.576,0.323
Austria,AUT,1879,0.447,0.585,0.331
Austria,AUT,1880,0.447,0.585,0.331
Austria,AUT,1881,0.447,0.585,0.331
Austria,AUT,1882,0.447,0.585,0.331
Austria,AUT,1883,0.447,0.585,0.331
Austria,AUT,1884,0.447,0.585,0.331
Austria,AUT,1885,0.446,0.568,0.319
Austria,AUT,1886,0.446,0.568,0.319
Austria,AUT,1887,0.446,0.568,0.319
Austria,AUT,1888,0.551,0.667,0.419
Austria,AUT,1889,0.621,0.735,0.511
Austria,AUT,1890,0.682,0.79,0.573
Austria,AUT,1891,0.68,0.786,0.577
Austria,AUT,1892,0.68,0.786,0.577
Austria,AUT,1893,0.68,0.786,0.577
Austria,AUT,1894,0.68,0.786,0.577
Austria,AUT,1895,0.68,0.786,0.577
Austria,AUT,1896,0.68,0.786,0.577
Austria,AUT,1897,0.68,0.785,0.578
Austria,AUT,1898,0.68,0.785,0.578
Austria,AUT,1899,0.68,0.785,0.578
Austria,AUT,1900,0.68,0.783,0.576
Austria,AUT,1901,0.68,0.783,0.576
Austria,AUT,1902,0.68,0.783,0.576
Austria,AUT,1903,0.68,0.783,0.576
Austria,AUT,1904,0.68,0.783,0.576
Austria,AUT,1905,0.68,0.783,0.576
Austria,AUT,1906,0.68,0.783,0.576
Austria,AUT,1907,0.715,0.803,0.599
Austria,AUT,1908,0.731,0.813,0.61
Austria,AUT,1909,0.731,0.813,0.61
Austria,AUT,1910,0.731,0.813,0.61
Austria,AUT,1911,0.727,0.819,0.62
Austria,AUT,1912,0.723,0.824,0.626
Austria,AUT,1913,0.723,0.824,0.626
Austria,AUT,1914,0.707,0.795,0.598
Austria,AUT,1915,0.707,0.795,0.598
Austria,AUT,1916,0.707,0.795,0.598
Austria,AUT,1917,0.707,0.795,0.598
Austria,AUT,1918,0.709,0.797,0.602
Austria,AUT,1919,0.797,0.873,0.711
Austria,AUT,1920,0.798,0.873,0.71
Austria,AUT,1921,0.801,0.87,0.704
Austria,AUT,1922,0.801,0.87,0.704
Austria,AUT,1923,0.801,0.871,0.707
Austria,AUT,1924,0.799,0.875,0.716
Austria,AUT,1925,0.799,0.875,0.716
Austria,AUT,1926,0.799,0.875,0.716
Austria,AUT,1927,0.798,0.877,0.716
Austria,AUT,1928,0.798,0.878,0.716
Austria,AUT,1929,0.798,0.878,0.716
Austria,AUT,1930,0.781,0.855,0.679
Austria,AUT,1931,0.784,0.857,0.682
Austria,AUT,1932,0.784,0.857,0.682
Austria,AUT,1933,0.333,0.431,0.236
Austria,AUT,1934,0.088,0.137,0.048
Austria,AUT,1935,0.075,0.121,0.042
Austria,AUT,1936,0.075,0.121,0.042
Austria,AUT,1937,0.075,0.121,0.042
Austria,AUT,1938,0.07,0.112,0.04
Austria,AUT,1945,0.642,0.734,0.528
Austria,AUT,1946,0.784,0.869,0.705
Austria,AUT,1947,0.784,0.859,0.688
Austria,AUT,1948,0.784,0.859,0.688
Austria,AUT,1949,0.799,0.877,0.715
Austria,AUT,1950,0.802,0.87,0.713
Austria,AUT,1951,0.799,0.87,0.712
Austria,AUT,1952,0.798,0.87,0.711
Austria,AUT,1953,0.805,0.874,0.713
Austria,AUT,1954,0.806,0.874,0.713
Austria,AUT,1955,0.806,0.874,0.713
Austria,AUT,1956,0.855,0.914,0.778
Austria,AUT,1957,0.844,0.905,0.761
Austria,AUT,1958,0.844,0.905,0.761
Austria,AUT,1959,0.843,0.906,0.766
Austria,AUT,1960,0.861,0.911,0.781
Austria,AUT,1961,0.861,0.911,0.781
Austria,AUT,1962,0.86,0.913,0.782
Austria,AUT,1963,0.853,0.922,0.788
Austria,AUT,1964,0.853,0.922,0.788
Austria,AUT,1965,0.854,0.917,0.786
Austria,AUT,1966,0.855,0.914,0.784
Austria,AUT,1967,0.855,0.914,0.784
Austria,AUT,1968,0.855,0.914,0.784
Austria,AUT,1969,0.855,0.914,0.784
Austria,AUT,1970,0.855,0.919,0.784
Austria,AUT,1971,0.858,0.915,0.784
Austria,AUT,1972,0.87,0.924,0.8
Austria,AUT,1973,0.87,0.924,0.8
Austria,AUT,1974,0.878,0.926,0.808
Austria,AUT,1975,0.88,0.927,0.809
Austria,AUT,1976,0.879,0.928,0.811
Austria,AUT,1977,0.879,0.928,0.811
Austria,AUT,1978,0.879,0.928,0.811
Austria,AUT,1979,0.881,0.93,0.815
Austria,AUT,1980,0.879,0.929,0.81
Austria,AUT,1981,0.878,0.929,0.806
Austria,AUT,1982,0.878,0.929,0.806
Austria,AUT,1983,0.88,0.93,0.811
Austria,AUT,1984,0.881,0.93,0.813
Austria,AUT,1985,0.881,0.93,0.813
Austria,AUT,1986,0.878,0.926,0.806
Austria,AUT,1987,0.876,0.923,0.803
Austria,AUT,1988,0.878,0.927,0.808
Austria,AUT,1989,0.884,0.934,0.821
Austria,AUT,1990,0.883,0.932,0.819
Austria,AUT,1991,0.882,0.926,0.811
Austria,AUT,1992,0.884,0.933,0.82
Austria,AUT,1993,0.885,0.936,0.823
Austria,AUT,1994,0.885,0.936,0.823
Austria,AUT,1995,0.884,0.935,0.822
Austria,AUT,1996,0.881,0.929,0.81
Austria,AUT,1997,0.881,0.929,0.81
Austria,AUT,1998,0.883,0.932,0.818
Austria,AUT,1999,0.885,0.934,0.819
Austria,AUT,2000,0.886,0.933,0.814
Austria,AUT,2001,0.886,0.933,0.814
Austria,AUT,2002,0.885,0.933,0.813
Austria,AUT,2003,0.882,0.928,0.804
Austria,AUT,2004,0.881,0.931,0.812
Austria,AUT,2005,0.88,0.933,0.815
Austria,AUT,2006,0.882,0.932,0.815
Austria,AUT,2007,0.888,0.931,0.814
Austria,AUT,2008,0.888,0.93,0.813
Austria,AUT,2009,0.887,0.93,0.811
Austria,AUT,2010,0.884,0.931,0.816
Austria,AUT,2011,0.882,0.929,0.807
Austria,AUT,2012,0.886,0.933,0.819
Austria,AUT,2013,0.886,0.933,0.819
Austria,AUT,2014,0.886,0.932,0.819
Austria,AUT,2015,0.886,0.932,0.819
Austria,AUT,2016,0.884,0.931,0.814
Austria,AUT,2017,0.884,0.93,0.812
Austria,AUT,2018,0.871,0.919,0.796
Austria,AUT,2019,0.883,0.933,0.819
Austria,AUT,2020,0.872,0.922,0.791
Austria,AUT,2021,0.864,0.919,0.785
Austria,AUT,2022,0.863,0.92,0.787
Belgium,BEL,1789,0.074,0.129,0.039
Belgium,BEL,1790,0.074,0.129,0.039
Belgium,BEL,1791,0.074,0.129,0.039
Belgium,BEL,1792,0.074,0.129,0.039
Belgium,BEL,1793,0.074,0.129,0.039
Belgium,BEL,1794,0.074,0.129,0.039
Belgium,BEL,1795,0.074,0.129,0.039
Belgium,BEL,1796,0.419,0.549,0.279
Belgium,BEL,1797,0.419,0.549,0.279
Belgium,BEL,1798,0.418,0.546,0.281
Belgium,BEL,1799,0.508,0.637,0.369
Belgium,BEL,1800,0.132,0.217,0.073
Belgium,BEL,1801,0.132,0.217,0.073
Belgium,BEL,1802,0.132,0.217,0.073
Belgium,BEL,1803,0.132,0.217,0.073
Belgium,BEL,1804,0.132,0.217,0.073
Belgium,BEL,1805,0.132,0.217,0.073
Belgium,BEL,1806,0.132,0.217,0.073
Belgium,BEL,1807,0.132,0.217,0.073
Belgium,BEL,1808,0.132,0.217,0.073
Belgium,BEL,1809,0.132,0.217,0.073
Belgium,BEL,1810,0.132,0.217,0.073
Belgium,BEL,1811,0.132,0.217,0.073
Belgium,BEL,1812,0.132,0.217,0.073
Belgium,BEL,1813,0.132,0.217,0.073
Belgium,BEL,1814,0.184,0.277,0.107
Belgium,BEL,1815,0.291,0.41,0.187
Belgium,BEL,1816,0.291,0.41,0.187
Belgium,BEL,1817,0.291,0.41,0.187
Belgium,BEL,1818,0.291,0.41,0.187
Belgium,BEL,1819,0.291,0.41,0.187
Belgium,BEL,1820,0.291,0.41,0.187
Belgium,BEL,1821,0.291,0.41,0.187
Belgium,BEL,1822,0.291,0.41,0.187
Belgium,BEL,1823,0.291,0.41,0.187
Belgium,BEL,1824,0.291,0.41,0.187
Belgium,BEL,1825,0.291,0.41,0.187
Belgium,BEL,1826,0.291,0.41,0.187
Belgium,BEL,1827,0.291,0.41,0.187
Belgium,BEL,1828,0.291,0.41,0.187
Belgium,BEL,1829,0.291,0.41,0.187
Belgium,BEL,1830,0.351,0.482,0.24
Belgium,BEL,1831,0.37,0.515,0.264
Belgium,BEL,1832,0.37,0.515,0.264
Belgium,BEL,1833,0.365,0.494,0.247
Belgium,BEL,1834,0.365,0.494,0.247
Belgium,BEL,1835,0.371,0.5,0.247
Belgium,BEL,1836,0.371,0.5,0.247
Belgium,BEL,1837,0.374,0.501,0.253
Belgium,BEL,1838,0.374,0.501,0.253
Belgium,BEL,1839,0.372,0.516,0.26
Belgium,BEL,1840,0.67,0.775,0.549
Belgium,BEL,1841,0.742,0.829,0.629
Belgium,BEL,1842,0.742,0.829,0.629
Belgium,BEL,1843,0.748,0.837,0.634
Belgium,BEL,1844,0.748,0.837,0.634
Belgium,BEL,1845,0.746,0.838,0.63
Belgium,BEL,1846,0.746,0.838,0.63
Belgium,BEL,1847,0.831,0.9,0.737
Belgium,BEL,1848,0.83,0.9,0.739
Belgium,BEL,1849,0.829,0.898,0.736
Belgium,BEL,1850,0.829,0.895,0.729
Belgium,BEL,1851,0.829,0.893,0.724
Belgium,BEL,1852,0.83,0.897,0.732
Belgium,BEL,1853,0.831,0.901,0.738
Belgium,BEL,1854,0.828,0.897,0.729
Belgium,BEL,1855,0.826,0.894,0.722
Belgium,BEL,1856,0.828,0.898,0.729
Belgium,BEL,1857,0.829,0.9,0.735
Belgium,BEL,1858,0.831,0.897,0.729
Belgium,BEL,1859,0.83,0.898,0.731
Belgium,BEL,1860,0.829,0.898,0.732
Belgium,BEL,1861,0.831,0.896,0.727
Belgium,BEL,1862,0.832,0.894,0.723
Belgium,BEL,1863,0.829,0.894,0.724
Belgium,BEL,1864,0.828,0.896,0.728
Belgium,BEL,1865,0.828,0.898,0.732
Belgium,BEL,1866,0.828,0.904,0.742
Belgium,BEL,1867,0.828,0.909,0.75
Belgium,BEL,1868,0.831,0.9,0.732
Belgium,BEL,1869,0.832,0.893,0.718
Belgium,BEL,1870,0.832,0.902,0.739
Belgium,BEL,1871,0.832,0.91,0.755
Belgium,BEL,1872,0.831,0.899,0.734
Belgium,BEL,1873,0.829,0.891,0.718
Belgium,BEL,1874,0.83,0.902,0.738
Belgium,BEL,1875,0.831,0.91,0.754
Belgium,BEL,1876,0.829,0.903,0.742
Belgium,BEL,1877,0.828,0.897,0.732
Belgium,BEL,1878,0.829,0.899,0.736
