Entity,Code,Year,GDP per capita growth (annual %)
Austria,AUT,1961,4.96071720123291
Austria,AUT,1962,2.0214695930480957
Austria,AUT,1963,3.471466064453125
Austria,AUT,1964,5.419335842132568
Austria,AUT,1965,2.8100128173828125
Austria,AUT,1966,4.904479026794434
Austria,AUT,1967,2.2410097122192383
Austria,AUT,1968,3.931241750717163
Austria,AUT,1969,5.909495830535889
Austria,AUT,1970,5.950496673583984
Austria,AUT,1971,4.646942615509033
Austria,AUT,1972,5.592381477355957
Austria,AUT,1973,4.310905933380127
Austria,AUT,1974,3.7653729915618896
Austria,AUT,1975,-0.09903008490800858
Austria,AUT,1976,4.763370037078857
Austria,AUT,1977,5.039647579193115
Austria,AUT,1978,-0.1298304945230484
Austria,AUT,1979,5.536448001861572
Austria,AUT,1980,1.7313778400421143
Austria,AUT,1981,-0.39862051606178284
Austria,AUT,1982,1.9381215572357178
Austria,AUT,1983,3.1396281719207764
Austria,AUT,1984,0.057573091238737106
Austria,AUT,1985,2.4505655765533447
Austria,AUT,1986,2.2364022731781006
Austria,AUT,1987,1.2930452823638916
Austria,AUT,1988,3.1497464179992676
Austria,AUT,1989,3.4201018810272217
Austria,AUT,1990,3.5535476207733154
Austria,AUT,1991,2.4139864444732666
Austria,AUT,1992,0.9760922193527222
Austria,AUT,1993,-0.29875436425209045
Austria,AUT,1994,2.0087618827819824
Austria,AUT,1995,2.5109126567840576
Austria,AUT,1996,2.211434841156006
Austria,AUT,1997,1.9779759645462036
Austria,AUT,1998,3.467829942703247
Austria,AUT,1999,3.3550446033477783
Austria,AUT,2000,3.127436637878418
Austria,AUT,2001,0.880259096622467
Austria,AUT,2002,1.1526763439178467
Austria,AUT,2003,0.45094653964042664
Austria,AUT,2004,2.0997111797332764
Austria,AUT,2005,1.5498772859573364
Austria,AUT,2006,2.94341778755188
Austria,AUT,2007,3.391730785369873
Austria,AUT,2008,1.143307089805603
Austria,AUT,2009,-4.016340255737305
Austria,AUT,2010,1.5925770998001099
Austria,AUT,2011,2.5764482021331787
Austria,AUT,2012,0.22245058417320251
Austria,AUT,2013,-0.5622989535331726
Austria,AUT,2014,-0.12237066775560379
Austria,AUT,2015,-0.11154019087553024
Austria,AUT,2016,0.8924691677093506
Austria,AUT,2017,1.5507240295410156
Austria,AUT,2018,2.0035524368286133
Austria,AUT,2019,1.0409080982208252
Austria,AUT,2020,-7.120927810668945
Belgium,BEL,1961,4.6302571296691895
Belgium,BEL,1962,4.794034481048584
Belgium,BEL,1963,3.5743534564971924
Belgium,BEL,1964,5.94913911819458
Belgium,BEL,1965,2.6244447231292725
Belgium,BEL,1966,2.4614624977111816
Belgium,BEL,1967,3.2915756702423096
Belgium,BEL,1968,3.7850444316864014
Belgium,BEL,1969,6.328283786773682
Belgium,BEL,1970,5.478790283203125
Belgium,BEL,1971,3.7964885234832764
Belgium,BEL,1972,4.884088039398193
Belgium,BEL,1973,6.047488689422607
Belgium,BEL,1974,4.236777305603027
Belgium,BEL,1975,-2.2488296031951904
Belgium,BEL,1976,5.464139938354492
Belgium,BEL,1977,0.5019786953926086
Belgium,BEL,1978,2.7459897994995117
Belgium,BEL,1979,2.2491276264190674
Belgium,BEL,1980,4.329008102416992
Belgium,BEL,1981,-0.2766534686088562
Belgium,BEL,1982,0.62232905626297
Belgium,BEL,1983,0.31981226801872253
Belgium,BEL,1984,2.467921495437622
Belgium,BEL,1985,1.6215189695358276
Belgium,BEL,1986,1.7864696979522705
Belgium,BEL,1987,2.219478130340576
Belgium,BEL,1988,4.3907952308654785
Belgium,BEL,1989,3.093999147415161
Belgium,BEL,1990,2.830267906188965
Belgium,BEL,1991,1.4553717374801636
Belgium,BEL,1992,1.1195658445358276
Belgium,BEL,1993,-1.3479996919631958
Belgium,BEL,1994,2.909318685531616
Belgium,BEL,1995,2.1705503463745117
Belgium,BEL,1996,1.1236690282821655
Belgium,BEL,1997,3.5427889823913574
Belgium,BEL,1998,1.7443238496780396
Belgium,BEL,1999,3.30570650100708
Belgium,BEL,2000,3.4654526710510254
Belgium,BEL,2001,0.7524828910827637
Belgium,BEL,2002,1.2519845962524414
Belgium,BEL,2003,0.6158797740936279
Belgium,BEL,2004,3.123929023742676
