Entity,Code,Year,2_1_GDPPC2015
Austria,AUT,1960,12051.1513671875
Austria,AUT,1961,12648.974609375
Austria,AUT,1962,12904.669921875
Austria,AUT,1963,13352.6513671875
Austria,AUT,1964,14076.2763671875
Austria,AUT,1965,14471.8212890625
Austria,AUT,1966,15181.5888671875
Austria,AUT,1967,15521.8095703125
Austria,AUT,1968,16132.009765625
Austria,AUT,1969,17085.330078125
Austria,AUT,1970,18101.9921875
Austria,AUT,1971,18943.181640625
Austria,AUT,1972,20002.556640625
Austria,AUT,1973,20864.84765625
Austria,AUT,1974,21650.486328125
Austria,AUT,1975,21629.046875
Austria,AUT,1976,22659.318359375
Austria,AUT,1977,23801.267578125
Austria,AUT,1978,23770.3671875
Austria,AUT,1979,25086.400390625
Austria,AUT,1980,25520.740234375
Austria,AUT,1981,25419.009765625
Austria,AUT,1982,25911.66015625
Austria,AUT,1983,26725.19140625
Austria,AUT,1984,26740.578125
Austria,AUT,1985,27395.873046875
Austria,AUT,1986,28008.5546875
Austria,AUT,1987,28370.71875
Austria,AUT,1988,29264.32421875
Austria,AUT,1989,30265.193359375
Austria,AUT,1990,31340.681640625
Austria,AUT,1991,32097.240234375
Austria,AUT,1992,32410.5390625
Austria,AUT,1993,32313.7109375
Austria,AUT,1994,32962.81640625
Austria,AUT,1995,33790.484375
Austria,AUT,1996,34537.73828125
Austria,AUT,1997,35220.88671875
Austria,AUT,1998,36442.2890625
Austria,AUT,1999,37664.94140625
Austria,AUT,2000,38842.890625
Austria,AUT,2001,39184.80859375
Austria,AUT,2002,39636.484375
Austria,AUT,2003,39815.22265625
Austria,AUT,2004,40651.2265625
Austria,AUT,2005,41281.26953125
Austria,AUT,2006,42496.3515625
Austria,AUT,2007,43937.7109375
Austria,AUT,2008,44440.0546875
Austria,AUT,2009,42655.19140625
Austria,AUT,2010,43334.5078125
Austria,AUT,2011,44451
Austria,AUT,2012,44549.8828125
Austria,AUT,2013,44299.37890625
Austria,AUT,2014,44245.16796875
Austria,AUT,2015,44195.81640625
Austria,AUT,2016,44590.25
Austria,AUT,2017,45281.72265625
Austria,AUT,2018,46188.96484375
Austria,AUT,2019,46669.75
Austria,AUT,2020,43346.43359375
Belgium,BEL,1960,11734.306640625
Belgium,BEL,1961,12277.634765625
Belgium,BEL,1962,12866.228515625
Belgium,BEL,1963,13326.11328125
Belgium,BEL,1964,14118.90234375
Belgium,BEL,1965,14489.4453125
Belgium,BEL,1966,14846.09765625
Belgium,BEL,1967,15334.767578125
Belgium,BEL,1968,15915.1953125
Belgium,BEL,1969,16922.353515625
Belgium,BEL,1970,17849.494140625
Belgium,BEL,1971,18527.1484375
Belgium,BEL,1972,19432.03125
Belgium,BEL,1973,20607.181640625
Belgium,BEL,1974,21480.26171875
Belgium,BEL,1975,20997.20703125
Belgium,BEL,1976,22144.5234375
Belgium,BEL,1977,22255.68359375
Belgium,BEL,1978,22866.822265625
Belgium,BEL,1979,23381.126953125
Belgium,BEL,1980,24393.298828125
Belgium,BEL,1981,24325.8125
Belgium,BEL,1982,24477.19921875
Belgium,BEL,1983,24555.48046875
Belgium,BEL,1984,25161.490234375
Belgium,BEL,1985,25569.490234375
Belgium,BEL,1986,26026.28125
Belgium,BEL,1987,26603.927734375
Belgium,BEL,1988,27772.052734375
Belgium,BEL,1989,28631.318359375
Belgium,BEL,1990,29441.662109375
Belgium,BEL,1991,29870.1484375
Belgium,BEL,1992,30204.564453125
Belgium,BEL,1993,29797.40625
Belgium,BEL,1994,30664.30859375
Belgium,BEL,1995,31329.892578125
Belgium,BEL,1996,31681.935546875
Belgium,BEL,1997,32804.359375
Belgium,BEL,1998,33376.57421875
Belgium,BEL,1999,34479.90625
Belgium,BEL,2000,35674.79296875
Belgium,BEL,2001,35943.23828125
Belgium,BEL,2002,36393.2421875
Belgium,BEL,2003,36617.37890625
Belgium,BEL,2004,37761.28125
Belgium,BEL,2005,38426.05078125
Belgium,BEL,2006,39147.76171875
Belgium,BEL,2007,40290.2265625
Belgium,BEL,2008,40151.8515625
Belgium,BEL,2009,39025.22265625
Belgium,BEL,2010,39777.92578125
Belgium,BEL,2011,39929.09375
Belgium,BEL,2012,39975.57421875
Belgium,BEL,2013,39970.31640625
