Entity,Code,Year,2_1_GDPPC_Growth
abc,AUT,1961,597.823
abc,AUT,1962,255.695
abc,AUT,1963,447.981
abc,AUT,1964,723.625
abc,AUT,1965,395.545
abc,AUT,1966,709.768
abc,AUT,1967,340.221
abc,AUT,1968,610.2
abc,AUT,1969,953.32
abc,AUT,1970,1016.66
abc,AUT,1971,841.189
abc,AUT,1972,1059.38
abc,AUT,1973,862.291
abc,AUT,1974,785.639
abc,AUT,1975,-21.4395
abc,AUT,1976,1030.27
abc,AUT,1977,1141.95
abc,AUT,1978,-30.9004
abc,AUT,1979,1316.03
abc,AUT,1980,434.34
abc,AUT,1981,-101.73
abc,AUT,1982,492.65
abc,AUT,1983,813.531
abc,AUT,1984,15.3867
abc,AUT,1985,655.295
abc,AUT,1986,612.682
abc,AUT,1987,362.164
abc,AUT,1988,893.605
abc,AUT,1989,1000.87
abc,AUT,1990,1075.49
abc,AUT,1991,756.559
abc,AUT,1992,313.299
abc,AUT,1993,-96.8281
abc,AUT,1994,649.105
abc,AUT,1995,827.668
abc,AUT,1996,747.254
abc,AUT,1997,683.148
abc,AUT,1998,1221.4
abc,AUT,1999,1222.65
abc,AUT,2000,1177.95
abc,AUT,2001,341.918
abc,AUT,2002,451.676
abc,AUT,2003,178.738
abc,AUT,2004,836.004
abc,AUT,2005,630.043
abc,AUT,2006,1215.08
abc,AUT,2007,1441.36
abc,AUT,2008,502.344
abc,AUT,2009,-1784.86
abc,AUT,2010,679.316
abc,AUT,2011,1116.49
abc,AUT,2012,98.8828
abc,AUT,2013,-250.504
abc,AUT,2014,-54.2109
abc,AUT,2015,-49.3516
abc,AUT,2016,394.434
abc,AUT,2017,691.473
abc,AUT,2018,907.242
abc,AUT,2019,480.785
abc,AUT,2020,-3323.32
abc,BEL,1961,543.328
abc,BEL,1962,588.594
abc,BEL,1963,459.885
abc,BEL,1964,792.789
abc,BEL,1965,370.543
abc,BEL,1966,356.652
abc,BEL,1967,488.67
abc,BEL,1968,580.428
abc,BEL,1969,1007.16
abc,BEL,1970,927.141
abc,BEL,1971,677.654
abc,BEL,1972,904.883
abc,BEL,1973,1175.15
abc,BEL,1974,873.08
abc,BEL,1975,-483.055
abc,BEL,1976,1147.32
abc,BEL,1977,111.16
abc,BEL,1978,611.139
abc,BEL,1979,514.305
abc,BEL,1980,1012.17
abc,BEL,1981,-67.4863
abc,BEL,1982,151.387
abc,BEL,1983,78.2812
abc,BEL,1984,606.01
