Entity,Code,Year,2_1_GDP_2015_USD
Austria,AUT,1960,84930961408
Austria,AUT,1961,89634414592
Austria,AUT,1962,92008538112
Austria,AUT,1963,95816097792
Austria,AUT,1964,101684215808
Austria,AUT,1965,105223004160
Austria,AUT,1966,111160598528
Austria,AUT,1967,114504359936
Austria,AUT,1968,119625351168
Austria,AUT,1969,127132876800
Austria,AUT,1970,135169130496
Austria,AUT,1971,142082981888
Austria,AUT,1972,150903308288
Austria,AUT,1973,158283137024
Austria,AUT,1974,164522868736
Austria,AUT,1975,163924443136
Austria,AUT,1976,171429642240
Austria,AUT,1977,180138229760
Austria,AUT,1978,179758759936
Austria,AUT,1979,189387898880
Austria,AUT,1980,192667123712
Austria,AUT,1981,192389120000
Austria,AUT,1982,196258545664
Austria,AUT,1983,202093494272
Austria,AUT,1984,202197106688
Austria,AUT,1985,207249358848
Austria,AUT,1986,212018987008
Austria,AUT,1987,214896443392
Austria,AUT,1988,221979164672
Austria,AUT,1989,230607667200
Austria,AUT,1990,240629055488
Austria,AUT,1991,248910610432
Austria,AUT,1992,254121607168
Austria,AUT,1993,255460343808
Austria,AUT,1994,261596807168
Austria,AUT,1995,268576161792
Austria,AUT,1996,274886459392
Austria,AUT,1997,280641470464
Austria,AUT,1998,290692431872
Austria,AUT,1999,301030440960
Austria,AUT,2000,311192387584
Austria,AUT,2001,315135721472
Austria,AUT,2002,320340361216
Austria,AUT,2003,323356262400
Austria,AUT,2004,332200443904
Austria,AUT,2005,339655229440
Austria,AUT,2006,351387058176
Austria,AUT,2007,364484722688
Austria,AUT,2008,369807753216
Austria,AUT,2009,355886039040
Austria,AUT,2010,362424008704
Austria,AUT,2011,373016920064
Austria,AUT,2012,375555096576
Austria,AUT,2013,375650877440
Austria,AUT,2014,378134953984
Austria,AUT,2015,381971136512
Austria,AUT,2016,389570232320
Austria,AUT,2017,398368964608
Austria,AUT,2018,408334532608
Austria,AUT,2019,414423646208
Austria,AUT,2020,386514223104
Belgium,BEL,1960,107409842176
Belgium,BEL,1961,112757161984
Belgium,BEL,1962,118634061824
Belgium,BEL,1963,123796529152
Belgium,BEL,1964,132408664064
Belgium,BEL,1965,137123282944
Belgium,BEL,1966,141450756096
Belgium,BEL,1967,146922274816
Belgium,BEL,1968,153084379136
Belgium,BEL,1969,163233579008
Belgium,BEL,1970,172346671104
Belgium,BEL,1971,179216105472
Belgium,BEL,1972,188706684928
Belgium,BEL,1973,200749383680
Belgium,BEL,1974,209914118144
Belgium,BEL,1975,205787332608
Belgium,BEL,1976,217419956224
Belgium,BEL,1977,218781351936
Belgium,BEL,1978,224998883328
Belgium,BEL,1979,230266273792
Belgium,BEL,1980,240499425280
Belgium,BEL,1981,239827763200
Belgium,BEL,1982,241254694912
Belgium,BEL,1983,242007031808
Belgium,BEL,1984,247975854080
Belgium,BEL,1985,252071903232
Belgium,BEL,1986,256666566656
Belgium,BEL,1987,262586990592
Belgium,BEL,1988,274989514752
Belgium,BEL,1989,284529360896
Belgium,BEL,1990,293456216064
Belgium,BEL,1991,298835476480
Belgium,BEL,1992,303409627136
Belgium,BEL,1993,300491210752
Belgium,BEL,1994,310187950080
Belgium,BEL,1995,317585195008
Belgium,BEL,1996,321781923840
Belgium,BEL,1997,333989216256
Belgium,BEL,1998,340541472768
Belgium,BEL,1999,352605962240
Belgium,BEL,2000,365711196160
Belgium,BEL,2001,369732648960
Belgium,BEL,2002,376043536384
Belgium,BEL,2003,379946795008
Belgium,BEL,2004,393515499520
Belgium,BEL,2005,402651873280
Belgium,BEL,2006,412928966656
Belgium,BEL,2007,428111888384
Belgium,BEL,2008,430025211904
Belgium,BEL,2009,421335531520
Belgium,BEL,2010,433403822080
Belgium,BEL,2011,440747884544
Belgium,BEL,2012,444005974016
Belgium,BEL,2013,446045028352
Belgium,BEL,2014,453086019584
Belgium,BEL,2015,462335574016
Belgium,BEL,2016,468191903744
Belgium,BEL,2017,475774648320
Belgium,BEL,2018,484429955072
Belgium,BEL,2019,494843068416
Belgium,BEL,2020,466836652032
Bulgaria,BGR,1980,30380969984
Bulgaria,BGR,1981,31869687808
Bulgaria,BGR,1982,32613705728
Bulgaria,BGR,1983,33732456448
Bulgaria,BGR,1984,34878160896
Bulgaria,BGR,1985,35814096896
Bulgaria,BGR,1986,37321011200
Bulgaria,BGR,1987,39580614656
Bulgaria,BGR,1988,43912593408
Bulgaria,BGR,1989,42467917824
Bulgaria,BGR,1990,38595960832
Bulgaria,BGR,1991,35336392704
Bulgaria,BGR,1992,32766593024
Bulgaria,BGR,1993,32281577472
Bulgaria,BGR,1994,32868460544
Bulgaria,BGR,1995,33806870528
Bulgaria,BGR,1996,35566653440
Bulgaria,BGR,1997,30546282496
Bulgaria,BGR,1998,31703719936
Bulgaria,BGR,1999,29041846272
Bulgaria,BGR,2000,30374060032
Bulgaria,BGR,2001,31535474688
