Entity,Code,Year,2_1_GDP_Growth
abc,AUT,1961,4703453184
abc,AUT,1962,2374123520
abc,AUT,1963,3807559680
abc,AUT,1964,5868118016
abc,AUT,1965,3538788352
abc,AUT,1966,5937594368
abc,AUT,1967,3343761408
abc,AUT,1968,5120991232
abc,AUT,1969,7507525632
abc,AUT,1970,8036253696
abc,AUT,1971,6913851392
abc,AUT,1972,8820326400
abc,AUT,1973,7379828736
abc,AUT,1974,6239731712
abc,AUT,1975,-598425600
abc,AUT,1976,7505199104
abc,AUT,1977,8708587520
abc,AUT,1978,-379469824
abc,AUT,1979,9629138944
abc,AUT,1980,3279224832
abc,AUT,1981,-278003712
abc,AUT,1982,3869425664
abc,AUT,1983,5834948608
abc,AUT,1984,103612416
abc,AUT,1985,5052252160
abc,AUT,1986,4769628160
abc,AUT,1987,2877456384
abc,AUT,1988,7082721280
abc,AUT,1989,8628502528
abc,AUT,1990,10021388288
abc,AUT,1991,8281554944
abc,AUT,1992,5210996736
abc,AUT,1993,1338736640
abc,AUT,1994,6136463360
abc,AUT,1995,6979354624
abc,AUT,1996,6310297600
abc,AUT,1997,5755011072
abc,AUT,1998,10050961408
abc,AUT,1999,10338009088
abc,AUT,2000,10161946624
abc,AUT,2001,3943333888
abc,AUT,2002,5204639744
abc,AUT,2003,3015901184
abc,AUT,2004,8844181504
abc,AUT,2005,7454785536
abc,AUT,2006,11731828736
abc,AUT,2007,13097664512
abc,AUT,2008,5323030528
abc,AUT,2009,-13921714176
abc,AUT,2010,6537969664
abc,AUT,2011,10592911360
abc,AUT,2012,2538176512
abc,AUT,2013,95780864
abc,AUT,2014,2484076544
abc,AUT,2015,3836182528
abc,AUT,2016,7599095808
abc,AUT,2017,8798732288
abc,AUT,2018,9965568000
abc,AUT,2019,6089113600
abc,AUT,2020,-27909423104
abc,BEL,1961,5347319808
abc,BEL,1962,5876899840
abc,BEL,1963,5162467328
abc,BEL,1964,8612134912
abc,BEL,1965,4714618880
abc,BEL,1966,4327473152
abc,BEL,1967,5471518720
abc,BEL,1968,6162104320
abc,BEL,1969,10149199872
abc,BEL,1970,9113092096
abc,BEL,1971,6869434368
abc,BEL,1972,9490579456
abc,BEL,1973,12042698752
abc,BEL,1974,9164734464
abc,BEL,1975,-4126785536
abc,BEL,1976,11632623616
abc,BEL,1977,1361395712
abc,BEL,1978,6217531392
abc,BEL,1979,5267390464
abc,BEL,1980,10233151488
abc,BEL,1981,-671662080
abc,BEL,1982,1426931712
abc,BEL,1983,752336896
abc,BEL,1984,5968822272
abc,BEL,1985,4096049152
abc,BEL,1986,4594663424
abc,BEL,1987,5920423936
abc,BEL,1988,12402524160
abc,BEL,1989,9539846144
abc,BEL,1990,8926855168
abc,BEL,1991,5379260416
abc,BEL,1992,4574150656
abc,BEL,1993,-2918416384
abc,BEL,1994,9696739328
abc,BEL,1995,7397244928
abc,BEL,1996,4196728832
abc,BEL,1997,12207292416
abc,BEL,1998,6552256512
abc,BEL,1999,12064489472
abc,BEL,2000,13105233920
abc,BEL,2001,4021452800
abc,BEL,2002,6310887424
abc,BEL,2003,3903258624
abc,BEL,2004,13568704512
abc,BEL,2005,9136373760
abc,BEL,2006,10277093376
abc,BEL,2007,15182921728
abc,BEL,2008,1913323520
abc,BEL,2009,-8689680384
abc,BEL,2010,12068290560
abc,BEL,2011,7344062464
abc,BEL,2012,3258089472
abc,BEL,2013,2039054336
abc,BEL,2014,7040991232
abc,BEL,2015,9249554432
abc,BEL,2016,5856329728
abc,BEL,2017,7582744576
abc,BEL,2018,8655306752
abc,BEL,2019,10413113344
abc,BEL,2020,-28006416384
abc,BGR,1981,1488717824
abc,BGR,1982,744017920
abc,BGR,1983,1118750720
abc,BGR,1984,1145704448
abc,BGR,1985,935936000
abc,BGR,1986,1506914304
abc,BGR,1987,2259603456
abc,BGR,1988,4331978752
abc,BGR,1989,-1444675584
abc,BGR,1990,-3871956992
abc,BGR,1991,-3259568128
abc,BGR,1992,-2569799680
abc,BGR,1993,-485015552
abc,BGR,1994,586883072
abc,BGR,1995,938409984
abc,BGR,1996,1759782912
abc,BGR,1997,-5020370944
abc,BGR,1998,1157437440
abc,BGR,1999,-2661873664
abc,BGR,2000,1332213760
abc,BGR,2001,1161414656
abc,BGR,2002,1851742208
abc,BGR,2003,1748537344
abc,BGR,2004,2287489024
abc,BGR,2005,2640715776
abc,BGR,2006,2725384192
abc,BGR,2007,2820411392
abc,BGR,2008,2789498880
